"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","runNum"
"1",1,18841349.6633035,0,1,0,0,0,0,0,0,0,"Malawi","All","All",1,18841350.6633035,950
"2",2,18841348.842571,0.659867729402756,0.780858138666519,0.0113684621423388,0.000126479309584618,0.368510233830841,1.40971503684492e-06,0.820732453067077,0.012211168210495,0.000128854004313542,"Malawi","All","All",1,18841350.6633035,950
"3",3,18841348.095547,1.03420996077902,0.807661021476302,0.0202757147082521,0.000449171553497175,0.705150439826489,1.02004130636764e-05,1.56775650875663,0.023325675437236,0.000466354364563286,"Malawi","All","All",1,18841350.6633035,950
"4",4,18841347.266306,1.34629604822896,0.940869790449559,0.0291860027559019,0.000936482394858829,1.07967717286524,3.20269883014468e-05,2.39699752368282,0.0356634382822684,0.000990432532521386,"Malawi","All","All",1,18841350.6633035,950
"5",5,18841346.2775326,1.67963409320393,1.13849398257919,0.0391666540327572,0.00159219032014496,1.52681176373174,7.21803301863699e-05,3.38577086419795,0.0503747843827858,0.0017137796095727,"Malawi","All","All",1,18841350.6633035,950
"6",6,18841345.0729402,2.07219173531596,1.3927914335631,0.050859618496258,0.00243658153807474,2.07194758370004,0.000136363990919171,4.59036331660436,0.0682971704168508,0.00266628955848116,"Malawi","All","All",1,18841350.6633035,950
"7",7,18841343.5964891,2.54871848342459,1.70910534581768,0.0648221300769159,0.00350092759730414,2.74043644498064,0.000231116060040814,6.06681444795716,0.0902643751476796,0.00389024747770846,"Malawi","All","All",1,18841350.6633035,950
"8",8,18841341.7837719,3.13220507017995,2.09903108566928,0.0816563408748338,0.00482670141005101,3.56144822828475,0.000364142278842675,7.87953156869771,0.117234676257328,0.0054401067632928,"Malawi","All","All",1,18841350.6633035,950
"9",9,18841339.557167,3.84838322975394,2.5785190824519,0.102070543552302,0.00646666650597932,4.57015234654765,0.000544657933373463,10.1061365267451,0.150362963027005,0.00738415428871832,"Malawi","All","All",1,18841350.6633035,950
"10",10,18841336.8218217,4.72801528172379,3.16774186190802,0.1269211793598,0.00848692730590823,5.80953281204574,0.000783781538988599,12.8414818438822,0.191060490303012,0.00980722384855554,"Malawi","All","All",1,18841350.6633035,950
"11",11,18841333.4613812,5.80860409596863,3.89167786638914,0.157253063230213,0.0109697027621101,7.33232256661727,0.0010950059487227,16.2019223009161,0.241058433314519,0.0128142633907546,"Malawi","All","All",1,18841350.6633035,950
"12",12,18841329.332947,7.13612920272766,4.78108256404443,0.194345074147865,0.014016843417362,9.20328799237512,0.0014947718778839,20.3303564485903,0.302482898026818,0.0165348181899794,"Malawi","All","All",1,18841350.6633035,950
"13",13,18841324.2610219,8.7670326211968,5.87375406751841,0.23976435853929,0.0177541519600792,11.5019732602119,0.00200316050014785,25.4022816199266,0.377945011170631,0.0211285180954767,"Malawi","All","All",1,18841350.6633035,950
"14",14,18841318.0299392,10.7706661510196,7.21615099804165,0.295433819378595,0.022336829128152,14.3261317370667,0.00264475861145437,31.6333642932462,0.470653556915657,0.0267919808217551,"Malawi","All","All",1,18841350.6633035,950
"15",15,18841310.3748008,13.2322088453135,8.86534146114336,0.363712777633186,0.0279560167954475,17.7958339078449,0.00344969219285727,39.2885027009232,0.584549816680734,0.0337670960935185,"Malawi","All","All",1,18841350.6633035,950
"16",16,18841300.9701788,16.2562859779301,10.891438445886,0.447497719729984,0.034846985355542,22.0586006279572,0.0044549154774243,48.6931246723362,0.724476063511395,0.0423513844897947,"Malawi","All","All",1,18841350.6633035,950
"17",17,18841291.2287517,18.4839248107849,13.0988949620886,0.549002427701866,0.0432918505025203,27.2537320342481,0.00570573414568234,58.4345518194716,0.894990240699677,0.0529032800796064,"Malawi","All","All",1,18841350.6633035,950
"18",18,18841279.6581684,21.4137989613013,15.4368942662094,0.667257365625925,0.0535657502210564,33.4263621789925,0.00725660236841606,70.0051351247186,1.09752212621473,0.0657896500474663,"Malawi","All","All",1,18841350.6633035,950
"19",19,18841266.0726335,24.9533812766024,18.0825508042641,0.803153521898483,0.0659238517308067,40.6764901792302,0.00917037407977632,83.5906700078057,1.33532395174633,0.0813715403915208,"Malawi","All","All",1,18841350.6633035,950
"20",20,18841250.1764977,29.1302322724985,21.1429050865471,0.959251160909773,0.0806457823383946,49.1622531050489,0.0115184052755732,99.4868058126182,1.61357085945274,0.100048779099168,"Malawi","All","All",1,18841350.6633035,950
"21",21,18841231.5963645,34.0248635238442,24.7074423020927,1.1390464965686,0.0980597751283204,59.0831451256774,0.0143817727173572,118.066938996028,1.93879891466293,0.122286174770711,"Malawi","All","All",1,18841350.6633035,950
"22",22,18841209.886024,39.748555477036,28.8680278914919,1.3467727756617,0.118556847619891,70.6775134695101,0.0178530752356738,139.777279536555,2.31881876230988,0.148630729609634,"Malawi","All","All",1,18841350.6633035,950
"23",23,18841184.5206241,46.4374419169413,33.7274760656042,1.58740123732355,0.142602538600429,84.2257189667906,0.0220386414233635,165.142679366683,2.76281766704013,0.179727095161762,"Malawi","All","All",1,18841350.6633035,950
"24",24,18841154.8857125,54.2527505201682,39.4042977246571,1.86672518023679,0.170749028771213,100.056007474579,0.0270611175695708,194.777591045982,3.28155136021971,0.216334052390654,"Malawi","All","All",1,18841350.6633035,950
"25",25,18841120.2628946,63.3836463465116,46.0363851018761,2.19148781976513,0.203648903609633,118.5521782336,0.0330624809752881,229.400408886337,3.88759510331256,0.259343350533383,"Malawi","All","All",1,18841350.6633035,950
"26",26,18841079.8129165,74.051347903915,53.7845966957179,2.56953810500103,0.242070853262963,140.162626020584,0.0402074609537486,269.850387039434,4.59563987074771,0.309801169741664,"Malawi","All","All",1,18841350.6633035,950
"27",27,18841032.555056,86.5144413169946,62.8368234484052,3.01002216001137,0.286918666315686,165.411354306247,0.048687635403674,317.108247533377,5.42285314157729,0.368934015613264,"Malawi","All","All",1,18841350.6633035,950
