"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","runNum"
"1",1,18841349.6633035,0,1,0,0,0,0,0,0,0,"Malawi","All","All",1,18841350.6633035,694
"2",2,18841348.5837178,0.809352421877734,0.783892601886327,0.0131753141110942,0.000158297582522122,0.473004793527209,2.2811535254341e-06,1.07958571013841,0.0142841514590947,0.0001621398911077,"Malawi","All","All",1,18841350.6633035,694
"3",3,18841347.518725,1.26623264931332,0.912238403953682,0.0243219153979739,0.000564975821636339,0.941204124165475,1.64569691641553e-05,2.14457852562125,0.0283752230637947,0.000592695461374306,"Malawi","All","All",1,18841350.6633035,694
"4",4,18841346.1917078,1.726754190362,1.18092829458433,0.0370814726448753,0.00120635977037459,1.52557312114906,5.22342796526534e-05,3.4715956727903,0.0459331770298233,0.00129434167029195,"Malawi","All","All",1,18841350.6633035,694
"5",5,18841344.4501686,2.30370656908186,1.5609720174881,0.0530805040052522,0.00212211718869811,2.29313367946741,0.000120024024249451,5.21313491125557,0.0689757340414186,0.00232428216080866,"Malawi","All","All",1,18841350.6633035,694
"6",6,18841342.1424281,3.06166963078126,2.07113911789989,0.073708153472601,0.0033812167154293,3.31074475196505,0.000232508336075702,7.52087537917032,0.0995097845179259,0.00377284698755319,"Malawi","All","All",1,18841350.6633035,694
"7",7,18841339.0790893,4.06624774996878,2.74990102780041,0.100617006216136,0.00508129941527514,4.66196131950458,0.000405800940023122,10.5842142038452,0.140041272756107,0.00576481870431104,"Malawi","All","All",1,18841350.6633035,694
"8",8,18841335.0114961,5.39978801653387,3.65154981370778,0.135947716674944,0.00735530744131363,6.45650580249988,0.000660753882509144,14.6518074107403,0.193860209171186,0.00846826204406696,"Malawi","All","All",1,18841350.6633035,694
"9",9,18841329.6101269,7.17051254869068,4.84893888394235,0.182523024417614,0.0103821089727362,8.83979537932331,0.00102462483979582,20.0531765701865,0.2653265534221,0.0121079572223382,"Malawi","All","All",1,18841350.6633035,694
"10",10,18841322.4375823,9.52185795520911,6.4389870213681,0.24408033207854,0.0144010716755776,12.0048615837731,0.0015332619603161,27.2257212260647,0.360227624138939,0.0169836534827103,"Malawi","All","All",1,18841350.6633035,694
"11",11,18841312.9130306,12.6442455630924,8.55044525263406,0.325575166914943,0.0197316073146274,16.2080413563549,0.00223399524267029,36.7502729415536,0.486248527429944,0.0234944838616669,"Malawi","All","All",1,18841350.6633035,694
"12",12,18841300.2652145,16.7905137008169,11.3542877008347,0.433581517630204,0.0267991246941773,21.7897175375386,0.00318945384652127,49.3980890353611,0.653593951582393,0.0321713478966736,"Malawi","All","All",1,18841350.6633035,694
"13",13,18841283.4699731,22.2964047383026,15.077556037532,0.576823790325439,0.0361695901888733,29.2018936733182,0.00448263343471323,66.1933304631017,0.87581484535678,0.0437200074405661,"Malawi","All","All",1,18841350.6633035,694
"14",14,18841261.1673378,29.6077462331295,20.0217335166936,0.766882535125699,0.0485954227875633,39.0447843798528,0.00622361237889779,88.4959656999681,1.17090537437662,0.0590782942866211,"Malawi","All","All",1,18841350.6633035,694
"15",15,18841231.5513162,39.3165764203935,26.5871821888604,1.01913252494673,0.0650765441844981,52.115461186922,0.00855847455181536,118.111987339859,1.56276128926029,0.0794921895513012,"Malawi","All","All",1,18841350.6633035,694
"16",16,18841192.2238582,52.2089853239732,35.3055231399384,1.35398603513707,0.0869413143777828,69.4723283728764,0.0116811296980481,157.439445316001,2.08311286430631,0.106616669161069,"Malawi","All","All",1,18841350.6633035,694
"17",17,18841148.4324104,62.7892863724985,45.307602680951,1.78959566319316,0.11590139366248,92.2126584675624,0.015848574890699,201.230893152758,2.76477870282597,0.142596271798804,"Malawi","All","All",1,18841350.6633035,694
"18",18,18841093.1939813,77.4377993250357,56.6215596934561,2.32692111088483,0.15372718394754,120.907923596697,0.0213913363135328,256.469322246335,3.6246332163765,0.189758128054571,"Malawi","All","All",1,18841350.6633035,694
"19",19,18841024.3967532,96.0062658024437,70.3881789086483,2.98179836068429,0.202230739923777,156.659363766993,0.028712758049736,325.266550336743,4.69555074214662,0.250593673650094,"Malawi","All","All",1,18841350.6633035,694
"20",20,18840938.9319873,119.155019881534,87.4081619834224,3.78205076089715,0.263602630615457,201.084182871382,0.0382981240516338,410.731316251902,6.02592542279555,0.328110875770556,"Malawi","All","All",1,18841350.6633035,694
"21",21,18840832.8172046,147.917463347522,108.519749422804,4.76404478527305,0.340601732830618,256.253505126466,0.0507345404181356,516.846098955314,7.67775394416711,0.426057515644209,"Malawi","All","All",1,18841350.6633035,694
"22",22,18840701.0773797,183.630474353692,134.724118447887,5.97318318945441,0.436708753420578,324.754701460866,0.0667376116841897,648.585923817004,9.72848587991668,0.549119643567191,"Malawi","All","All",1,18841350.6633035,694
"23",23,18840537.5282164,227.967403230879,167.254197751142,7.46572351953845,0.556297653729959,409.804280203615,0.0871847995173905,812.135087158422,12.2743987920169,0.703149191770923,"Malawi","All","All",1,18841350.6633035,694
"24",24,18840334.4916456,283.008594864771,207.637783636488,9.31131752361312,0.704843318920921,515.395962270737,0.113156340988293,1015.17165795552,15.4350291834922,0.895440565289585,"Malawi","All","All",1,18841350.6633035,694
