ADM3_PCODE,first_case_date,source
MW10101,2020-06-09,MW10101
MW10102,2020-06-17,MW10220
MW10103,2020-05-22,MW10220
MW10104,2020-06-04,MW10220
MW10105,2020-05-22,MW10220
MW10106,2020-06-04,MW10220
MW10107,2020-05-22,MW10220
MW10108,2020-06-04,MW10220
MW10109,2020-06-30,MW10220
MW10110,2020-05-22,MW10220
MW10120,2020-06-17,MW10220
MW10201,2020-05-22,MW10220
MW10202,2020-06-04,MW10220
MW10203,2020-05-09,MW10220
MW10204,2020-06-04,MW10220
MW10205,2020-05-22,MW10220
MW10206,2020-05-22,MW10220
MW10220,2020-04-26,MW10220
MW10301,2020-05-13,MW107
MW10302,2020-05-13,MW10302
MW10303,2020-05-26,MW10302
MW10304,2020-05-26,MW107
MW10305,2020-05-20,MW20205
MW10306,2020-06-08,MW107
MW10307,2020-05-26,MW107
MW10308,2020-06-08,MW107
MW10309,2020-05-26,MW107
MW10310,2020-05-13,MW107
MW10311,2020-06-08,MW107
MW10312,2020-05-26,MW107
MW10314,2020-06-08,MW107
MW10320,2020-06-21,MW107
MW10401,2020-05-26,MW107
MW10402,2020-06-21,MW107
MW10403,2020-06-13,MW10403
MW10404,2020-06-17,MW10220
MW10405,2020-06-04,MW10220
MW10406,2020-06-21,MW107
MW10407,2020-06-08,MW107
MW10408,2020-06-08,MW107
MW10409,2020-06-08,MW107
MW10410,2020-05-26,MW107
MW10411,2020-06-21,MW107
MW10412,2020-06-04,MW10220
MW10413,2020-06-08,MW107
MW10420,2020-05-26,MW107
MW10501,2020-05-26,MW107
MW10502,2020-05-13,MW107
MW10503,2020-05-13,MW107
MW10504,2020-05-26,MW107
MW10505,2020-05-26,MW107
MW10506,2020-05-20,MW20205
MW10507,2020-05-20,MW20205
MW10508,2020-05-07,MW20205
MW10509,2020-05-26,MW107
MW10510,2020-06-02,MW20205
MW10511,2020-05-20,MW20205
MW10512,2020-06-08,MW107
MW10520,2020-05-26,MW107
MW10601,2055-11-05,MW210
MW10620,2055-11-05,MW210
MW107,2020-04-30,MW107
MW20101,2020-06-09,MW20101
MW20102,2020-06-02,MW20205
MW20103,2020-05-20,MW20205
MW20104,2020-06-02,MW20205
MW20105,2020-06-02,MW20205
MW20106,2020-05-20,MW20205
MW20107,2020-05-24,MW210
MW20108,2020-06-06,MW210
MW20109,2020-05-24,MW210
MW20110,2020-05-20,MW20205
MW20111,2020-05-20,MW20205
MW20112,2020-06-15,MW20205
MW20113,2020-06-15,MW20205
MW20114,2020-06-02,MW20205
MW20115,2020-05-24,MW210
MW20116,2020-06-15,MW20205
MW20117,2020-06-15,MW20205
MW20118,2020-06-15,MW20205
MW20119,2020-06-02,MW20205
MW20120,2020-06-02,MW20205
MW20121,2020-05-11,MW210
MW20122,2020-05-24,MW210
MW20123,2020-05-07,MW20205
MW20124,2020-05-07,MW20205
MW20125,2020-05-07,MW20205
MW20126,2020-05-07,MW20205
MW20127,2020-06-02,MW20205
MW20128,2020-06-06,MW210
MW20201,2020-04-24,MW20205
MW20202,2020-05-07,MW20205
MW20203,2020-05-07,MW20205
MW20204,2020-04-24,MW20205
MW20205,2020-04-11,MW20205
MW20206,2020-05-07,MW20205
MW20207,2020-05-07,MW20205
MW20208,2020-04-24,MW20205
MW20220,2020-04-24,MW20205
MW20301,2020-05-20,MW20205
MW20302,2020-05-11,MW210
MW20303,2020-05-11,MW210
MW20304,2020-05-07,MW20205
MW20305,2020-05-07,MW20205
MW20306,2020-05-11,MW210
MW20307,2020-05-20,MW20205
MW20320,2020-05-24,MW210
MW20401,2020-04-28,MW210
MW20402,2020-05-11,MW210
MW20403,2020-04-28,MW210
MW20404,2020-04-28,MW210
MW20405,2020-04-15,MW210
MW20406,2020-04-28,MW210
MW20407,2020-04-28,MW210
MW20420,2020-06-04,MW20420
MW20421,2020-05-11,MW210
MW20501,2020-05-24,MW210
MW20502,2020-05-11,MW210
MW20503,2020-06-06,MW210
MW20504,2020-06-04,MW20504
MW20505,2020-05-24,MW210
MW20506,2020-06-06,MW210
MW20507,2020-05-11,MW210
MW20508,2020-05-11,MW210
MW20509,2020-05-24,MW210
MW20510,2020-05-20,MW20205
MW20520,2020-05-24,MW210
MW20521,2020-06-06,MW210
MW20601,2020-04-28,MW210
MW20602,2020-04-28,MW210
MW20603,2020-05-11,MW210
MW20604,2020-04-28,MW210
MW20605,2020-04-28,MW210
MW20606,2020-04-28,MW210
MW20607,2020-04-28,MW210
MW20608,2020-05-11,MW210
MW20609,2020-04-15,MW210
MW20610,2020-04-15,MW210
MW20611,2020-04-15,MW210
MW20612,2020-05-11,MW210
MW20613,2020-04-15,MW210
MW20614,2020-04-15,MW210
MW20615,2020-04-15,MW210
MW20616,2020-04-15,MW210
MW20617,2020-04-28,MW210
MW20618,2020-04-28,MW210
MW20701,2020-05-24,MW210
MW20702,2020-05-11,MW210
MW20703,2020-05-24,MW210
MW20704,2020-05-24,MW210
MW20705,2020-05-24,MW210
MW20706,2020-06-06,MW210
MW20707,2020-06-21,MW20707
MW20708,2020-06-06,MW210
MW20709,2020-06-06,MW210
MW20710,2020-06-06,MW210
MW20711,2020-06-06,MW210
MW20712,2020-05-24,MW210
MW20713,2020-06-06,MW210
MW20720,2020-06-06,MW210
MW20801,2020-05-11,MW210
MW20802,2020-05-11,MW210
MW20803,2020-05-11,MW210
MW20804,2020-05-11,MW210
MW20805,2020-05-11,MW210
MW20806,2020-06-01,MW20806
