ADM3_PCODE,first_case_date,source,
MW10101,6/9/2020,MW10101,1
MW10102,5/20/2020,MW10220,
MW10103,5/8/2020,MW10220,
MW10104,5/14/2020,MW10220,
MW10105,5/8/2020,MW10220,
MW10106,5/14/2020,MW10220,
MW10107,5/8/2020,MW10220,
MW10108,5/14/2020,MW10220,
MW10109,5/26/2020,MW10220,
MW10110,5/8/2020,MW10220,
MW10120,5/20/2020,MW10220,
MW10201,5/8/2020,MW10220,
MW10202,5/14/2020,MW10220,
MW10203,5/2/2020,MW10220,
MW10204,5/14/2020,MW10220,
MW10205,5/8/2020,MW10220,
MW10206,5/8/2020,MW10220,
MW10220,4/26/2020,MW10220,
MW10301,5/5/2020,MW20205,
MW10302,5/13/2020,MW10302,
MW10303,5/11/2020,MW20205,
MW10304,5/11/2020,MW20205,
MW10305,4/29/2020,MW20205,
MW10306,5/12/2020,MW10502,
MW10307,5/11/2020,MW20205,
MW10308,5/12/2020,MW10502,
MW10309,5/6/2020,MW10502,
MW10310,5/6/2020,MW10502,
MW10311,5/12/2020,MW10502,
MW10312,5/6/2020,MW10502,
MW10314,5/12/2020,MW10502,
MW10320,5/18/2020,MW10502,
MW10401,5/6/2020,MW10502,
MW10402,5/18/2020,MW10502,
MW10403,6/13/2020,MW10403,
MW10404,5/18/2020,MW10502,
MW10405,5/14/2020,MW10220,
MW10406,5/18/2020,MW10502,
MW10407,5/12/2020,MW10502,
MW10408,5/12/2020,MW10502,
MW10409,5/12/2020,MW10502,
MW10410,5/6/2020,MW10502,
MW10411,5/18/2020,MW10502,
MW10412,5/12/2020,MW10502,
MW10413,5/12/2020,MW10502,
MW10420,5/6/2020,MW10502,
MW10501,5/5/2020,MW20205,
MW10502,4/30/2020,MW10502,
MW10503,5/5/2020,MW20205,
MW10504,5/6/2020,MW10502,
MW10505,5/6/2020,MW10502,
MW10506,4/29/2020,MW20205,
MW10507,4/29/2020,MW20205,
MW10508,4/23/2020,MW20205,
MW10509,5/6/2020,MW10502,
MW10510,5/5/2020,MW20205,
MW10511,4/29/2020,MW20205,
MW10512,5/12/2020,MW10502,
MW10520,5/5/2020,MW20205,
MW10601,7/24/2020,MW10620,
MW10620,7/18/2020,MW10620,
MW10701,5/12/2020,MW10712,
MW10702,5/12/2020,MW10502,
MW10703,5/6/2020,MW10712,
MW10704,5/6/2020,MW10712,
MW10705,5/6/2020,MW10502,
MW10706,5/6/2020,MW10502,
MW10707,5/12/2020,MW10502,
MW10708,5/11/2020,MW20205,
MW10709,5/12/2020,MW10502,
MW10710,5/11/2020,MW20205,
MW10711,5/6/2020,MW10502,
MW10712,4/30/2020,MW10712,
MW10713,5/6/2020,MW10502,
MW10714,5/6/2020,MW10502,
MW10715,5/12/2020,MW10502,
MW20101,6/9/2020,MW20101,
MW20102,5/5/2020,MW20205,
MW20103,4/29/2020,MW20205,
MW20104,5/5/2020,MW20205,
MW20105,5/5/2020,MW20205,
MW20106,4/29/2020,MW20205,
MW20107,4/26/2020,MW21055,
MW20108,5/2/2020,MW21055,
MW20109,4/26/2020,MW21055,
MW20110,4/29/2020,MW20205,
MW20111,4/26/2020,MW21055,
MW20112,5/8/2020,MW21055,
MW20113,5/8/2020,MW21055,
MW20114,5/5/2020,MW20205,
MW20115,4/26/2020,MW21055,
MW20116,5/8/2020,MW21055,
MW20117,5/8/2020,MW21055,
MW20118,5/8/2020,MW21055,
MW20119,5/2/2020,MW21055,
MW20120,5/5/2020,MW20205,
MW20121,4/20/2020,MW21055,
MW20122,4/26/2020,MW21055,
MW20123,4/23/2020,MW20205,
MW20124,4/23/2020,MW20205,
MW20125,4/23/2020,MW20205,
MW20126,4/23/2020,MW20205,
MW20127,5/5/2020,MW20205,
MW20128,5/2/2020,MW21055,
MW20201,4/17/2020,MW20205,
MW20202,4/23/2020,MW20205,
MW20203,4/23/2020,MW20205,
MW20204,4/17/2020,MW20205,
MW20205,4/11/2020,MW20205,
MW20206,4/23/2020,MW20205,
MW20207,4/23/2020,MW20205,
MW20208,4/17/2020,MW20205,
MW20220,4/17/2020,MW20205,
MW20301,4/29/2020,MW20205,
MW20302,4/29/2020,MW20205,
MW20303,4/26/2020,MW21055,
MW20304,4/23/2020,MW20205,
MW20305,4/23/2020,MW20205,
MW20306,4/29/2020,MW20205,
MW20307,4/26/2020,MW21055,
MW20320,7/21/2020,MW20617,
MW20401,4/20/2020,MW21055,
MW20402,4/20/2020,MW21055,
MW20403,4/14/2020,MW21055,
MW20404,4/26/2020,MW21055,
MW20405,4/20/2020,MW21055,
MW20406,4/26/2020,MW21055,
MW20407,4/26/2020,MW21055,
MW20420,6/4/2020,MW20420,
MW20421,4/26/2020,MW21055,
MW20501,5/8/2020,MW21055,
MW20502,5/2/2020,MW21055,
MW20503,5/14/2020,MW21055,
MW20504,6/4/2020,MW20504,
MW20505,5/8/2020,MW21055,
MW20506,5/14/2020,MW21055,
MW20507,4/29/2020,MW20205,
MW20508,5/2/2020,MW21055,
MW20509,5/5/2020,MW20205,
MW20510,4/29/2020,MW20205,
MW20520,5/8/2020,MW21055,
MW20521,5/14/2020,MW21055,
MW20601,4/26/2020,MW21055,
