ADM3_PCODE,first_case_date,source
MW10101,2020-06-09,MW10101
MW10102,2020-07-13,MW10101
MW10103,2020-07-03,MW10220
MW10104,2020-08-06,MW10220
MW10105,2020-07-03,MW10220
MW10106,2020-08-06,MW10220
MW10107,2020-07-03,MW10220
MW10108,2020-08-06,MW10220
MW10109,2020-08-16,MW10101
MW10110,2020-07-03,MW10220
MW10120,2020-07-13,MW10101
MW10201,2020-07-03,MW10220
MW10202,2020-08-06,MW10220
MW10203,2020-05-30,MW10220
MW10204,2020-08-06,MW10220
MW10205,2020-07-03,MW10220
MW10206,2020-07-03,MW10220
MW10220,2020-04-26,MW10220
MW10301,2020-06-03,MW10502
MW10302,2020-05-13,MW10302
MW10303,2020-06-16,MW10302
MW10304,2020-06-16,MW10302
MW10305,2020-06-16,MW10302
MW10306,2020-07-07,MW10502
MW10307,2020-07-07,MW10502
MW10308,2020-07-07,MW10502
MW10309,2020-06-03,MW10502
MW10310,2020-06-03,MW10502
MW10311,2020-07-07,MW10502
MW10312,2020-06-03,MW10502
MW10314,2020-07-07,MW10502
MW10320,2020-08-10,MW10502
MW10401,2020-06-03,MW10502
MW10402,2020-08-10,MW10502
MW10403,2020-06-13,MW10403
MW10404,2020-07-17,MW10403
MW10405,2020-08-06,MW10220
MW10406,2020-08-10,MW10502
MW10407,2020-07-07,MW10502
MW10408,2020-07-07,MW10502
MW10409,2020-07-07,MW10502
MW10410,2020-06-03,MW10502
MW10411,2020-08-10,MW10502
MW10412,2020-07-07,MW10502
MW10413,2020-07-07,MW10502
MW10420,2020-06-03,MW10502
MW10501,2020-07-07,MW10502
MW10502,2020-04-30,MW10502
MW10503,2020-06-03,MW10502
MW10504,2020-06-03,MW10502
MW10505,2020-06-03,MW10502
MW10506,2020-07-07,MW10502
MW10507,2020-07-13,MW20101
MW10508,2020-06-18,MW20205
MW10509,2020-06-03,MW10502
MW10510,2020-08-10,MW10502
MW10511,2020-07-13,MW20101
MW10512,2020-07-07,MW10502
MW10520,2020-07-07,MW10502
MW10601,2020-08-21,MW10620
MW10620,2020-07-18,MW10620
MW10701,2020-07-07,MW10712
MW10702,2020-07-07,MW10502
MW10703,2020-06-03,MW10712
MW10704,2020-06-03,MW10712
MW10705,2020-06-03,MW10502
MW10706,2020-06-03,MW10502
MW10707,2020-07-07,MW10502
MW10708,2020-07-07,MW10502
MW10709,2020-07-07,MW10502
MW10710,2020-07-07,MW10502
MW10711,2020-06-03,MW10502
MW10712,2020-04-30,MW10712
MW10713,2020-06-03,MW10502
MW10714,2020-06-03,MW10502
MW10715,2020-07-07,MW10502
MW20101,2020-06-09,MW20101
MW20102,2020-07-13,MW20101
MW20103,2020-07-22,MW20205
MW20104,2020-07-13,MW20101
MW20105,2020-07-13,MW20101
MW20106,2020-07-22,MW20205
MW20107,2020-08-16,MW21055
MW20108,2020-07-25,MW20707
MW20109,2020-08-16,MW21055
MW20110,2020-07-22,MW20205
MW20111,2020-07-22,MW20205
MW20112,2020-08-16,MW20101
MW20113,2020-07-13,MW20101
MW20114,2020-08-16,MW20101
MW20115,2020-08-16,MW21055
MW20116,2020-09-19,MW20101
MW20117,2020-09-19,MW20101
MW20118,2020-09-19,MW20101
MW20119,2020-08-25,MW20205
MW20120,2020-08-25,MW20205
