ADM3_PCODE,first_case_date,source
MW21046,6/11/2020,MW21055
MW21047,6/11/2020,MW21055
MW21048,4/30/2020,MW21055
MW21049,6/11/2020,MW21055
MW21050,5/28/2020,MW21055
MW21051,5/28/2020,MW21055
MW21052,6/11/2020,MW21055
MW21053,5/28/2020,MW21055
MW21054,6/11/2020,MW21055
MW21055,4/2/2020,MW21055
MW21056,4/16/2020,MW21055
MW21057,4/30/2020,MW21055
MW21058,4/30/2020,MW21055
MW21059,4/30/2020,MW21055
MW21060,4/30/2020,MW21055
MW21061,5/28/2020,MW21055
MW21062,5/14/2020,MW21055
MW21063,5/28/2020,MW21055
MW21064,6/11/2020,MW21055
MW21065,5/28/2020,MW21055
MW21066,6/11/2020,MW21055
MW21067,6/11/2020,MW21055
MW21068,6/11/2020,MW21055
MW21069,5/14/2020,MW21055
MW21070,5/28/2020,MW21055
MW21071,5/28/2020,MW21055
MW21072,5/28/2020,MW21055
MW21073,4/30/2020,MW21055
MW21074,5/14/2020,MW21055
MW21075,5/28/2020,MW21055
MW21076,5/14/2020,MW21055
MW21077,5/14/2020,MW21055
MW21078,5/14/2020,MW21055
MW21079,4/30/2020,MW21055
MW21080,4/16/2020,MW21055
MW21081,4/16/2020,MW21055
MW21082,4/30/2020,MW21055
MW21083,5/14/2020,MW21055
MW21084,4/30/2020,MW21055
MW21085,4/16/2020,MW21055
MW21086,5/14/2020,MW21055
MW21087,5/28/2020,MW21055
MW21088,5/28/2020,MW21055
MW30101,6/13/2020,MW30120
MW30102,7/18/2020,MW31202
MW30103,7/18/2020,MW30120
MW30104,7/18/2020,MW30120
MW30105,7/18/2020,MW30120
MW30106,7/18/2020,MW30120
MW30107,5/23/2020,MW30120
MW30108,8/22/2020,MW30120
MW30109,8/22/2020,MW30120
MW30110,9/26/2020,MW30120
MW30111,7/18/2020,MW30120
MW30112,8/22/2020,MW30120
MW30113,7/18/2020,MW30120
MW30114,7/18/2020,MW30120
MW30120,5/9/2020,MW30120
MW30121,8/22/2020,MW30120
MW30199,7/18/2020,MW31202
MW30201,8/18/2020,MW30221
MW30202,7/14/2020,MW30221
MW30203,7/14/2020,MW30221
MW30204,8/18/2020,MW30221
