OBJECTID,REG_NAME,REG_CODE,DIST_NAME,TA_CODE,TA_NAME,_Popcount,_Popsum,_Popmean,DIST_CODE,Squarekm,PopDensity
"2",Central,"2",Dedza,"20820",Dedza Boma,19.000000000000000,21207.414306640625000,1116.179700349506675,MW208,20.0375027100,1058.3860970000
"3",Central,"2",Dedza,"20805",TA Chauma,84.000000000000000,28442.534317016601562,338.601599012102383,MW208,69.4777121700,409.3763802000
"4",Central,"2",Dedza,"20802",TA Chilikumwendo,282.000000000000000,85438.775466918945312,302.974381088365078,MW208,235.5308397000,362.7498443000
"5",Central,"2",Dedza,"20801",TA Kachere,948.000000000000000,171561.131857603788376,180.971658077641138,MW208,870.6903470000,197.0403512000
"6",Central,"2",Dedza,"20807",TA Kachindamoto,832.000000000000000,132690.852404154837132,159.484197601147628,MW208,689.6616970000,192.3999157000
"7",Central,"2",Dedza,"20808",TA Kamenya Gwaza,226.000000000000000,41126.348873078823090,181.974995013623101,MW208,191.0136281000,215.3058358000
"8",Central,"2",Dedza,"20803",TA Kaphuka,743.000000000000000,189123.604244947433472,254.540517153361293,MW208,616.8222925000,306.6095478000
"9",Central,"2",Dedza,"20806",TA Kasumbu,704.000000000000000,103358.157698273658752,146.815564912320525,MW208,584.4327633000,176.8520934000
"10",Central,"2",Dedza,"20804",TA Tambala,578.000000000000000,83410.484320208430290,144.308796401744701,MW208,476.7446853000,174.9583936000
"11",Central,"2",Dowa,"20420",Dowa Boma,5.000000000000000,3362.327819824218750,672.465563964843795,MW204,5.1335408050,654.9724541000
"12",Central,"2",Dowa,"20421",Mponela Urban,13.000000000000000,21142.524749755859375,1626.348057673527592,MW204,10.2685784200,2058.9534270000
"13",Central,"2",Dowa,"20402",TA Chakhaza,885.000000000000000,175003.757737159729004,197.744359025039245,MW204,741.0082112000,236.1697955000
"14",Central,"2",Dowa,"20404",TA Chiwere,619.000000000000000,116279.073820114135742,187.849876930717500,MW204,521.4254056000,223.0023174000
"15",Central,"2",Dowa,"20401",TA Dzoole,431.000000000000000,118820.568344116210938,275.685773420223200,MW204,357.8710852000,332.0205884000
"16",Central,"2",Dowa,"20403",TA Kayembe,542.000000000000000,135495.216751098632812,249.991174817525149,MW204,448.1997524000,302.3098875000
"17",Central,"2",Dowa,"20405",TA Mkukula,479.000000000000000,121896.045356869697571,254.480261705364711,MW204,396.7245477000,307.2561202000
"18",Central,"2",Dowa,"20407",TA Mponela,195.000000000000000,53621.160217285156250,274.980308806590529,MW204,165.1314998000,324.7179385000
"19",Central,"2",Dowa,"20406",TA Msakambewa,519.000000000000000,98989.707877635955811,190.731614407776419,MW204,431.0679799000,229.6382762000
"20",Central,"2",Kasungu,"20120",Kasungu Boma,43.000000000000000,57112.737846374511719,1328.203205729639876,MW201,37.2228154300,1534.3476080000
"21",Central,"2",Kasungu,"20128",Kasungu National Park,2755.000000000000000,1950.153135618427768,0.707859577356961,MW201,2330.8542920000,0.8366688300
"22",Central,"2",Kasungu,"20115",STA Chaima,281.000000000000000,28125.761816024780273,100.091679060586401,MW201,235.7690495000,119.2936981000
"23",Central,"2",Kasungu,"20111",STA Chambwe,95.000000000000000,13734.680328369140625,144.575582403885704,MW201,80.2557904000,171.1363162000
"24",Central,"2",Kasungu,"20105",STA Chisikwa,54.000000000000000,8239.972682952880859,152.592086721349659,MW201,44.1242357200,186.7448250000
"25",Central,"2",Kasungu,"20113",STA Chisinga,185.000000000000000,22969.622048377990723,124.160119180421574,MW201,153.3193577000,149.8155378000
"26",Central,"2",Kasungu,"20125",STA Kapichira,56.000000000000000,9358.493633270263672,167.115957736968994,MW201,48.7346575900,192.0295349000
"27",Central,"2",Kasungu,"20104",STA M'nyanja,343.000000000000000,57083.715863704681396,166.424827590975752,MW201,288.1548131000,198.1008585000
"28",Central,"2",Kasungu,"20117",STA Mangwazu,44.000000000000000,5488.104476928710938,124.729647202925250,MW201,35.4045750400,155.0111664000
"29",Central,"2",Kasungu,"20118",STA Mawawa,62.000000000000000,6472.555715560913086,104.396059928401826,MW201,51.3814587600,125.9706491000
"30",Central,"2",Kasungu,"20126",STA Mdunga,129.000000000000000,18888.746290206909180,146.424389846565191,MW201,106.2760897000,177.7327932000
"31",Central,"2",Kasungu,"20114",STA Mphomwa,201.000000000000000,26232.375247955322266,130.509329591817533,MW201,168.2271354000,155.9342681000
"32",Central,"2",Kasungu,"20108",STA Nthunduwala,153.000000000000000,8342.147358894348145,54.523838947021886,MW201,123.7035075000,67.4366274900
"33",Central,"2",Kasungu,"20122",TA Chidzuma,196.000000000000000,26022.920547485351562,132.770002793292605,MW201,160.2882218000,162.3507968000
"34",Central,"2",Kasungu,"20110",TA Chilowamatambe,294.000000000000000,37723.135204315185547,128.309983688146900,MW201,245.6922669000,153.5381461000
"35",Central,"2",Kasungu,"20102",TA Chisemphere,116.000000000000000,18911.282958984375000,163.028301370554971,MW201,93.3223130000,202.6448161000
"36",Central,"2",Kasungu,"20112",TA Chulu,284.000000000000000,37310.733543395996094,131.375822335901404,MW201,236.0918454000,158.0348252000
"37",Central,"2",Kasungu,"20101",TA Kaluluma,367.000000000000000,52606.364069715142250,143.341591470613480,MW201,310.8238111000,169.2481791000
