OBJECTID,REG_NAME,REG_CODE,DIST_CODE,DIST_NAME,TA_CODE,TA_NAME,_Popsum,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Pop>60
2,Central,2,MW208,Dedza,20820,Dedza Boma,21207.41431,734.572921,2698.014319,3081.248488,2829.570797,2316.409944,1918.065619,1593.152088,1407.911635,1119.614946,895.6098826,669.6497849,501.9041846,382.6597524,320.3973517,268.004254,235.6538575,145.3025191,89.67196685,0.049936778
3,Central,2,MW208,Dedza,20805,TA Chauma,28442.53432,985.1798667,3618.469066,4132.443841,3794.903226,3106.66953,2572.450702,2136.685894,1888.245145,1501.594079,1201.159038,898.1101468,673.1276351,513.1985574,429.6954382,359.4300668,316.0375275,194.8715604,120.2630009,0.049935691
4,Central,2,MW208,Dedza,20802,TA Chilikumwendo,85438.77547,2959.39904,10869.58318,12413.20465,11399.21218,9331.563536,7728.989066,6419.656381,5673.038788,4511.653806,3608.431887,2698.077609,2021.472385,1540.775996,1290.003373,1079.121858,948.2914904,585.1687997,361.131446,0.04990377
5,Central,2,MW208,Dedza,20801,TA Kachere,171561.1319,5942.459965,21826.07299,24926.23132,22890.22657,18738.85304,15516.94898,12888.41504,11389.79399,9057.587876,7245.263265,5417.312963,4060.099792,3095.375864,2591.70981,2167.916507,1906.084717,1175.395657,725.3835573,0.049932582
6,Central,2,MW208,Dedza,20807,TA Kachindamoto,132690.8524,4593.285746,16870.70245,19270.33831,17711.69646,14504.32456,11999.25727,9968.905929,8804.967052,6996.158135,5602.223636,4192.285794,3143.476589,2401.641334,2005.044828,1678.113545,1477.212932,909.7891607,561.4286754,0.049977742
7,Central,2,MW208,Dedza,20808,TA Kamenya Gwaza,41126.34887,1423.665298,5228.987328,5972.72072,5489.53276,4495.416166,3719.077681,3089.765569,2729.050901,2168.456467,1736.370119,1299.346728,974.2730297,744.3185726,621.4444946,520.1089046,457.831088,281.9765472,174.006497,0.049976903
8,Central,2,MW208,Dedza,20803,TA Kaphuka,189123.6042,6550.782408,24060.38179,27477.85745,25233.42291,20657.04482,17105.60795,14207.95006,12555.87412,9984.933926,7986.985303,5971.907221,4475.654375,3412.135189,2856.917962,2389.766773,2101.067267,1295.691612,799.6230581,0.049930662
9,Central,2,MW208,Dedza,20806,TA Kasumbu,103358.1577,3580.121446,13149.43531,15017.19262,13790.35437,11289.37755,9348.178592,7764.756714,6861.717014,5456.719541,4364.853334,3263.571206,2446.005118,1864.870863,1561.383851,1306.050862,1148.42977,708.1269373,437.0125922,0.049933204
10,Central,2,MW208,Dedza,20804,TA Tambala,83410.48432,2889.136814,10611.51636,12118.75479,11128.87561,9110.528786,7544.176315,6266.209107,5537.586886,4403.706492,3522.549933,2633.826426,1973.937628,1504.89176,1260.019064,1053.984834,926.6667675,571.451323,352.6654284,0.049931222
11,Central,2,MW204,Dowa,20420,Dowa Boma,3362.32782,110.5483253,406.0254069,468.9022316,452.5871168,393.3784193,324.8064546,260.0042377,229.6162827,179.2914906,143.5281583,110.283366,79.28814884,57.4221567,43.26204449,38.9460707,33.56623579,19.07750386,11.79416969,0.043614434
12,Central,2,MW204,Dowa,20421,Mponela Urban,21142.52475,695.1346892,2553.112806,2948.486156,2845.895709,2473.587771,2042.403022,1634.922687,1443.841351,1127.395954,902.5139128,693.4686092,498.5687708,361.0740635,272.0344043,244.8952951,211.0665612,119.9605211,74.16246664,0.043614434
13,Central,2,MW204,Dowa,20402,TA Chakhaza,175003.7577,5756.997169,21144.49411,24417.02821,23553.99862,20466.44659,16905.19866,13536.5987,11950.34811,9330.218855,7471.729905,5738.431347,4126.038918,2986.04988,2249.788411,2024.237121,1743.247768,990.5409191,612.3644058,0.043542943
14,Central,2,MW204,Dowa,20404,TA Chiwere,116279.0738,3827.692515,14058.48697,16230.85839,15647.34988,13585.06558,11225.27987,8993.737378,7938.811837,6202.711369,4962.154003,3810.334014,2739.084462,1984.587724,1497.107454,1345.937501,1159.738089,661.3193731,408.8173887,0.043627109
15,Central,2,MW204,Dowa,20401,TA Dzoole,118820.5683,3907.728404,14352.43334,16573.15034,15992.86793,13897.5384,11476.6117,9188.012149,8113.708094,6336.146157,5072.008269,3896.711257,2801.502843,2029.019878,1529.34432,1376.264741,1185.881956,674.5922033,417.0463166,0.043621484
16,Central,2,MW204,Dowa,20403,TA Kayembe,135495.2168,4463.228794,16392.70517,18921.33418,18230.26886,15811.66897,13072.91551,10477.40924,9251.391528,7230.198928,5783.918026,4440.291383,3191.363345,2311.902906,1747.645045,1569.672125,1349.447718,772.3807166,477.4743611,0.043666633
17,Central,2,MW204,Dowa,20405,TA Mkukula,121896.0454,4011.630341,14734.06607,17005.58177,16382.95022,14223.51573,11792.157,9468.151582,8345.181921,6509.183234,5200.782186,3988.709746,2864.791802,2073.206926,1565.577165,1405.14725,1207.782332,690.6694097,426.9607226,0.043447979
18,Central,2,MW204,Dowa,20407,TA Mponela,53621.16022,1762.983795,6475.142985,7477.879323,7217.691907,6273.45351,5179.893181,4146.451398,3661.835532,2859.274367,2288.933971,1758.758324,1264.458066,915.7473115,689.9270809,621.097528,535.3019111,304.240974,188.089055,0.043614434
19,Central,2,MW204,Dowa,20406,TA Msakambewa,98989.70788,3254.876549,11954.61625,13805.13567,13324.34369,11581.33958,9562.510049,7654.611593,6759.686316,5278.234928,4225.507758,3246.665282,2334.240906,1690.533359,1273.734102,1146.52953,988.197451,561.6928643,347.2520027,0.043614695
20,Central,2,MW201,Kasungu,20120,Kasungu Boma,57112.73785,1993.214402,7321.301528,8423.663691,7598.307962,6340.561159,5501.464369,4582.06953,3891.357665,2994.26545,2497.301253,1815.164014,1318.214214,865.4983968,650.8107725,547.927439,412.9000414,222.0021439,136.713819,0.034499383
21,Central,2,MW201,Kasungu,20128,Kasungu National Park,1950.153136,68.05965648,249.9908019,287.631705,259.4493743,216.5027574,187.8512289,156.4578692,132.8730444,102.2412228,85.27204357,61.98000528,45.01131763,29.55302925,22.22237484,18.70935373,14.09875171,7.580413641,4.668185997,0.034499383
