time,Adult_Susceptible,Adult_Exposed,Adult_Infected,Adult_Hospitalizations,Adult_Critical,Adult_Recovered,Adult_Dead,new_E_a,new_I_a,new_H_a,new_C_a,new_D_a,Elderly_Susceptible,Elderly_Exposed,Elderly_Infected,Elderly_Hospitalizations,Elderly_Critical,Elderly_Recovered,Elderly_Dead,new_E_e,new_I_e,new_H_e,new_C_e,new_D_e,Pediatric_Susceptible,Pediatric_Exposed,Pediatric_Infected,Pediatric_Hospitalizations,Pediatric_Critical,Pediatric_Recovered,Pediatric_Dead,new_E_p,new_I_p,new_H_p,new_C_p,new_D_p,Total_Susceptible,Total_Exposed,Total_Infected,Total_Hospitalizations,Total_Critical,Total_Recovered,Total_Dead,new_E_all,new_I_all,new_H_all,new_C_all,new_D_all,Population
13,7603.004,1,0,0,0,0,0,0,0,0,0,0,1943.594,0,0,0,0,0,0,0,0,0,0,0,11659.82,0,0,0,0,0,0,0,0,0,0,0,21206.417999999998,1,0,0,0,0,0,0,0,0,0,0,21206.418
14,30411.957109279927,3.8028518339243766,0.22154791775962304,3.665664296548997e-4,4.405678297426614e-6,0.03411996643996269,2.9836020987022224e-8,0.05889072007175855,0.2560388861473819,3.991412131123974e-4,4.549645083506754e-6,2.9836020987022224e-8,7774.361379563271,0.01273731870662214,0.0017131893064696964,8.26889996668474e-6,1.2989929723701005e-7,1.6152792022880279e-4,1.9972168247361274e-9,0.014620436729501307,0.001883118022879167,8.805181004605059e-6,1.3325328894691173e-7,1.9972168247361274e-9,46639.24357286646,0.03182453133853648,0.004191582555973491,3.765268383811677e-8,1.182264205785543e-10,4.1098187878030833e-4,3.038974786369299e-13,0.03642713354383886,0.0046026022053023835,4.007799168051615e-8,1.2126539211996891e-10,3.038974786369299e-13,84825.56206170964,3.847413683969535,0.22745268962206622,3.7487298230542255e-4,4.535695821084202e-6,0.0346924762389718,3.183354170923699e-8,0.10993829034509872,0.26252460637556346,4.07986472108683e-4,4.683019637845786e-6,3.183354170923699e-8,84825.672
15,30411.03254074669,3.6779794266034296,1.0785637166306234,0.0023067028779266414,4.206887545945144e-5,0.22456684476671895,4.935511690854719e-7,0.9245685332361973,1.0494409405571443,0.002225896223208431,3.990055776885448e-5,4.637151480984497e-7,7774.15570160957,0.19121353344923164,0.025994635098475972,1.4668232717748896e-4,3.1332974945013107e-6,0.0029403302434122627,7.601406909618661e-8,0.20567795369993291,0.02720173895732341,1.510370259354296e-4,3.1276978627240105e-6,7.401685227145049e-8,46638.59995259595,0.5974649340773712,0.07429579799901945,7.44550726019038e-7,3.0715028452220696e-9,0.008285924338883711,1.2130682021229017e-11,0.6436202705062897,0.07797986776745498,7.683289276954964e-7,3.071544275728759e-9,1.1826784542592088e-11,84823.78819495221,4.466657894130032,1.1788541497281189,0.002454129755830149,4.5205244456797976e-5,0.2357930993490149,5.695773688636798e-7,1.7738667574424198,1.1546225472819227,0.002377701578071556,4.303132717585422e-5,5.377438271544427e-7,84825.672
16,38011.85030621184,5.704966329668755,1.8248503895399473,0.006067584589435671,1.716768845246727e-4,0.633634793434342,3.0140427326203825e-6,2.1862345348527015,1.1592476317873759,0.0047763914336442625,1.4176757927723984e-4,2.5204915635349105e-6,9717.316477612107,0.5278098643993516,0.10555401747322748,9.16296861577567e-4,2.9396586514709946e-5,0.0192117959968591,1.0165759916022468e-6,0.43322399746375595,0.09662766651363602,8.82219186811462e-4,2.7842825489986028e-5,9.405619225060603e-7,58296.70921404198,1.9701298152368931,0.35793384703680226,5.423496052426251e-6,3.2999654693586384e-8,0.06271683906780542,1.8186506507799466e-10,1.7107385539711686,0.3380736728116467,5.311455240154737e-6,3.1625495687376206e-8,1.6973438305676563e-10,106025.87599786592,8.202906009305,2.288338254049977,0.0069893049470656655,2.0110647069407624e-4,0.7155634284990066,4.0308005892877065e-6,4.330197086287626,1.5939489711126587,0.005663922075695879,1.6964203026291323e-4,3.4612232204240276e-6,106032.09000000001
17,60815.47628131647,12.072910332537944,3.146385681803703,0.011957926143748538,4.4153617617986786e-4,1.3240126203654645,1.058650093104199e-5,5.3860248953687915,2.0180808924996017,0.008083152860250508,3.0639399757121695e-4,7.572458198421607e-6,15547.063775601373,1.31571436743044,0.2986020204718604,0.0032233809665403465,1.3666151956315644e-4,0.07054156184421245,6.406395206214526e-6,1.0347020107337812,0.24679750770269296,0.002777788654289143,1.1631637047844903e-4,5.3898192146122795e-6,93271.7855915154,5.377627322295731,1.137975953056489,2.154869636281672e-5,1.7242569040835048e-7,0.2587834868363985,1.2770219135282198e-9,4.383622526565887,0.9761250195070489,1.91327523941311e-5,1.503776041870316e-7,1.0951568484502252e-9,169634.32564843324,18.766252022264116,4.582963655332052,0.015202855806651702,5.783701214334327e-4,1.6533376690460753,1.6994173159170044e-5,10.80434943266846,3.241003419709344,0.010880074266933782,4.22860745653853e-4,1.2963372569882337e-5,169651.344
18,76009.42108442793,21.768766139829946,6.2083725145323445,0.022912089371241062,9.46883650657547e-4,2.6178900729998924,2.7871689827361274e-5,12.063196888539096,4.367341081247097,0.015160508040327056,5.887920032646674e-4,1.7285188896319286e-5,19431.930746497386,3.0462100549171325,0.7482046365837268,0.009075838542129023,4.563855699543358e-4,0.2052800812490261,2.650575142016863e-5,2.321029103986575,0.5905334164998823,0.0072831602148312824,3.534781035172967e-4,2.0099356213954104e-5,116581.54378312518,12.806181746641357,3.03263995281739,6.597184250981304e-5,6.313423776808061e-7,0.8173285663885582,5.788111187617219e-9,9.881808390227889,2.4532539658822627,5.45036977468383e-5,5.040275799920986e-7,4.511089274088999e-9,212022.8956140505,37.62115794138843,9.989217103933461,0.0320538997558799,0.0014039005629895636,3.6404987206374773,5.438322935871752e-5,24.26603438275356,7.411128463629241,0.022498171952905176,9.427741343619562e-4,3.738905619954748e-5,212064.18000000002
19,121599.32763940495,47.293987090232285,12.253694139221361,0.0443446968404634,0.0019097805293883604,5.142361399316014,6.348892943330128e-5,28.11744502298734,8.592224072585,0.02953860580547829,0.0011349266261601319,3.561723960594e-5,31088.099274239634,7.0731738106561455,1.7762444033825737,0.02291328640653202,0.00128355921416429,0.5310240462964744,8.665441206077371e-5,5.395472257753909,1.3685085020148957,0.01759459510493239,9.281849372320891e-4,6.014866064060509e-5,186517.27368925893,30.19406921793265,7.42786110657291,1.7508730634309703e-4,1.8944196174613252e-6,2.2242034145098186,2.0332652444323466e-8,23.190093866258394,5.802206394967101,1.3728591688069565e-4,1.4085226523705824e-6,1.4544541256706248e-8,339204.7006029035,84.56123011882107,21.45779964917684,0.06743307055333853,0.0031952341631701115,7.897588860122307,1.5016367414651932e-4,56.70301114699964,15.762938969566996,0.04727048682729138,0.0020645200860445914,9.578044478780179e-5,339302.688
20,129136.77890613495,94.66597415805461,26.16435010588869,0.08940863627972248,0.0038057168143206055,10.365420670725392,1.3457731381636415e-4,65.55273327000305,19.180746202180714,0.06106733144853389,0.002239328237150882,7.108838438306288e-5,33019.10710571363,16.474213000130227,4.160479843509756,0.055107515188567074,0.003286767697388488,1.2975610678263663,2.460920228046197e-4,12.58616852600585,3.185129336531768,0.04138727381162304,0.0022709617963336073,1.5943761074384597e-4,198122.77170197328,70.86920121488713,17.690915852587864,4.3372316700760784e-4,5.065588610490076e-6,5.607742109572345,6.091270564339786e-8,54.32198728563526,13.646855288680776,3.3017525116430045e-4,3.5769695249894833e-6,4.05800531990744e-8,360278.65771382186,182.00938837307197,48.01574580198631,0.14494987463529715,0.007097550100319584,17.270723848124103,3.8073024932662724e-4,132.46088908164415,36.012730827393256,0.10278478051132124,0.0045138670030094785,2.3056657518010792e-4,360509.106
21,136591.48358166806,203.5939595996861,55.41175083882982,0.18535997162409845,0.007708922865941313,21.38936153037692,2.774685791800156e-4,148.2993244668869,40.37133902525542,0.12880014206844356,0.004593335707202026,1.4289126536365146e-4,34934.2395958274,37.61019678717382,9.622538222311437,0.12959200513873562,0.008009259563409199,3.081425997751283,6.419006668348828e-4,28.461509886230488,7.325526099186892,0.09629368916297587,0.005387197606871959,3.9580864403026314e-4,209658.39884155948,163.37267064672804,41.40162467519162,0.0010387045470438001,1.2700676605671357e-5,13.585811548227964,1.6514688910276139e-7,124.19286041380838,31.68939098196746,7.785299766322371e-4,8.677429829802237e-6,1.0423418345936354e-7,381184.12201905495,404.57682703358796,106.43591373633286,0.31599068130987784,0.015730883105956182,38.056599076356164,9.195343929040012e-4,300.95369476692576,79.38625610640977,0.22587236120805168,0.009989210743903788,5.388041435773739e-4,381715.52400000003
22,143868.54881454422,442.63086161596624,119.50046685452786,0.3920616704138299,0.01592032922429789,44.98730487192163,5.701137284173289e-4,325.938767123821,87.90186510754086,0.2755754660038229,0.009624407923832744,2.926451492373133e-4,36814.846233747325,84.0555392272714,21.892930599139504,0.2995360390378522,0.018960143102015846,7.171210632356753,0.0015896117701782388,62.98736208007267,16.5420196399751,0.22072429487080625,0.012542433247045048,9.477111033433561e-4,221040.7377013563,368.6169286466865,95.15245748395121,0.00243236844781777,3.065539059209538e-5,32.07044906875846,4.204840529933198e-7,277.48114020319736,72.23688220323886,0.001803825613280248,2.0508085625313898e-5,2.553371638905584e-7,401724.13274964783,895.3033294899242,236.54585493761857,0.6940300778994998,0.03491112771690583,84.22896457303683,0.002160145982648561,666.407269407091,176.68076695075482,0.49810358648790937,0.022187349256503106,0.00124061158974456,402921.94200000004
