"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"14",14,1978.58282166308,8.15267030985897,5.52538116516378,0.77788627564892,0.104575584966387,9.79181832758104,0.0150886737008395,23.3674203369199,1.22273693637138,0.12988102245093,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"15",15,1973.52211008148,9.77495863417932,6.63216745510231,0.93767441306583,0.128531511284506,11.935381158098,0.0194187467876988,28.4281319185177,1.48944853356742,0.161098978287053,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"16",16,1967.46683968856,11.7094557291555,7.955206742062,1.12889814049928,0.157234564748563,14.5078797369636,0.024727398010678,34.4834023114396,1.80947610091698,0.19870524911228,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"17",17,1961.35403772105,13.0712816638883,9.37318381507101,1.35524816219436,0.191592630394544,17.5736898430039,0.0312081643990543,40.5962042789511,2.19073162588299,0.243932303772443,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"18",18,1954.25460693115,14.818065401635,10.8417946094876,1.61427570191493,0.232466274071943,21.1499447720456,0.0390883096932691,47.6956350688485,2.63501927802544,0.298021855492227,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"19",19,1946.10812345625,16.8786807920205,12.4533702857165,1.9063974768087,0.280612595994548,25.2744325466179,0.0486248465887767,55.842118543747,3.14682522863085,0.362162044272388,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"20",20,1936.80914504121,19.2413034036979,14.2595002591867,2.23480895701354,0.336813460160654,30.0085677218312,0.060103156899897,65.1410969587899,3.73366217805073,0.437613352166366,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"21",21,1926.22698154147,21.9185250799821,16.2962360826262,2.60408373731061,0.401943523859283,35.4286326811851,0.0738393535669707,75.7232604585302,4.40491530058383,0.525780594143605,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"22",22,1914.21401414241,24.9328278411657,18.5940608109978,3.01961121877279,0.477001853210692,41.6225417357288,0.0901843977188448,87.7362278575946,5.17141186066362,0.628251438416345,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"23",23,1900.60975320339,28.3101186549027,21.181600802821,3.48736216222095,0.563128482318159,48.6887496305616,0.109529063786942,101.340488796611,6.04527200317423,0.746821292657534,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"24",24,1885.24365728663,32.0763052453086,24.0866859201924,4.01377178495835,0.661614190071505,56.7358981728621,0.132309399974733,116.706584713368,7.03985670250772,0.883512238638343,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"25",25,1867.9380266309,36.254880419009,27.3361832184119,4.60565166586396,0.773906209513084,65.8825813989335,0.159012457366455,134.012215369098,8.1697321318751,1.04058834996699,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"26",26,1848.51163889145,40.8646629743434,30.9551409959421,5.27008902034357,0.901610323416575,76.2569175880673,0.190182206438431,153.438603108551,9.45061010150944,1.22056771033604,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"27",27,1826.78436120628,45.9174060769193,34.9654937943316,6.0143146631903,1.04648878299228,87.9957521410322,0.226425335258331,175.165880793724,10.8992421991133,1.4262300564733,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"28",28,1802.58314668771,51.4150545147682,39.3843381673033,6.845520561607,1.21045279011116,101.24331224279,0.268417035711353,199.367095312291,12.5332448314023,1.66061896453126,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"29",29,1775.74927008931,57.3468178458678,44.2218546354578,7.77062359461379,1.39554813759262,116.149221427498,0.316906269659155,226.200971910689,14.3708440505896,1.92703632232773,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"30",30,1746.14700264891,63.6860286609887,49.4789082982852,8.79596016737642,1.60393192781464,132.865689885504,0.372720411126984,255.803239351096,16.4305170942516,2.22902683343662,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"31",31,1713.67322215571,70.3871168714497,55.144478741726,9.92692035822239,1.83783943728539,151.5438956797,0.436768755903152,288.277019844287,18.7305332013443,2.57035076776065,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"32",32,1678.26839661377,77.3827784081299,61.1928048471737,11.1674921172773,2.09953649759513,172.32918873728,0.510044778772057,323.681845386229,21.2883476786588,2.95494012812204,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"33",33,1639.92661111388,84.5822671625901,67.5809578941045,12.5197861710582,2.39126168755623,195.355731989493,0.593625981313671,362.023630886116,24.1199279355894,3.38684058714487,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"34",34,1598.70598432825,91.870435691429,74.2466036302155,13.9834828438999,2.7151505067416,220.739913354995,0.688671644473443,403.244257671755,27.2389276854252,3.87013189159524,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"35",35,1554.73692417122,99.1086588477339,81.1065283530115,15.5552861661057,3.07314657633721,248.573280517965,0.796417367631048,447.213317828785,30.6558055420334,4.40882990462542,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"36",36,1508.22780596785,106.137877928586,88.0561565377244,17.2283919303365,3.46689700640463,278.91494665389,0.918165975206313,493.722436032148,34.3768824680621,5.00676672237081,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"37",37,1459.4666161376,112.783596086836,94.9708549821305,18.9920411118422,3.89763950291955,311.784219782525,1.05527439614501,542.483625862398,38.4034331625222,5.66745577638042,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"38",38,1408.81805316859,118.863554047467,101.708440182595,20.831203897518,4.36608059828585,347.153773880313,1.20913622523441,593.132188831413,42.7308528500051,6.39394081745564,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"39",39,1356.71540394315,124.197014323764,108.113951496002,22.7264453351951,4.87227378260858,384.943993502996,1.3811596162818,645.234838056848,47.3479785354064,7.18863697124657,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"40",40,1303.64711369283,128.615648726619,114.025943916745,24.6540445214013,5.4155040383756,425.019246404247,1.57274069977743,698.303128307166,52.2366600208337,8.05317069130352,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"41",41,1250.13891716225,131.974387985181,119.284533331065,26.5863933174793,5.9941885849705,467.186588697662,1.78523292139366,751.811324837752,57.3716425389352,8.98822908073404,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"42",42,1196.73288396627,134.16148688512,123.739992124169,28.4926960570487,6.605805281857,511.197464083969,2.01991360156782,805.217358033732,62.720829147544,9.9934322119701,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"43",43,1143.96471408132,135.106835698019,127.261482021379,30.33996176748,7.24685252933995,556.75244807541,2.27794782705462,857.985527918683,68.2459281937476,11.0672324695182,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"44",44,1092.34199799141,134.786519903752,129.745491465489,32.0942040322577,7.91285222648805,603.508824475284,2.56035190532304,909.608244008594,73.903453381213,12.2068562167114,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"45",45,1042.32449333167,133.224515916206,131.121923399199,33.7218468659044,8.59839779670688,651.09110694216,2.86795774815198,959.62574866833,79.6460895471311,13.4082920884851,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"46",46,994.308945499401,130.489743050902,131.358560014146,35.191143952561,9.29725136301321,699.10321818969,3.20137993028725,1007.6412965006,85.424255509781,14.6663329202377,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"47",47,980.825748646599,99.9977083874581,125.613615685367,36.3998329478644,10.0017861739955,746.550568433291,3.56098172542642,1021.1244933534,91.1116535474051,15.9739612122407,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"48",48,968.48441880132,78.2775105526179,113.562054292657,37.075951049893,10.6974893331457,790.906084363623,3.94673360674446,1033.46582319868,96.3864436671956,17.3166145481116,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"49",49,957.645440790733,62.2409758799606,99.450685138774,37.1205418784014,11.3637040160027,830.770965875869,4.35792842026098,1044.30480120927,101.074856517049,18.6724501250059,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"50",50,948.348285849155,50.0462943077816,85.4146184240502,36.5729450416391,11.9803164695604,865.794697898051,4.79308400976455,1053.60195615085,105.138827001232,20.0188684438478,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"51",51,940.486556952949,40.5574850006063,72.4497029330181,35.5296759313477,12.5310146990869,896.145772768721,5.25003371427344,1061.46368504705,108.606555120069,21.3359237707768,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"52",52,933.897516776125,33.0464372289427,60.9460845614507,34.1029825128537,13.0042538852865,922.226876000343,5.72609103500015,1068.05272522388,111.535315258296,22.6075657197083,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"53",53,928.406398902496,27.0267217049751,50.9811382136461,32.4007273571952,13.3931199962973,944.523908880277,6.21822694511533,1073.54384309751,113.991889586616,23.8218002331537,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"54",54,923.84706531908,22.159709558697,42.4791761509317,30.5176714604117,13.6947146131059,963.528673044355,6.72323185342083,1078.10317668092,116.042675224911,24.9703460393037,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"55",55,920.070519643226,18.2005401311158,35.2975534420105,28.5326864646289,13.909386166627,979.701705067651,7.23785108474212,1081.87972235677,117.749041631679,26.048093105275,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"56",56,916.947346329983,14.966260271423,29.2721565433783,26.5089134405211,14.0399681226343,993.456705766183,7.75889152587944,1085.00289567002,119.165492720202,27.0525196795396,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"57",57,914.367239982311,12.3165042296004,24.240481352605,24.4952679167147,14.0910963092823,1005.15635100069,8.28330120879894,1087.58300201769,120.339290835457,27.9831430895929,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"58",58,912.237277356246,10.1413476063858,20.0525211147842,22.528436688125,14.0686316401956,1015.11380223077,8.8082253634911,1089.71296464375,121.310798332914,28.8410364721188,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"59",59,910.479755076524,8.3533873901794,16.5750588505721,20.6349398647308,13.9791900391877,1023.59686775446,9.3310430243502,1091.47048692348,122.114139865165,29.6284200908085,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"60",60,909.030010137017,6.8823582797192,13.6925356710336,18.8330450535574,13.8297720856358,1030.83313283166,9.84938794137935,1092.92023186298,122.777968194689,30.3483260522262,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"61",61,907.83440068734,5.67133294701305,11.3062036904482,17.1344534079592,13.6274786349117,1037.01521526345,10.3611573688812,1094.11584131266,123.326226709443,31.0043286658823,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"62",62,906.848520012336,4.67393474797799,9.33252704639546,15.5457348202992,13.3792985805399,1042.30571511487,10.8645116775829,1095.10172198766,123.778855459565,31.6003315558813,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
