"","Day","State","People"
"1",1,"New Infections",0
"2",2,"New Infections",0
"3",3,"New Infections",0
"4",4,"New Infections",0
"5",5,"New Infections",0
"6",6,"New Infections",0
"7",7,"New Infections",0
"8",8,"New Infections",0
"9",9,"New Infections",0
"10",10,"New Infections",0
"11",11,"New Infections",0
"12",12,"New Infections",0
"13",13,"New Infections",0
"14",14,"New Infections",0
"15",15,"New Infections",0
"16",16,"New Infections",0
"17",17,"New Infections",0
"18",18,"New Infections",0
"19",19,"New Infections",0
"20",20,"New Infections",0
"21",21,"New Infections",0
"22",22,"New Infections",0
"23",23,"New Infections",0
"24",24,"New Infections",0
"25",25,"New Infections",0
"26",26,"New Infections",0
"27",27,"New Infections",0
"28",28,"New Infections",0
"29",29,"New Infections",0
"30",30,"New Infections",0
"31",31,"New Infections",0
"32",32,"New Infections",0
"33",33,"New Infections",0
"34",34,"New Infections",0
"35",35,"New Infections",0
"36",36,"New Infections",0
"37",37,"New Infections",0
"38",38,"New Infections",0
"39",39,"New Infections",0
"40",40,"New Infections",0
"41",41,"New Infections",0
"42",42,"New Infections",0
"43",43,"New Infections",0
"44",44,"New Infections",0
"45",45,"New Infections",0
"46",46,"New Infections",0
"47",47,"New Infections",0
"48",48,"New Infections",0
"49",49,"New Infections",0
"50",50,"New Infections",0
"51",51,"New Infections",0
"52",52,"New Infections",0
"53",53,"New Infections",0
"54",54,"New Infections",0
"55",55,"New Infections",0
"56",56,"New Infections",0
"57",57,"New Infections",0
"58",58,"New Infections",0
"59",59,"New Infections",0
"60",60,"New Infections",0
"61",61,"New Infections",0
"62",62,"New Infections",0
"63",63,"New Infections",0
"64",64,"New Infections",0
"65",65,"New Infections",0
"66",66,"New Infections",0
"67",67,"New Infections",0
"68",68,"New Infections",0
"69",69,"New Infections",0
"70",70,"New Infections",0
"71",71,"New Infections",0
"72",72,"New Infections",0
"73",73,"New Infections",0
"74",74,"New Infections",0
"75",75,"New Infections",0
"76",76,"New Infections",0
"77",77,"New Infections",0
"78",78,"New Infections",0
"79",79,"New Infections",0
"80",80,"New Infections",0
"81",81,"New Infections",0
"82",82,"New Infections",0
"83",83,"New Infections",0
"84",84,"New Infections",0
"85",85,"New Infections",0
"86",86,"New Infections",0
"87",87,"New Infections",0
"88",88,"New Infections",0
"89",89,"New Infections",0
"90",90,"New Infections",0
"91",91,"New Infections",0
"92",92,"New Infections",0
"93",93,"New Infections",0
"94",94,"New Infections",0
"95",95,"New Infections",0
"96",96,"New Infections",0
"97",97,"New Infections",0
"98",98,"New Infections",0
"99",99,"New Infections",0
"100",100,"New Infections",0
"101",101,"New Infections",0
"102",102,"New Infections",0
"103",103,"New Infections",0
"104",104,"New Infections",0
"105",105,"New Infections",0
"106",106,"New Infections",0
"107",107,"New Infections",0
"108",108,"New Infections",0
"109",109,"New Infections",0
"110",110,"New Infections",0
"111",111,"New Infections",0
"112",112,"New Infections",0
"113",113,"New Infections",0
"114",114,"New Infections",0
"115",115,"New Infections",0
"116",116,"New Infections",0
"117",117,"New Infections",0
"118",118,"New Infections",0
"119",119,"New Infections",0
"120",120,"New Infections",0
"121",121,"New Infections",23.9808775527873
"122",122,"New Infections",30.9281166048512
"123",123,"New Infections",37.4470234063693
"124",124,"New Infections",43.8906370300285
"125",125,"New Infections",50.4919543031873
"126",126,"New Infections",57.4289310524647
"127",127,"New Infections",64.8545189072624
"128",128,"New Infections",72.910580199136
"129",129,"New Infections",81.7348158979627
"130",130,"New Infections",91.4649187582187
"131",131,"New Infections",102.241757699383
"132",132,"New Infections",114.212284745023
"133",133,"New Infections",127.53238098512
"134",134,"New Infections",142.369684077752
"135",135,"New Infections",158.906396075049
"136",136,"New Infections",177.342074919104
"137",137,"New Infections",197.896429398465
"138",138,"New Infections",220.812151636147
"139",139,"New Infections",246.357829507717
"140",140,"New Infections",274.830984144134
"141",141,"New Infections",306.561276514549
"142",142,"New Infections",341.913923694569
"143",143,"New Infections",381.293361083718
"144",144,"New Infections",425.147182345037
"145",145,"New Infections",473.970384599544
"146",146,"New Infections",528.309942522664
"147",147,"New Infections",588.769731363193
"148",148,"New Infections",656.01581531451
"149",149,"New Infections",730.782113808901
"150",150,"New Infections",752.835719788333
"151",151,"New Infections",825.11264854033
"152",152,"New Infections",902.550262482717
"153",153,"New Infections",986.152474277983
"154",154,"New Infections",1076.74652669039
"155",155,"New Infections",1175.08218766344
"156",156,"New Infections",1281.88747357082
