"","Day","State","People"
"304",38,"Susceptible",18811366.2128753
"305",39,"Critical",0
"306",39,"Dead",0
"307",39,"Exposed",0
"308",39,"Hospitalized",0
"309",39,"Infected",0
"310",39,"New Infections",0
"311",39,"Recovered",0
"312",39,"Susceptible",18811366.2128753
"313",40,"Critical",0
"314",40,"Dead",0
"315",40,"Exposed",0
"316",40,"Hospitalized",0
"317",40,"Infected",0
"318",40,"New Infections",0
"319",40,"Recovered",0
"320",40,"Susceptible",18811366.2128753
"321",41,"Critical",0
"322",41,"Dead",0
"323",41,"Exposed",0
"324",41,"Hospitalized",0
"325",41,"Infected",0
"326",41,"New Infections",0
"327",41,"Recovered",0
"328",41,"Susceptible",18811366.2128753
"329",42,"Critical",0
"330",42,"Dead",0
"331",42,"Exposed",0
"332",42,"Hospitalized",0
"333",42,"Infected",0
"334",42,"New Infections",0
"335",42,"Recovered",0
"336",42,"Susceptible",18811366.2128753
"337",43,"Critical",0
"338",43,"Dead",0
"339",43,"Exposed",0
"340",43,"Hospitalized",0
"341",43,"Infected",0
"342",43,"New Infections",0
"343",43,"Recovered",0
"344",43,"Susceptible",18811366.2128753
"345",44,"Critical",0
"346",44,"Dead",0
"347",44,"Exposed",0
"348",44,"Hospitalized",0
"349",44,"Infected",0
"350",44,"New Infections",0
"351",44,"Recovered",0
"352",44,"Susceptible",18811366.2128753
"353",45,"Critical",0
"354",45,"Dead",0
"355",45,"Exposed",0
"356",45,"Hospitalized",0
"357",45,"Infected",0
"358",45,"New Infections",0
"359",45,"Recovered",0
"360",45,"Susceptible",18811366.2128753
"361",46,"Critical",0
"362",46,"Dead",0
"363",46,"Exposed",0
"364",46,"Hospitalized",0
"365",46,"Infected",0
"366",46,"New Infections",0
"367",46,"Recovered",0
"368",46,"Susceptible",18811366.2128753
"369",47,"Critical",0
"370",47,"Dead",0
"371",47,"Exposed",0
"372",47,"Hospitalized",0
"373",47,"Infected",0
"374",47,"New Infections",0
"375",47,"Recovered",0
"376",47,"Susceptible",18811366.2128753
"377",48,"Critical",0
"378",48,"Dead",0
"379",48,"Exposed",0
"380",48,"Hospitalized",0
"381",48,"Infected",0
"382",48,"New Infections",0
"383",48,"Recovered",0
"384",48,"Susceptible",18811366.2128753
"385",49,"Critical",0
"386",49,"Dead",0
"387",49,"Exposed",0
"388",49,"Hospitalized",0
"389",49,"Infected",0
"390",49,"New Infections",0
"391",49,"Recovered",0
"392",49,"Susceptible",18811366.2128753
"393",50,"Critical",0
"394",50,"Dead",0
"395",50,"Exposed",0
"396",50,"Hospitalized",0
"397",50,"Infected",0
"398",50,"New Infections",0
"399",50,"Recovered",0
"400",50,"Susceptible",18811366.2128753
"401",51,"Critical",0
"402",51,"Dead",0
"403",51,"Exposed",0
"404",51,"Hospitalized",0
"405",51,"Infected",0
"406",51,"New Infections",0
"407",51,"Recovered",0
"408",51,"Susceptible",18811366.2128753
"409",52,"Critical",0
"410",52,"Dead",0
"411",52,"Exposed",0
"412",52,"Hospitalized",0
"413",52,"Infected",0
"414",52,"New Infections",0
"415",52,"Recovered",0
"416",52,"Susceptible",18811366.2128753
"417",53,"Critical",0
"418",53,"Dead",0
