ADM3_PCODE,calculated score,ADM2_PCODE,Current Infections,final score
MW10101,3.4,MW101,0,3.4
MW10102,4.2,MW101,0,4.2
MW10103,3.8,MW101,0,3.8
MW10104,2.4,MW101,0,2.4
MW10105,1.4,MW101,0,1.4
MW10120,1.4,MW101,0,1.4
MW10201,3,MW102,1,1
MW10202,2,MW102,1,1
MW10203,4.4,MW102,1,1
MW10204,2.8,MW102,1,1
MW10205,2.8,MW102,1,1
MW10220,1.8,MW102,1,1
MW10301,9,MW103,0,9
MW10302,4,MW103,0,4
MW10303,2,MW103,0,2
MW10304,4,MW103,0,4
MW10305,5.2,MW103,0,5.2
MW10306,3.6,MW103,0,3.6
MW10307,4.8,MW103,0,4.8
MW10308,3,MW103,0,3
MW10309,7.2,MW103,0,7.2
MW10310,5.2,MW103,0,5.2
MW10311,4.2,MW103,0,4.2
MW10312,7.4,MW103,0,7.4
MW10313,2.6,MW103,0,2.6
MW10320,1.8,MW103,0,1.8
MW10401,7.2,MW104,0,7.2
MW10402,3.6,MW104,0,3.6
MW10403,4.4,MW104,0,4.4
MW10404,4.6,MW104,0,4.6
MW10405,2.2,MW104,0,2.2
MW10406,3.4,MW104,0,3.4
MW10407,8.2,MW104,0,8.2
MW10408,2.6,MW104,0,2.6
MW10409,2.6,MW104,0,2.6
MW10420,4,MW104,0,4
MW10501,4.8,MW105,0,4.8
MW10502,10.8,MW105,0,10.8
MW10503,7.6,MW105,0,7.6
MW10504,5.8,MW105,0,5.8
MW10505,5,MW105,0,5
MW10506,8,MW105,0,8
MW10507,5.6,MW105,0,5.6
MW10508,6.6,MW105,0,6.6
MW10509,4.6,MW105,0,4.6
MW10510,3,MW105,0,3
MW10520,3.8,MW105,0,3.8
MW10601,0.8,MW106,0,0.8
MW10620,0.8,MW106,0,0.8
MW107,5.6,MW107,3,3
MW20101,4.2,MW201,0,4.2
MW20102,6.2,MW201,0,6.2
MW20103,4.4,MW201,0,4.4
MW20104,2.4,MW201,0,2.4
MW20105,7,MW201,0,7
MW20106,4.8,MW201,0,4.8
MW20107,5.8,MW201,0,5.8
MW20108,5.8,MW201,0,5.8
MW20109,6.4,MW201,0,6.4
MW20110,4.2,MW201,0,4.2
MW20111,7.2,MW201,0,7.2
MW20112,6.8,MW201,0,6.8
MW20113,4.2,MW201,0,4.2
MW20114,4,MW201,0,4
