"","lvl3","ID","Population","Incidence","Recovered","Deaths","Peak_Hospital","Peak_Crit","Cumulative_Hospital","Cumulative_Critical"
"1","Boucle du Mouhoun",249,313839,260162.808500931,258461.215170435,1701.59333049567,2529.59843501491,690.051534323426,9217.8271678768,1890.65927570474
"2","Boucle du Mouhoun",257,436187,361618.926089791,359331.72217159,2287.20391820073,3363.73385660443,907.453852762272,12727.6988360591,2541.33771744109
"3","Boucle du Mouhoun",285,399032,330712.49822531,328604.036321186,2108.46190412447,3111.99917820669,841.374619211973,11658.0015048815,2342.7354760877
"4","Boucle du Mouhoun",300,393167,325841.468882563,323761.060100411,2080.40878215235,3071.46463126227,830.876335122058,11489.7176074022,2311.56534002537
"5","Boucle du Mouhoun",305,233189,193763.818063797,192444.733130263,1319.08493353356,1963.21583339331,544.824803533057,6922.85182140423,1465.64993945665
"6","Boucle du Mouhoun",306,310919,257752.446766304,256064.482235904,1687.96453039958,2510.04330590682,684.959616538734,9135.76457849627,1875.51616424819
"7","Cascades",242,437097,362376.981505806,360282.718000628,2094.26350517826,3287.22586659772,830.780063973461,12441.4744119209,2326.95947819831
"8","Cascades",280,256489,212911.62946592,211790.783354813,1120.84611110697,1862.55948468285,460.445339439207,6633.1749484334,1245.38457969217
"9","Cascades",299,187100,155950.281832539,154986.711714245,963.570118294276,1529.94927197439,403.139024569918,5275.20698312566,1070.63347361095
"10","Centre",244,349273,289452.683798637,287752.868733686,1699.81506495094,2778.2700013183,684.455324094738,10245.8834294231,1888.68342604595
"11","Centre",248,929403,778527.975226987,775209.530953451,3318.44427353595,5896.06882435556,1264.88122872976,24200.3326878066,3687.16036508227
"12","Centre",250,1031732,866230.110541853,862471.017399584,3759.09314226952,6500.87560583477,1428.6958964982,26955.152814082,4176.77023023988
"13","Centre",284,394045,326570.493695322,325059.132016212,1511.3616791097,2764.32175793393,603.534533473856,10342.9463674854,1679.29077385406
"14","Centre",298,375922,311531.112019346,310109.197877883,1421.91414146254,2602.17129295123,569.736313832038,9681.82558304941,1579.90461938787
"15","Centre-Est",246,143098,119877.660913552,119063.089398465,814.571515087089,1227.90989118176,345.484782163695,4123.47242132302,905.07946790042
"16","Centre-Est",265,237955,197678.44314798,196121.794177946,1556.64897003401,2154.19332194615,642.129887242274,7610.55423488575,1729.6099825501
"17","Centre-Est",276,265681,220472.824266219,218789.877263963,1682.94700225629,2363.88466948971,689.806455722028,8455.18175626644,1869.9411316083
"18","Centre-Est",288,397627,329545.431791433,327287.49540153,2257.93638990285,3228.41612833538,901.204233804002,12089.9278026555,2508.81823993617
"19","Centre-Est",291,229212,190497.928672133,189210.923787423,1287.00488471028,1929.72328233153,532.203746770348,6794.54086635155,1430.00544034545
"20","Centre-Est",302,261732,217223.906533737,215698.749124404,1525.15740933344,2244.10761050051,625.743846757541,8011.5849991875,1694.61935989907
"21","Centre-Est",309,169505,141527.076268325,140391.789610057,1135.28665826756,1613.80809839566,477.447335808072,5503.52449528899,1261.42963029134
"22","Centre-Nord",243,215836,179518.423997186,178416.072354305,1102.35164288093,1691.2289898911,457.567005816123,5912.20143278961,1224.83516950889
"23","Centre-Nord",251,235664,195796.566527838,194380.272241689,1416.29428614917,2044.32458150874,584.537940100011,7215.81872193743,1573.66033229925
"24","Centre-Nord",253,239894,199271.333168552,197788.925408835,1482.40775971732,2129.26763779369,611.255447042356,7528.41497243551,1647.11974816549
"25","Centre-Nord",272,431146,357420.891288746,355073.017917836,2347.87337090985,3390.73361711574,932.293004653327,12811.3429598638,2608.74822109919
"26","Centre-Nord",274,410123,339929.567695088,337729.292100743,2200.27559434497,3205.40701567979,876.571567357685,12041.8563873902,2444.75068897285
"27","Centre-Nord",307,254419,211209.450561934,209826.867485485,1382.58307644927,2075.13111149718,568.245342284776,7383.21982810552,1536.20343277264
"28","Centre-Ouest",275,415873,344711.000521697,342285.436973149,2425.56354854827,3424.19197750037,965.475386868982,12883.3471705564,2695.07064121218
"29","Centre-Ouest",278,316900,262690.044308101,260747.631787284,1942.41252081702,2730.25751809453,787.180676852855,9961.52643748926,2158.23615671118
"30","Centre-Ouest",283,185160,154359.822871317,153055.260245919,1304.56262539803,1789.28944683865,546.139317078345,6161.49908496419,1449.51404013965
"31","Centre-Ouest",292,220400,183263.922461497,181778.562755102,1485.35970639499,2045.5413441438,615.777617410919,7168.85452683981,1650.39968839617
"32","Centre-Ouest",293,118556,99733.497940331,98877.4182698594,856.07967047159,1160.24417820571,366.127040567876,3837.98605685996,951.199640392965
"33","Centre-Ouest",295,279317,231697.88863345,229960.862457964,1737.02617548616,2449.52012881881,709.46510634604,8812.05574262106,1930.02910286091
"34","Centre-Ouest",301,200911,167274.773777244,166032.848046132,1241.92573111186,1807.9573135994,517.450219454937,6272.08640830764,1379.91749076135
"35","Centre-Sud",273,209756,174529.900824637,173142.279551043,1387.62127359413,1967.67390921257,576.898270693063,6856.3989515157,1541.80142847368
"36","Centre-Sud",279,357923,296614.372234051,294317.83526025,2296.53697380051,3180.77266544823,923.304759036597,11762.7231507229,2551.70777673287
"37","Centre-Sud",290,234668,194978.478282528,193400.786486559,1577.69179596914,2212.3352318448,651.348120897453,7805.79023779143,1752.99090037466
"38","Centre-Sud",294,117334,98729.3587493538,97783.1260305928,946.232718761032,1276.83639186422,404.846759097443,4219.5307783772,1051.36969470805
"39","Est",247,412750,342113.847398889,340294.126229284,1819.72116960455,2865.98813789425,724.672721678165,10774.1763438706,2021.912434384
"40","Est",258,539953,448359.204995782,446025.509236482,2333.69575930037,3649.10174385105,913.261451616229,14153.6298693762,2592.99532237754
"41","Est",263,470818,390499.570508276,388440.316359482,2059.25414879441,3236.92367479889,812.924652732089,12357.203490806,2288.06019378815
"42","Est",266,130641,109657.549623561,108929.279096595,728.270526965706,1091.55890347904,310.068222175461,3637.00229869172,809.189480178391
"43","Est",281,201650,167880.871375224,166868.928108343,1011.94326688142,1591.03836064711,421.554070718295,5521.5194303385,1124.38141723044
"44","Est",289,135991,114047.801919814,113298.750334578,749.051585236497,1128.90756380677,318.342600710156,3773.36903758726,832.279545182691
"45","Hauts-Bassins",254,382270,316796.775177085,315142.90469466,1653.87048242494,2809.41176469951,661.853013934359,10476.4259546365,1837.63389017963
"46","Hauts-Bassins",255,305148,252990.164719029,251488.118006743,1502.04671228626,2334.63841307651,610.266326277628,8477.91799184871,1668.94080850938
"47","Hauts-Bassins",261,601962,500473.588097227,497929.947569307,2543.64052791975,4198.07293426575,988.713789716779,16471.3615196299,2826.26729240019
"48","Hauts-Bassins",269,356704,295604.871335147,293997.485568548,1607.38576659909,2647.88415643984,646.380468797954,9788.17728289139,1785.9842047209
"49","Hauts-Bassins",271,117856,99158.3121411874,98510.023826957,648.288314230358,985.568656938905,277.323511047813,3258.33955900555,720.320354082882
"50","Hauts-Bassins",277,84608,71766.3750482807,71175.6283302787,590.746718001966,807.704117169093,255.696758145471,2610.04294655779,656.385246211981
"51","Hauts-Bassins",282,248328,206202.021285971,205105.639592002,1096.38169396864,1852.23838861423,451.248458141982,6572.32568848718,1218.20189355796
"52","Hauts-Bassins",286,200620,167036.121092531,165961.278116502,1074.84297602852,1712.64442883453,447.865797001583,5940.60189685377,1194.26998352354
"53","Nord",268,248495,206339.265373233,204737.054450755,1602.21092247763,2219.33986127285,659.412238015733,7875.49229087081,1780.23437493507
"54","Nord",287,372016,308292.326543289,305954.883756074,2337.44278721538,3192.76177825234,937.278604103555,11863.0878016272,2597.15868152844
"55","Nord",297,237368,197196.234626776,195648.879739844,1547.35488693197,2118.15432680615,638.373842351074,7481.47192086247,1719.28322343591
"56","Nord",303,195655,162964.562486258,161705.799148532,1258.76333772647,1766.64463571567,525.156132290255,6113.76027464504,1398.62594257737
"57","Nord",304,211262,175765.41261307,174370.25440646,1395.15820661048,1933.17409567266,579.806278978526,6741.48943190797,1550.17579860629
"58","Nord",308,459269,380860.439696937,378075.788763213,2784.65093372441,3767.24003980432,1100.84002163253,14348.0357559586,3094.05663109004
"59","Plateau Central",252,194897,162343.0234064,161062.979091844,1280.04431455576,1814.2175818573,534.172182690354,6276.24622256275,1422.27147256688
"60","Plateau Central",310,342574,283909.500085568,281822.62050536,2086.87958020768,2937.6601956347,841.286189557268,10811.3984004811,2318.75511412347
"61","Plateau Central",311,464635,385338.123350482,382577.097991281,2761.02535920134,3828.25386987698,1090.79308770455,14596.0775033574,3067.80599260453
"62","Sahel",260,532121,441791.241097069,439141.680051932,2649.56104513716,3976.22807471808,1037.68453187595,15398.518844063,2943.95675547459
"63","Sahel",262,397198,329189.100744668,327163.112067775,2025.98867689255,3080.06178964189,808.677845617634,11533.1477168478,2251.09855582827
"64","Sahel",267,306614,254199.714026387,252590.221030062,1609.4929963248,2464.40619393407,653.718730177902,8954.29880869752,1788.32556981646
"65","Sahel",296,213958,177977.447022535,176790.176809356,1187.27021317898,1815.81282518573,493.062722390645,6341.28482436443,1319.18913729404
"66","Sud-Ouest",245,106803,90069.332739601,89292.0759787734,777.2567608276,1106.73629734495,333.662837694124,3629.95209124549,863.618628847451
"67","Sud-Ouest",256,273366,226797.832524632,225144.652534171,1653.17999046126,2454.15145583005,676.277970109372,8811.38337392885,1836.86667396339
"68","Sud-Ouest",259,152643,127704.53047518,126686.306756993,1018.2237181866,1495.56327783791,430.521200472576,5056.4971525915,1131.35969546311
