"","lvl3","ID","Population","Incidence","Recovered","Deaths","Peak_Hospital","Peak_Crit","Cumulative_Hospital","Cumulative_Critical"
"1","Balaka",2,34847.12886,26395.9482078604,26348.2470154233,47.7011924371245,148.435034554679,26.9419818497229,660.235227190577,81.9591199394544
"2","Balaka",138,179251.2618,135767.466559286,135265.356558839,502.110000447044,954.324577890523,279.098684544312,4245.45492596093,849.277955027119
"3","Balaka",220,217589.8511,164805.000650538,164184.550411453,620.450239084664,1182.25229877437,344.995209272038,5260.80700884029,1049.85701047396
"4","Blantyre",114,54548.75617,15487.3236185683,15432.1407304785,55.182888089816,58.8916937526876,19.2931551147799,485.982794037617,93.4380493655651
"5","Blantyre",149,105171.5563,25728.5655628052,25655.2134417787,73.3521210264844,68.0623625895295,20.4805535151334,755.765705025163,124.802829171692
"6","Blantyre",163,85350.42568,21826.0274932939,21754.9715286784,71.0559646155325,66.839683987125,21.337937167392,674.751778210264,120.563188233591
"7","Blantyre",164,47367.23431,13931.5574125194,13885.4503719999,46.1070405195084,53.7184434305039,16.8718712246338,416.988206453954,78.0785228653982
"8","Blantyre",169,35948.44414,11356.3251164299,11317.0872428318,39.2378735981466,51.0923276507749,15.6168011407051,353.66356369713,66.4793558234014
"9","Blantyre",173,26232.61879,9017.98057235546,8988.3902960261,29.5902763293569,45.734190477053,12.8645993609065,280.272325759339,50.2218345098205
"10","Blantyre",176,19610.98127,7298.56372592323,7270.28019851345,28.2835274097837,43.4249773157112,13.1497950673709,240.338886394827,47.8373071111407
"11","Blantyre",230,82992.84979,21354.6067476594,21284.0294797001,70.5772679593092,65.9467828013724,21.3962416316564,657.318958939918,119.687472372643
"12","Blantyre City",3,884444.9143,163241.69580124,162956.565828674,285.129972566423,190.57370249347,44.3314877305778,4166.86206794378,495.42428171415
"13","Chikwawa",6,4472.555945,2412.71864596746,2406.73641058094,5.98223538652198,17.2517568449601,3.50712987683833,68.2999704860224,10.2046492094379
"14","Chikwawa",16,2116.493098,1307.73048030422,1302.93431801783,4.79616228639209,10.8903559737018,2.89801794981536,41.3286405369065,8.11529177316966
"15","Chikwawa",22,38585.86983,11964.690095635,11925.8487296379,38.8413659971102,51.1219665638331,15.1510138898521,364.115879275074,65.8457347639472
"16","Chikwawa",113,133729.5536,31210.4243767241,31110.9315460524,99.4928306717321,74.2976430227706,25.3366176758166,918.643161142134,168.612703072602
"17","Chikwawa",157,40760.76933,12459.6683391624,12422.7290604984,36.9392786640273,49.3964791605172,14.1999025135737,359.90207413862,62.7306697041872
"18","Chikwawa",177,73293.12488,19394.855224022,19324.781657796,70.073566226049,64.3038973528408,22.1526982533914,605.659435354185,118.598062594178
"19","Chikwawa",185,41452.35073,12615.8832897837,12577.8864665655,37.9968232182019,50.6425374337027,14.5284467498878,371.544393529441,64.5119631802907
"20","Chiradzulu",8,1934.802158,1468.16286696672,1464.59888325001,3.56398371670657,9.45381218767904,2.01033632041269,41.6698903259834,6.07600755111359
"21","Chiradzulu",125,23022.41322,17439.9270044739,17371.3825388888,68.5444655851287,130.524047050899,38.1269566583539,580.477087908434,115.965365753481
"22","Chiradzulu",137,104595.7659,79223.4598047665,78897.0923609753,326.367443791216,605.085900592236,181.410230888304,2691.65404497299,551.966079697804
