Code,UID,District,TA,Less Than 1 Year,4-Jan,9-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total Pop,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Pediatrics,Adults,Elderly,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
MW210,1,Lilongwe City,Lilongwe City,38129.88492,139406.4057,168865.8055,165610.7819,150282.4806,161410.3102,133046.8641,118246.7003,98702.87671,66929.79692,40037.2001,25878.73702,17101.52977,11628.60241,8281.907327,4415.284148,5641.219876,1353616.387,346402.0961,315893.2625,294457.1743,216949.577,106966.997,42980.26679,19910.50974,9492.382036,564.1219876,662295.3586,618373.7483,72947.28055,0.255908616,0.233369857,0.217533695,0.160274047,0.079023125,0.031752177,0.014709123,0.007012609,0.000416752
MW31220,2,Balaka,Balaka Town,977.1740723,3688.408493,4722.772666,4693.82459,4339.387174,3711.002113,3012.718039,2752.185357,2385.039029,1517.302804,965.8772622,658.0391874,489.2930868,326.1953912,256.2963788,137.6798729,213.933341,34847.12886,9388.355231,9033.211764,6723.720152,5137.224386,2483.180066,1147.332274,582.49177,330.2198798,21.3933341,18421.567,14344.1246,2081.437258,0.269415459,0.259223989,0.192949043,0.14742174,0.071259244,0.032924729,0.016715632,0.009476244,0.00061392
MW315,3,Blantyre City,Blantyre City,24078.80568,86756.42204,109058.0799,109725.6155,102639.1281,104034.9849,83308.22478,74315.28212,64165.20403,44758.04252,27070.55888,17887.52329,12277.57159,9125.565635,7047.805747,3716.758778,4479.340865,884444.9143,219893.3076,212364.7436,187343.2097,138480.4862,71828.6014,30165.09488,16173.37138,7748.165557,447.9340865,432258.0512,397652.2972,54534.56591,0.248622954,0.240110763,0.211820099,0.156573331,0.0812132,0.034106245,0.018286465,0.008760484,0.000506458
MW314,4,Zomba City,Zomba City,2833.55183,10721.23053,13630.47167,14610.16848,13601.68841,12680.62416,10247.90585,9416.389509,8209.624772,5335.563171,3489.170481,2509.473667,1632.117326,1133.207523,861.3656428,444.5414271,591.6558562,111948.7503,27185.25403,28211.85689,22928.53001,17626.01428,8824.733652,4141.590993,1994.573166,977.0316977,59.16558562,55397.11092,49379.27794,7172.361442,0.242836601,0.252006894,0.204812738,0.157447173,0.078828336,0.03699542,0.017816842,0.008727491,0.000528506
MW107,5,Mzuzu City,Mzuzu City,5420.234876,21121.3606,27174.98693,28925.54125,26588.47642,26160.56314,20656.54105,18523.95692,15142.54429,10682.86999,6440.643466,4627.248728,3108.106712,2409.879915,1482.235743,985.4972502,1260.798101,220711.4854,53716.58241,55514.01767,46817.10419,33666.50121,17123.51346,7735.35544,3892.115658,2120.215541,126.0798101,109230.6001,97607.11886,13873.76645,0.243379189,0.251523012,0.212119021,0.152536245,0.077583246,0.035047363,0.017634405,0.009606276,0.000571243
MW31020,6,Chikwawa,Chikwawa Boma,114.1182086,455.0097805,539.86691,557.4235575,556.6920305,494.5122373,367.2265431,336.50241,316.0196546,229.6994712,144.1108147,114.8497356,65.83742805,46.81772661,51.20688848,28.52955215,54.13299639,4472.555945,1108.994899,1114.115588,861.7387804,652.5220646,373.8102859,180.6871637,98.02461509,77.2492489,5.413299639,2223.110487,1888.071131,361.3743273,0.247955512,0.249100425,0.192672555,0.145894668,0.083578672,0.040399084,0.021916912,0.017271835,0.001210337
MW31002,7,Chikwawa,TA Lundu,1651.364738,6017.423865,7370.310105,6601.403537,5825.197224,4967.882622,3973.495015,3438.180316,3280.019155,2409.727228,1664.342064,1004.931685,661.0325449,464.7504886,411.2190187,270.0905981,418.5187646,50429.88897,15039.09871,12426.60076,8941.377637,6718.199471,4074.069292,1665.96423,875.9695073,646.7574862,41.85187646,27465.69947,19733.6464,3230.5431,0.298217962,0.246413407,0.177303139,0.133218605,0.080786799,0.033035255,0.017370046,0.012824884,0.000829902
MW30420,8,Chiradzulu,Chiradzulu Boma,45.74000374,188.187444,241.7685912,268.5591648,226.7397328,202.5628737,160.0900131,131.9925822,134.6062967,98.01429374,77.75800636,48.35371824,36.59200299,20.909716,19.60285875,12.41514387,20.909716,1934.802158,475.6960389,495.2988976,362.6528868,266.5988789,175.7723001,84.94572123,40.51257475,31.23388827,2.0909716,970.9949365,805.0240658,158.7831559,0.245862884,0.255994596,0.187436677,0.137791287,0.090847687,0.043904086,0.020938872,0.016143195,0.001080716
MW10120,9,Chitipa,Chitipa Boma,535.7186574,2102.930695,2756.131514,2904.159037,2629.250779,2351.992877,1674.120804,1571.911324,1248.835379,997.4235529,691.9699325,437.0336416,319.5514799,213.8175343,150.377167,103.3843023,156.2512751,20844.85995,5394.780866,5533.409816,4026.113681,2820.746703,1689.393485,756.5851215,364.1947013,244.0104499,15.62512751,10928.19068,8536.253869,1380.4154,0.25880629,0.2654568,0.193146593,0.135320972,0.081046046,0.036296004,0.017471679,0.011706025,0.000749591
MW20820,10,Dedza,Dedza Boma,703.9278989,2564.308774,3153.077962,3084.955907,3006.291153,2895.187326,2355.887726,2119.893465,1716.026998,1121.580973,777.7267915,523.8910399,335.7444126,240.8601221,209.2320252,115.1587116,158.1404842,25081.89177,6421.314635,6091.24706,5251.075052,3835.920463,1899.307765,859.6354525,450.0921473,257.4851474,15.81404842,12512.56169,10986.30328,1583.026796,0.256013968,0.242854371,0.209357217,0.152935851,0.075724263,0.034273151,0.017944904,0.010265779,0.000630497
MW20420,11,Dowa,Dowa Boma,99.57379438,350.5463405,466.4246158,538.0478714,517.6672702,478.0706736,381.9906966,350.5463405,275.4292675,217.1989784,146.7403286,117.625184,73.95246717,64.63562092,31.44435612,22.70981275,22.12750986,4154.731128,916.5447507,1055.715142,860.0613702,625.975608,363.939307,191.5776512,96.07997704,42.62457162,2.212750986,1972.259892,1849.976285,332.4949508,0.220602663,0.254099509,0.207007708,0.150665732,0.087596356,0.046110722,0.023125438,0.010259285,0.000532586
MW10220,12,Karonga,Karonga Town,1556.517278,6217.163421,8137.824601,8434.681044,7476.824257,6719.840329,5037.653824,4811.053406,3764.139687,2789.461035,1807.855733,1267.577008,899.4750198,653.0841728,472.9912645,361.175338,556.1110683,60963.42849,15911.5053,15911.5053,11757.49415,8575.193093,4597.316768,2167.052028,1126.075437,861.6752995,55.61110683,31823.0106,24930.00401,4210.413871,0.261000828,0.261000828,0.192861433,0.140661267,0.07541106,0.035546755,0.018471327,0.014134299,0.000912204
MW20120,13,Kasungu,Kasungu Boma,1626.677854,5968.358509,7680.243299,7430.432057,6797.189606,6208.487145,5087.241338,4607.952327,3889.502941,2676.272375,1754.488257,1104.785376,728.131992,502.5272658,330.176874,193.6521255,205.2712531,56791.39059,15275.27966,14227.62166,11295.72848,8497.455268,4430.760632,1832.917368,832.7041398,378.3962533,20.52712531,29502.90133,24223.94438,3064.544886,0.268971749,0.25052427,0.198898607,0.149625765,0.078018175,0.032274564,0.014662507,0.006662916,0.000361448
MW20107,14,Kasungu,TA Kawamba/Kasungu National Park,1220.616979,5235.221795,6787.929246,6123.748302,4858.852593,3996.893324,2847.122312,2577.760041,2112.095401,1719.490666,1304.008586,886.3125706,701.0798851,554.2220987,473.0444278,299.6194035,445.0012324,42143.01886,13243.76802,10982.6009,6844.015636,4689.855442,3023.499252,1587.392456,1027.266527,700.1205127,44.50012324,24226.36891,14557.37033,3359.279618,0.314257696,0.260603089,0.162399748,0.111284278,0.071743775,0.037666795,0.024375722,0.016612965,0.001055931
MW30111,15,Mangochi,TA Nankumba/Lake Malawi National Park,56.59005068,219.0886279,260.6151545,225.9829333,182.6874858,135.5028993,104.5840425,91.75687946,81.90801114,56.84014765,44.93609574,30.3138472,25.31053563,18.90333147,21.58653486,12.41167064,24.90544453,1593.923692,536.2938331,408.6704191,240.0869418,173.6648906,101.7762434,55.62438283,40.48986633,34.82657072,2.490544453,944.9642522,515.5280758,133.4313643,0.336461423,0.256392713,0.150626371,0.108954332,0.063852645,0.03489777,0.025402638,0.021849585,0.001562524
MW31008,16,Chikwawa,STA Ndakwela/Lengwe National Park,70.05465146,255.4934347,326.9627104,301.1611948,245.9600976,183.9934064,131.7753211,116.0299385,114.33854,84.20089363,68.48626374,47.85120179,40.00926319,30.13764637,36.22668104,19.89699714,43.91485614,2116.493098,652.5107966,547.1212924,315.7687275,230.3684785,152.6871574,87.86046498,66.36432741,59.42036767,4.391485614,1199.632089,698.8243634,218.0366457,0.308298098,0.258503698,0.14919431,0.108844427,0.072141581,0.041512285,0.031355797,0.028074917,0.002074888
MW10620,17,Likoma,Likoma Boma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992.1851435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MW30213,18,Machinga,TA Liwonde/Liwonde National Park,414.3284368,1612.464258,2088.966021,1916.497598,1415.93495,984.0901895,713.3571134,650.8950564,599.6934935,432.8071963,349.3640477,234.8342359,217.5103989,159.6680317,202.6888938,105.290432,215.2005539,12313.59091,4115.758716,3332.432548,1697.447303,1250.58855,782.171244,452.3446348,362.3569255,298.9709305,21.52005539,7448.191264,3730.207097,1135.192546,0.334245205,0.270630442,0.137851526,0.101561645,0.06352097,0.036735396,0.029427397,0.024279752,0.001747667
MW30222,19,Machinga,Liwonde Town,996.1461384,3796.085284,4597.932176,4576.18226,4122.33402,3746.785475,2913.038707,2514.290253,2116.991793,1364.444711,1010.646082,655.3974593,491.5480945,318.9987634,297.2488477,129.0494997,245.0490501,33892.16862,9390.163598,8698.51628,6659.824182,4631.282046,2375.090793,1146.945554,616.2476111,349.5936448,24.50490501,18088.67988,13666.19702,2137.291715,0.277059981,0.256652691,0.196500385,0.136647557,0.070077864,0.03384102,0.018182596,0.01031488,0.000723026
MW30721,20,Thyolo,Luchenza Town,306.056991,1111.613522,1472.161372,1547.540394,1472.161372,1180.635277,883.6600957,840.9755896,743.8002245,548.5413133,378.7114696,227.9534265,186.1771014,152.574405,135.3189664,107.1653559,148.0335001,11443.08038,2889.831885,3019.701766,2064.295373,1584.775814,927.2527829,414.1305279,287.8933714,240.395506,14.80335001,5909.533651,4576.32397,957.2227553,0.252539682,0.263888889,0.180396825,0.138492063,0.081031746,0.036190476,0.02515873,0.021007937,0.001293651
MW30220,21,Machinga,Machinga Boma,37.75802802,148.05917,188.8324163,165.9393432,125.8078911,92.94789388,71.25786929,62.44483483,55.64243529,38.97684012,31.26361471,20.52170187,17.48744713,13.34530304,16.27604269,8.674863831,18.32467621,1113.560372,374.6496143,291.7472343,164.2057632,118.0872701,70.24045483,38.009149,29.62134573,25.16707242,1.832467621,666.3968486,352.5334881,94.63003477,0.33644302,0.261994986,0.147460135,0.106044785,0.063077366,0.034132994,0.026600575,0.022600546,0.001645593
MW31006,22,Chikwawa,TA Kasisi/Majete Game Reserve Chikwawa,1182.859721,4416.009626,5612.012234,5401.726061,4552.367067,3510.793367,2705.791613,2449.50534,2094.647423,1662.575053,1288.002808,944.6449164,683.4300612,486.2867743,593.0727214,348.2864735,653.8585682,38585.86983,11210.88158,9954.093128,6216.58498,4544.152763,2950.577861,1628.074978,1079.359496,936.7591849,65.38585682,21164.97471,13711.3156,3709.579515,0.290543705,0.257972495,0.161110401,0.117767276,0.076467833,0.042193554,0.027972921,0.02427726,0.001694554
MW30120,23,Mangochi,Mangochi Town,1914.600499,6849.052834,7817.178773,7303.73179,6522.220116,5841.74821,4728.248728,4191.088329,3491.027081,2117.711052,1434.146093,893.89264,653.6654368,452.6169192,393.848891,213.4207341,339.2049349,55157.40306,16580.83211,13825.95191,10569.99694,7682.11541,3551.857145,1547.558077,846.4658102,518.7051755,33.92049349,30406.78401,21803.96949,2946.649556,0.300609369,0.250663576,0.191633332,0.139276235,0.064394931,0.028057124,0.015346368,0.00940409,0.000614976
MW20720,24,Mchinji,Mchinji Boma,723.6407675,2982.246561,3701.855904,3815.743657,3281.579859,3111.252158,2541.813392,2442.035626,1829.259043,1351.535194,829.4656708,541.2187913,394.0717828,258.0111929,184.4376886,95.7463411,147.1470084,28231.06064,7407.743233,7097.323516,5653.06555,4271.294669,2181.000865,935.2905741,442.4488815,228.1786487,14.71470084,14505.06675,12105.36108,1620.632805,0.262396915,0.251401235,0.200242762,0.151297704,0.077255364,0.033129842,0.015672414,0.008082539,0.000521224
MW30121,25,Mangochi,Monkey Bay Urban,292.7149072,1243.638472,1601.134547,1604.333617,1556.347567,1322.015688,957.3217048,969.3182174,823.7605313,555.0386492,309.5100248,233.5321118,154.3551287,123.1641959,95.97210073,50.38535288,67.98023802,11960.52305,3137.487926,3160.681184,2279.337393,1793.078749,864.548674,387.8872405,219.1362966,111.5675671,6.798023802,6298.16911,4936.964816,725.389128,0.262320294,0.264259445,0.190571715,0.149916416,0.072283517,0.032430625,0.018321632,0.009327984,0.000568372
MW30820,26,Mulanje,Mulanje Boma,301.3325671,1069.111437,1471.988951,1615.637901,1552.894682,1381.176397,1097.180772,973.3454703,837.1266386,615.0486644,370.680336,283.9956249,198.1364825,129.6142823,128.7887136,61.91765078,115.5796148,12203.55618,2842.432955,3168.532583,2478.357169,1810.472109,985.7290004,482.1321074,258.4029959,165.9393041,11.55796148,6010.965538,5274.558278,918.0323689,0.232918414,0.259640103,0.203084833,0.148356109,0.080773914,0.039507509,0.021174401,0.013597619,0.000947098
MW30805,27,Mulanje,TA Nkanda/Mulanje Mountain Reserve,3890.305925,14263.46667,19669.96398,19947.70177,14745.80135,10604.44417,7511.769571,7435.663484,6835.710309,5110.96848,3822.106964,2642.95682,2262.426388,2007.421579,2394.870746,1259.209794,2480.86074,126885.6487,37823.73658,34693.50312,18116.21374,14271.37379,8933.075444,4905.383208,4402.292325,3491.98446,248.086074,72517.2397,41320.66298,13047.74607,0.298093102,0.273423381,0.142775908,0.112474294,0.070402567,0.038659874,0.034694959,0.02752072,0.001955194
MW31110,28,Nsanje,Mwabvi Game Reserve,290.6203686,1370.527052,1571.06583,1384.468251,1034.865888,694.915125,649.8743299,512.6071447,423.5979543,334.5887639,273.4619705,187.6699797,164.0771823,116.8915874,108.3123883,73.99559201,187.6699797,9379.209388,3232.213251,2419.334139,1344.789455,936.205099,608.0507344,351.747162,225.2039757,242.8985737,18.76699797,5651.54739,2889.045288,838.6167094,0.344614681,0.25794649,0.143379831,0.099817059,0.064829636,0.037502858,0.024010976,0.025897553,0.002000915
MW30620,29,Mwanza,Mwanza Boma,616.783559,2341.81168,2861.531691,3007.74134,2625.63041,2468.362889,1970.758623,1868.780465,1600.934218,1040.668674,620.4695166,384.568235,256.7883742,165.8680886,141.2950384,68.80454045,122.8652508,22163.66259,5820.12693,5633.37175,4439.121512,3469.714683,1661.138191,641.3566092,307.163127,179.3832662,12.28652508,11453.49868,9569.974386,1140.189527,0.262597705,0.254171517,0.200288264,0.156549698,0.074948722,0.028937303,0.013858861,0.008093575,0.000554354
MW10520,30,Mzimba,Mzimba Boma,769.2304755,2751.727558,3582.539686,3727.310591,3501.511195,3147.146594,2493.516766,2255.833192,1805.314782,1285.652059,850.2589666,607.1734933,466.7241087,338.1589029,226.8797751,154.494323,230.1209147,28193.59338,7103.49772,7228.821786,5640.66336,4061.147974,2135.911026,1073.897602,565.038678,361.6031462,23.01209147,14332.31951,11837.72236,2023.551518,0.251954323,0.256399448,0.200068976,0.144045064,0.075758737,0.038090129,0.020041386,0.01282572,0.000816217
MW31320,31,Neno,Neno Boma,68.36713471,257.8298055,320.0792853,311.7830497,241.8865821,200.4912919,139.3291952,125.5396602,114.3790623,85.16498896,62.88432084,48.00809609,35.40378724,28.50135848,29.6480174,17.25643054,30.93938603,2117.491452,646.2762255,553.6696318,339.8204871,239.9187225,148.0493098,83.41188333,58.14937588,45.10187797,3.093938603,1199.945857,727.7885194,189.7570758,0.305208422,0.261474317,0.160482578,0.113303278,0.069917312,0.039391839,0.027461445,0.021299674,0.001461134
MW10320,32,Nkhata Bay,Nkhatabay Boma,321.6101045,1307.498401,1687.919561,1790.544373,1467.894638,1106.065946,716.8263104,629.4198493,542.0012636,446.5679215,342.4205021,291.1170995,218.4476958,192.5529572,155.8499106,115.731479,207.7639744,11540.23199,3317.028067,3258.439011,1822.892256,1171.421113,788.9884236,509.5647953,348.4028678,302.719056,20.77639744,6575.467078,3783.301793,1181.463117,0.287431662,0.282354723,0.157959758,0.101507588,0.068368506,0.044155507,0.030190283,0.026231627,0.001800345
MW20220,33,Nkhotakota,Nkhotakota Boma,829.870883,3049.007096,3917.810193,3987.478366,3671.922524,2975.240795,2183.277595,2052.137504,1781.661068,1186.408003,863.6804374,678.2401537,473.3337629,409.8127817,364.7333757,232.5687536,388.2976107,29045.4809,7796.688172,7659.40089,5158.51839,3833.798572,2050.08844,1151.573917,774.5461574,582.0366032,38.82976107,15456.08906,11042.4054,2546.986438,0.268430335,0.263703704,0.177601411,0.131992945,0.070582011,0.039647266,0.026666667,0.020038801,0.001336861
MW20207,34,Nkhotakota,Nkhotakota Game Reserve,19.70955179,77.01324865,107.3075597,97.45278384,71.17338146,51.46382967,32.48426128,31.75427788,26.64439408,24.08945218,11.67973439,11.67973439,9.489784194,7.299833995,5.474875497,5.474875497,7.299833995,597.4914125,204.0303601,168.6261653,83.94809095,58.39867196,35.76918657,21.16951858,12.77470949,12.04472609,0.7299834,372.6565254,178.1159495,46.71893757,0.341478314,0.28222358,0.140500916,0.097739768,0.059865608,0.035430666,0.021380574,0.020158827,0.001221747
MW31120,35,Nsanje,Nsanje Boma,695.3251587,2792.094816,3470.329188,3216.665935,2896.438565,2327.945033,1868.292826,1441.023162,1494.994067,1068.623918,769.9849105,527.1158383,384.0929402,313.9307638,312.1317336,189.7976824,377.7963346,24146.58287,6957.749163,6113.1045,4196.237859,2936.017229,1838.608829,911.2087785,626.0624974,529.8143835,37.77963346,13070.85366,8970.863917,2104.865293,0.288146327,0.253166443,0.173781851,0.121591417,0.076143645,0.037736552,0.025927582,0.021941588,0.001564595
MW20920,36,Ntcheu,Ntcheu Boma,588.3652004,2068.426269,2572.051473,2572.051473,2457.459888,2342.868302,1956.723547,1777.61401,1420.35789,910.9549584,578.7356554,407.3297541,277.3308964,196.4427183,136.7395392,78.96226912,111.7027222,20454.11657,5228.842942,5029.511361,4299.591849,3197.9719,1489.690614,684.6606505,333.1822575,179.4947191,11.17027222,10258.3543,8987.254363,1208.507899,0.255637682,0.245892378,0.210206676,0.156348571,0.072830846,0.033473,0.016289252,0.008775481,0.000546114
MW20320,37,Ntchisi,Ntchisi Boma,234.3321128,868.3003869,1075.38458,1134.42174,1009.989571,914.6218511,752.0425945,671.2070982,587.64681,427.7923454,255.2221849,172.5701606,136.2396005,92.64292831,76.29417625,45.41320015,44.50493615,8498.626276,2178.01708,2144.411311,1666.664446,1258.853908,683.0145303,308.8097611,168.9371046,85.46764269,4.450493615,4322.428391,3608.532884,567.665002,0.256278722,0.252324463,0.196109864,0.148124399,0.080367639,0.036336433,0.019878166,0.010056642,0.000523672
MW30920,38,Phalombe,Phalombe Boma,226.6163034,873.5156382,1205.676091,1163.786075,872.1176095,634.0626255,473.2272314,451.1625613,391.6427249,282.8152415,207.3195175,145.1442212,123.1105833,96.262555,123.1753296,66.19726087,134.2237263,7470.055295,2305.808033,2035.903685,1107.289857,842.8052862,490.134759,268.2548045,219.4378846,186.9986145,13.42237263,4341.711717,2440.229902,688.1136763,0.308673489,0.272541983,0.148230477,0.112824504,0.065613271,0.035910685,0.029375671,0.025033096,0.001796824
MW10420,39,Rumphi,Rumphi Boma,459.2685521,1764.3501,2262.352145,2417.286114,2226.78057,1969.084274,1467.920312,1325.634014,1155.680935,796.0127917,579.4214263,377.0586908,283.7821174,221.334242,139.9148601,96.43849115,131.2195863,17673.53922,4485.970797,4644.066684,3437.004586,2481.314949,1375.434218,660.8408082,361.2491021,214.5361188,13.12195863,9130.037481,7293.753753,1249.747988,0.253824135,0.262769478,0.194471777,0.140397173,0.077824492,0.037391538,0.020440111,0.012138832,0.000742464
