UID,Lvl1,Lvl2,Lvl3,Lvl4,Hospitalization,Critical Care,Crit of Hosp,CFR,CFR of Crit,CFR of Hosp,Population,Code
N/A,Sub-Saharan Africa,Angola,,,0.027110043,0.003978184,0.14674209,0.002335571,0.587094623,0.086151492,31825299,N/A
N/A,Sub-Saharan Africa,Burundi,,,0.027137499,0.004003197,0.147515325,0.002344107,0.585558735,0.086378887,11530577,N/A
N/A,Sub-Saharan Africa,Democratic Republic of the Congo,,,0.029242938,0.004821947,0.16489271,0.002839443,0.588858179,0.097098421,86790567,N/A
N/A,Sub-Saharan Africa,Cameroon,,,0.028897698,0.004358144,0.150812854,0.002557843,0.586911022,0.088513726,25876387,N/A
N/A,Sub-Saharan Africa,Central African Republic,,,0.028429278,0.004583128,0.161211547,0.002698492,0.588788324,0.094919476,4745178,N/A
N/A,Sub-Saharan Africa,Chad,,,0.02667407,0.004136441,0.15507348,0.002430856,0.587668526,0.091131803,15946882,N/A
N/A,Sub-Saharan Africa,Republic of the Congo,,,0.030706277,0.004552536,0.148260747,0.002674283,0.587427096,0.08709238,5380503,N/A
N/A,Sub-Saharan Africa,Equatorial Guinea,,,0.028512422,0.00381345,0.133746963,0.002221747,0.582608286,0.077922089,1355982,N/A
N/A,Sub-Saharan Africa,Gabon,,,0.032740869,0.005196,0.158700738,0.003051028,0.587187807,0.093187138,2172578,N/A
N/A,Sub-Saharan Africa,Kenya,,,0.029137918,0.004087701,0.140288041,0.002393439,0.585521984,0.082141732,52573967,N/A
N/A,Sub-Saharan Africa,Nigeria,,,0.029548591,0.004460204,0.150944717,0.002619884,0.587391083,0.088663581,200963603,N/A
N/A,Sub-Saharan Africa,Rwanda,,,0.030867169,0.00474976,0.153877409,0.002787178,0.586803928,0.090295868,12626936,N/A
N/A,Sub-Saharan Africa,Sao Tome and Principe,,,0.031099989,0.005049693,0.162369597,0.002971221,0.588396478,0.095537699,215048,N/A
N/A,Sub-Saharan Africa,Tanzania,,,0.02872208,0.004326709,0.15064051,0.002541137,0.587314035,0.088473286,58005461,N/A
N/A,Sub-Saharan Africa,Uganda,,,0.025534004,0.003553044,0.13914952,0.002082745,0.586186132,0.081567519,44269587,N/A
N/A,Sub-Saharan Africa,Sudan,,,0.031763602,0.005409694,0.170311093,0.003187263,0.589176139,0.100343232,42813237,N/A
N/A,Sub-Saharan Africa,South Sudan,,,0.030538013,0.005123976,0.167790081,0.003017852,0.588966798,0.098822786,11062113,N/A
N/A,Sub-Saharan Africa,Djibouti,,,0.036817805,0.006200624,0.168413732,0.003648608,0.588425906,0.099099003,973557,N/A
N/A,Sub-Saharan Africa,Eritrea,,,0.032621459,0.00608739,0.186606918,0.003589621,0.589681462,0.11003864,3497116,N/A
N/A,Sub-Saharan Africa,Ethiopia,,,0.030218371,0.005165312,0.170932851,0.003042202,0.588967774,0.100673941,112078726,N/A
N/A,Sub-Saharan Africa,Somalia,,,0.028083574,0.004633744,0.164998352,0.002730365,0.589235271,0.097222849,15442906,N/A
N/A,Sub-Saharan Africa,Botswana,,,0.035045035,0.005892455,0.168139522,0.003464254,0.587913435,0.098851484,2303702,N/A
N/A,Sub-Saharan Africa,Comoros,,,0.031155667,0.004842732,0.15543663,0.002844222,0.587317757,0.091290693,850891,N/A
N/A,Sub-Saharan Africa,Lesotho,,,0.035653722,0.006502188,0.18237052,0.003830282,0.589075877,0.107430074,2125267,N/A
N/A,Sub-Saharan Africa,Madagascar,,,0.030452807,0.004829529,0.158590589,0.00283974,0.587995184,0.093250502,26969306,N/A
N/A,Sub-Saharan Africa,Malawi,,,0.029511397,0.005183988,0.173642461,0.003055525,0.588625666,0.102313515,19406652,N/A
N/A,Sub-Saharan Africa,Mauritius,,,0.054363997,0.012606811,0.231896319,0.007470637,0.592587367,0.137418829,1269670,N/A
N/A,Sub-Saharan Africa,Mozambique,,,0.028390081,0.004531476,0.159614749,0.002664997,0.588108011,0.093870713,30366043,N/A
N/A,Sub-Saharan Africa,Namibia,,,0.032134304,0.005336661,0.166073637,0.003139123,0.588218634,0.097687608,2494524,N/A
N/A,Sub-Saharan Africa,Seychelles,,,0.048515571,0.010002209,0.206164918,0.005917288,0.591598177,0.12196679,97741,N/A
N/A,Sub-Saharan Africa,South Africa,,,0.038813274,0.006873487,0.177091138,0.004046775,0.588751421,0.104262659,58558267,N/A
N/A,Sub-Saharan Africa,Swaziland,,,0.031245129,0.005461999,0.174811202,0.003215083,0.588627651,0.102898707,1148133,N/A
N/A,Sub-Saharan Africa,Zambia,,,0.026485286,0.003736987,0.14109674,0.002190476,0.586161023,0.08270541,17861034,N/A
N/A,Sub-Saharan Africa,Zimbabwe,,,0.029445125,0.00467304,0.158703347,0.002746007,0.587627491,0.09325845,14645472,N/A
N/A,Sub-Saharan Africa,Benin,,,0.030472539,0.005040096,0.165397952,0.002967302,0.588739301,0.097376275,11801150,N/A
N/A,Sub-Saharan Africa,Mali,,,0.027201143,0.004141291,0.15224694,0.002433936,0.587724021,0.089479184,19658022,N/A
N/A,Sub-Saharan Africa,Burkina Faso,,,0.02776416,0.004091769,0.147375945,0.002401993,0.587030341,0.086514151,20321382,N/A
N/A,Sub-Saharan Africa,Cape Verde,,,0.037552939,0.006700984,0.178441005,0.00394498,0.588716551,0.105051173,549936,N/A
N/A,Sub-Saharan Africa,Ivory Coast,,,0.029415687,0.004536884,0.154233499,0.002665489,0.587515317,0.090614543,25716554,N/A
