UID,Lvl1,Lvl2,Lvl3,Lvl4,Hospitalization,Critical Care,Crit of Hosp,IFR,FR of Crit,FR of Hosp,Population,Age Band,Code
38,Sub-Saharan Africa,Malawi,Phalombe,Phalombe Boma,0.000187567,9.37835E-06,0.05,4.13215E-05,1,0.22030289,4341.711717,Pediatrics,MW30920
39,Sub-Saharan Africa,Malawi,Rumphi,Rumphi Boma,0.000203463,1.01732E-05,0.05,4.34675E-05,1,0.213638298,9130.037481,Pediatrics,MW10420
40,Sub-Saharan Africa,Malawi,Salima,Salima Town,0.000186131,9.30654E-06,0.05,4.11277E-05,1,0.220961015,19207.28141,Pediatrics,MW20520
41,Sub-Saharan Africa,Malawi,Dowa,TA Chakhaza,0.000192707,9.63534E-06,0.05,4.20154E-05,1,0.218027705,96560.53871,Pediatrics,MW20402
42,Sub-Saharan Africa,Malawi,Machinga,TA Chamba,0.000180017,9.00087E-06,0.05,4.03023E-05,1,0.223880318,17780.55436,Pediatrics,MW30204
43,Sub-Saharan Africa,Malawi,Ntcheu,TA Champiti,0.000202069,1.01034E-05,0.05,4.32793E-05,1,0.214180982,11359.638,Pediatrics,MW20905
44,Sub-Saharan Africa,Malawi,Rumphi,STA Chapinduka,0.000193524,9.67621E-06,0.05,4.21258E-05,1,0.217677013,1661.174714,Pediatrics,MW10406
45,Sub-Saharan Africa,Malawi,Dedza,TA Chauma,0.000192469,9.62345E-06,0.05,4.19833E-05,1,0.218130263,15768.30467,Pediatrics,MW20805
46,Sub-Saharan Africa,Malawi,Machinga,TA Chikweo,0.00016384,8.192E-06,0.05,3.81184E-05,1,0.232656272,53494.38611,Pediatrics,MW30207
47,Sub-Saharan Africa,Malawi,Dedza,TA Chilikumwendo,0.00018712,9.356E-06,0.05,4.12612E-05,1,0.220506662,48100.82034,Pediatrics,MW20802
48,Sub-Saharan Africa,Malawi,Ntchisi,TA Chilooko,0.000185221,9.26103E-06,0.05,4.10048E-05,1,0.221383492,48420.20065,Pediatrics,MW20305
49,Sub-Saharan Africa,Malawi,Kasungu,TA Chilowamatambe,0.000187981,9.39906E-06,0.05,4.13774E-05,1,0.220114936,27710.66156,Pediatrics,MW20109
50,Sub-Saharan Africa,Malawi,Kasungu,STA Chisikwa,0.000188865,9.44327E-06,0.05,4.14968E-05,1,0.219716418,5001.553351,Pediatrics,MW20104
51,Sub-Saharan Africa,Malawi,Lilongwe,STA Chitekwele,0.000176906,8.84529E-06,0.05,3.98823E-05,1,0.225443624,35843.13567,Pediatrics,MW20605
52,Sub-Saharan Africa,Malawi,Machinga,TA Chiwalo,0.000173987,8.69933E-06,0.05,3.94882E-05,1,0.226961145,21665.29741,Pediatrics,MW30209
53,Sub-Saharan Africa,Malawi,Mangochi,TA Chowe,0.000167153,8.35767E-06,0.05,3.85657E-05,1,0.230720401,92602.1976,Pediatrics,MW30106
54,Sub-Saharan Africa,Malawi,Mchinji,TA Dambe,0.000186487,9.32437E-06,0.05,4.11758E-05,1,0.220796689,51411.03599,Pediatrics,MW20706
55,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamalaza,0.000203981,1.0199E-05,0.05,4.35374E-05,1,0.213438799,7128.144209,Pediatrics,MW10307
56,Sub-Saharan Africa,Malawi,Ntcheu,TA Goodson Ganya,0.000187786,9.38931E-06,0.05,4.13511E-05,1,0.220203278,90442.36638,Pediatrics,MW20908
57,Sub-Saharan Africa,Malawi,Mzimba,TA Jaravikuba Munthali,0.000196882,9.84412E-06,0.05,4.25791E-05,1,0.216266779,12846.44489,Pediatrics,MW10504
58,Sub-Saharan Africa,Malawi,Mulanje,TA Juma,0.000195021,9.75107E-06,0.05,4.23279E-05,1,0.21704232,62248.82325,Pediatrics,MW30806
59,Sub-Saharan Africa,Malawi,Rumphi,STA Kachulu,0.000177195,8.85973E-06,0.05,3.99213E-05,1,0.225296209,7460.891644,Pediatrics,MW10405
60,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kafuzila,0.000182568,9.1284E-06,0.05,4.06467E-05,1,0.222638534,16860.78822,Pediatrics,MW20202
61,Sub-Saharan Africa,Malawi,Salima,TA Kambalame,0.000185114,9.25571E-06,0.05,4.09904E-05,1,0.221433121,15863.20716,Pediatrics,MW20506
62,Sub-Saharan Africa,Malawi,Salima,TA Kambwiri,0.000171052,8.55262E-06,0.05,3.90921E-05,1,0.228538578,27358.33706,Pediatrics,MW20504
63,Sub-Saharan Africa,Malawi,Dedza,TA Kamenya Gwaza,0.000194976,9.74881E-06,0.05,4.23218E-05,1,0.217061287,23132.27391,Pediatrics,MW20808
64,Sub-Saharan Africa,Malawi,Mzimba,TA Kampingo Sibande,0.00019234,9.61698E-06,0.05,4.19658E-05,1,0.218186217,55250.36318,Pediatrics,MW10503
65,Sub-Saharan Africa,Malawi,Dowa,TA Kayembe,0.000192569,9.62844E-06,0.05,4.19968E-05,1,0.218087158,73188.6664,Pediatrics,MW20403
66,Sub-Saharan Africa,Malawi,Mzimba,TA Khosolo Gwaza Jere,0.000180711,9.03554E-06,0.05,4.03959E-05,1,0.223539296,34291.3786,Pediatrics,MW10508
67,Sub-Saharan Africa,Malawi,Thyolo,TA Kwethemule,0.00019536,9.76801E-06,0.05,4.23736E-05,1,0.216900033,36861.57798,Pediatrics,MW30706
68,Sub-Saharan Africa,Malawi,Mulanje,TA Laston Njema,0.000187886,9.39432E-06,0.05,4.13647E-05,1,0.220157856,54005.73155,Pediatrics,MW30802
69,Sub-Saharan Africa,Malawi,Kasungu,TA Lukwa,0.000183225,9.16125E-06,0.05,4.07354E-05,1,0.222324372,22014.056,Pediatrics,MW20106
70,Sub-Saharan Africa,Malawi,Kasungu,STA M'nyanja,0.00019091,9.54552E-06,0.05,4.17729E-05,1,0.218808983,32527.7579,Pediatrics,MW20103
71,Sub-Saharan Africa,Malawi,Nsanje,TA Makoko,0.000167862,8.39309E-06,0.05,3.86613E-05,1,0.230316552,7229.807681,Pediatrics,MW31109
72,Sub-Saharan Africa,Malawi,Ntcheu,TA Makwangwala,0.000187842,9.3921E-06,0.05,4.13587E-05,1,0.220178006,65134.931,Pediatrics,MW20904
73,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malanda,0.000206117,1.03058E-05,0.05,4.38257E-05,1,0.212625991,13163.49018,Pediatrics,MW10304
74,Sub-Saharan Africa,Malawi,Mchinji,TA Mavwere,0.000186458,9.32288E-06,0.05,4.11718E-05,1,0.220810434,74078.97106,Pediatrics,MW20702
75,Sub-Saharan Africa,Malawi,Thyolo,STA Mbawela,0.000207028,1.03514E-05,0.05,4.39487E-05,1,0.212284338,35323.46129,Pediatrics,MW30703
76,Sub-Saharan Africa,Malawi,Nsanje,TA Mbenje,0.000182862,9.14308E-06,0.05,4.06863E-05,1,0.222497868,37953.72945,Pediatrics,MW31106
77,Sub-Saharan Africa,Malawi,Zomba,TA Mbiza,0.000187719,9.38595E-06,0.05,4.13421E-05,1,0.220233791,108196.5929,Pediatrics,MW30305
78,Sub-Saharan Africa,Malawi,Mangochi,TA Mbwana Nyambi,0.000167044,8.35218E-06,0.05,3.85509E-05,1,0.230783391,71517.03505,Pediatrics,MW30105
79,Sub-Saharan Africa,Malawi,Mchinji,TA Mduwa,0.00018668,9.33402E-06,0.05,4.12018E-05,1,0.220708012,67319.19577,Pediatrics,MW20704
80,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Kondowe,0.000198218,9.9109E-06,0.05,4.27594E-05,1,0.215719229,1197.897664,Pediatrics,MW10311
81,Sub-Saharan Africa,Malawi,Dowa,TA Mkukula,0.000188528,9.42641E-06,0.05,4.14513E-05,1,0.219867908,64093.2125,Pediatrics,MW20405
82,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mkumbira,0.000198218,9.9109E-06,0.05,4.27594E-05,1,0.215719229,9438.333765,Pediatrics,MW10308
83,Sub-Saharan Africa,Malawi,Machinga,TA Mlomba,0.000172515,8.62575E-06,0.05,3.92895E-05,1,0.227745515,41941.44752,Pediatrics,MW30206
84,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mphonde,0.000187074,9.35371E-06,0.05,4.1255E-05,1,0.220527604,21781.73696,Pediatrics,MW20204
85,Sub-Saharan Africa,Malawi,Thyolo,TA Mphuka,0.000193454,9.67268E-06,0.05,4.21162E-05,1,0.217707137,45600.24699,Pediatrics,MW30705
86,Sub-Saharan Africa,Malawi,Dowa,TA Mponela,0.000197293,9.86465E-06,0.05,4.26346E-05,1,0.216097654,41507.19818,Pediatrics,MW20407
87,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,0.000182799,9.13995E-06,0.05,4.06779E-05,1,0.222527858,17745.45977,Pediatrics,MW30205
88,Sub-Saharan Africa,Malawi,Salima,TA Msosa,0.000179059,8.95295E-06,0.05,4.0173E-05,1,0.224356025,4285.895506,Pediatrics,MW20510
89,Sub-Saharan Africa,Malawi,Lilongwe,TA Mtema,0.000190399,9.51993E-06,0.05,4.17038E-05,1,0.219034208,43617.27287,Pediatrics,MW20609
90,Sub-Saharan Africa,Malawi,Rumphi,TA Mwahenga,0.000190066,9.50332E-06,0.05,4.1659E-05,1,0.219181107,9104.360221,Pediatrics,MW10403
91,Sub-Saharan Africa,Malawi,Karonga,TA Mwakaboko,0.000194228,9.7114E-06,0.05,4.22208E-05,1,0.21737738,14044.33914,Pediatrics,MW10202
92,Sub-Saharan Africa,Malawi,Rumphi,TA Mwalweni,0.00019626,9.81302E-06,0.05,4.24952E-05,1,0.216524303,11947.4686,Pediatrics,MW10404
93,Sub-Saharan Africa,Malawi,Rumphi,TA Mwankhunikira,0.000189966,9.4983E-06,0.05,4.16454E-05,1,0.219225604,16888.44802,Pediatrics,MW10407
94,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwansambo,0.000176368,8.81838E-06,0.05,3.98096E-05,1,0.22571959,20522.69992,Pediatrics,MW20206
95,Sub-Saharan Africa,Malawi,Salima,TA Mwanza,0.000179088,8.9544E-06,0.05,4.01769E-05,1,0.224341506,22103.91506,Pediatrics,MW20508
96,Sub-Saharan Africa,Malawi,Karonga,TA Mwirang'ombe,0.000194659,9.73295E-06,0.05,4.2279E-05,1,0.217194984,24520.84846,Pediatrics,MW10205
97,Sub-Saharan Africa,Malawi,Mangochi,TA Namabvi,0.000169033,8.45164E-06,0.05,3.88194E-05,1,0.229656186,23309.7426,Pediatrics,MW30109
98,Sub-Saharan Africa,Malawi,Machinga,TA Ngokwe,0.00016337,8.16851E-06,0.05,3.8055E-05,1,0.232937085,21706.57459,Pediatrics,MW30208
99,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,0.000190417,9.52086E-06,0.05,4.17063E-05,1,0.219025995,26929.40574,Pediatrics,MW20613
100,Sub-Saharan Africa,Malawi,Kasungu,TA Njombwa,0.00018656,9.32802E-06,0.05,4.11857E-05,1,0.220763113,38020.05358,Pediatrics,MW20108
101,Sub-Saharan Africa,Malawi,Ntchisi,TA Nthondo,0.000182042,9.10208E-06,0.05,4.05756E-05,1,0.222891969,16457.93942,Pediatrics,MW20303
102,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Nyaluwanga,0.000188824,9.44118E-06,0.05,4.14912E-05,1,0.219735166,6169.421016,Pediatrics,MW10310
103,Sub-Saharan Africa,Malawi,Kasungu,TA Simlemba,0.000188534,9.4267E-06,0.05,4.14521E-05,1,0.219865309,22797.76457,Pediatrics,MW20102
104,Sub-Saharan Africa,Malawi,Machinga,TA Sitola,0.000180341,9.01703E-06,0.05,4.0346E-05,1,0.223720982,31107.65353,Pediatrics,MW30202
105,Sub-Saharan Africa,Malawi,Thyolo,STA Thukuta,0.000196903,9.84513E-06,0.05,4.25819E-05,1,0.216258427,13760.55525,Pediatrics,MW30702
106,Sub-Saharan Africa,Malawi,Lilongwe,TA Tsabango,0.000186117,9.30583E-06,0.05,4.11257E-05,1,0.220967587,39061.58106,Pediatrics,MW20611
107,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Zilakoma,0.000195342,9.76709E-06,0.05,4.23711E-05,1,0.216907753,7435.210551,Pediatrics,MW10305
108,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Boghoyo,0.000198218,9.9109E-06,0.05,4.27594E-05,1,0.215719229,646.2451188,Pediatrics,MW10313
109,Sub-Saharan Africa,Malawi,Thyolo,TA Bvumbwe,0.000197355,9.86777E-06,0.05,4.2643E-05,1,0.216071977,68290.27389,Pediatrics,MW30710
110,Sub-Saharan Africa,Malawi,Lilongwe,TA Chadza,0.000186409,9.32045E-06,0.05,4.11652E-05,1,0.22083275,97851.67834,Pediatrics,MW20601
111,Sub-Saharan Africa,Malawi,Ntcheu,TA Chakhumbira,0.000189667,9.48337E-06,0.05,4.16051E-05,1,0.219358169,17748.60042,Pediatrics,MW20907
112,Sub-Saharan Africa,Malawi,Thyolo,TA Changata,0.000203971,1.01985E-05,0.05,4.3536E-05,1,0.213442677,31232.49632,Pediatrics,MW30704
113,Sub-Saharan Africa,Malawi,Chikwawa,TA Chapananga,0.000177216,8.86081E-06,0.05,3.99242E-05,1,0.225285157,76785.00197,Pediatrics,MW31003
114,Sub-Saharan Africa,Malawi,Blantyre,TA Chigaru,0.000198635,9.93177E-06,0.05,4.28158E-05,1,0.215549572,30727.19773,Pediatrics,MW30503
115,Sub-Saharan Africa,Malawi,Ntchisi,TA Chikho,0.000176254,8.81268E-06,0.05,3.97942E-05,1,0.225778328,24086.81734,Pediatrics,MW20302
116,Sub-Saharan Africa,Malawi,Zomba,TA Chikowi,0.000188944,9.4472E-06,0.05,4.15074E-05,1,0.219681208,44158.33705,Pediatrics,MW30304
117,Sub-Saharan Africa,Malawi,Rumphi,TA Chikulamayembe,0.000188792,9.43961E-06,0.05,4.14869E-05,1,0.219749307,49083.97594,Pediatrics,MW10401
118,Sub-Saharan Africa,Malawi,Mulanje,TA Chikumbu,0.000201355,1.00678E-05,0.05,4.31829E-05,1,0.214461601,49245.25948,Pediatrics,MW30803
119,Sub-Saharan Africa,Malawi,Thyolo,TA Chimaliro,0.000193278,9.66389E-06,0.05,4.20925E-05,1,0.217782377,92290.63858,Pediatrics,MW30709
120,Sub-Saharan Africa,Malawi,Nsanje,TA Chimombo,0.000172209,8.61045E-06,0.05,3.92482E-05,1,0.227910327,7650.320217,Pediatrics,MW31102
121,Sub-Saharan Africa,Malawi,Lilongwe,TA Chimutu,0.000195456,9.77281E-06,0.05,4.23866E-05,1,0.216859788,72978.66079,Pediatrics,MW20607
122,Sub-Saharan Africa,Malawi,Mangochi,TA Chimwala,0.000172243,8.61214E-06,0.05,3.92528E-05,1,0.227892119,92178.68389,Pediatrics,MW30102
123,Sub-Saharan Africa,Malawi,Mzimba,TA Chindi,0.000187114,9.35568E-06,0.05,4.12603E-05,1,0.220509594,112142.4348,Pediatrics,MW10505
124,Sub-Saharan Africa,Malawi,Lilongwe,TA Chiseka,0.000181287,9.06435E-06,0.05,4.04737E-05,1,0.223257833,185597.5122,Pediatrics,MW20603
125,Sub-Saharan Africa,Malawi,Chiradzulu,TA Chitera,0.000198522,9.92608E-06,0.05,4.28004E-05,1,0.215595772,12670.93839,Pediatrics,MW30405
