UID,Lvl1,Lvl2,Lvl3,Lvl4,Start Date
1,Sub-Saharan Africa,Malawi,Lilongwe City,Lilongwe City,3/8/2020
2,Sub-Saharan Africa,Malawi,Balaka,Balaka Town,7/15/2020
3,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre City,3/12/2020
4,Sub-Saharan Africa,Malawi,Zomba City,Zomba City,4/15/2020
5,Sub-Saharan Africa,Malawi,Mzuzu City,Mzuzu City,6/1/2020
6,Sub-Saharan Africa,Malawi,Chikwawa,Chikwawa Boma,3/15/2020
7,Sub-Saharan Africa,Malawi,Chikwawa,TA Lundu,4/15/2020
8,Sub-Saharan Africa,Malawi,Chiradzulu,Chiradzulu Boma,7/15/2020
9,Sub-Saharan Africa,Malawi,Chitipa,Chitipa Boma,8/15/2020
10,Sub-Saharan Africa,Malawi,Dedza,Dedza Boma,5/1/2020
11,Sub-Saharan Africa,Malawi,Dowa,Dowa Boma,5/1/2020
12,Sub-Saharan Africa,Malawi,Karonga,Karonga Town,8/15/2020
13,Sub-Saharan Africa,Malawi,Kasungu,Kasungu Boma,6/1/2020
14,Sub-Saharan Africa,Malawi,Kasungu,TA Kawamba and Kasungu National Park,6/8/2020
15,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba and Lake Malawi National Park,6/8/2020
16,Sub-Saharan Africa,Malawi,Chikwawa,STA Ndakwela and Lengwe National Park,4/15/2020
17,Sub-Saharan Africa,Malawi,Likoma,Likoma Boma,8/30/2020
18,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde and Liwonde National Park,7/15/2020
19,Sub-Saharan Africa,Malawi,Machinga,Liwonde Town,7/30/2020
20,Sub-Saharan Africa,Malawi,Thyolo,Luchenza Town,4/15/2020
21,Sub-Saharan Africa,Malawi,Machinga,Machinga Boma,7/30/2020
22,Sub-Saharan Africa,Malawi,Chikwawa,TA Kasisi and Majete Game Reserve Chikwawa,4/15/2020
23,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,6/1/2020
24,Sub-Saharan Africa,Malawi,Mchinji,Mchinji Boma,4/24/2020
25,Sub-Saharan Africa,Malawi,Mangochi,Monkey Bay Urban,6/8/2020
26,Sub-Saharan Africa,Malawi,Mulanje,Mulanje Boma,7/15/2020
27,Sub-Saharan Africa,Malawi,Mulanje,TA Nkanda and Mulanje Mountain Reserve,7/30/2020
28,Sub-Saharan Africa,Malawi,Nsanje,Mwabvi Game Reserve,4/30/2020
29,Sub-Saharan Africa,Malawi,Mwanza,Mwanza Boma,4/15/2020
30,Sub-Saharan Africa,Malawi,Mzimba,Mzimba Boma,7/15/2020
31,Sub-Saharan Africa,Malawi,Neno,Neno Boma,7/15/2020
32,Sub-Saharan Africa,Malawi,Nkhata Bay,Nkhatabay Boma,6/1/2020
33,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Boma,4/15/2020
34,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Game Reserve,4/30/2020
35,Sub-Saharan Africa,Malawi,Nsanje,Nsanje Boma,4/15/2020
36,Sub-Saharan Africa,Malawi,Ntcheu,Ntcheu Boma,7/15/2020
37,Sub-Saharan Africa,Malawi,Ntchisi,Ntchisi Boma,6/1/2020
38,Sub-Saharan Africa,Malawi,Phalombe,Phalombe Boma,7/15/2020
39,Sub-Saharan Africa,Malawi,Rumphi,Rumphi Boma,6/1/2020
40,Sub-Saharan Africa,Malawi,Salima,Salima Town,6/1/2020
41,Sub-Saharan Africa,Malawi,Dowa,TA Chakhaza,5/8/2020
42,Sub-Saharan Africa,Malawi,Machinga,TA Chamba,7/30/2020
43,Sub-Saharan Africa,Malawi,Ntcheu,TA Champiti,7/30/2020
44,Sub-Saharan Africa,Malawi,Rumphi,STA Chapinduka,6/8/2020
45,Sub-Saharan Africa,Malawi,Dedza,TA Chauma,5/8/2020
46,Sub-Saharan Africa,Malawi,Machinga,TA Chikweo,7/30/2020
47,Sub-Saharan Africa,Malawi,Dedza,TA Chilikumwendo,5/8/2020
48,Sub-Saharan Africa,Malawi,Ntchisi,TA Chilooko,6/8/2020
49,Sub-Saharan Africa,Malawi,Kasungu,TA Chilowamatambe,6/8/2020
50,Sub-Saharan Africa,Malawi,Kasungu,STA Chisikwa,6/8/2020
51,Sub-Saharan Africa,Malawi,Lilongwe,STA Chitekwele,4/8/2020
52,Sub-Saharan Africa,Malawi,Machinga,TA Chiwalo,7/30/2020
53,Sub-Saharan Africa,Malawi,Mangochi,TA Chowe,6/8/2020
54,Sub-Saharan Africa,Malawi,Mchinji,TA Dambe,5/1/2020
55,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamalaza,6/15/2020
56,Sub-Saharan Africa,Malawi,Ntcheu,TA Goodson Ganya,7/30/2020
57,Sub-Saharan Africa,Malawi,Mzimba,TA Jaravikuba Munthali,7/30/2020
58,Sub-Saharan Africa,Malawi,Mulanje,TA Juma,7/30/2020
59,Sub-Saharan Africa,Malawi,Rumphi,STA Kachulu,6/8/2020
60,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kafuzila,4/30/2020
61,Sub-Saharan Africa,Malawi,Salima,TA Kambalame,6/8/2020
62,Sub-Saharan Africa,Malawi,Salima,TA Kambwiri,6/8/2020
63,Sub-Saharan Africa,Malawi,Dedza,TA Kamenya Gwaza,5/8/2020
64,Sub-Saharan Africa,Malawi,Mzimba,TA Kampingo Sibande,7/30/2020
65,Sub-Saharan Africa,Malawi,Dowa,TA Kayembe,5/8/2020
66,Sub-Saharan Africa,Malawi,Mzimba,TA Khosolo Gwaza Jere,7/30/2020
67,Sub-Saharan Africa,Malawi,Thyolo,TA Kwethemule,4/30/2020
68,Sub-Saharan Africa,Malawi,Mulanje,TA Laston Njema,7/30/2020
69,Sub-Saharan Africa,Malawi,Kasungu,TA Lukwa,6/8/2020
70,Sub-Saharan Africa,Malawi,Kasungu,STA M'nyanja,6/8/2020
71,Sub-Saharan Africa,Malawi,Nsanje,TA Makoko,4/30/2020
72,Sub-Saharan Africa,Malawi,Ntcheu,TA Makwangwala,7/30/2020
73,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malanda,6/15/2020
74,Sub-Saharan Africa,Malawi,Mchinji,TA Mavwere,5/1/2020
75,Sub-Saharan Africa,Malawi,Thyolo,STA Mbawela,4/30/2020
76,Sub-Saharan Africa,Malawi,Nsanje,TA Mbenje,4/30/2020
77,Sub-Saharan Africa,Malawi,Zomba,TA Mbiza,4/30/2020
78,Sub-Saharan Africa,Malawi,Mangochi,TA Mbwana Nyambi,6/8/2020
79,Sub-Saharan Africa,Malawi,Mchinji,TA Mduwa,5/1/2020
80,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Kondowe,6/15/2020
81,Sub-Saharan Africa,Malawi,Dowa,TA Mkukula,5/8/2020
82,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mkumbira,6/15/2020
83,Sub-Saharan Africa,Malawi,Machinga,TA Mlomba,7/30/2020
84,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mphonde,4/30/2020
85,Sub-Saharan Africa,Malawi,Thyolo,TA Mphuka,4/30/2020
86,Sub-Saharan Africa,Malawi,Dowa,TA Mponela,5/8/2020
87,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,7/30/2020
88,Sub-Saharan Africa,Malawi,Salima,TA Msosa,6/8/2020
89,Sub-Saharan Africa,Malawi,Lilongwe,TA Mtema,4/8/2020
90,Sub-Saharan Africa,Malawi,Rumphi,TA Mwahenga,6/8/2020
91,Sub-Saharan Africa,Malawi,Karonga,TA Mwakaboko,8/30/2020
92,Sub-Saharan Africa,Malawi,Rumphi,TA Mwalweni,6/8/2020
93,Sub-Saharan Africa,Malawi,Rumphi,TA Mwankhunikira,6/8/2020
94,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwansambo,4/30/2020
95,Sub-Saharan Africa,Malawi,Salima,TA Mwanza,6/8/2020
96,Sub-Saharan Africa,Malawi,Karonga,TA Mwirang'ombe,8/30/2020
97,Sub-Saharan Africa,Malawi,Mangochi,TA Namabvi,6/8/2020
98,Sub-Saharan Africa,Malawi,Machinga,TA Ngokwe,7/30/2020
99,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,4/8/2020
100,Sub-Saharan Africa,Malawi,Kasungu,TA Njombwa,6/8/2020
101,Sub-Saharan Africa,Malawi,Ntchisi,TA Nthondo,6/8/2020
102,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Nyaluwanga,6/15/2020
103,Sub-Saharan Africa,Malawi,Kasungu,TA Simlemba,6/8/2020
104,Sub-Saharan Africa,Malawi,Machinga,TA Sitola,7/30/2020
105,Sub-Saharan Africa,Malawi,Thyolo,STA Thukuta,4/30/2020
106,Sub-Saharan Africa,Malawi,Lilongwe,TA Tsabango,4/8/2020
107,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Zilakoma,6/15/2020
108,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Boghoyo,6/15/2020
109,Sub-Saharan Africa,Malawi,Thyolo,TA Bvumbwe,4/30/2020
110,Sub-Saharan Africa,Malawi,Lilongwe,TA Chadza,4/8/2020
111,Sub-Saharan Africa,Malawi,Ntcheu,TA Chakhumbira,7/30/2020
112,Sub-Saharan Africa,Malawi,Thyolo,TA Changata,4/30/2020
113,Sub-Saharan Africa,Malawi,Chikwawa,TA Chapananga,4/15/2020
114,Sub-Saharan Africa,Malawi,Blantyre,TA Chigaru,4/15/2020
115,Sub-Saharan Africa,Malawi,Ntchisi,TA Chikho,6/8/2020
116,Sub-Saharan Africa,Malawi,Zomba,TA Chikowi,4/30/2020
117,Sub-Saharan Africa,Malawi,Rumphi,TA Chikulamayembe,6/8/2020
118,Sub-Saharan Africa,Malawi,Mulanje,TA Chikumbu,7/30/2020
119,Sub-Saharan Africa,Malawi,Thyolo,TA Chimaliro,4/30/2020
120,Sub-Saharan Africa,Malawi,Nsanje,TA Chimombo,4/30/2020
121,Sub-Saharan Africa,Malawi,Lilongwe,TA Chimutu,4/8/2020
122,Sub-Saharan Africa,Malawi,Mangochi,TA Chimwala,6/8/2020
123,Sub-Saharan Africa,Malawi,Mzimba,TA Chindi,7/30/2020
124,Sub-Saharan Africa,Malawi,Lilongwe,TA Chiseka,4/8/2020
125,Sub-Saharan Africa,Malawi,Chiradzulu,TA Chitera,7/30/2020
126,Sub-Saharan Africa,Malawi,Lilongwe,TA Chitukula,4/8/2020
127,Sub-Saharan Africa,Malawi,Phalombe,TA Chiwalo,7/30/2020
128,Sub-Saharan Africa,Malawi,Dowa,TA Chiwere,5/8/2020
129,Sub-Saharan Africa,Malawi,Kasungu,TA Chulu,6/8/2020
130,Sub-Saharan Africa,Malawi,Neno,TA Dambe,7/30/2020
131,Sub-Saharan Africa,Malawi,Dowa,TA Dzoole,5/8/2020
132,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamapiri,6/15/2020
133,Sub-Saharan Africa,Malawi,Mangochi,TA Jalasi,6/8/2020
134,Sub-Saharan Africa,Malawi,Lilongwe,TA Kabudula,4/8/2020
135,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Kabunduli,6/15/2020
136,Sub-Saharan Africa,Malawi,Dedza,TA Kachindamoto,5/8/2020
137,Sub-Saharan Africa,Malawi,Chiradzulu,TA Kadewere,7/30/2020
138,Sub-Saharan Africa,Malawi,Balaka,TA Kalembo,7/30/2020
139,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalolo,4/8/2020
140,Sub-Saharan Africa,Malawi,Kasungu,TA Kaluluma,6/8/2020
141,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumba,4/8/2020
142,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumbu,4/8/2020
143,Sub-Saharan Africa,Malawi,Ntchisi,TA Kalumo,6/8/2020
144,Sub-Saharan Africa,Malawi,Chitipa,TA Kameme,8/30/2020
145,Sub-Saharan Africa,Malawi,Mwanza,TA Kanduku,4/30/2020
146,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kanyenda,4/30/2020
147,Sub-Saharan Africa,Malawi,Kasungu,TA Kaomba,6/8/2020
148,Sub-Saharan Africa,Malawi,Kasungu,TA Kapelula,6/8/2020
149,Sub-Saharan Africa,Malawi,Blantyre,TA Kapeni,4/15/2020
150,Sub-Saharan Africa,Malawi,Dedza,TA Kaphuka,5/8/2020
151,Sub-Saharan Africa,Malawi,Thyolo,TA Kapichi,4/30/2020
152,Sub-Saharan Africa,Malawi,Salima,TA Karonga,6/8/2020
153,Sub-Saharan Africa,Malawi,Ntchisi,TA Kasakula,6/8/2020
154,Sub-Saharan Africa,Malawi,Dedza,TA Kasumbu,5/8/2020
155,Sub-Saharan Africa,Malawi,Mangochi,TA Katuli,6/8/2020
156,Sub-Saharan Africa,Malawi,Rumphi,TA Katumbi,6/8/2020
157,Sub-Saharan Africa,Malawi,Chikwawa,TA Katunga,4/15/2020
158,Sub-Saharan Africa,Malawi,Machinga,TA Kawinga,7/30/2020
159,Sub-Saharan Africa,Malawi,Salima,TA Khombedza,6/8/2020
160,Sub-Saharan Africa,Malawi,Lilongwe,TA Khongoni,4/8/2020
161,Sub-Saharan Africa,Malawi,Karonga,TA Kilupula,8/30/2020
162,Sub-Saharan Africa,Malawi,Salima,TA Kuluunda,6/8/2020
163,Sub-Saharan Africa,Malawi,Blantyre,TA Kuntaja,4/15/2020
164,Sub-Saharan Africa,Malawi,Blantyre,TA Kunthembwe,4/15/2020
165,Sub-Saharan Africa,Malawi,Zomba,TA Kuntumanji,4/30/2020
166,Sub-Saharan Africa,Malawi,Ntcheu,TA Kwataine,7/30/2020
167,Sub-Saharan Africa,Malawi,Karonga,TA Kyungu,8/30/2020
168,Sub-Saharan Africa,Malawi,Chiradzulu,TA Likoswe,7/30/2020
169,Sub-Saharan Africa,Malawi,Blantyre,TA Lundu,4/15/2020
170,Sub-Saharan Africa,Malawi,Mzimba,TA M'Mbelwa,7/30/2020
171,Sub-Saharan Africa,Malawi,Mulanje,TA Mabuka,7/30/2020
172,Sub-Saharan Africa,Malawi,Mzimba,TA Mabulabo,7/30/2020
173,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,4/15/2020
174,Sub-Saharan Africa,Malawi,Salima,TA Maganga,6/8/2020
175,Sub-Saharan Africa,Malawi,Mangochi,TA Makanjila,6/8/2020
176,Sub-Saharan Africa,Malawi,Blantyre,TA Makata,4/15/2020
177,Sub-Saharan Africa,Malawi,Chikwawa,TA Makhwira,4/15/2020
178,Sub-Saharan Africa,Malawi,Zomba,TA Malemia,4/30/2020
179,Sub-Saharan Africa,Malawi,Nsanje,TA Malemia,4/30/2020
180,Sub-Saharan Africa,Malawi,Nkhotakota,TA Malenga Chanzi,4/30/2020
181,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malenga,6/15/2020
182,Sub-Saharan Africa,Malawi,Lilongwe,TA Malili,4/8/2020
183,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mankhambira,6/15/2020
184,Sub-Saharan Africa,Malawi,Ntcheu,TA Masasa,7/30/2020
185,Sub-Saharan Africa,Malawi,Chikwawa,TA Maseya,4/15/2020
186,Sub-Saharan Africa,Malawi,Lilongwe,TA Mazengera,4/8/2020
187,Sub-Saharan Africa,Malawi,Mchinji,TA Mkanda,5/1/2020
188,Sub-Saharan Africa,Malawi,Phalombe,TA Mkhumba,7/30/2020
189,Sub-Saharan Africa,Malawi,Likoma,Mkumpha,8/30/2020
190,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,7/30/2020
191,Sub-Saharan Africa,Malawi,Nsanje,TA Mlolo,4/30/2020
192,Sub-Saharan Africa,Malawi,Mchinji,TA Mlonyeni,5/1/2020
193,Sub-Saharan Africa,Malawi,Zomba,TA Mlumbe,4/30/2020
194,Sub-Saharan Africa,Malawi,Chiradzulu,TA Mpama,7/30/2020
195,Sub-Saharan Africa,Malawi,Ntcheu,TA Mpando,7/30/2020
196,Sub-Saharan Africa,Malawi,Mzimba,TA Mpherembe,7/30/2020
197,Sub-Saharan Africa,Malawi,Mangochi,TA Mponda,6/8/2020
198,Sub-Saharan Africa,Malawi,Dowa,TA Msakambewa,5/8/2020
199,Sub-Saharan Africa,Malawi,Mzimba,TA Mtwalo,7/30/2020
200,Sub-Saharan Africa,Malawi,Chitipa,TA Mwabulambya,8/30/2020
201,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwadzama,4/30/2020
202,Sub-Saharan Africa,Malawi,Zomba,TA Mwambo,4/30/2020
203,Sub-Saharan Africa,Malawi,Rumphi,TA Mwamlowe,6/8/2020
204,Sub-Saharan Africa,Malawi,Kasungu,TA Mwase,6/8/2020
205,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenemisuku,8/30/2020
206,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenewenya,8/30/2020
207,Sub-Saharan Africa,Malawi,Mzimba,TA Mzikubola,7/30/2020
208,Sub-Saharan Africa,Malawi,Mzimba,TA Mzukuzuku,7/30/2020
209,Sub-Saharan Africa,Malawi,Phalombe,TA Nazombe,7/30/2020
210,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nchema,7/30/2020
211,Sub-Saharan Africa,Malawi,Thyolo,TA Nchilamwela,4/30/2020
212,Sub-Saharan Africa,Malawi,Nsanje,TA Ndamera,4/30/2020
213,Sub-Saharan Africa,Malawi,Salima,TA Ndindi,6/8/2020
214,Sub-Saharan Africa,Malawi,Chikwawa,TA Ngabu,4/15/2020
215,Sub-Saharan Africa,Malawi,Nsanje,TA Ngabu,4/30/2020
216,Sub-Saharan Africa,Malawi,Neno,TA Chekucheku,7/30/2020
217,Sub-Saharan Africa,Malawi,Ntcheu,TA Njolomole,7/30/2020
218,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nkalo,7/30/2020
219,Sub-Saharan Africa,Malawi,Thyolo,TA Nsabwe,4/30/2020
220,Sub-Saharan Africa,Malawi,Balaka,TA Msamala,7/30/2020
221,Sub-Saharan Africa,Malawi,Mwanza,TA Nthache,4/30/2020
222,Sub-Saharan Africa,Malawi,Chitipa,TA Nthalire,8/30/2020
223,Sub-Saharan Africa,Malawi,Mulanje,TA Nthiramanja,7/30/2020
224,Sub-Saharan Africa,Malawi,Nsanje,TA Nyachikadza,4/30/2020
225,Sub-Saharan Africa,Malawi,Machinga,TA Nyambi,7/30/2020
226,Sub-Saharan Africa,Malawi,Salima,TA Pemba,6/8/2020
227,Sub-Saharan Africa,Malawi,Dedza,TA Pemba,5/8/2020
228,Sub-Saharan Africa,Malawi,Ntcheu,TA Phambala,7/30/2020
229,Sub-Saharan Africa,Malawi,Kasungu,TA Santhe,6/8/2020
230,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,4/15/2020
231,Sub-Saharan Africa,Malawi,Neno,TA Symon Likongwe,7/30/2020
232,Sub-Saharan Africa,Malawi,Dedza,TA Tambala,5/8/2020
233,Sub-Saharan Africa,Malawi,Nsanje,TA Tengani,4/30/2020
234,Sub-Saharan Africa,Malawi,Thyolo,TA Thomas,4/30/2020
235,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Timbiri,6/15/2020
236,Sub-Saharan Africa,Malawi,Karonga,TA Wasambo,8/30/2020
237,Sub-Saharan Africa,Malawi,Kasungu,TA Wimbe,6/8/2020
238,Sub-Saharan Africa,Malawi,Rumphi,STA Zolokere and Vwaza Marsh Reserve,6/8/2020
239,Sub-Saharan Africa,Malawi,Mchinji,TA Zulu,5/1/2020
240,Sub-Saharan Africa,Malawi,Thyolo,Thyolo Boma,4/15/2020
241,Sub-Saharan Africa,Malawi,Zomba,TA Mkumbira,4/30/2020
242,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde,7/30/2020
243,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Musisya,6/15/2020
244,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba,6/8/2020
,,,,,
