UID,Lvl1,Lvl2,Lvl3,Lvl4,Start Date,Date_from_0
1,Sub-Saharan Africa,Malawi,Lilongwe City,Lilongwe City,4/2/20,0
2,Sub-Saharan Africa,Malawi,Balaka,Balaka Town,4/24/20,22
3,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre City,4/9/20,7
4,Sub-Saharan Africa,Malawi,Zomba City,Zomba City,4/17/20,15
5,Sub-Saharan Africa,Malawi,Mzuzu City,Mzuzu City,4/30/20,28
6,Sub-Saharan Africa,Malawi,Chikwawa,Chikwawa Boma,4/24/20,22
7,Sub-Saharan Africa,Malawi,Chikwawa,TA Lundu,4/12/20,10
8,Sub-Saharan Africa,Malawi,Chiradzulu,Chiradzulu Boma,4/14/20,12
9,Sub-Saharan Africa,Malawi,Chitipa,Chitipa Boma,5/16/20,44
10,Sub-Saharan Africa,Malawi,Dedza,Dedza Boma,4/22/20,20
11,Sub-Saharan Africa,Malawi,Dowa,Dowa Boma,6/4/20,63
12,Sub-Saharan Africa,Malawi,Karonga,Karonga Town,4/26/20,24
13,Sub-Saharan Africa,Malawi,Kasungu,Kasungu Boma,5/2/20,30
14,Sub-Saharan Africa,Malawi,Kasungu,TA Kawamba and Kasungu National Park,4/22/20,20
15,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba and Lake Malawi National Park,5/7/20,35
16,Sub-Saharan Africa,Malawi,Chikwawa,STA Ndakwela and Lengwe National Park,4/12/20,10
17,Sub-Saharan Africa,Malawi,Likoma,Likoma Boma,,364
18,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde and Liwonde National Park,4/29/20,27
19,Sub-Saharan Africa,Malawi,Machinga,Liwonde Town,6/9/20,68
20,Sub-Saharan Africa,Malawi,Thyolo,Luchenza Town,4/19/20,17
21,Sub-Saharan Africa,Malawi,Machinga,Machinga Boma,4/24/20,22
22,Sub-Saharan Africa,Malawi,Chikwawa,TA Kasisi and Majete Game Reserve Chikwawa,4/19/20,17
23,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,5/9/20,37
24,Sub-Saharan Africa,Malawi,Mchinji,Mchinji Boma,4/27/20,25
25,Sub-Saharan Africa,Malawi,Mangochi,Monkey Bay Urban,5/7/20,35
26,Sub-Saharan Africa,Malawi,Mulanje,Mulanje Boma,4/29/20,27
27,Sub-Saharan Africa,Malawi,Mulanje,TA Nkanda and Mulanje Mountain Reserve,4/24/20,22
29,Sub-Saharan Africa,Malawi,Mwanza,Mwanza Boma,4/27/20,25
30,Sub-Saharan Africa,Malawi,Mzimba,Mzimba Boma,5/1/20,29
31,Sub-Saharan Africa,Malawi,Neno,Neno Boma,4/29/20,27
32,Sub-Saharan Africa,Malawi,Nkhata Bay,Nkhatabay Boma,5/16/20,44
33,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Boma,4/16/20,14
35,Sub-Saharan Africa,Malawi,Nsanje,Nsanje Boma,4/27/20,25
36,Sub-Saharan Africa,Malawi,Ntcheu,Ntcheu Boma,5/19/20,47
37,Sub-Saharan Africa,Malawi,Ntchisi,Ntchisi Boma,4/22/20,20
