"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,1261.898599,0,1,0,0,0,0,0,0,0,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"2",2,1255.39105081849,5.4914593326861,1.57870231211341,0.0473786737613678,0.000787279968547412,0.389210987926476,9.59504955046653e-06,6.50754818150545,0.0501326040659588,0.000803380112041094,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"3",3,1239.70926677774,17.1863934397108,4.50215984811152,0.157627528501238,0.00404995979600912,1.33901337533289,8.80708108642153e-05,22.1893322222633,0.172017082824488,0.00419773940726187,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"4",4,1194.77951192147,50.2273046644627,13.2681135747166,0.479303371769478,0.0141182785662855,4.1298545711275,0.000392617885561789,67.1190870785281,0.529958148691313,0.014777077070919,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"5",5,1073.41637104227,137.935455776514,37.8615437718283,1.40979757467091,0.0440093664324037,12.230044149519,0.0013773187627347,188.482227957727,1.56858083142409,0.0463204571255718,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"6",6,801.724274217797,324.17916113679,98.6216932960113,3.93025912060752,0.129260411630522,34.3096120608673,0.00433875629653851,460.174324782203,4.39831095431438,0.136540686588038,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"7",7,403.630074463364,551.916171856952,210.923431253243,9.77237913833834,0.352159006838482,86.2916942847261,0.0126889965380273,858.268524536636,11.0525417055288,0.373450680631156,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"8",8,115.268861878101,609.251265356112,335.931084363016,20.1015008409946,0.848135704849116,181.463784442142,0.0339664147862245,1146.6297371219,23.2042229586832,0.905130111094529,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"9",9,20.7893337071478,489.545427843236,405.217987582985,33.3813645562807,1.74038971754941,312.143257690169,0.0808379026327149,1241.10926529285,39.8122724500432,1.8760327723632,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"10",10,3.21015115049789,347.02075957184,407.285914124449,46.4870343789882,3.05363634867122,455.672215315967,0.168888109586364,1258.6884478495,57.9261185691421,3.33702444212666,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"11",11,0.54466242356649,238.30966820999,368.597157938914,57.1764461451681,4.71181391625483,593.246229618328,0.312620747779637,1261.35393657643,75.1263875671868,5.23638013885549,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"12",12,0.115229222256961,162.558272519112,313.380187811632,64.5914598721822,6.58982089119356,715.141003302812,0.522625380812339,1261.78336977774,90.1870107930228,7.46676723527053,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"13",13,0.031616127929639,110.721651069265,255.896623736061,68.7645413892306,8.55734362652,818.122189790522,0.804633260471252,1261.86698287207,102.726713914253,9.90748891605076,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"14",14,0.011162994135385,75.3859090115996,203.183909605185,70.1506534207022,10.5017473715589,902.505409541984,1.15980705483506,1261.88743600586,112.821043279827,12.4478613451883,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"15",15,0.00492590503505352,51.3211276545429,158.047847771215,69.3449258631696,12.3364046755163,970.257779253924,1.58558787659794,1261.89367309496,120.753457433163,14.9969633522382,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"16",16,0.00261995638866479,34.9367898342823,121.022023997786,66.9356023704329,14.0011409313104,1023.92373301014,2.07668889965867,1261.89597904361,126.8755162136,17.4857492285773,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"17",17,0.00162057650217832,23.7827267832691,91.5282214617514,63.4374295026145,15.4590245220642,1066.06354844652,2.62602770727743,1261.8969784235,131.534629565523,19.8654033201285,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"18",18,0.00112886476011097,16.1896030547097,68.531080304849,59.2694024115971,16.6918703427077,1098.99000405328,3.22550996809641,1261.89747013524,135.040897271236,22.1041585287682,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"19",19,0.000862017628689777,11.0206768426867,50.888653111889,54.7552833902413,17.695683665131,1124.67079815619,3.8666418162303,1261.89773698237,137.65553176551,24.1837677289547,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"20",20,0.000706054474236384,7.50203726536872,37.5259109057152,50.1345005132867,18.4766103189438,1144.71785300692,4.5409809352925,1261.89789294553,139.590468890578,26.0962108510464,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"21",21,0.000609694975183428,5.10680798959886,27.5084951741333,45.5766282834235,19.04759617364,1160.41801190312,5.24044978111219,1261.89798930502,141.01319912138,27.8408799397713,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"22",22,0.000547660783504685,3.47631532375284,20.062414932408,41.1959817762392,19.4257685936929,1172.78003273054,5.95753798258722,1261.89805133922,142.053549721135,29.4223002305778,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"23",23,0.000506522542481762,2.36640353413781,14.5668805839017,37.0646633891442,19.6304688942042,1182.58425653767,6.68541953840399,1261.89809247746,142.810660995712,30.848359257109,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"24",24,0.000478654992183021,1.61086238769404,10.5354130221219,33.2234905556135,19.6818278758318,1190.42851925763,7.41800724611841,1261.89812034501,143.359344115019,32.1289737161443,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"25",25,0.000459491880429842,1.09654917993844,7.593331680528,29.6907696139864,19.5997745342328,1196.76775201217,8.1499624872605,1261.89813950812,143.755513191095,33.2751145960924,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"26",26,0.000446177383463931,0.746445137355251,5.4559659270739,26.4691041438996,19.4033797077117,1201.94658333731,8.87667456926958,1261.89815282262,144.040624861062,34.2981161611584,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"27",27,0.000436861862817823,0.508121897604147,3.90937309418145,23.5505521029071,19.1104494687557,1206.22544504511,9.5942205295829,1261.89816213814,144.245210394138,35.2092018956056,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"28",28,0.000430314666244154,0.345890098134794,2.79419168486239,20.9204439012175,18.7373005939704,1209.80102903109,10.2993133760581,1261.89816868533,144.391626375149,36.0191731230053,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"29",29,0.000425700333689127,0.235455320356951,1.99259944460705,18.5601480910314,18.2986651568143,1212.82206078737,10.9892444994914,1261.89817329967,144.496162104724,36.7382169692766,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"30",30,0.000422443230888103,0.160279965383924,1.41803248259482,16.4490322488694,17.8076835378469,1215.40132402506,11.6618242970144,1261.89817655677,144.570634990549,37.3757997411566,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"31",31,0.000420142583354035,0.109106395278865,1.00723565644021,14.5658181087087,17.2759558449972,1217.62473915082,12.3153237011719,1261.89817885742,144.623585624278,37.9406202343931,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"32",32,0.000418517381198727,0.0742713096591559,0.714203064351049,12.8894892982367,16.7136297491015,1219.55816870396,12.9484183573065,1261.89818048262,144.661165523449,38.4406039009681,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"33",33,0.000417369685347998,0.050558329400614,0.505611989508777,11.3998741613112,16.1295089648689,1221.25249168556,13.5601364996615,1261.89818163031,144.687792005467,38.8829238680628,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"34",34,0.000416559662010937,0.0344163198818583,0.357413057461858,10.0779967417154,15.5311713453126,1222.74737389964,14.1498110763281,1261.89818244034,144.706628616273,39.2740386998957,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"35",35,0.00041598838629948,0.023428074134573,0.252306111629498,8.90626432591091,14.9250891907672,1224.07405897856,14.7170363306149,1261.89818301161,144.719935342532,39.6197398518588,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"36",36,0.000415585826022016,0.01594809992144,0.177881606264801,7.86854343417328,14.3167467392132,1225.25743471017,15.2616288244334,1261.89818341417,144.729323160132,39.9252037595055,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"37",37,0.000415302406859407,0.0108562968628457,0.125261623607691,6.95016070611322,13.7107518122308,1226.31756052202,15.7835927367568,1261.89818369759,144.735938032948,40.19504525658,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"38",38,0.000415103048621355,0.00739017472909375,0.0881094301278117,6.13785571848849,13.1109397912352,1227.27079960165,16.2830891807191,1261.89818389695,144.740593667628,40.4333700664657,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"39",39,0.000414962946215862,0.00503069603077176,0.0619120156340614,5.41970424116911,12.5204690604908,1228.13065878641,16.7604092373217,1261.89818403705,144.743866832948,40.64382499674,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"40",40,0.000414864574175589,0.00342453559241313,0.0434613664834212,4.78502528113433,11.9419076283991,1228.90841494462,17.2159503791959,1261.89818413543,144.746165726355,40.8296450003954,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"41",41,0.000414795562041935,0.00233116799901418,0.0304812040415168,4.22428075090647,11.3773110658908,1229.61358405773,17.6501959578659,1261.89818420444,144.74777882166,40.9936966946067,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"42",42,0.000414747188048654,0.00158689885731843,0.0213592468968196,3.72897378050153,10.8282921313317,1230.25427475429,18.0636974409365,1261.89818425281,144.748909679607,41.1385181802842,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"43",43,0.000414713307116524,0.00108024720898976,0.0149549512126964,3.29154966833934,10.2960826249385,1230.83745770385,18.4570590911406,1261.89818428669,144.749701806149,41.2663551884908,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"44",44,0.000414689595406578,0.000735361746110255,0.0104628450566862,2.9053016089194,9.78158807789572,1231.36917159954,18.8309248172482,1261.8981843104,144.75025621776,41.3791937058623,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"45",45,0.000414673012637699,0.00050058331326032,0.00731471203578195,2.56428280271705,9.28543590057186,1231.85468339153,19.1859669368146,1261.89818432699,144.750643964016,41.4787892671254,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"46",46,0.000414661423510778,0.00034076110307281,0.00511025362997519,2.26322541601829,8.80801763169477,1232.29861365479,19.5228766213371,1261.89818433858,144.750914955725,41.5666931715934,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"47",47,0.000414653329922397,0.000231969842398171,0.0035678448673247,1.99746668758677,8.34952587102412,1232.70503615427,19.8423558190835,1261.89818434667,144.75110421478,41.6442758626398,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"48",48,0.000414647681321055,0.000157918934299097,0.00248948622057871,1.7628819318081,7.90998653098097,1233.07755803232,20.1451104520508,1261.89818435232,144.751236302923,41.712747764072,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"49",49,0.000414643740872643,0.000107500098309066,0.00173597804575513,1.55582420312299,7.48928688223002,1233.41938505769,20.4318447350756,1261.89818435626,144.75132844831,41.7731777933885,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"50",50,0.000414640993844771,7.31780005309382e-05,0.00120984930277228,1.37307025000756,7.08719980745212,1233.73337478431,20.7032564899304,1261.89818435901,144.75139268668,41.8265097527752,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"51",51,0.000414639079864978,4.9814254435393e-05,0.000842719160960508,1.21177220483793,6.70340483870181,1234.02208150187,20.9600332820973,1261.89818436092,144.751437444736,41.8735768841099,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"52",52,0.00041463774708336,3.39103698637365e-05,0.000586705262960473,1.06941449901275,6.33750628756531,1234.28779366734,21.2028492926977,1261.89818436225,144.751468611707,41.9151147503331,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"53",53,0.00041463681930158,2.30819994620244e-05,0.000408244529367426,0.943775367597099,5.98904893516737,1234.53256593982,21.4323627940637,1261.89818436318,144.751490307853,41.9517726895546,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"54",54,0.000414636173870078,1.57114543435184e-05,0.000283931758482718,0.83289303531254,5.65753129142694,1234.75824617757,21.6492142163072,1261.89818436383,144.751505401276,41.9841238300832,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"55",55,0.000414635725094826,1.06947651383472e-05,0.00019738754571051,0.735035406463617,5.34241710245864,1234.96649914669,21.8540246263554,1261.89818436428,144.751515895904,42.0126740457052,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"56",56,0.000414635413147547,7.27944887012354e-06,0.000137158086510919,0.648673348660444,5.04314507395375,1235.15882688141,22.0473946230248,1261.89818436459,144.75152319081,42.0378698250397,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"57",57,0.000414635196437249,4.95502674188086e-06,9.52683484662262e-05,0.572457009046117,4.7591371316036,1235.3365864381,22.2299035626751,1261.8981843648,144.751528258597,42.0601052326373,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"58",58,0.000414635045946087,3.37289255201156e-06,6.61466199493292e-05,0.505194870096008,4.48980539538354,1235.50100551288,22.4021090670797,1261.89818436495,144.751531777846,42.0797280574889,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"59",59,0.000414634941468456,2.29576918986787e-06,4.59077549979858e-05,0.445835228864093,4.23455803198465,1235.65319612987,22.5645467708113,1261.89818436506,144.751534221066,42.0970452415796,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"60",60,0.000414634868974174,1.56272462665828e-06,3.18501926684333e-05,0.393449824994264,3.9928041388236,1235.79416672077,22.7177302676268,1261.89818436513,144.751535916352,42.1123276739342,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"61",61,0.000414634818687333,1.06374243105264e-06,2.20894276182161e-05,0.347219378592017,3.76395778742941,1235.92483282311,22.8621512228832,1261.89818436518,144.751537092315,42.1258144226343,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"62",62,0.000414634783815165,7.2403743758312e-07,1.53143553812243e-05,0.306420813013571,3.54744134132313,1236.04602654973,22.9982796227543,1261.89818436522,144.751537907804,42.1377164708738,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"63",63,0.00041463475964336,4.92855350913911e-07,1.0613896282353e-05,0.270415966038542,3.34268815049361,1236.15850500724,23.1265641347195,1261.89818436524,144.751538473064,42.1482200163221,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"64",64,0.000414634742888901,3.35425673694872e-07,7.35300524723545e-06,0.238641612399232,3.1491447112404,1236.26295779555,23.2474325576407,1261.89818436526,144.751538864869,42.1574893861796,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"65",65,0.000414634731284458,2.28297851261107e-07,5.09254189082762e-06,0.210600724502707,2.96627233539339,1236.36001363651,23.3612923480247,1261.89818436527,144.75153913624,42.1656695894464,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"66",66,0.000414634723253467,1.55467064833239e-07,3.52685330151603e-06,0.1858546581072,2.79354846886207,1236.45024636189,23.4685311940949,1261.89818436528,144.751539324046,42.1728885987436,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
"67",67,0.000414634717690933,1.05831546302461e-07,2.44159547583882e-06,0.164016280984281,2.6304676595702,1236.53418024286,23.5695176344444,1261.89818436528,144.751539454126,42.179259356324,"Malawi","Rumphi","STA Kachulu",59,1262.898599,"Elderly",12845.343034,173
