"","TA","ID","Population","Incidences","Recovered","Deaths","Peak_Hospital","Peak_Crit"
"1","Balaka",2,34766,23213.6940092439,23170.4458071685,43.2482020753761,108.469684582008,21.5061950977074
"2","Balaka",138,189063,126236.397157661,125773.361788182,463.035369479202,731.978540229185,226.812238268185
"3","Balaka",220,260230,173753.961220346,173110.419755104,643.541465241771,1026.29331895697,315.368848917358
"4","Blantyre",114,59692,39856.5550318473,39717.2043495135,139.350682333773,231.783064440519,68.3583793467017
"5","Blantyre",149,106665,71220.0173941192,71023.0588670141,196.958527105125,385.828898015159,97.0942535299186
"6","Blantyre",163,108459,72417.8323386264,72186.047960418,231.784378208439,414.384170491015,113.905324457171
"7","Blantyre",164,51202,34187.8500239238,34077.2968119716,110.553211952163,189.020379076766,54.2330774490699
"8","Blantyre",169,40760,27215.8236477128,27124.5424258061,91.2812219066826,156.152490879534,44.8022027725635
"9","Blantyre",173,34131,22789.7101585113,22716.5725140507,73.1376444606375,130.908772353124,35.9677837589432
"10","Blantyre",176,24477,16343.8093659452,16282.0413879984,61.7679779468294,99.2340459405565,30.2691158181326
"11","Blantyre",230,90288,60285.2240381832,60090.7765557907,194.447482392461,342.582624369656,95.5361239523391
"12","Blantyre City",3,979024,653686.567735339,652567.098751895,1119.46898344364,3080.02728543367,558.611202202263
"13","Chikwawa",6,10806,7215.80482685542,7198.29119320169,17.5136336537274,37.7422173823976,8.6587151811929
"14","Chikwawa",7,69743,46567.5088248781,46471.026557217,96.4822676610569,224.591799832119,47.7585433694902
"15","Chikwawa",16,1,1,1,0,0,0
"16","Chikwawa",22,47558,31754.7922534552,31653.2523920889,101.539861366274,178.887792063507,49.8699720025151
"17","Chikwawa",113,129546,86497.4576445424,86229.1807996027,268.276844939696,469.561319752334,131.698846422474
"18","Chikwawa",157,37372,24953.6870592223,24879.6963571896,73.9907020326522,134.20170630204,36.3947969078369
"19","Chikwawa",177,95673,63880.7540597124,63653.1242845675,227.629775144881,369.156237210404,111.581281190634
"20","Chikwawa",185,40611,27116.3375932872,27035.3733058095,80.964287477744,148.146882888025,39.8119727303526
"21","Chikwawa",214,228307,152439.293025189,151923.599641048,515.693384141306,856.604880994448,252.898962840938
"22","Chiradzulu",8,3806,2541.96757928211,2535.86050724381,6.10707203829683,13.3846595370811,3.01939201052333
"23","Chiradzulu",125,27860,18602.6101298768,18531.0943692306,71.5157606462371,114.396373262775,35.0584163279351
"24","Chiradzulu",137,117760,78628.0433880385,78306.6255975457,321.417790492755,494.651889716541,157.444206680847
"25","Chiradzulu",168,86460,57729.312089518,57532.9900183599,196.322071158141,336.603215945093,96.4356048435735
"26","Chiradzulu",194,88254,58927.1390392035,58717.7407384459,209.398300757635,351.498869476441,102.751242390839
"27","Chiradzulu",210,50615,33795.915352014,33663.6592590016,132.256093012405,210.272420541598,64.8248793941185
"28","Chiradzulu",218,63598,42464.5582880283,42289.8871779135,174.671110114799,270.025809952062,85.5782099668493
"29","Chitipa",9,21215,14165.7993677012,14137.4295206484,28.3698470527816,68.066354125458,14.0542499322191
"30","Chitipa",144,28948,19329.0607728316,19266.6363310203,62.4244418112515,107.519409496629,30.6054356649952
"31","Chitipa",200,107405,71714.0839041859,71483.0918187974,230.992085388485,401.170034530332,113.267367102618
"32","Chitipa",205,42023,28059.1195447052,27956.5824709322,102.537073772976,168.3414593273,50.2272888107619
"33","Chitipa",206,29517,19708.976754594,19641.9033381709,67.0734164231085,110.820083410005,32.8411184745624
"34","Chitipa",222,36875,24621.8470085725,24542.9535953588,78.8934132137372,135.559736989281,38.6761344669458
"35","Dedza",10,30623,20447.4475602208,20409.3995631799,38.047997040857,96.8661100804483,18.9374023844312
"36","Dedza",45,31902,21301.4204930703,21214.5076557377,86.9128373326039,133.328646944933,42.5318297313084
"37","Dedza",47,92925,62045.9191322235,61821.0610754482,224.858056775312,363.818726245651,110.218604927032
"38","Dedza",63,46478,31033.6872566195,30932.4682833482,101.21897327135,176.295439929835,49.6905579195024
"39","Dedza",136,142408,95085.2736380368,94791.0391860894,294.234451947442,515.037785561642,144.490601740823
"40","Dedza",150,202156,134978.485956241,134505.619761018,472.866195222676,791.373290344105,231.901182691532
"41","Dedza",154,109044,72808.4317391838,72588.2155630551,220.216176128732,387.533324167447,108.125051759417
"42","Dedza",227,202433,135163.43574049,134726.811667433,436.624073057271,686.972799225073,213.6573645257
"43","Dedza",232,96260,64272.6897823775,64020.0741498331,252.615632544443,386.711092558051,123.656870122417
"44","Dowa",11,7260,4848.17361443149,4838.41108161344,9.76253281805091,24.7638705494059,4.85164978398226
"45","Dowa",41,184981,123510.883173091,123120.788806572,390.094366519135,698.696329713787,191.529801753049
"46","Dowa",65,130321,87014.9170828153,86737.5311881906,277.385894624676,485.155392295594,136.127897890828
"47","Dowa",81,113569,75829.7283235758,75606.9099317987,222.818391777143,411.496222331569,109.570561005678
"48","Dowa",86,51609,34459.5999863514,34362.759224864,96.8407614874448,184.197092028467,47.6736666984374
"49","Dowa",128,125025,83478.7963402889,83190.042772426,288.75356786287,487.276779886708,141.659607301135
"50","Dowa",131,114142,76212.3145726031,75959.212221309,253.102351294082,439.791975709301,124.243055244246
"51","Dowa",198,100996,67434.85323298,67213.5150406923,221.338192287688,388.485877655483,108.670119317551
"52","Karonga",12,61246,40894.1499940808,40807.4044451301,86.7455489507501,199.691541710086,42.9549478565989
"53","Karonga",91,29428,19649.5521877544,19591.9018893673,57.6502983871518,104.739642843647,28.3142251475854
"54","Karonga",96,34753,23205.0141359216,23140.6205725183,64.3935634033073,120.97090610091,31.6632199167465
"55","Karonga",161,92690,61889.0255215686,61695.4465566921,193.578964876524,333.763866402215,94.942481599184
"56","Karonga",167,98820,65981.9766561288,65758.256386123,223.7202700058,376.161845345864,109.679217141969
"57","Karonga",236,78123,52162.7883253093,51999.5640227293,163.224302579962,287.215336202528,80.0921203280146
"58","Kasungu",13,59620,39808.4802914727,39746.8381805172,61.6421109555413,179.56417793497,30.820445913469
"59","Kasungu",14,68484,45726.8915837785,45607.4610579072,119.430525871268,233.789613561217,58.7825447726556
"60","Kasungu",49,58040,38753.5362950159,38646.8605110829,106.675783932988,207.365364225973,52.4905126802723
"61","Kasungu",50,9582,6398.55027463376,6373.31828747608,25.2319871576809,39.9064897934092,12.3610981768987
"62","Kasungu",69,41315,27586.3962039249,27513.8176516675,72.578552257369,143.856783067721,35.7476594192317
"63","Kasungu",70,47032,31403.5876707581,31302.0574297184,101.530241039732,177.747836820301,49.8080802012937
"64","Kasungu",100,56660,37832.1072583596,37729.6314305957,102.475827763871,199.841194098507,50.4304478917165
"65","Kasungu",103,45259,30219.7703285785,30124.1007087198,95.6696198586728,169.061336652007,46.9429271537672
"66","Kasungu",129,90463,60402.070181458,60215.2346984478,186.835483010168,332.704249068861,91.7459594196055
"67","Kasungu",140,69822,46620.256457701,46465.4001773314,154.85628036959,269.023453818158,75.9467262301603
"68","Kasungu",147,65114,43476.7766725545,43348.7475429018,128.029129652735,240.196229505259,62.9974320544737
"69","Kasungu",148,56701,37859.4825892957,37758.6998094847,100.782779811035,195.103274454647,49.5917435237685
"70","Kasungu",204,32061,21407.5830972465,21348.6992465184,58.8838507281158,114.428414384743,28.9905500834665
"71","Kasungu",229,126014,84139.1413534969,83922.930569187,216.210784309866,432.895936132952,106.500699408193
"72","Kasungu",237,127310,85004.5095942213,84781.9823657839,222.527228437435,438.451680441687,109.555258766112
"73","Likoma",17,1,1,1,0,0,0
"74","Likoma",189,1,1,1,0,0,0
"75","Lilongwe",51,57954,38696.0995643568,38547.6881359419,148.411428414903,231.79942931015,72.6416546364415
"76","Lilongwe",89,66477,44386.8279562844,44246.4861401478,140.341816136609,246.778898711698,68.9170379010175
"77","Lilongwe",99,45555,30417.4071466325,30339.9157703306,77.4913763018669,156.959094045931,38.1950033881176
"78","Lilongwe",106,35055,23406.6570311581,23359.0921432876,47.5648878704764,111.915970095474,23.577612442083
"79","Lilongwe",110,172340,115070.619886895,114682.523958787,388.09592810832,653.103654032083,190.346417011758
"80","Lilongwe",121,137796,92005.8838125234,91704.1618105854,301.722001937976,532.40536018619,148.215795368651
"81","Lilongwe",124,349655,233462.226822512,232710.871704684,751.355117828406,1298.54560920599,368.854022520325
"82","Lilongwe",126,44053,29414.534149245,29319.3346862279,95.1994630171489,166.967416839602,46.7329470347822
"83","Lilongwe",134,175098,116912.125940991,116542.982543976,369.143397015011,651.010745587854,181.187929577875
"84","Lilongwe",139,216131,144309.495814739,143827.345571967,482.150242771596,817.9413085022,236.513738385196
"85","Lilongwe",141,32511,21708.0431949423,21656.2042369395,51.8389580028399,107.520035689635,25.5872028620768
"86","Lilongwe",142,88406,59028.6281697531,58802.3287784703,226.299391282788,355.772808349188,110.817796969612
"87","Lilongwe",160,152146,101587.308730435,101283.208716351,304.100014084249,546.189340756728,149.292026115367
"88","Lilongwe",182,129131,86220.3665144861,85958.0996636504,262.26685083571,473.797656864799,128.856444157449
"89","Lilongwe",186,145652,97251.3103795343,96889.6162800451,361.694099489167,585.343917113672,177.268712793138
"90","Lilongwe City",1,1055723,704897.64910208,703827.051468757,1070.59763332263,3192.51494776368,536.302161728287
"91","Machinga",18,118229,78941.1905624473,78677.3918496836,263.798712763653,435.964188664094,129.33362690822
"92","Machinga",19,34828,23255.0909127685,23210.9803960293,44.1105167392197,108.158330747455,21.9007842044617
"93","Machinga",21,1,1,1,0,0,0
"94","Machinga",42,33978,22687.5524850711,22612.0040863897,75.548398681353,125.57545114073,37.0621214176357
"95","Machinga",46,83265,55596.0402833629,55427.5753949986,168.46488836432,283.69858818914,82.6319006721044
"96","Machinga",52,29726,19848.5243307498,19785.1035425545,63.4207881952977,106.604935495493,31.1194368679738
