UID,ADM3_PCODE,Lvl1,Lvl2,Lvl3,Lvl4
1,MW210,Sub-Saharan Africa,Malawi,Lilongwe City,Lilongwe City
2,MW31220,Sub-Saharan Africa,Malawi,Balaka,Balaka Town
3,MW315,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre City
4,MW314,Sub-Saharan Africa,Malawi,Zomba City,Zomba City
5,MW107,Sub-Saharan Africa,Malawi,Mzuzu City,Mzuzu City
6,MW31020,Sub-Saharan Africa,Malawi,Chikwawa,Chikwawa Boma
7,MW31002,Sub-Saharan Africa,Malawi,Chikwawa,TA Lundu
8,MW30420,Sub-Saharan Africa,Malawi,Chiradzulu,Chiradzulu Boma
9,MW10120,Sub-Saharan Africa,Malawi,Chitipa,Chitipa Boma
10,MW20820,Sub-Saharan Africa,Malawi,Dedza,Dedza Boma
11,MW20420,Sub-Saharan Africa,Malawi,Dowa,Dowa Boma
12,MW10220,Sub-Saharan Africa,Malawi,Karonga,Karonga Town
13,MW20120,Sub-Saharan Africa,Malawi,Kasungu,Kasungu Boma
14,MW20107,Sub-Saharan Africa,Malawi,Kasungu,TA Kawamba and Kasungu National Park
15,MW30111,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba and Lake Malawi National Park
16,MW31008,Sub-Saharan Africa,Malawi,Chikwawa,STA Ndakwela and Lengwe National Park
17,MW10620,Sub-Saharan Africa,Malawi,Likoma,Likoma Boma
18,MW30213,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde and Liwonde National Park
19,MW30222,Sub-Saharan Africa,Malawi,Machinga,Liwonde Town
20,MW30721,Sub-Saharan Africa,Malawi,Thyolo,Luchenza Town
21,MW30220,Sub-Saharan Africa,Malawi,Machinga,Machinga Boma
22,MW31006,Sub-Saharan Africa,Malawi,Chikwawa,TA Kasisi and Majete Game Reserve Chikwawa
23,MW30120,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town
24,MW20720,Sub-Saharan Africa,Malawi,Mchinji,Mchinji Boma
25,MW30121,Sub-Saharan Africa,Malawi,Mangochi,Monkey Bay Urban
26,MW30820,Sub-Saharan Africa,Malawi,Mulanje,Mulanje Boma
27,MW30805,Sub-Saharan Africa,Malawi,Mulanje,TA Nkanda and Mulanje Mountain Reserve
28,MW31110,Sub-Saharan Africa,Malawi,Nsanje,Mwabvi Game Reserve
29,MW30620,Sub-Saharan Africa,Malawi,Mwanza,Mwanza Boma
30,MW10520,Sub-Saharan Africa,Malawi,Mzimba,Mzimba Boma
31,MW31320,Sub-Saharan Africa,Malawi,Neno,Neno Boma
32,MW10320,Sub-Saharan Africa,Malawi,Nkhata Bay,Nkhatabay Boma
33,MW20220,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Boma
34,MW20207,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Game Reserve
35,MW31120,Sub-Saharan Africa,Malawi,Nsanje,Nsanje Boma
36,MW20920,Sub-Saharan Africa,Malawi,Ntcheu,Ntcheu Boma
37,MW20320,Sub-Saharan Africa,Malawi,Ntchisi,Ntchisi Boma
38,MW30920,Sub-Saharan Africa,Malawi,Phalombe,Phalombe Boma
39,MW10420,Sub-Saharan Africa,Malawi,Rumphi,Rumphi Boma
40,MW20520,Sub-Saharan Africa,Malawi,Salima,Salima Town
41,MW20402,Sub-Saharan Africa,Malawi,Dowa,TA Chakhaza
42,MW30204,Sub-Saharan Africa,Malawi,Machinga,TA Chamba
43,MW20905,Sub-Saharan Africa,Malawi,Ntcheu,TA Champiti
44,MW10406,Sub-Saharan Africa,Malawi,Rumphi,STA Chapinduka
45,MW20805,Sub-Saharan Africa,Malawi,Dedza,TA Chauma
46,MW30207,Sub-Saharan Africa,Malawi,Machinga,TA Chikweo
47,MW20802,Sub-Saharan Africa,Malawi,Dedza,TA Chilikumwendo
48,MW20305,Sub-Saharan Africa,Malawi,Ntchisi,TA Chilooko
49,MW20109,Sub-Saharan Africa,Malawi,Kasungu,TA Chilowamatambe
50,MW20104,Sub-Saharan Africa,Malawi,Kasungu,STA Chisikwa
51,MW20605,Sub-Saharan Africa,Malawi,Lilongwe,STA Chitekwele
52,MW30209,Sub-Saharan Africa,Malawi,Machinga,TA Chiwalo
53,MW30106,Sub-Saharan Africa,Malawi,Mangochi,TA Chowe
54,MW20706,Sub-Saharan Africa,Malawi,Mchinji,TA Dambe
55,MW10307,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamalaza
56,MW20908,Sub-Saharan Africa,Malawi,Ntcheu,TA Goodson Ganya
57,MW10504,Sub-Saharan Africa,Malawi,Mzimba,TA Jaravikuba Munthali
58,MW30806,Sub-Saharan Africa,Malawi,Mulanje,TA Juma
59,MW10405,Sub-Saharan Africa,Malawi,Rumphi,STA Kachulu
60,MW20202,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kafuzila
61,MW20506,Sub-Saharan Africa,Malawi,Salima,TA Kambalame
62,MW20504,Sub-Saharan Africa,Malawi,Salima,TA Kambwiri
63,MW20808,Sub-Saharan Africa,Malawi,Dedza,TA Kamenya Gwaza
64,MW10503,Sub-Saharan Africa,Malawi,Mzimba,TA Kampingo Sibande
65,MW20403,Sub-Saharan Africa,Malawi,Dowa,TA Kayembe
66,MW10508,Sub-Saharan Africa,Malawi,Mzimba,TA Khosolo Gwaza Jere
67,MW30706,Sub-Saharan Africa,Malawi,Thyolo,TA Kwethemule
68,MW30802,Sub-Saharan Africa,Malawi,Mulanje,TA Laston Njema
69,MW20106,Sub-Saharan Africa,Malawi,Kasungu,TA Lukwa
70,MW20103,Sub-Saharan Africa,Malawi,Kasungu,STA M'nyanja
71,MW31109,Sub-Saharan Africa,Malawi,Nsanje,TA Makoko
72,MW20904,Sub-Saharan Africa,Malawi,Ntcheu,TA Makwangwala
73,MW10304,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malanda
74,MW20702,Sub-Saharan Africa,Malawi,Mchinji,TA Mavwere
75,MW30703,Sub-Saharan Africa,Malawi,Thyolo,STA Mbawela
