"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","runNum"
"1",1,18841349.6633035,0,1,0,0,0,0,0,0,0,"Malawi","All","All",1,18841350.6633035,80
"2",2,18841348.858413,0.66007007575947,0.873301356923915,0.00701586828804554,6.60774250673118e-05,0.264436387675772,7.66232539726957e-07,0.80489053230481,0.00742037536001868,6.73857070991507e-05,"Malawi","All","All",1,18841350.6633035,80
"3",3,18841348.0599106,1.10181132476067,0.960698356089648,0.0132560449839214,0.00024440788311603,0.527377086629491,5.72389365453096e-06,1.6033929442405,0.0147818582409232,0.000254180983098247,"Malawi","All","All",1,18841350.6633035,80
"4",4,18841347.1270894,1.51109804639803,1.16955799136427,0.0200233279376522,0.000527894701579491,0.834988387849,1.84824715108335e-05,2.53621413072204,0.0233816412949025,0.000559452073692942,"Malawi","All","All",1,18841350.6633035,80
"5",5,18841345.9668859,1.97472609257112,1.47475419326257,0.0280729583547321,0.000927327861039014,1.21789431513725,4.27447621763386e-05,3.6964176319489,0.0340776879840177,0.00100031119365819,"Malawi","All","All",1,18841350.6633035,80
"6",6,18841344.4938901,2.54519487587513,1.88038558537164,0.0380163142859653,0.00146474522531549,1.70426912411673,8.27779696631305e-05,5.16941342284444,0.0476574029534929,0.00160608212335557,"Malawi","All","All",1,18841350.6633035,80
"7",7,18841342.61179,3.26699628243854,2.40578263581769,0.050496945935282,0.00217201182229851,2.32592180712723,0.000143760918604404,7.05151344405964,0.0650086976861224,0.00241747232800585,"Malawi","All","All",1,18841350.6633035,80
"8",8,18841340.2022717,4.18830200684579,3.08117602616028,0.0662837780515401,0.00309175440535871,3.12194613596034,0.000232127689003992,9.4610318291123,0.0872223249923157,0.00348809424851446,"Malawi","All","All",1,18841350.6633035,80
"9",9,18841337.1157094,5.36740925298246,3.94741977056163,0.0863391992103399,0.00427963353402791,4.14179023653327,0.000355967083588337,12.5475940599053,0.115677701584736,0.00488741944135923,"Malawi","All","All",1,18841350.6633035,80
"10",10,18841333.1611529,6.87768483364711,5.05768277257635,0.111886316116269,0.0058076750085015,5.44856350862354,0.000525516829871904,16.5021506228016,0.152135225803201,0.00670495382440164,"Malawi","All","All",1,18841350.6633035,80
"11",11,18841328.0942339,8.81261818350658,6.48040909520635,0.144487395116204,0.0077687068056452,7.1230324447066,0.000753788828336287,21.5690696141697,0.198847761869258,0.00905574217517505,"Malawi","All","All",1,18841350.6633035,80
"12",12,18841321.6019849,11.2917873327095,8.30341239701383,0.186141187663576,0.0102821040171439,9.26863824258133,0.00105736470206485,28.0613186286874,0.25870060533796,0.012087471407708,"Malawi","All","All",1,18841350.6633035,80
"13",13,18841313.2833732,14.4683567349171,10.6392771134799,0.239407242890535,0.0135012283865319,12.0179306014429,0.00145741902282697,36.3799303401398,0.335390941650672,0.0159896571879297,"Malawi","All","All",1,18841350.6633035,80
"14",14,18841302.6246214,18.5385276704139,13.6322621498506,0.30756333402126,0.0176228911518154,15.5407250717637,0.001981016844572,47.0386821340458,0.433655375643128,0.0210053222130796,"Malawi","All","All",1,18841350.6633035,80
"15",15,18841288.9674046,23.7536909827269,17.4672223337407,0.394808231516176,0.0228995633499106,20.054614944289,0.00266278517879659,60.6958988408014,0.559563133103134,0.0274460604293847,"Malawi","All","All",1,18841350.6633035,80
"16",16,18841271.46825,30.4359313624365,22.3810057769988,0.506520589178253,0.0296549741899411,25.838393762897,0.00354704619556776,78.1950535118959,0.720890445816978,0.0357112776789805,"Malawi","All","All",1,18841350.6633035,80
"17",17,18841252.5452425,36.0818484658807,28.1481501825878,0.648161061873261,0.0382974910583224,33.1969132767782,0.00469050988178039,97.1180609880599,0.926130585782336,0.0463061692080169,"Malawi","All","All",1,18841350.6633035,80
"18",18,18841229.0154654,43.6735948906669,34.7479425157173,0.82232376462317,0.0492812519584645,42.3485309967233,0.00616464695714404,120.647838066646,1.18133632872013,0.0598069036745036,"Malawi","All","All",1,18841350.6633035,80
"19",19,18841200.0752193,53.2393723862448,42.6369095825688,1.03388624007294,0.0630967894472926,53.6067624285398,0.00805678428794223,149.588084211162,1.49522486568123,0.0768531174180064,"Malawi","All","All",1,18841350.6633035,80
"20",20,18841164.6074736,65.0549906013225,52.2129457690419,1.29042827075007,0.0803200418760523,67.4066729915173,0.0104721624797111,185.055829836987,1.87991191212334,0.0982004388787506,"Malawi","All","All",1,18841350.6633035,80
"21",21,18841121.1913103,79.5559263610564,63.8975559404013,1.6018577037463,0.101651526946281,84.3014641263019,0.0135375132241677,228.471993171676,2.35080935174295,0.12476577019321,"Malawi","All","All",1,18841350.6633035,80
"22",22,18841068.0662805,97.314759658407,78.1799132104087,1.98053548088075,0.127951705079591,104.976457063506,0.0174058759074503,281.597022994189,2.92701191547302,0.157670874545103,"Malawi","All","All",1,18841350.6633035,80
"23",23,18841003.0698127,119.048129280288,95.6476493547621,2.44166414093332,0.1602790797305,130.273506243283,0.0222626279406072,346.593490726937,3.63197620198532,0.198290772795102,"Malawi","All","All",1,18841350.6633035,80
"24",24,18840923.5527298,145.639267629919,117.015266600212,3.00385969393228,0.199934916388538,161.22391186682,0.0283329201710877,426.110573627442,4.4944372025819,0.248311157865531,"Malawi","All","All",1,18841350.6633035,80
"25",25,18840826.2727763,178.171296692216,143.155046722551,3.68988987844456,0.248517163687385,199.08988597627,0.0358907691895543,523.390527202358,5.54956343027314,0.309797840251061,"Malawi","All","All",1,18841350.6633035,80
"26",26,18840707.2624689,217.970490814673,175.133473913134,4.52759727222701,0.307986469876872,245.416015868489,0.0452702177583697,642.400834556158,6.840390706045,0.385281820048003,"Malawi","All","All",1,18841350.6633035,80
"27",27,18840561.6684836,266.659549275283,214.254806692651,5.55102357147645,0.380746150914915,302.091815310276,0.0568788411945521,787.994819841796,8.41956490803104,0.477862316136988,"Malawi","All","All",1,18841350.6633035,80
"28",28,18840383.5531919,326.223800793333,262.114532780852,6.80180008274869,0.469740890314698,371.429022580732,0.0712143987207668,966.110111526701,10.3514956115726,0.591333896907438,"Malawi","All","All",1,18841350.6633035,80
"29",29,18840165.6534996,399.091724541704,320.664240584118,8.33083760721101,0.578576717502632,456.25553941387,0.0888850477243908,1184.00980391213,12.7149733712936,0.73034097287921,"Malawi","All","All",1,18841350.6633035,80
"30",30,18839899.084385,488.23396951965,392.291315063461,10.200404034443,0.711668562776048,560.030927125092,0.110634179381398,1450.5789184848,15.6063876175247,0.900567756542349,"Malawi","All","All",1,18841350.6633035,80
