"","time","S","E","I","H","C","R","D","hosp","crits"
"1",0,26969305,0,1,0,0,0,0,0,0
"2",1,26969304.2625269,0.607742810216567,0.794515239399053,0.00957303078344827,9.86056679048725e-05,0.0608937613177982,1.25391219921727e-06,0.0102082399074361,0.000100738189111402
"3",2,26969303.5977517,0.965720021620401,0.799142632947113,0.0170989767177104,0.000351043133180557,0.116717919127583,9.10931204584571e-06,0.0194101812454742,0.000366535287357531
"4",3,26969302.8831228,1.25295184500354,0.901708374757212,0.0244003884206971,0.000728775541463081,0.177400064832801,2.85806417621252e-05,0.0293022081193808,0.000777382473186054
"5",4,26969302.0555915,1.54349581372729,1.06254503642426,0.0323195736858535,0.00122897190977555,0.248129151657654,6.41693628628555e-05,0.0407570502193258,0.00133810437311704
"6",5,26969301.0717552,1.87208478223937,1.27059398632202,0.0413474636723257,0.00186115043582875,0.33255316732645,0.0001205231427603,0.0543754967914934,0.00206612344588031
"7",6,26969299.8918604,2.25959412971179,1.52666352019719,0.0518711596366568,0.00264243897593133,0.434066629466621,0.000202786883944066,0.0707078224705176,0.00298731745361639
"8",7,26969298.4728496,2.72310048900386,1.83716287249039,0.0642759028453999,0.00359624466979382,0.556375044330182,0.000316851570535925,0.0903500370336111,0.00413511229857345
"9",8,26969296.7647221,3.28006747659642,2.21190156462,0.0789923970369648,0.00475234740088658,0.70379549697472,0.000469584071270154,0.113994261542692,0.00555096630806143
"10",9,26969294.7079788,3.95033082365746,2.66349786723143,0.0965246536551928,0.00614767313475944,0.881472260414621,0.000669073725217731,0.142464094233744,0.00728556293968296
"11",10,26969292.2312406,4.75731992614691,3.20745633572973,0.117472372563584,0.00782749040299789,1.09558083050926,0.000924916049775557,0.176747578142282,0.00940048976582186
"12",11,26969289.2486561,5.72907184884367,3.86256793960927,0.142553484207155,0.00984695905997936,1.35355158034264,0.00124854652553787,0.218033088462832,0.0119703548963947
"13",12,26969285.656877,6.89928309513686,4.65150781335585,0.17262966540339,0.0122730459050497,1.66433130450631,0.00165363842358687,0.267751193601976,0.0150853791835938
"14",13,26969281.3314682,8.30850425626648,5.60159885024722,0.20873629061021,0.0151868494748736,2.03869400223236,0.00215657703342021,0.327624351054479,0.0188545275309242
"15",14,26969276.1225822,10.0055597955401,6.74575151257795,0.252118379808013,0.0186864250803137,2.48961547753018,0.00277703037724845,0.399726788908371,0.0234093045405788
"16",15,26969269.8497488,12.0492474714782,8.12360583060423,0.304273800095432,0.0228902028683125,3.0327245066678,0.00353863509086796,0.486556615432884,0.0289083390489449
"17",16,26969262.29566,14.5103662516935,9.78289399525096,0.367004792748203,0.0279410732560404,3.68684121170044,0.00446981299704297,0.591121863795631,0.0355428583023665
"18",17,26969253.198608,17.4741811668202,11.7811000493144,0.442480623241955,0.0340113645449622,4.4746320216207,0.00560476303867917,0.717045165947636,0.0435433525462095
"19",18,26969242.2434554,21.0433617702719,14.1874464676224,0.533312344566248,0.0413087957982437,5.42339179323733,0.00698464468257493,0.8686887426586,0.0531875405101646
"20",19,26969229.0506775,25.3415568955316,17.0852963631171,0.642643561771554,0.0500836996423302,6.56599296326263,0.0086590120582404,1.0513060911818,0.0648100312414006
"21",20,26969213.163209,30.5176782599825,20.5750442156701,0.774259324814656,0.0606377016718992,7.94202490395579,0.0106875350032582,1.2712240626238,0.0788139304813823
"22",21,26969194.0306676,36.7510338521027,24.7775872540651,0.932716697177356,0.0733341373534777,9.5991604958026,0.0131420627426674,1.53606124530216,0.0956847672570509
"23",22,26969170.9902442,44.2575649164343,29.8385119335954,1.12350301692667,0.08861066026399,11.5948114835236,0.0161091213171039,1.85499250954043,0.116007349480927
"24",23,26969143.2437432,53.2973246860432,35.9331376010338,1.35322593919918,0.106994402917206,13.9981172806588,0.0196929145398329,2.23906682908821,0.140486028487787
"25",24,26969109.8299622,64.1834517149125,43.2726082263454,1.62984192649123,0.12912023695174,16.8923377796334,0.0240189358831302,2.70158964499477,0.169969101936882
"26",25,26969069.5913662,77.2930594724229,52.1111788767061,1.96293228061068,0.155752759435583,20.3777400699569,0.0292383203886352,3.25858420220851,0.205478201385181
"27",26,26969021.1339837,93.0803163224695,62.7550087119988,2.3640351817002,0.187812772369748,24.5750725412922,0.0355330836582908,3.92934673819186,0.24824368171252
"28",27,26968962.7792015,112.092052677586,75.5728446851195,2.84704414931222,0.226409199891051,29.6297414149489,0.0431224289441486,4.73711383532275,0.299747264755454
"29",28,26968892.5055102,134.986837756114,91.0087158101368,3.42869080279268,0.272877499222875,35.7168570555005,0.0522703503279877,5.70986891823246,0.361773380941504
"30",29,26968807.8785555,162.557775616235,109.597284916777,4.12912391916592,0.328825867882726,43.0472940233527,0.0632947719331785,6.88131068039513,0.436470919501343
"31",30,26968705.9669027,195.75978933335,131.982502247714,4.97260582987326,0.396191017835889,51.8749899657656,0.0765785687848266,8.29201935279922,0.526427745735393
"32",31,26968583.2403838,235.742966346699,158.93969467368,5.98835522844211,0.477305170851439,62.5057521365412,0.0925828309060802,9.9908641953614,0.634760254541512
"33",32,26968435.4481674,283.892007110685,191.402605694379,7.21155503047532,0.574976834345317,75.3078237660292,0.111862821959821,12.0366918299072,0.765221287027469
"34",33,26968257.4710388,341.874550770965,230.4956173637,8.68457651202484,0.69258826883104,90.7246837081073,0.135087269125417,14.5003718247163,0.922330404143184
"35",34,26968043.1447372,411.698549261902,277.572699375898,10.4584410232733,0.834212378282838,109.290357272423,0.163061471881472,17.4672432796083,1.1115300780167
