ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Current Infections
Balaka,MW312,Southern,MW3,Malawi,MW,0
Blantyre,MW305,Southern,MW3,Malawi,MW,0
Blantyre City,MW315,Southern,MW3,Malawi,MW,16
Chikwawa,MW310,Southern,MW3,Malawi,MW,1
Chiradzulu,MW304,Southern,MW3,Malawi,MW,0
Chitipa,MW101,Northern,MW1,Malawi,MW,0
Dedza,MW208,Central,MW2,Malawi,MW,0
Dowa,MW204,Central,MW2,Malawi,MW,0
Karonga,MW102,Northern,MW1,Malawi,MW,1
Kasungu,MW201,Central,MW2,Malawi,MW,0
Likoma,MW106,Northern,MW1,Malawi,MW,0
Lilongwe,MW206,Central,MW2,Malawi,MW,0
Lilongwe City,MW210,Central,MW2,Malawi,MW,25
Machinga,MW302,Southern,MW3,Malawi,MW,0
Mangochi,MW301,Southern,MW3,Malawi,MW,1
Mchinji,MW207,Central,MW2,Malawi,MW,0
Mulanje,MW308,Southern,MW3,Malawi,MW,1
Mwanza,MW306,Southern,MW3,Malawi,MW,0
Mzimba,MW105,Northern,MW1,Malawi,MW,0
Mzuzu City,MW107,Northern,MW1,Malawi,MW,3
Neno,MW313,Southern,MW3,Malawi,MW,0
Nkhata Bay,MW103,Northern,MW1,Malawi,MW,0
Nkhotakota,MW202,Central,MW2,Malawi,MW,1
Nsanje,MW311,Southern,MW3,Malawi,MW,0
Ntcheu,MW209,Central,MW2,Malawi,MW,0
Ntchisi,MW203,Central,MW2,Malawi,MW,0
Phalombe,MW309,Southern,MW3,Malawi,MW,0
Rumphi,MW104,Northern,MW1,Malawi,MW,0
Salima,MW205,Central,MW2,Malawi,MW,0
Thyolo,MW307,Southern,MW3,Malawi,MW,8
Zomba,MW303,Southern,MW3,Malawi,MW,0
Zomba City,MW314,Southern,MW3,Malawi,MW,1
