"","TA","ID","Population","Incidences","Recovered","Deaths","Peak_Hospital","Peak_Crit"
"1","Balaka",2,34766,9885.73064902738,9867.31306644362,18.4175825837646,81.5512211739528,12.414404994249
"2","Balaka",138,189063,14444.3869972092,14391.4049388411,52.9820583680676,136.884056448508,33.4742824091442
"3","Balaka",220,260230,14893.9427240674,14838.7792430899,55.1634809775475,142.528210476104,34.6705617753064
"4","Blantyre",114,59692,11740.8021093868,11699.7526748662,41.0494345205986,117.106379986319,26.8047873608682
"5","Blantyre",149,106665,13329.2115512087,13292.3496890579,36.8618621507926,120.449918011248,23.7665990432419
"6","Blantyre",163,108459,13367.9170548291,13325.1309765409,42.7860782882374,127.499043234829,27.4916364413978
"7","Blantyre",164,51202,11246.2507027301,11209.8837092512,36.3669934789232,107.506974025985,23.8800246713522
"8","Blantyre",169,40760,10461.8837309033,10426.7948184944,35.088912408914,105.07649644452,23.2313019139477
"9","Blantyre",173,34131,9817.68303009724,9786.17572753368,31.5073025635589,99.6430712611562,21.0175342700107
"10","Blantyre",176,24477,8559.0290013246,8526.68195465048,32.3470466741192,93.1190222031662,21.7372875139538
"11","Blantyre",230,90288,12920.9834234355,12879.3073204153,41.6761030202289,123.342692534902,26.904850963708
"12","Blantyre City",3,979024,15875.0545968925,15847.8677973234,27.1867995691256,118.799592839512,17.1787502398303
"13","Chikwawa",6,10806,5500.10739905274,5486.75797041228,13.3494286404649,52.616233685559,9.2156525451518
"14","Chikwawa",7,69743,12211.9135133973,12186.6118955022,25.3016178950997,100.10409352429,16.584339687578
"15","Chikwawa",16,1,1,1,0,0,0
"16","Chikwawa",22,47558,10998.4037439741,10963.2349877623,35.1687562117688,107.601250675256,23.1745588870507
"17","Chikwawa",113,129546,13756.365104963,13713.6989358564,42.6661691066355,123.662549694369,27.2493835851906
"18","Chikwawa",157,37372,10150.1132239693,10120.0169062442,30.0963177250707,95.9970829689831,20.0195155003829
"19","Chikwawa",177,95673,13067.2984249484,13020.7349979612,46.5634269871603,126.526637740663,29.9433908461344
"20","Chikwawa",185,40611,10448.8484138333,10417.6501123842,31.1983014491314,99.9498494654183,20.6963857433774
"21","Chikwawa",214,228307,14723.1386270799,14673.3310762502,49.8075508297448,134.505157537438,31.3863174711946
"22","Chiradzulu",8,3806,2566.98055105085,2560.81338520911,6.16716584174503,23.7752923406169,4.24469776080561
"23","Chiradzulu",125,27860,9054.72217434916,9019.91225224308,34.8099221060789,99.2850580809942,23.309610877182
"24","Chiradzulu",137,117760,13553.1977809402,13497.7946482884,55.4031326518139,141.679904939887,35.3973137291563
"25","Chiradzulu",168,86460,12808.4839934897,12764.9257297007,43.5582637889899,125.66905795634,28.1528866453893
"26","Chiradzulu",194,88254,12862.1488883006,12816.4430776112,45.7058106894369,128.985569323209,29.4929832186477
"27","Chiradzulu",210,50615,11207.9638085301,11164.1028358977,43.8609726323748,120.643994047843,28.7913838184868
"28","Chiradzulu",218,63598,11936.5541381568,11887.4550402016,49.0990979551816,129.662913629737,31.9565361453432
"29","Chitipa",9,21215,8007.9924801057,7991.95487180185,16.037608303849,69.4117434169461,10.9371763827188
"30","Chitipa",144,28948,9200.32663086365,9170.61358267345,29.7130481901992,91.0726360212639,19.8781384944817
"31","Chitipa",200,107405,13345.3057419862,13302.320312493,42.98542949317,124.486589308745,27.563977747034
"32","Chitipa",205,42023,10569.8955474537,10531.2697346103,38.6258128434417,110.848727553721,25.4913624635386
"33","Chitipa",206,29517,9274.04220516983,9242.48086294452,31.5613422253101,92.7186353147196,21.0737702361342
"34","Chitipa",222,36875,10101.4499067478,10069.0827997217,32.3671070260568,97.8625953911559,21.4686376283517
"35","Dedza",10,30623,9412.86493560699,9395.34975701071,17.5151785962783,79.1853792762341,11.870890390594
"36","Dedza",45,31902,9566.43120018604,9527.3987905586,39.0324096274437,106.110912277284,25.9748399489199
"37","Dedza",47,92925,12994.2774126337,12947.1853780099,47.0920346238081,127.869259635114,30.3034879308508
"38","Dedza",63,46478,10920.0534969199,10884.4368218497,35.6166750701957,107.838532616794,23.479772954486
"39","Dedza",136,142408,13945.8554105947,13902.7009655805,43.154445014208,124.665619442299,27.5048734591391
"40","Dedza",150,202156,14547.9622930017,14496.9968241927,50.9654688090288,139.156902963711,32.1863271145082
"41","Dedza",154,109044,13380.3105731341,13339.8405145328,40.4700586013477,118.681749144543,25.9770610600341
"42","Dedza",227,202433,14550.0144367401,14503.0129041056,47.0015326345064,120.643681270832,29.6171402739715
"43","Dedza",232,96260,13082.4555405178,13031.0366020912,51.4189384265549,131.849361981072,33.0157471180995
"44","Dowa",11,7260,4210.79483166195,4202.31575729799,8.4790743639597,39.1417144053867,5.89787116763543
"45","Dowa",41,184981,14409.4925044862,14363.9818300934,45.510674392789,133.315938587045,28.8315767165284
"46","Dowa",65,130321,13768.6729207657,13724.7811750005,43.8917457651955,127.08385998641,28.0195262700506
"47","Dowa",81,113569,13472.750813908,13433.1624171941,39.5883967138506,121.675023395866,25.4150668137361
"48","Dowa",86,51609,11272.4645651375,11240.7858975741,31.6786675634358,104.138281001042,20.8677139853681
"49","Dowa",128,125025,13682.148372564,13634.8217422917,47.3266302723161,132.399369192595,30.2357952577316
"50","Dowa",131,114142,13484.0280915823,13439.2474018754,44.7806897068746,129.481596991152,28.6935315062193
"51","Dowa",198,100996,13199.7544312594,13156.4294994377,43.3249318216572,127.14207237171,27.8601857974378
"52","Karonga",12,61246,11820.8096727215,11795.7351133864,25.0745593350571,98.8248830072676,16.5143541165157
"53","Karonga",91,29428,9262.61551236371,9235.43969689451,27.1758154691999,87.7988796127001,18.2038052745358
"54","Karonga",96,34753,9884.35307937479,9856.92414583126,27.4289335435238,90.9736351378254,18.2820595874698
"55","Karonga",161,92690,12987.8720205316,12947.2480275094,40.6239930221714,117.56331306749,26.1585640726786
"56","Karonga",167,98820,13146.9576681851,13102.3812293044,44.5764388806782,125.407512204139,28.6446096120492
"57","Karonga",236,78123,12534.9227753875,12495.6993274872,39.2234479003486,116.650513560928,25.4011447663569
"58","Kasungu",13,59620,11737.0259664175,11718.8515682171,18.1743982003892,90.8086109589204,12.0965735444287
"59","Kasungu",14,68484,12158.4390912738,12126.6834005734,31.7556907004489,105.771395291926,20.7068794900091
"60","Kasungu",49,58040,11652.5036482873,11620.4281198183,32.0755284690415,107.066595202101,21.0316252236174
"61","Kasungu",50,9582,5090.677061736,5070.60252928222,20.0745324537851,58.103293652206,13.7439561159695
"62","Kasungu",69,41315,10509.8582863605,10482.2073242229,27.6509621376075,95.8753507663076,18.3607795516184
"63","Kasungu",70,47032,10960.538132425,10925.1018553818,35.4362770432,107.787677835319,23.3335550493933
"64","Kasungu",100,56660,11575.9991870528,11544.6432735559,31.3559134968574,105.12864056646,20.5838745869337
"65","Kasungu",103,45259,10828.7023519971,10794.4208876843,34.2814643128445,105.453301195273,22.61286154886
"66","Kasungu",129,90463,12925.9581884512,12885.9756493427,39.9825391084886,119.593128536156,25.7957536879039
"67","Kasungu",140,69822,12215.2293636913,12174.6546123351,40.5747513562169,119.797078655437,26.3493674411388
