"","TA","ID","Population","Incidents","Recovered","Deaths","Peak_Hospital","Peak_Crit","Cumulative_Hospital","Cumulative_Critical"
"1","Balaka",2,34766,26334.5018579287,26285.4394394096,49.0624185190957,149.248366367897,27.68691339459,663.831037480473,84.2240859791924
"2","Balaka",138,189063,143198.846919192,142673.593105511,525.253813681243,1006.37379416705,291.977932923472,4478.16489140709,888.513685778513
"3","Balaka",220,260230,197100.599030743,196370.587184542,730.011846200528,1410.53222039249,405.854340408363,6278.77124753858,1235.4567087265
"4","Blantyre",114,59692,45213.4187593936,45055.3388246893,158.079934704284,318.963985367776,87.9965402977797,1418.70511682222,267.71380809423
"5","Blantyre",149,106665,80790.7127252634,80567.2864548345,223.426270428914,530.584366619664,124.985730756232,2360.60355707179,380.305482216121
"6","Blantyre",163,108459,82149.4841067211,81886.552033176,262.932073545138,569.685057217886,146.63492100792,2535.13028697682,446.220420014602
"7","Blantyre",164,51202,38783.1135266448,38657.7006006392,125.41292600559,260.013251073282,69.8297134518469,1156.3854696243,212.434626451255
"8","Blantyre",169,40760,30874.3466069764,30770.7947752482,103.551831728243,214.694378785177,57.6838677524955,955.274884175955,175.508088255701
"9","Blantyre",173,34131,25853.5666832462,25770.5963804207,82.9703028254969,180.144065800931,46.3086382903557,801.088353480991,140.860557847269
"10","Blantyre",176,24477,18541.6290457318,18471.5548665737,70.0741791581314,136.570761836232,38.9742168006908,607.201527649102,118.542317834817
"11","Blantyre",230,90288,68386.7767769075,68166.1980344895,220.578742418002,471.250403354117,122.97982731394,2096.19797891338,374.174229893049
"12","Blantyre City",3,979024,741514.220834105,740244.341948212,1269.87888589255,4235.44811709879,719.079300950086,18843.5610773258,2188.24548232766
"13","Chikwawa",6,10806,8187.22769155429,8167.35629579532,19.8713957589689,51.9816772002042,11.1591801670273,230.861014852939,33.9122793725654
"14","Chikwawa",7,69743,52826.025117722,52716.5759418719,109.449175850117,308.864078677943,61.4889417223623,1374.00771324407,187.083163107616
"15","Chikwawa",16,1,1,1,0,0,0,0,0
"16","Chikwawa",22,47558,36023.1523461084,35907.9638635951,115.188482513303,245.998768185447,64.1797953358528,1094.7796591311,195.307035882143
"17","Chikwawa",113,129546,98120.7317500626,97816.4045850904,304.327164972177,645.730737169778,169.459507163168,2873.7187814126,515.788760273957
"18","Chikwawa",157,37372,28308.2723675002,28224.3349053755,83.9374621246758,184.623602721138,46.8560532045181,821.066719816161,142.54482587018
"19","Chikwawa",177,95673,72465.3834156159,72207.1635156212,258.219899994714,507.405544610665,143.605923707092,2258.58027322499,437.050688645076
"20","Chikwawa",185,40611,30761.4883939615,30669.6403613224,91.8480326390949,203.701104257315,51.2611883919933,906.300016060514,155.961790171094
"21","Chikwawa",214,228307,172922.17988649,172337.193892919,584.985993570922,1177.66795552777,325.428048352964,5241.2086761244,990.547616013124
"22","Chiradzulu",8,3806,2885.42433261452,2878.49210623285,6.93222638166642,18.4766498296095,3.89767052280725,81.8481457161061,11.8209316226001
"23","Chiradzulu",125,27860,21103.9093366282,21022.7775895864,81.131747041824,157.437928236496,45.1332598692697,700.124049481938,137.296383767989
"24","Chiradzulu",137,117760,89194.048695068,88829.4388344867,364.609860581314,680.409980678167,202.66112809677,3026.70844100799,616.649610165789
"25","Chiradzulu",168,86460,65487.4768420087,65264.771273224,222.705568784677,462.88627992258,124.136613807808,2059.31507147315,377.751932545952
"26","Chiradzulu",194,88254,66846.2505044181,66608.7115042965,237.539000121623,483.434727433941,132.283354766448,2150.4177422945,402.497901493616
"27","Chiradzulu",210,50615,38338.5195055135,38188.486480013,150.033025500458,289.243141001052,83.4760774984097,1286.37399375697,253.953072369755
"28","Chiradzulu",218,63598,48171.8113588191,47973.6643557616,198.147003057554,371.221026156085,110.14237530225,1651.96084079941,335.223301207424
"29","Chitipa",9,21215,16070.993998721,16038.8086159229,32.1853827980678,93.6609363025472,18.1015219876931,416.379558642699,55.0524506921275
