"","TA","ID","Population","Incidents","Recovered","Deaths","Peak_Hospital","Peak_Crit","Cumulative_Hospital","Cumulative_Critical"
"1","Balaka",2,34766,11080.4466514415,11059.8032791138,20.6433723276781,40.9048411842144,8.40674482659723,279.312077988082,35.4379367218951
"2","Balaka",138,189063,41547.6058536545,41395.3123643211,152.293489333405,90.7967208220729,34.1743404623144,1299.30173194948,257.756684080776
"3","Balaka",220,260230,194884.945507246,194163.139998851,721.805508394725,1315.58656502518,383.889847077002,6208.19013018538,1221.56865459821
"4","Blantyre",114,59692,16578.8458339971,16520.8818915856,57.9639424114679,60.5768940263269,19.6708928486939,520.21052781219,98.1650606029359
"5","Blantyre",149,106665,26018.8413962413,25946.8953652694,71.9460309718558,68.0314190705924,19.9942649338402,760.238880654155,122.475562046999
"6","Blantyre",163,108459,26366.9284615734,26282.5481176969,84.3803438764834,72.2621399099872,23.2396412388142,813.683616823004,143.216784276172
"7","Blantyre",164,51202,14767.3383906512,14719.5855817983,47.7528088528808,54.8518300796921,17.0495852047648,440.313708415222,80.8880765240781
"8","Blantyre",169,40760,12459.488549981,12417.6998157973,41.7887341836794,52.9109387703248,16.0327175143899,385.505703643791,70.827102956898
"9","Blantyre",173,34131,10931.4192822396,10896.3377675057,35.0815147339081,49.9717834665455,14.2032363592303,338.71662067848,59.5587340840281
"10","Blantyre",176,24477,8574.47189766212,8542.06649446176,32.4054032003543,46.9818012266412,14.2906984142829,280.796926191331,54.8192266841437
"11","Blantyre",230,90288,66278.4897983928,66064.7112722255,213.778526167282,387.517564816553,105.558642114753,2031.57456735648,362.63886181432
"12","Blantyre City",3,979024,739253.61194733,737987.604769342,1266.00717798784,4152.82124966569,707.861616561337,18786.1138828362,2181.57431421282
"13","Chikwawa",6,10806,4721.57480333867,4710.11496802369,11.4598353149778,28.6098200889514,6.03999331534532,133.137564007322,19.557213973223
"14","Chikwawa",7,69743,18668.359777383,18629.6821691294,38.6776082535977,52.7240034770717,12.5645545540309,485.565115628759,66.1136690084616
"15","Chikwawa",16,1,0.999999999999999,0.999999999999999,0,0,0,0,0
"16","Chikwawa",22,47558,13973.4254501981,13928.7439102171,44.6815399809716,54.6121220394198,16.35002012272,424.66640429431,75.7597999857582
"17","Chikwawa",113,129546,30415.4039292344,30321.0907320679,94.3131971664746,73.0619673252198,24.3051497633758,890.7956720076,159.876823219889
"18","Chikwawa",157,37372,11685.8518781425,11651.2019624538,34.6499156887312,48.2122545721661,13.669094065401,338.942060925056,58.8434884762444
"19","Chikwawa",177,95673,23870.8355683031,23785.7825329596,85.0530353434841,69.9490048263249,24.4538237553758,744.00002677343,143.966854811005
"20","Chikwawa",185,40611,12425.7652676656,12388.6643487672,37.1009188984461,50.3213728899201,14.2764897303944,366.08994058996,62.9990377059022
"21","Chikwawa",214,228307,170714.841435692,170137.322824538,577.518611153627,1087.501377018,305.469853147141,5174.30505088671,977.903351955332
"22","Chiradzulu",8,3806,2122.04371935087,2116.94551340864,5.09820594222769,15.4407390283466,3.02303515857743,60.1940385658396,8.69353371111157
"23","Chiradzulu",125,27860,9422.45651955439,9386.23289518609,36.2236243682969,49.8742232672936,15.4554830033221,312.590825168819,61.2999782102386
"24","Chiradzulu",137,117760,28161.8201994945,28046.7193120671,115.100887427372,81.778160289032,30.6541131213543,955.64445952512,194.692704679561
"25","Chiradzulu",168,86460,22047.2855155609,21972.3129473614,74.9725681995001,68.2690523013516,22.4047517307815,693.297972336937,127.174301281341
"26","Chiradzulu",194,88254,22404.2408290436,22324.6321276806,79.6087013630339,70.3112084268574,23.5898891255888,720.736156823503,134.900088911051
"27","Chiradzulu",210,50615,14640.179571194,14582.8874168781,57.2921543159143,61.5026191603492,20.5166416448453,491.222606686726,96.9759869131695
"28","Chiradzulu",218,63598,46127.3857526173,45937.6481848967,189.737567720587,282.838559468976,89.2246192830992,1581.85114606271,320.996327579347
"29","Chitipa",9,21215,7727.64945956458,7712.17329599954,15.4761635650438,35.2219244880348,7.14584802806538,200.213830760285,26.471669380829
"30","Chitipa",144,28948,9689.62146556407,9658.32822221413,31.2932433499363,45.7062635845653,13.2221288394556,290.653965737944,52.9734460190714
"31","Chitipa",200,107405,26162.5012296023,26078.2421228575,84.2591067448224,70.4125034758369,23.2353478327418,789.323342681904,142.68357988975
"32","Chitipa",205,42023,12744.4027004292,12697.8306620554,46.5720383738254,55.8926730549039,17.662341838566,412.399998658875,78.7599452831437
"33","Chitipa",206,29517,9828.37143283537,9794.92361855358,33.4478142817942,46.5221055970947,14.0398977633308,298.00391855209,56.5478634901828
"34","Chitipa",222,36875,26029.9436352029,25946.5383931807,83.4052420222085,119.287160886244,35.3623135360921,772.83925680871,141.179844853762
"35","Dedza",10,30623,10096.2419595928,10077.4551844828,18.7867751099741,39.7149228428981,7.93411252643048,258.000599504854,32.279606441613
"36","Dedza",45,31902,10403.19571068,10360.7492124003,42.4464982797149,53.1943491214205,17.4304630711736,351.169215548775,71.7134324960825
"37","Dedza",47,92925,23329.3245394815,23244.7841558468,84.5403836346801,70.3254132090169,24.5580960128888,738.058878933043,143.074531192164
"38","Dedza",63,46478,13735.9249860599,13691.1243035239,44.8006825360453,54.6592583469165,16.5061966012555,420.839568408076,75.9351633569539
"39","Dedza",136,142408,32852.3716925583,32750.7438907806,101.62780177774,75.5466484602747,25.3080772396256,960.104926569554,172.344291223423
"40","Dedza",150,202156,43957.0544967383,43803.1847084707,153.869788267629,94.6132955301684,33.7621347501667,1390.28653348708,260.700114482472
