"","TA","ID","Population","Incidences","Recovered","Deaths","Peak_Hospital","Peak_Crit"
"1","Balaka",2,34766,24924.1335338504,24877.6986985509,46.4348352995043,129.61501527117,24.8001607615477
"2","Balaka",138,189063,135521.263788813,135024.171389595,497.092399218144,873.536708126331,261.503433280906
"3","Balaka",220,260230,186532.394401148,185841.524596191,690.869804957303,1224.86375001141,363.517312286159
"4","Blantyre",114,59692,42790.6079002929,42640.9988554615,149.609044831363,276.743898748956,78.8072190515937
"5","Blantyre",149,106665,76459.9529512428,76248.5033778887,211.449573354122,460.636306341373,111.929609720277
"6","Blantyre",163,108459,77745.8857319334,77497.0480587761,248.837673157281,494.626395785928,131.309709865286
"7","Blantyre",164,51202,36705.1363338749,36586.4429629456,118.693370929341,225.694253070403,62.5297500521295
"8","Blantyre",169,40760,29220.5149070589,29122.5099891712,98.0049178877107,186.412490756518,51.6731286468065
"9","Blantyre",173,34131,24468.9746097425,24390.4477962141,78.5268135283545,156.429996902521,41.4827822454012
"10","Blantyre",176,24477,17549.1727617352,17482.8493625506,66.3233991846,118.572865649485,34.9135291182425
"11","Blantyre",230,90288,64721.2359864208,64512.4802997123,208.755686708486,409.035729553551,110.145479143818
"12","Blantyre City",3,979024,701750.125817521,700548.344961533,1201.78085598773,3675.69193891743,643.9736750933
"13","Chikwawa",6,10806,7750.0539815345,7731.24365955941,18.81032197509,45.1719290765952,10.004527043006
"14","Chikwawa",7,69743,49994.9953647332,49891.4117441524,103.583620580834,268.123866649004,55.0760839274639
"15","Chikwawa",16,1,1,1,0,0,0
"16","Chikwawa",22,47558,34093.2021111768,33984.1848846325,109.017226544278,213.665335463835,57.5065830696288
"17","Chikwawa",113,129546,92860.6020930143,92572.589533908,288.012559106344,560.598421874108,151.814074377891
"18","Chikwawa",157,37372,26792.0610462436,26712.6193356059,79.4417106376856,160.293617417555,41.9785818529178
"19","Chikwawa",177,95673,68581.1292372985,68336.750319785,244.378917513509,440.687336958941,128.615699607515
"20","Chikwawa",185,40611,29113.714461156,29026.7863734199,86.9280877360763,176.867692897035,45.9169402326568
"21","Chikwawa",214,228307,163650.641019613,163097.020139369,553.620880243658,1022.52108270789,291.474614502731
"22","Chiradzulu",8,3806,2732.56275491161,2725.99777819311,6.56497671849535,16.0997084342668,3.50162245903488
"23","Chiradzulu",125,27860,19974.0423469282,19897.2542547853,76.7880921429427,136.686202740584,40.4334053118434
"24","Chiradzulu",137,117760,84412.6383026308,84067.574029921,345.064272709833,590.610098200599,181.507581053991
