time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,S_all,E_all,I_all,H_all,C_all,R_all,D_all,inci_all,hosp_all,crits_all,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
43,4843.13805,0,0,0,0,0,0,0,0,0,19689.14744,1,0,0,0,0,0,0,0,0,31477.5004,0,0,0,0,0,0,0,0,0,56009.78589,1,0,0,0,0,0,0,0,0,344,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,30120,MW30120,0.1434222,0.003516747,0.2046063,0.02934508,0.02452024,0.000719548,19690.14744,0.3115795,0.03585968,0.5960490,0.1857166,0.1150900,0.02137412, 4843.13805,0.05,8.45e-06,1,0.2296207,0.000169096,3.88e-05, 31477.50040,43,2020-04-15
44,4843.092188425803,0.0400087150183285,0.005327247755272397,5.681886756580191e-5,1.1159070760998275e-6,4.6765950679518355e-4,1.7141447076674396e-8,0.04586157419648506,6.049261865973819e-5,1.144665528973122e-6,19689.050617444176,0.8360852006699844,0.22583121840098833,7.86273393231441e-4,9.671539192931143e-6,0.03411012728006635,6.454192576834829e-8,0.09682255582538937,8.559068506911133e-4,9.98698366247264e-6,31477.41618803706,0.07372892510835885,0.009554432012067066,1.4756823788085312e-7,4.6095558088153774e-10,9.284577741523468e-4,1.1808971046439457e-11,0.0842119629355807,1.5702352891941265e-7,4.72764551927977e-10,56009.55899390704,0.9498228407966717,0.24071289816832778,8.432398290351237e-4,1.0787907224611851e-5,0.03550624456101388,8.169518181606913e-8,0.22689609295745514,9.165564928797709e-4,1.113212195599769e-5,344,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,30120,MW30120,0.1434222,0.003516747,0.2046063,0.02934508,0.02452024,0.000719548,19690.14744,0.3115795,0.03585968,0.5960490,0.1857166,0.1150900,0.02137412, 4843.13805,0.05,8.45e-06,1,0.2296207,0.000169096,3.88e-05, 31477.50040,43,2020-04-15
45,4843.041185403978,0.07452717834417291,0.018545723412855177,3.8489176018453283e-4,1.5240382142535594e-5,0.0033910827824255086,4.793404135782924e-7,0.09686459602219422,4.3638609297797274e-4,1.6044578464613643e-5,19688.936080860753,0.7282743866209375,0.36247676577356636,0.0024891974509475053,6.286358829730423e-5,0.11805505051074727,8.753026188886457e-7,0.21135913924711466,0.002957336783542866,6.714157298735847e-5,31477.30946215033,0.14869203690960894,0.035251100283956574,1.0454815422803964e-6,6.524734512264146e-9,0.006993660121270371,3.4008334503848405e-10,0.19093784966119606,1.182777899426449e-6,6.864817857302627e-9,56009.286728415056,0.9514936018747193,0.4162735894703781,0.0028751346926743186,7.811049517435209e-5,0.12843979341444314,1.3549831158119766e-6,0.49916158493050494,0.003394905654420265,8.319301626982942e-5,344,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,30120,MW30120,0.1434222,0.003516747,0.2046063,0.02934508,0.02452024,0.000719548,19690.14744,0.3115795,0.03585968,0.5960490,0.1857166,0.1150900,0.02137412, 4843.13805,0.05,8.45e-06,1,0.2296207,0.000169096,3.88e-05, 31477.50040,43,2020-04-15
46,4842.982614965589,0.10705897685136079,0.03677793361804849,0.001105769046790872,6.600668973029682e-5,0.01042315134723139,3.1968555291145326e-6,0.15543503440869097,0.0013348280841719278,7.137010033767062e-5,19688.798031637358,0.6677363418343039,0.44477375816671544,0.004472108719401644,1.7327392879556492e-4,0.2322491075377757,3.772448883961254e-6,0.349408362635876,0.0058088022553897225,1.9171152765718968e-4,31477.17401488282,0.23004937070806564,0.07402038198879954,3.1410186393775214e-6,2.9285596787742473e-8,0.022312191829175782,2.3354147544175392e-9,0.3263851171656919,3.773438870220721e-6,3.162101154216002e-8,56008.95466148577,1.0048446893937304,0.5555720737735634,0.005581018784831893,2.393099041226495e-4,0.26498445071418286,6.971639827830204e-6,0.8312285142102589,0.007147403778431871,2.6311324900640245e-4,344,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,30120,MW30120,0.1434222,0.003516747,0.2046063,0.02934508,0.02452024,0.000719548,19690.14744,0.3115795,0.03585968,0.5960490,0.1857166,0.1150900,0.02137412, 4843.13805,0.05,8.45e-06,1,0.2296207,0.000169096,3.88e-05, 31477.50040,43,2020-04-15
47,4842.918759798824,0.13610776008738906,0.05808478742466288,0.002248771063973419,1.7940259759493014e-4,0.022657606475412262,1.1873525313310563e-5,0.2192902011743459,0.0028884889599934075,1.9932298218295995e-4,19688.641887011647,0.6379827810861874,0.4957633135867013,0.006416309982212858,3.3746358794356247e-4,0.3650429213418446,1.0198766590170282e-5,0.5055529883514798,0.009116794266653542,3.873093971399084e-4,31477.01471840588,0.3119305241764745,0.12344654849384899,6.677894099611135e-6,8.249012116395234e-8,0.050297752126076276,8.929841727576352e-9,0.48568159411046224,8.506293357441708e-6,9.14199628915287e-8,56008.575365216355,1.086021065350051,0.6772946495052131,0.008671758940285889,5.169486756596565e-4,0.4379982799433331,2.2081221745208422e-5,1.2105247836362878,0.01201378952000439,5.867237992857599e-4,344,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,30120,MW30120,0.1434222,0.003516747,0.2046063,0.02934508,0.02452024,0.000719548,19690.14744,0.3115795,0.03585968,0.5960490,0.1857166,0.1150900,0.02137412, 4843.13805,0.05,8.45e-06,1,0.2296207,0.000169096,3.88e-05, 31477.50040,43,2020-04-15
48,4842.849250040415,0.1628658964986646,0.08099378595749132,0.0037858268237490047,3.781800525445454e-4,0.040744215876135984,3.205437359099335e-5,0.28879995958217647,0.005172176494433701,4.3195813721710305e-4,19688.467371619427,0.6316136872340503,0.529858297376311,0.00818604572503149,5.45095726799123e-4,0.5098438494589682,2.1405048489287004e-5,0.6800683805696492,0.012716108092056776,6.49711510815974e-4,31476.831464594456,0.3943073854749625,0.18099954030697596,1.1733967813499868e-5,1.8010198725409304e-7,0.09361654087701428,2.480969271623548e-8,0.6689354055384462,1.5832201412906437e-5,2.049116799703285e-7,56008.148086254296,1.1887869692076773,0.7918516236407782,0.011983606516593994,9.234558813309225e-4,0.6442046062121185,5.3484231772996586e-5,1.6378037456902719,0.017904116787903383,0.0010818745597130474,344,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,30120,MW30120,0.1434222,0.003516747,0.2046063,0.02934508,0.02452024,0.000719548,19690.14744,0.3115795,0.03585968,0.5960490,0.1857166,0.1150900,0.02137412, 4843.13805,0.05,8.45e-06,1,0.2296207,0.000169096,3.88e-05, 31477.50040,43,2020-04-15
49,4842.773518604199,0.1883989511490597,0.10468009539127854,0.005662492903057752,6.792080601984255e-4,0.0650398770459554,7.077124892643427e-5,0.36453139579847627,0.008223450876119103,7.979420047674696e-4,19688.273738864875,0.6434776425867499,0.5563529385196786,0.009747487728059556,7.843879513357553e-4,0.6633003273372535,3.83509967457232e-5,0.8737011351198227,0.016523467713341403,9.718259566450894e-4,31476.623750492003,0.47750282788897436,0.24481886167329991,1.827675474522402e-5,3.3464301148437426e-7,0.15430915069852172,5.633009048568888e-8,0.876649507988643,2.6096216784625287e-5,3.9097310197006314e-7,56007.67100796108,1.3093794216247838,0.905851895584257,0.015428257385862532,0.001463930654545665,0.8826493550817307,1.0917857576264316e-4,2.1148820389069423,0.024773014806245133,0.001770158934514529,344,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,30120,MW30120,0.1434222,0.003516747,0.2046063,0.02934508,0.02452024,0.000719548,19690.14744,0.3115795,0.03585968,0.5960490,0.1857166,0.1150900,0.02137412, 4843.13805,0.05,8.45e-06,1,0.2296207,0.000169096,3.88e-05, 31477.50040,43,2020-04-15
50,4842.690871539317,0.21361732128900432,0.12876686032305298,0.0078197886979246,0.0010931123267126834,0.0957453050506252,1.360729928299234e-4,0.4471784606801498,0.012060773577946757,0.0013214039484248635,19688.059852856735,0.6700363767570404,0.581186618733469,0.011119923411507662,0.0010448447273701826,0.824137671947776,6.170768551871021e-5,1.0875871432626816,0.020507849630769143,0.0013464370318041628,31476.39067588384,0.5621042369791452,0.31362209789695283,2.621505267901298e-5,5.563782605699759e-7,0.23397089857317538,1.1127354662574838e-7,1.1097241161537599,3.9568088822927466e-5,6.676518071957242e-7,56007.14140027989,1.44575793502519,1.023575576953475,0.018965927162111273,0.002138513432343436,1.1538538755715766,1.9789195189525937e-4,2.6444897200965913,0.03260819129753883,0.002668508632036222,344,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,30120,MW30120,0.1434222,0.003516747,0.2046063,0.02934508,0.02452024,0.000719548,19690.14744,0.3115795,0.03585968,0.5960490,0.1857166,0.1150900,0.02137412, 4843.13805,0.05,8.45e-06,1,0.2296207,0.000169096,3.88e-05, 31477.50040,43,2020-04-15
51,4842.600523981792,0.23928347946222864,0.1531787943220545,0.010205530837407257,0.0016251652709579297,0.13299645222744144,2.3659608542345162e-4,0.5375260182055133,0.016695386345439368,0.002022105934264892,19687.824238743233,0.7089280873101066,0.6080937965411303,0.012347885498694354,0.0013183287908918961,0.9924212518527754,9.190676845748106e-5,1.3232012567620557,0.024671759706822793,0.0017675171514530377,31476.130948907048,0.6488940349038913,0.3866185899094559,3.543395092779644e-5,8.531317627646396e-7,0.3339019824964295,1.9855365121449238e-7,1.3694510929461186,5.6467659207379086e-5,1.051685413979132e-6,56006.55571163207,1.5971056016762266,1.1478911807726406,0.022588850287029408,0.0029443471936125903,1.4593196865766465,3.2870140753214717e-4,3.2301783679136875,0.04142361371146954,0.003790674771131909,344,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,30120,MW30120,0.1434222,0.003516747,0.2046063,0.02934508,0.02452024,0.000719548,19690.14744,0.3115795,0.03585968,0.5960490,0.1857166,0.1150900,0.02137412, 4843.13805,0.05,8.45e-06,1,0.2296207,0.000169096,3.88e-05, 31477.50040,43,2020-04-15
52,4842.501617774137,0.2660340487224761,0.1780315635857795,0.012780034881267414,0.002276646049203946,0.1769287216321353,3.8121098948682325e-4,0.6364322258603492,0.02213947355371044,0.002916209221840462,19687.565114695677,0.7586439191858967,0.639412194198074,0.013484318186844679,0.0015993399137402167,1.1690563271578913,1.292056769552329e-4,1.582325304319402,0.02903856478634262,0.0022308242666425125,31475.84289411125,0.7387935741035104,0.46342762751211647,4.5819622042548726e-5,1.2304439435769569e-6,0.4552373091454092,3.2791592701969207e-7,1.6575058887429497,7.698681945448171e-5,1.558359870596649e-6,56005.909626581066,1.7634715420118832,1.2808713852959701,0.02631017269015464,0.0038772164068877394,1.8012223579354358,5.107445823690759e-4,3.8762634189227008,0.05125502515950754,0.0051485918483535715,344,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,30120,MW30120,0.1434222,0.003516747,0.2046063,0.02934508,0.02452024,0.000719548,19690.14744,0.3115795,0.03585968,0.5960490,0.1857166,0.1150900,0.02137412, 4843.13805,0.05,8.45e-06,1,0.2296207,0.000169096,3.88e-05, 31477.50040,43,2020-04-15
