Date,TA_Code,District Code
6/13/2020,31202,MW312
7/3/2020,30508,MW305
4/4/2020,31544,MW315
4/7/2020,31001,MW310
6/6/2020,30401,MW304
6/9/2020,10101,MW101
6/1/2020,20806,MW208
6/4/2020,20420,MW204
4/26/2020,10220,MW102
6/9/2020,20101,MW201
6/27/2020,20617,MW206
4/2/2020,21055,MW210
7/18/2020,10620,MW106
6/9/2020,30221,MW302
5/9/2020,30120,MW301
6/21/2020,20707,MW207
5/11/2020,30801,MW308
5/25/2020,30601,MW306
4/30/2020,10502,MW105
4/30/2020,10712,MW107
6/21/2020,31302,MW313
5/13/2020,10302,MW103
4/11/2020,20205,MW202
5/25/2020,31104,MW311
7/21/2020,20320,MW203
5/19/2020,20920,MW209
5/22/2020,30902,MW309
6/13/2020,10403,MW104
6/4/2020,20504,MW205
5/6/2020,30708,MW307
7/14/2020,30307,MW303
4/17/2020,31438,MW314
