"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"184",184,-0.0000000000321163658585334,0.00000000000000000000000000297688677032677,0.000000000000000000000000207915195349058,0.000000000358216246293484,0.00000201054736774253,7229.74700050084,0.0606784882821228,7228.80768100002,1.21360997694803,0.0606804988294906,"Malawi","Nsanje","TA Makoko",71,7229.807681,1,"Pediatrics",11959.036872
"185",185,-0.0000000000321163658585334,0.00000000000000000000000000202468841301765,0.000000000000000000000000142173712601861,0.00000000031607609590553,0.00000188869855091444,7229.74700050088,0.0606786101330467,7228.80768100002,1.21360997694803,0.0606804988315976,"Malawi","Nsanje","TA Makoko",71,7229.807681,1,"Pediatrics",11959.036872
"186",186,-0.0000000000321163658585334,0.00000000000000000000000000137706385431565,0.0000000000000000000000000972164745021345,0.00000000027889326471539,0.00000177423424047928,7229.74700050092,0.0606787245992163,7228.80768100002,1.21360997694803,0.0606804988334568,"Malawi","Nsanje","TA Makoko",71,7229.807681,1,"Pediatrics",11959.036872
"187",187,-0.0000000000321163658585334,0.000000000000000000000000000936590957240749,0.0000000000000000000000000664734246100296,0.000000000246084579350335,0.00000166670692068908,7229.74700050095,0.0606788321281765,7228.80768100002,1.21360997694803,0.0606804988350972,"Malawi","Nsanje","TA Makoko",71,7229.807681,1,"Pediatrics",11959.036872
"188",188,-0.0000000000321163658585334,0.000000000000000000000000000637009401151536,0.000000000000000000000000045451057605163,0.00000000021713547028764,0.00000156569619452604,7229.74700050098,0.0606789331403501,7228.80768100002,1.21360997694803,0.0606804988365447,"Malawi","Nsanje","TA Makoko",71,7229.807681,1,"Pediatrics",11959.036872
"189",189,-0.0000000000321163658585334,0.000000000000000000000000000433253144308423,0.00000000000000000000000003107619342604,0.000000000191591901375962,0.00000147080714054112,7229.747000501,0.0606790280306813,7228.80768100002,1.21360997694803,0.0606804988378218,"Malawi","Nsanje","TA Makoko",71,7229.807681,1,"Pediatrics",11959.036872
"190",190,-0.0000000000321163658585334,0.000000000000000000000000000294671140981262,0.0000000000000000000000000212470993397459,0.00000000016905324875862,0.00000138166876923163,7229.74700050102,0.0606791171701795,7228.80768100002,1.21360997694803,0.0606804988389488,"Malawi","Nsanje","TA Makoko",71,7229.807681,1,"Pediatrics",11959.036872
"191",191,-0.0000000000321163658585334,0.000000000000000000000000000200416505841618,0.0000000000000000000000000145264540865854,0.000000000149166017512207,0.00000129793257293081,7229.74700050104,0.0606792009073702,7228.80768100002,1.21360997694803,0.0606804988399431,"Malawi","Nsanje","TA Makoko",71,7229.807681,1,"Pediatrics",11959.036872
"192",192,-0.0000000000321163658585334,0.000000000000000000000000000136310517819974,0.00000000000000000000000000993133979013294,0.00000000013161829745267,0.00000121927116354668,7229.74700050106,0.0606792795696569,7228.80768100002,1.21360997694803,0.0606804988408205,"Malawi","Nsanje","TA Makoko",71,7229.807681,1,"Pediatrics",11959.036872
"193",193,-0.0000000000321163658585334,0.0000000000000000000000000000927097156510199,0.00000000000000000000000000678960400681118,0.000000000116134871154026,0.0000011453769928301,7229.74700050107,0.0606793534646018,7228.80768100002,1.21360997694803,0.0606804988415947,"Malawi","Nsanje","TA Makoko",71,7229.807681,1,"Pediatrics",11959.036872
