season,id_2,id_1,name_1,name_2,code, population , coveredbc ,%Covered, notcoveredbc ,%NotCovered
-0.024609851,1,1,Balaka,Balaka Town,MW31220,"34,847.13","30,181.44",0.997851317,64.99,0.002148683
-0.0839836,2,1,Balaka,TA Kalembo,MW31204,"179,251.26","83,796.83",0.509446393,"80,689.23",0.490553607
-0.056378521,3,1,Balaka,TA Nsamala,MW31201,"217,589.85","113,244.73",0.500193881,"113,156.95",0.499806119
0.002248176,4,2,Blantyre,Blantyre City,MW315,"884,444.91","777,803.44",0.913175284,"73,953.54",0.086824716
-0.029960267,5,2,Blantyre,TA Chigaru,MW30503,"54,548.76","25,015.42",0.481688073,"26,917.40",0.518311927
0.027234748,6,2,Blantyre,TA Kapeni,MW30501,"105,171.56","58,257.52",0.627782238,"34,541.41",0.372217762
-0.013709865,7,2,Blantyre,TA Kuntaja,MW30506,"85,350.43","56,117.00",0.594710734,"38,243.16",0.405289266
-0.019972235,8,2,Blantyre,TA Kunthembwe,MW30504,"47,367.23","20,362.47",0.457114873,"24,183.15",0.542885127
0.017214604,9,2,Blantyre,TA Lundu,MW30502,"35,948.44","20,291.48",0.572205906,"15,170.37",0.427794094
0.015602224,10,2,Blantyre,TA Machinjili,MW30507,"26,232.62","11,072.07",0.372869786,"18,622.14",0.627130214
-0.062793858,11,2,Blantyre,TA Makata,MW30505,"19,610.98","7,261.53",0.340989582,"14,033.93",0.659010418
0.013565076,12,2,Blantyre,TA Somba,MW30508,"82,992.85","56,931.06",0.72476695,"21,619.79",0.27523305
-0.016032025,13,3,Chikwawa,Chikwawa Boma,MW31020,"4,472.56","9,436.13",1.003716551, -   ,-0.003716551
-0.076199427,14,3,Chikwawa,Lengwe National Park,MW31008,"2,116.49",360.92,0.106834482,"3,017.39",0.893165518
-0.045167707,15,3,Chikwawa,Majete Game Reserve - Chikwawa,MW31009,,540.38,0.251786896,"1,605.79",0.748213104
-0.059581678,16,3,Chikwawa,Ngabu Urban,0,,"9,771.97",0.983501243,163.93,
-0.07700409,17,3,Chikwawa,TA Chapananga,MW31003,"133,729.55","45,967.73",0.407857351,"66,737.68",0.592142649
-0.01945555,18,3,Chikwawa,TA Kasisi,MW31006,"38,585.87","22,897.30",0.583283617,"16,358.56",0.416716383
0.014829084,19,3,Chikwawa,TA Katunga,MW31005,"40,760.77","22,809.40",0.701528086,"9,704.48",0.298471914
0.017214604,20,3,Chikwawa,TA Lundu,MW31002,"35,948.44","53,238.95",0.877423902,"7,437.48",0.122576098
0.049518134,21,3,Chikwawa,TA Makhwira,MW31007,"73,293.12","59,782.65",0.718228968,"23,453.55",0.281771032
0.005910418,22,3,Chikwawa,TA Maseya,MW31004,"41,452.35","23,540.82",0.666271936,"11,791.33",0.333728064
