UID,Lvl1,Lvl2,Lvl3,Lvl4,Population,Code
1,Sub-Saharan Africa,Malawi,Lilongwe City,Lilongwe City,1353616.387,MW210
2,Sub-Saharan Africa,Malawi,Balaka,Balaka Town,34847.12886,MW31220
3,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre City,884444.9143,MW315
4,Sub-Saharan Africa,Malawi,Zomba City,Zomba City,111948.7503,MW314
5,Sub-Saharan Africa,Malawi,Mzuzu City,Mzuzu City,220711.4854,MW107
6,Sub-Saharan Africa,Malawi,Chikwawa,Chikwawa Boma,4472.555945,MW31020
7,Sub-Saharan Africa,Malawi,Chikwawa,TA Lundu,50429.88897,MW31002
8,Sub-Saharan Africa,Malawi,Chiradzulu,Chiradzulu Boma,1934.802158,MW30420
9,Sub-Saharan Africa,Malawi,Chitipa,Chitipa Boma,20844.85995,MW10120
10,Sub-Saharan Africa,Malawi,Dedza,Dedza Boma,25081.89177,MW20820
11,Sub-Saharan Africa,Malawi,Dowa,Dowa Boma,4154.731128,MW20420
12,Sub-Saharan Africa,Malawi,Karonga,Karonga Town,60963.42849,MW10220
13,Sub-Saharan Africa,Malawi,Kasungu,Kasungu Boma,56791.39059,MW20120
14,Sub-Saharan Africa,Malawi,Kasungu,TA Kawamba and Kasungu National Park,42143.01886,MW20107
15,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba and Lake Malawi National Park,1593.923692,MW30111
16,Sub-Saharan Africa,Malawi,Chikwawa,STA Ndakwela and Lengwe National Park,2116.493098,MW31008
17,Sub-Saharan Africa,Malawi,Likoma,Likoma Boma,1,MW10620
18,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde and Liwonde National Park,12313.59091,MW30213
19,Sub-Saharan Africa,Malawi,Machinga,Liwonde Town,33892.16862,MW30222
20,Sub-Saharan Africa,Malawi,Thyolo,Luchenza Town,11443.08038,MW30721
21,Sub-Saharan Africa,Malawi,Machinga,Machinga Boma,1113.560372,MW30220
22,Sub-Saharan Africa,Malawi,Chikwawa,TA Kasisi and Majete Game Reserve Chikwawa,38585.86983,MW31006
23,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,55157.40306,MW30120
24,Sub-Saharan Africa,Malawi,Mchinji,Mchinji Boma,28231.06064,MW20720
25,Sub-Saharan Africa,Malawi,Mangochi,Monkey Bay Urban,11960.52305,MW30121
26,Sub-Saharan Africa,Malawi,Mulanje,Mulanje Boma,12203.55618,MW30820
27,Sub-Saharan Africa,Malawi,Mulanje,TA Nkanda and Mulanje Mountain Reserve,126885.6487,MW30805
29,Sub-Saharan Africa,Malawi,Mwanza,Mwanza Boma,22163.66259,MW30620
30,Sub-Saharan Africa,Malawi,Mzimba,Mzimba Boma,28193.59338,MW10520
31,Sub-Saharan Africa,Malawi,Neno,Neno Boma,2117.491452,MW31320
32,Sub-Saharan Africa,Malawi,Nkhata Bay,Nkhatabay Boma,11540.23199,MW10320
33,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Boma,29045.4809,MW20220
35,Sub-Saharan Africa,Malawi,Nsanje,Nsanje Boma,24146.58287,MW31120
36,Sub-Saharan Africa,Malawi,Ntcheu,Ntcheu Boma,20454.11657,MW20920
37,Sub-Saharan Africa,Malawi,Ntchisi,Ntchisi Boma,8498.626276,MW20320
38,Sub-Saharan Africa,Malawi,Phalombe,Phalombe Boma,7470.055295,MW30920
39,Sub-Saharan Africa,Malawi,Rumphi,Rumphi Boma,17673.53922,MW10420
40,Sub-Saharan Africa,Malawi,Salima,Salima Town,37262.91597,MW20520
41,Sub-Saharan Africa,Malawi,Dowa,TA Chakhaza,174873.4604,MW20402
42,Sub-Saharan Africa,Malawi,Machinga,TA Chamba,29964.68673,MW30204
43,Sub-Saharan Africa,Malawi,Ntcheu,TA Champiti,21515.40131,MW20905
44,Sub-Saharan Africa,Malawi,Rumphi,STA Chapinduka,2926.349074,MW10406
45,Sub-Saharan Africa,Malawi,Dedza,TA Chauma,28367.41561,MW20805
46,Sub-Saharan Africa,Malawi,Machinga,TA Chikweo,86602.08433,MW30207
47,Sub-Saharan Africa,Malawi,Dedza,TA Chilikumwendo,87244.82939,MW20802
48,Sub-Saharan Africa,Malawi,Ntchisi,TA Chilooko,86265.61455,MW20305
49,Sub-Saharan Africa,Malawi,Kasungu,TA Chilowamatambe,49378.49972,MW20109
50,Sub-Saharan Africa,Malawi,Kasungu,STA Chisikwa,9199.474451,MW20104
51,Sub-Saharan Africa,Malawi,Lilongwe,STA Chitekwele,63179.79858,MW20605
52,Sub-Saharan Africa,Malawi,Machinga,TA Chiwalo,35797.09811,MW30209
53,Sub-Saharan Africa,Malawi,Mangochi,TA Chowe,152293.3819,MW30106
54,Sub-Saharan Africa,Malawi,Mchinji,TA Dambe,88692.0088,MW20706
55,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamalaza,12147.4793,MW10307
56,Sub-Saharan Africa,Malawi,Ntcheu,TA Goodson Ganya,160060.8532,MW20908
57,Sub-Saharan Africa,Malawi,Mzimba,TA Jaravikuba Munthali,23471.58337,MW10504
58,Sub-Saharan Africa,Malawi,Mulanje,TA Juma,110963.9357,MW30806
59,Sub-Saharan Africa,Malawi,Rumphi,STA Kachulu,12845.34303,MW10405
60,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kafuzila,28689.58244,MW20202
61,Sub-Saharan Africa,Malawi,Salima,TA Kambalame,26131.62364,MW20506
62,Sub-Saharan Africa,Malawi,Salima,TA Kambwiri,46073.41951,MW20504
63,Sub-Saharan Africa,Malawi,Dedza,TA Kamenya Gwaza,44044.33732,MW20808
64,Sub-Saharan Africa,Malawi,Mzimba,TA Kampingo Sibande,97078.74475,MW10503
65,Sub-Saharan Africa,Malawi,Dowa,TA Kayembe,129615.9415,MW20403
66,Sub-Saharan Africa,Malawi,Mzimba,TA Khosolo Gwaza Jere,59086.12468,MW10508
67,Sub-Saharan Africa,Malawi,Thyolo,TA Kwethemule,68503.93201,MW30706
68,Sub-Saharan Africa,Malawi,Mulanje,TA Laston Njema,95297.1442,MW30802
69,Sub-Saharan Africa,Malawi,Kasungu,TA Lukwa,39170.34024,MW20106
