Code,UID,District,TA,Less Than 1 Year,04-Jan,09-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total Pop,sixtfiveolder,percentelderly
MW210,1,Lilongwe City,Lilongwe City,38129.88492,139406.4057,168865.8055,165610.7819,150282.4806,161410.3102,133046.8641,118246.7003,98702.87671,66929.79692,40037.2001,25878.73702,17101.52977,11628.60241,8281.907327,4415.284148,5641.219876,1353616.387,18338.41135,0.013547717
MW31220,2,Balaka,Balaka Town,977.1740723,3688.408493,4722.772666,4693.82459,4339.387174,3711.002113,3012.718039,2752.185357,2385.039029,1517.302804,965.8772622,658.0391874,489.2930868,326.1953912,256.2963788,137.6798729,213.933341,34847.12886,607.9095927,0.017445041
MW315,3,Blantyre City,Blantyre City,24078.80568,86756.42204,109058.0799,109725.6155,102639.1281,104034.9849,83308.22478,74315.28212,64165.20403,44758.04252,27070.55888,17887.52329,12277.57159,9125.565635,7047.805747,3716.758778,4479.340865,884444.9143,15243.90539,0.017235562
MW314,4,Zomba City,Zomba City,2833.55183,10721.23053,13630.47167,14610.16848,13601.68841,12680.62416,10247.90585,9416.389509,8209.624772,5335.563171,3489.170481,2509.473667,1632.117326,1133.207523,861.3656428,444.5414271,591.6558562,111948.7503,1897.562926,0.016950282
MW107,5,Mzuzu City,Mzuzu City,5420.234876,21121.3606,27174.98693,28925.54125,26588.47642,26160.56314,20656.54105,18523.95692,15142.54429,10682.86999,6440.643466,4627.248728,3108.106712,2409.879915,1482.235743,985.4972502,1260.798101,220711.4854,3728.531094,0.016893235
MW31020,6,Chikwawa,Chikwawa Boma,114.1182086,455.0097805,539.86691,557.4235575,556.6920305,494.5122373,367.2265431,336.50241,316.0196546,229.6994712,144.1108147,114.8497356,65.83742805,46.81772661,51.20688848,28.52955215,54.13299639,4472.555945,133.869437,0.029931305
MW31002,7,Chikwawa,TA Lundu,1651.364738,6017.423865,7370.310105,6601.403537,5825.197224,4967.882622,3973.495015,3438.180316,3280.019155,2409.727228,1664.342064,1004.931685,661.0325449,464.7504886,411.2190187,270.0905981,418.5187646,50429.88897,1099.828381,0.021809058
MW30420,8,Chiradzulu,Chiradzulu Boma,45.74000374,188.187444,241.7685912,268.5591648,226.7397328,202.5628737,160.0900131,131.9925822,134.6062967,98.01429374,77.75800636,48.35371824,36.59200299,20.909716,19.60285875,12.41514387,20.909716,1934.802158,52.92771862,0.027355623
MW10120,9,Chitipa,Chitipa Boma,535.7186574,2102.930695,2756.131514,2904.159037,2629.250779,2351.992877,1674.120804,1571.911324,1248.835379,997.4235529,691.9699325,437.0336416,319.5514799,213.8175343,150.377167,103.3843023,156.2512751,20844.85995,410.0127444,0.019669729
MW20820,10,Dedza,Dedza Boma,703.9278989,2564.308774,3153.077962,3084.955907,3006.291153,2895.187326,2355.887726,2119.893465,1716.026998,1121.580973,777.7267915,523.8910399,335.7444126,240.8601221,209.2320252,115.1587116,158.1404842,25081.89177,482.531221,0.019238231
