time,Adult_Susceptible,Adult_Exposed,Adult_Infected,Adult_Hospitalizations,Adult_Critical,Adult_Recovered,Adult_Dead,Adult_New_Incidence,Adult_New_Hospitalization,Adult_New_Critical,Elderly_Susceptible,Elderly_Exposed,Elderly_Infected,Elderly_Hospitalizations,Elderly_Critical,Elderly_Recovered,Elderly_Dead,Elderly_New_Incidence,Elderly_New_Hospitalization,Elderly_New_Critical,Pediatric_Susceptible,Pediatric_Exposed,Pediatric_Infected,Pediatric_Hospitalizations,Pediatric_Critical,Pediatric_Recovered,Pediatric_Dead,Pediatric_New_Incidence,Pediatric_New_Hospitalization,Pediatric_New_Critical,Population
2,14738.62045,1,0,0,0,0,0,0,0,0,1639.224887,0,0,0,0,0,0,0,0,0,16854.00354,0,0,0,0,0,0,0,0,0,33232.848877
3,14738.500090373163,0.8567708473404752,0.2284342145168374,7.475737666837353e-4,8.936273860658477e-6,0.03439799458731177,6.035035140641678e-8,0.12035962683552034,8.136411569598218e-4,9.227480444863332e-6,1639.199300355503,0.02234000964185356,0.0029559506409790096,2.829806717587063e-5,4.424888553964856e-7,2.6193687503736884e-4,6.781876340123152e-9,0.025586644495777557,3.0124709587497056e-5,4.5387789585673626e-7,16853.928013807337,0.06621951791011937,0.00848686643655958,1.5028052286840405e-7,4.678458289787311e-10,8.196575498650821e-4,1.195588901399698e-11,0.07552619265686862,1.5987655722825852e-7,4.798017179927284e-10,33232.848877
4,14738.36301403158,0.7635701385367112,0.371417123378974,0.0023871567774231724,5.8447605153546405e-5,0.12000227999042021,8.221318410279627e-7,0.25743596842052335,0.002834036128468391,6.241461113797798e-5,1639.1720805184138,0.04053105811141565,0.010182223566672987,1.9128063355641019e-4,6.052827773563595e-6,0.0018956761852816912,1.9026011148116563e-7,0.052806481584811896,2.1692626049336515e-4,6.372338186162985e-6,16853.835276313344,0.1308771384027077,0.031184640699057485,1.0691057255482302e-6,6.671348639670402e-9,0.0062008314247427735,3.472353075943694e-10,0.16826368665081748,1.2094774044935252e-6,7.018583947264778e-9,33232.848877
5,16755.89750053301,1.7142045946712718,0.46166760542745494,0.0043266059789899645,1.621285803822817e-4,0.23791497162431094,3.560708776440465e-6,0.41827946699118657,0.00561043862190057,1.7930995242024526e-4,1859.8456246765843,0.057004958600834287,0.01989869313447728,5.441168216853071e-4,2.6054913720940217e-5,0.005773235319434692,1.2646244242357354e-6,0.08324832341457686,6.575224358746312e-4,2.8178641434675008e-5,19151.373269547934,0.19840524315103128,0.06469711423141256,3.1906727200158983e-6,2.986241607150477e-8,0.019664871757082363,2.3845889070472686e-9,0.28277045205925117,3.835612819586939e-6,3.224700497855204e-8,37769.900692999996
6,16755.602014405144,1.5462249552228007,0.7490806709439952,0.007009102198810249,3.267005188979615e-4,0.4111144329471814,9.733025757222191e-6,0.7137655948574432,0.009684537417243887,3.7366484757721724e-4,1859.788627498676,0.09255777565374664,0.03381629603743682,0.0011214749123894744,7.066062739358777e-5,0.01267461721713422,4.676874637619703e-6,0.1402455013227385,0.001437469473510974,7.851466556777739e-5,19151.1678205746,0.3287096038616338,0.11475176413734943,6.865814138170657e-6,8.404660315518276e-8,0.04475109844028459,9.09728058162087e-9,0.4882194253972897,8.72869181290673e-6,9.314388373680363e-8,37769.900692999996
7,33420.815743180894,2.4627909200971296,0.9348157420718639,0.010443428491549714,5.748836248832535e-4,0.6498006261959731,2.121862687201662e-5,1.0584468191082717,0.015292903185703689,6.772674960206901e-4,3681.8797695659878,0.1252829063833269,0.05272300769170503,0.0020083021071076825,1.52596416535658e-4,0.023966913344006857,1.2708068389970972e-5,0.20414643401107224,0.0027084645112784474,1.7393752204705493e-4,38120.57596938222,0.4651225671789465,0.1855636559026119,1.274642154059431e-5,1.8768500196005828e-7,0.08720143513836832,2.5450177373618093e-8,0.7379006177766466,1.700912512726784e-5,2.1313517933367637e-7,75228.271976
8,44079.59474443598,3.292152312492032,1.2897617491660989,0.014755006597951722,9.188323707806618e-4,0.966487329635007,4.033375704002256e-5,1.5641155640189106,0.02272814116890737,0.0011134461547846726,4847.274497334457,0.1764248207430663,0.07748949135450525,0.0032657463717431843,2.872495942919705e-4,0.040981658446670885,2.8699031403049958e-5,0.2984776655416808,0.004616418343658928,3.354449076116855e-4,50253.60799186801,0.6674932238511604,0.28117876194979835,2.140701226409416e-5,3.642403619695757e-7,0.15314431587671065,5.904892431613354e-8,1.1018381319792196,2.9872797989808334e-5,4.2328928628570917e-7,99187.44166499999
9,135812.75248027995,6.0791822260894675,1.7562982394521998,0.0205493253033761,0.0013876533618763088,1.3999523763208235,6.989951747316121e-5,2.257439720045217,0.032901835737114464,0.001724915736453893,26186.09743086134,0.24478614173948499,0.1110730074247782,0.005007772640284417,4.930784429906071e-4,0.06570690724272883,5.723116816526737e-5,0.42712413865843246,0.007380968428056575,5.891888593994491e-4,188144.93268181008,0.939733453994332,0.4123430190377646,3.374036294175332e-5,6.427957040020165e-7,0.25124721296632746,1.2074730568575992e-7,1.6033581899043752,4.901122313550883e-5,7.635430096877763e-7,350155.07051499997
10,151400.0708612158,8.554523573263829,2.7555214412352442,0.029580667434327437,0.002038619116652628,2.04511071392969,1.1376921966049017e-4,3.386888784199403,0.048107539951550406,0.0025875458408549847,28017.786108610013,0.39696960011277904,0.1643898115924785,0.0074768407126497936,7.958825892305341e-4,0.10156876667821912,1.0448830244491026e-4,0.6713053899878021,0.011390153605534668,9.713537833256451e-4,206264.19615062448,1.4289308426291945,0.6065287910843303,5.123935968898288e-5,1.0623751809352499e-6,0.3947772144647647,2.2559383737394143e-7,2.4302893755069968,7.699874005516674e-5,1.2879690183091916e-6,385698.54160399997
11,199243.70371861276,11.772771202486528,4.08580367213894,0.04362481884069245,0.002993655412830236,3.021699920529249,1.7811784200386086e-4,4.927071387250242,0.0711919618060334,0.003853160103246988,38159.162590284664,0.5830137946902398,0.2467899940478545,0.011213169211477724,0.0012437759031472026,0.15534669340448493,1.792880808784904e-4,0.9977867153380852,0.01743042242994423,0.0015448611711275004,275254.9246556871,2.060435705238048,0.8926312831485663,7.667216795841172e-5,1.6828460118272638e-6,0.6065685747739973,3.9467130167830047e-7,3.559714312845896,1.1822251422852256e-4,2.0775173135055804e-6,512681.275537
