time,Adult_Susceptible,Adult_Exposed,Adult_Infected,Adult_Hospitalizations,Adult_Critical,Adult_Recovered,Adult_Dead,Adult_New_Incidence,Adult_New_Hospitalization,Adult_New_Critical,Elderly_Susceptible,Elderly_Exposed,Elderly_Infected,Elderly_Hospitalizations,Elderly_Critical,Elderly_Recovered,Elderly_Dead,Elderly_New_Incidence,Elderly_New_Hospitalization,Elderly_New_Critical,Pediatric_Susceptible,Pediatric_Exposed,Pediatric_Infected,Pediatric_Hospitalizations,Pediatric_Critical,Pediatric_Recovered,Pediatric_Dead,Pediatric_New_Incidence,Pediatric_New_Hospitalization,Pediatric_New_Critical,Population
2,14738.62045,1,0,0,0,0,0,0,0,0,1639.224887,0,0,0,0,0,0,0,0,0,16854.00354,0,0,0,0,0,0,0,0,0,33232.848877
3,14738.504325432088,0.8530458705873561,0.22796848318695098,7.466083205872773e-4,8.927959319324236e-6,0.034354617550843264,6.030667215354579e-8,0.11612456791172912,8.126146709421085e-4,9.218955139453452e-6,1639.200168714762,0.021578632246934668,0.0028583970349888013,2.7379659128340575e-5,4.28272286823742e-7,2.534414602213763e-4,6.565405970903249e-9,0.024718285238965985,2.9147623600952236e-5,4.3929780107533785e-7,16853.930780523184,0.06377776172139507,0.00818975411349517,1.4517011635945799e-7,4.522254020535898e-10,7.918153561841368e-4,1.1561600168195007e-11,0.07275947682497777,1.544458564038937e-7,4.637870022217848e-10,33232.848877
4,14738.385209761846,0.7450150574250012,0.36825673255410235,0.002377139934099325,5.830128380550552e-5,0.1195321862986521,8.206572943326605e-7,0.2352402381529549,0.0028229207030803735,6.226117470781441e-5,1639.1763992749025,0.03693779958912253,0.009554176116448312,1.822030503554981e-4,5.810550410796661e-6,0.0018075524173662761,1.8337505550994692e-7,0.048487725098758934,2.06827093463775e-4,6.118498509798056e-6,16853.85062042258,0.1179873574846617,0.029047368651047886,1.0133287911619955e-6,6.3820464999987464e-9,0.005883831248585252,3.3381617458188823e-10,0.1529195774289487,1.1476460446536077e-6,6.715862674580631e-9,33232.848877
5,16755.94461433047,1.678430693723851,0.4524946563145392,0.004283510778244532,1.6120637150685585e-4,0.23579205480761226,3.5475322626639386e-6,0.37116566952801644,0.005560285317685166,1.783241633422329e-4,1859.854455159668,0.05035606122027939,0.018142101313509074,5.063986838617301e-4,2.4584830283442904e-5,0.005387490207397381,1.2040775956758872e-6,0.07441784033292671,6.134787051003314e-4,2.6606879605295447e-5,19151.40716487743,0.1724495948760338,0.05824238746884087,2.9412845194566384e-6,2.797843785875628e-8,0.01818016871315336,2.2584091241792296e-9,0.24887512257939456,3.546021459115348e-6,3.023684698293551e-8,37769.900692999996
6,16755.695868831615,1.4783854596666357,0.7292324911914118,0.006892341972692876,3.2337898194871996e-4,0.40506782673107,9.669839666589551e-6,0.6199111683834255,0.009541812362467424,3.700384211402595e-4,1859.8060430933747,0.08004743600750994,0.030092518155470926,0.0010216650233361017,6.551959406304491e-5,0.011598376606966235,4.3912385815216025e-6,0.12282990662592778,0.0013150377000125412,7.289395366853465e-5,19151.236008946158,0.27912085230156813,0.10048908864532033,6.171433576854128e-6,7.710295142995778e-8,0.04041485589962504,8.470404672176969e-9,0.4200310538534465,7.882900698896823e-6,8.557335610213476e-8,37769.900692999996
7,33420.971967473466,2.357212033439684,0.8982530992601547,0.010188360085093703,5.660121417989745e-4,0.6359820152289971,2.1006379428494004e-5,0.902222526535157,0.01496698126018943,6.67371871051851e-4,3681.9082166433755,0.10623093837519527,0.045980602065629185,0.0017940734209294371,1.3912048401216806e-4,0.02154285518736954,1.1767092194858211e-5,0.17569935662533043,0.0024336245570524026,1.5888137494075513e-4,38120.69168373033,0.3862245583882241,0.1588268114153507,1.1201861073423584e-5,1.687719406043928e-7,0.07712350594073328,2.3302196283863887e-8,0.6221862696795186,1.5043343811188717e-5,1.9207413688825674e-7,75228.271976
8,44079.8451695517,3.1303515148483383,1.2289172604960785,0.014272971784286671,8.991098201908144e-4,0.9392098258827529,3.976547851839467e-5,1.3136904483101652,0.02208525205821079,0.0010909815708789153,4847.319677319374,0.14747018834525366,0.0664230927145536,0.002866876910975026,2.577594958519081e-4,0.03625354575367795,2.6217405623861573e-5,0.253297680625936,0.004082010863416077,3.0178732479056833e-4,50253.79531164585,0.5454793821139021,0.23605057160406914,1.8442492259919046e-5,3.2154211538929084e-7,0.13296958319162253,5.3203609453741033e-8,0.9145183541475786,2.5937406756779686e-5,3.747457248430319e-7,99187.44166499999
9,135813.1380066396,5.8393535603512685,1.660470340762253,0.019717354820477585,0.0013489658934838333,1.3509545429909786,6.859558538196717e-5,1.8719133604038434,0.03174778646157585,0.0016799367013474974,26186.16648704606,0.20214410643815447,0.09381346716125093,0.0043276938810297705,4.3597083907718305e-4,0.05729510227147051,5.1613347394979295e-5,0.3580679539383778,0.006432835142377044,5.226470379232031e-4,188145.2232583862,0.757619610265498,0.3405357434608298,2.8560386365352297e-5,5.579075044132856e-7,0.21459703463207558,1.0716107267155054e-7,1.312781613813346,4.186175790704902e-5,6.650685770848363e-7,350155.07051499997
10,151400.67028520734,8.187048154409856,2.6077321698743363,0.02822418735315147,0.001968968947145572,1.9623802190664774,1.1109302786847234e-4,2.7874647926788345,0.04615984558017286,0.0025049830777063493,28017.89715642673,0.32819004182954903,0.1374749300220623,0.00637355874172902,6.941161268300658e-4,0.08743184126461671,9.308527782707072e-5,0.5602575732626143,0.009799687131028295,8.504377790920749e-4,206264.65138816388,1.1478082362678466,0.49487583499769255,4.27119022732493e-5,9.078691587118511e-7,0.332323947653501,1.9738902374129e-7,1.9750518360794955,6.481706592231212e-5,1.1052581824531416e-6,385698.54160399997
11,199244.70002056187,11.149293651125916,3.850687906064171,0.04145988254044167,0.002875143992192229,2.886279802078762,1.7305232572034881e-4,3.9307694381272063,0.06800351292823414,0.003710207421034032,38159.352841009146,0.4620711369601653,0.2027358803440627,0.009433694134940376,0.001070973409350462,0.1320664325034924,1.5787348749350422e-4,0.8075359908395022,0.014810637643966684,0.0013360963268862062,275255.6832290853,1.5834721018709732,0.7140659959088745,6.297034829655432e-5,1.4176379593668056e-6,0.5035380881639734,3.407616936721415e-7,2.801140914691776,9.813834135733406e-5,1.7583996530389469e-6,512681.275537
12,213962.07123317735,12.762231118155976,5.4725611603544495,0.060391295940012905,0.00420600541089132,4.218223644898771,2.63597874514978e-4,5.517876822634622,0.09954021560382965,0.005478376568694485,39772.943615227385,0.6584171770436142,0.2934073788779416,0.013886141304703002,0.0016262189828460756,0.19712092734914202,2.5692904861663283e-4,1.1647147726068598,0.022143999458632494,0.0020576885746068797,292023.8751463312,2.2027011928631097,1.0111317603392578,9.131607673882221e-5,2.1518368419667407e-6,0.747776686563538,5.611232545546777e-7,3.9617036688027536,1.455752786692527e-4,2.7129600965214167e-6,545786.53429
13,232794.35086206716,12.321890773541002,7.084491333277899,0.08469268889319066,0.006102483565522115,6.006455100074072,3.955534972873182e-4,7.504027932848979,0.14188153818041668,0.008012644363467603,44632.840076696935,0.8713178030270073,0.4125597956818644,0.02018196613137945,0.002438771964760745,0.2900806262302069,4.063400169030531e-4,1.5969853030521184,0.032655897416554246,0.0031211487183302354,321273.4362001701,2.93422087681395,1.4030604309865287,1.302648760553698e-4,3.193929829608987e-6,1.0903141717963392,8.915206474259914e-7,5.427729829923363,2.1197388559607148e-4,4.085450477034977e-6,598733.155882
14,251523.1891033804,12.212666491954892,8.231526658228335,0.11161596547638852,0.008635515171376623,8.180117355919029,5.846328542730068e-4,9.745146619604299,0.19332389254765278,0.011460190689855829,49467.540448409716,1.0884389519781736,0.5555591721793292,0.028618660877273976,0.0036022452982961634,0.41805886134164055,6.286985961246385e-4,2.094906590270835,0.04714623255231705,0.004658025794232116,350364.72429512226,3.6962900050468823,1.8834918561479848,1.8200805285852235e-4,4.646358980514351e-6,1.5578549854575594,1.3766919083566373e-6,7.137824877756187,3.024690706359443e-4,6.0230508888709884e-6,651393.431725
15,251520.69517878036,11.350489139157366,9.09996781190254,0.13849845268301464,0.011768679653332047,10.637500195002206,8.46941280716886e-4,12.23907121967918,0.2514886217326783,0.015862783702814645,49466.97511298813,1.3102848354875865,0.7175767161039904,0.03930600114127851,0.005212167246619535,0.5869085891848527,9.537026869773355e-4,2.6602420118513015,0.06627693847123205,0.0068137151663357105,350362.76686358376,4.484193097863972,2.4373467225745244,2.4760979192935893e-4,6.618712892443768e-6,2.1734602925100965,2.074782445721696e-6,9.095256416235873,4.2147969869267034e-4,8.693495338165462e-6,651393.431725
16,259437.54709828302,11.851576025582517,9.587944663538345,0.16335630778939172,0.015399575198563742,13.285048438884631,0.0011967060309114328,14.904521717024368,0.31413921957639707,0.021187243324783552,51510.85752600506,1.501554302714098,0.8903321213896686,0.05217998465638242,0.007356745252772238,0.8010028921740102,0.0014179487446144834,3.2538439949315423,0.09054367624365099,0.009737874091079093,362662.06409394246,5.23442442779661,3.044469390258328,3.270863227953786e-4,9.21393748982444e-6,2.9555228818859955,3.057349224039278e-6,11.234756057550456,5.72512057072655e-4,1.2271286713863715e-5,673659.86184
17,383343.1195599011,17.443906232880394,10.091401898673093,0.18570616441413967,0.019388007532628485,16.075772913403117,0.0016448819978471811,17.817820098901226,0.3801666841201788,0.02734682358691058,80172.86267098777,1.7057285533899822,1.0693527489544745,0.06697015735388649,0.010104236383478607,1.0626053757722114,0.002063940370642958,3.916825012224672,0.12019022003414702,0.01357012688118633,552454.78877412,6.009643890190755,3.690374315858272,4.1947615429363457e-4,1.2516654700158028e-5,3.9166712734255156,4.407783855376447e-6,13.617125880067405,7.579649254043262e-4,1.6924438555534474e-5,1016032.1227760001
18,554261.5187393737,19.465996367305436,11.648019202500791,0.20996145425359367,0.023670199506693752,19.17628400125325,0.002199401518308083,20.526130626338073,0.4537825236758762,0.03431663405370699,122667.78319957523,1.887457203712698,1.2519387217089228,0.08343338580373133,0.013500354294967947,1.3734913840426615,0.0029383751937108508,4.612759424756685,0.15542190151929333,0.018434595035023867,819768.9384431621,6.469249664841066,4.327217440734425,5.228653387748394e-4,1.658624142935601e-5,5.063134062154068,6.21853837205013e-6,15.860146837848161,9.789609348029643e-4,2.2804779801406147e-5,1496769.239419
19,638309.5706243628,22.2556052442938,13.288659701786443,0.23880442487175116,0.02834913041918967,22.73058830802065,0.0028688278420013025,23.544875637233844,0.538633786428406,0.04224196883748377,134685.44978727595,2.1381482618083156,1.4437020738696698,0.10137552817162852,0.01757456540981782,1.7350165786096976,0.004090716173073062,5.439907724042193,0.19643330346149696,0.024443794062337928,922768.1852596371,7.073887379763721,4.939529104400887,6.332417172901576e-4,2.143763778831883e-5,6.386890612465052,8.586975534763568e-6,18.400970362960305,0.0012337339837518075,3.002461332308241e-5,1695845.591425
20,709550.932669479,26.677801322830664,15.164662230591277,0.2722527519416375,0.033537693938739926,26.786131923888384,0.0036645978070661933,26.93805052099778,0.6358682847349703,0.051292535626783646,148331.2488964262,2.445655272537095,1.6578561257439002,0.12098539595824817,0.022358011343649994,2.151590256433316,0.005572511790212223,6.404017573806413,0.24379928844366366,0.03171541377026541,1020707.8763604853,7.823313294248282,5.569336235261246,7.487146876740142e-4,2.7047092920746537e-5,7.887222613993878,1.1609542285516585e-5,21.28065951482632,0.0015218473917992788,3.8656635206263135e-5,1878686.680654
21,900395.6315809666,31.442446212221018,17.583564613570474,0.3117094233178614,0.03935492914625011,31.45659291336081,0.004600941760302301,30.838269033376722,0.7481804911578327,0.061658154949619896,173202.33009126442,2.832034921236151,1.9059078473442466,0.14271789056743073,0.027903641425361003,2.6306200683795335,0.00743836662115296,7.546622735573868,0.2984435838379871,0.040394079667606754,1249333.7542894823,8.770515003332054,6.255216002755679,8.696815493489695e-4,3.338584925787666e-5,9.574541065378614,1.537910830476172e-5,24.60119051797329,0.0018449807006017394,4.87649575626384e-5,2323044.702044
