"","lvl3","ID","Population","Incidence","Recovered","Deaths","Peak_Hospital","Peak_Crit","Cumulative_Hospital","Cumulative_Critical"
"1","Balaka",2,34847.12886,737.322263944685,736.402039615259,0.92022432942632,2.21630369443251,0.441397006027995,18.5089331206979,2.0225057892752
"2","Balaka",138,179251.2618,612.402239648287,610.8835486238,1.51869102448657,2.51628531233002,0.779318602888588,19.2528998903316,3.34805999610633
"3","Balaka",220,217589.8511,614.267920021591,612.718522185391,1.54939783620029,2.58355946467268,0.79730792903341,19.7162164731938,3.41902678395479
"4","Blantyre",114,54548.75617,5484.16897478319,5468.35110339015,15.8178713930364,11.292652355946,4.23808837146668,172.575232245078,31.0213807491586
"5","Blantyre",149,105171.5563,7516.33819434823,7500.01157853721,16.3266158110165,19.0069106608276,5.66582172615207,221.513749730853,33.4415646700176
"6","Blantyre",163,85350.42568,6876.39588531927,6859.02268401848,17.373201300786,16.9504728863776,5.6039046537905,213.280971487846,35.0802508349705
"7","Blantyre",164,47367.23431,5056.15726591015,5042.42670530099,13.7305606091629,9.36932797215645,3.43885504321785,151.71427327189,26.6903445039137
"8","Blantyre",169,35948.44414,4254.85304635488,4242.4626500167,12.3903963381775,7.42888844929647,2.73706828348371,132.803328477667,23.6760655569586
"9","Blantyre",173,26232.61879,3424.48807097294,3414.73565357129,9.75241740164603,5.44413831648455,1.91189241887792,106.624203864668,18.3036288535743
"10","Blantyre",176,19610.98127,2754.96831973754,2745.46496694171,9.5033527958275,4.34592024451772,1.69506440506891,90.8677403714708,17.472035388401
"11","Blantyre",230,82992.84979,6789.55033656025,6772.09191854102,17.4584180192263,16.480119775175,5.57155761781746,209.668711737328,35.1769174780299
"12","Blantyre City",3,884444.9143,153711.179417662,153447.441433322,263.737984340362,167.892608993894,39.1629425695371,3924.23102768174,464.285595729651
"13","Chikwawa",6,4472.555945,1747.78780492041,1743.45423803047,4.33356688993581,9.46855602980502,2.11331802296969,49.4769067718165,7.392308866167
"14","Chikwawa",16,2116.493098,390.230665388625,388.817580795534,1.41308459309051,0.564228098053641,0.21609828239178,12.3345954485156,2.41409178529202
