"","lvl3","ID","Population","Incidence","Recovered","Deaths","Peak_Hospital","Peak_Crit","Cumulative_Hospital","Cumulative_Critical"
"1","Balaka",2,34847.12886,29402.1032426939,29348.9714127624,53.131829931458,199.065695359837,33.4705946453084,735.427510787942,91.2932073858545
"2","Balaka",138,179251.2618,151241.309932146,150682.061583747,559.248348399314,1280.47440487335,346.745752662805,4729.32744289418,946.073754623715
"3","Balaka",220,217589.8511,183589.007073029,182897.956650494,691.050422534575,1586.65204611959,428.663636365801,5860.42522801345,1169.51798448189
"4","Blantyre",114,54548.75617,46025.1383197957,45861.1446814542,163.993638341508,390.883105597065,101.823651453735,1444.24072035272,277.678966924102
"5","Blantyre",149,105171.5563,88737.5293912875,88484.5088627833,253.020528504184,705.623641217508,157.798849455194,2606.62437505677,430.452610930148
"6","Blantyre",163,85350.42568,72013.6704780491,71779.2124564164,234.458021632653,602.777865972271,145.794886185778,2226.30183270812,397.79467419521
"7","Blantyre",164,47367.23431,39965.8010621663,39833.5320513053,132.269010861006,323.892984322136,82.1177726707501,1196.22426576217,223.985896565395
"8","Blantyre",169,35948.44414,30331.3246366221,30226.5250598125,104.799576809606,255.542845909148,65.1083656771682,944.591154985553,177.558066743438
"9","Blantyre",173,26232.61879,22133.7087002978,22061.0823880591,72.6263122386873,186.214179076763,45.2003772250635,687.899686292648,123.264345117061
"10","Blantyre",176,19610.98127,16546.7776798221,16482.65530577,64.1223740520997,147.522637181865,39.7574596197227,544.879002299661,108.453295279224
"11","Blantyre",230,82992.84979,70024.5180027485,69793.0743550969,231.443647651549,583.607828232459,143.883454492716,2155.43281346179,392.473910796119
"12","Blantyre City",3,884444.9143,746240.510696234,744921.087079544,1319.42361669048,5154.57021415688,832.975135685854,19046.2831246796,2271.61786673807
"13","Chikwawa",6,4472.555945,3773.90578503023,3764.54854283967,9.35724219055664,28.931359378246,5.85309600674572,106.832868460064,15.9618216364543
"14","Chikwawa",16,2116.493098,1786.00447473523,1779.4542206316,6.55025410363176,15.2933834866665,4.06524233616037,56.4436923851755,11.0832833238657
"15","Chikwawa",22,38585.86983,32556.6225865714,32450.9327767589,105.689809812516,268.23784828441,65.6957158435609,990.780622149873,179.170130251565
"16","Chikwawa",113,133729.5536,112832.991716961,112473.209617063,359.782099897711,898.280729371534,223.535888702231,3321.10134554987,609.604305812609
"17","Chikwawa",157,40760.76933,34391.6718098149,34289.7103179347,101.961491880192,268.970957394212,63.4654848912554,993.415993830487,173.151727234697
"18","Chikwawa",177,73293.12488,61840.4866858009,61617.0502203059,223.436465495002,522.707524306046,138.638194025125,1931.14420719306,378.151656989043
"19","Chikwawa",185,41452.35073,34975.1854870955,34869.8461207002,105.339366395339,278.848856571515,65.5636639457196,1030.03757524915,178.847441004081
"20","Chiradzulu",8,1934.802158,1632.70503269673,1628.74167452106,3.96335817566779,12.5534039700194,2.47938661092179,46.3399838050764,6.75696742386667
"21","Chiradzulu",125,23022.41322,19425.1249653844,19348.7841090443,76.340856340073,175.072192680933,47.3472827612865,646.5535074022,129.165845227538
"22","Chiradzulu",137,104595.7659,88251.6306116243,87888.118956986,363.511654638285,811.721454613692,225.392544395537,2998.39314660438,614.867760262323
"23","Chiradzulu",168,74443.66329,62811.1971240924,62597.4954419303,213.701682162082,533.847290517011,132.926884825663,1972.7767513347,362.538437376969
"24","Chiradzulu",194,71774.06211,60558.7518620008,60343.0888553424,215.663006658397,526.34210794641,133.965601273662,1944.13612628009,365.470435163797
"25","Chiradzulu",210,45771.22505,38619.1547917718,38465.9170465647,153.237745207082,350.401741904026,95.1089167642069,1294.47879820625,259.373273263885
"26","Chiradzulu",218,55927.28261,47188.208263042,46993.9846439887,194.223619053344,436.937199207098,120.494842818585,1613.92882010234,328.625193588895
"27","Chitipa",9,20844.85995,17587.836646696,17552.5739763378,35.2626703582267,123.229897582648,22.1267219472255,455.576144722608,60.3384429518075
