"","x"
"1",0.271875
"2",0.49875
"3",0.2525
"4",0.273125
"5",0.1559375
"6",0.4559375
"7",0.3715625
"8",0.4490625
"9",0.536875
"10",0.5546875
"11",0.5484375
"12",0.5421875
"13",0.5565625
"14",0.494375
"15",0.4871875
"16",0.523125
"17",0.5384375
"18",0.5471875
"19",0.514375
"20",0.6071875
"21",0.406875
"22",0.451875
"23",0.54125
"24",0.5146875
"25",0.560625
"26",0.5225
"27",0.55
"28",0.5203125
"29",0.520625
"30",0.568125
"31",0.543125
"32",0.5765625
"33",0.530625
"34",0.5465625
"35",0.411875
"36",0.430625
"37",0.430625
"38",0.430625
"39",0.430625
"40",0.430625
"41",0.430625
"42",0.430625
"43",0.430625
"44",0.430625
"45",0.430625
"46",0.430625
"47",0.430625
"48",0.430625
"49",0.430625
"50",0.430625
"51",0.430625
"52",0.430625
"53",0.430625
"54",0.430625
"55",0.430625
"56",0.430625
"57",0.430625
"58",0.430625
"59",0.430625
"60",0.430625
"61",0.430625
"62",0.430625
"63",0.430625
"64",0.430625
"65",0.430625
"66",0.430625
"67",0.430625
"68",0.430625
"69",0.430625
"70",0.430625
"71",0.430625
"72",0.430625
"73",0.430625
"74",0.430625
"75",0.430625
"76",0.430625
"77",0.430625
"78",0.430625
"79",0.430625
"80",0.430625
"81",0.430625
"82",0.430625
"83",0.430625
"84",0.430625
"85",0.430625
"86",0.430625
"87",0.430625
"88",0.430625
"89",0.430625
"90",0.430625
"91",0.430625
"92",0.430625
"93",0.430625
"94",0.430625
"95",0.430625
"96",0.430625
"97",0.430625
"98",0.430625
"99",0.430625
"100",0.430625
"101",0.430625
"102",0.430625
"103",0.430625
"104",0.430625
"105",0.430625
"106",0.430625
"107",0.430625
"108",0.430625
"109",0.430625
"110",0.430625
"111",0.430625
"112",0.430625
"113",0.430625
"114",0.430625
"115",0.430625
"116",0.430625
"117",0.430625
"118",0.430625
"119",0.430625
"120",0.430625
"121",0.430625
"122",0.430625
"123",0.430625
"124",0.430625
"125",0.430625
"126",0.430625
"127",0.430625
"128",0.430625
"129",0.430625
"130",0.430625
"131",0.430625
"132",0.430625
"133",0.430625
"134",0.430625
"135",0.430625
"136",0.430625
"137",0.430625
"138",0.430625
"139",0.430625
"140",0.430625
"141",0.430625
"142",0.430625
"143",0.430625
"144",0.430625
"145",0.430625
"146",0.430625
"147",0.430625
"148",0.430625
"149",0.430625
