"","x"
"1",-0.0259375
"2",-0.030625
"3",-0.0121875
"4",-0.00125
"5",0.008125
"6",0.065625
"7",0.019375
"8",0.11625
"9",0.060625
"10",0.0440625
"11",0.0728125
"12",0.015625
"13",0.08625
"14",0.16375
"15",0.175625
"16",0.17125
"17",0.143125
"18",0.1721875
"19",0.150625
"20",0.1275
"21",0.1390625
"22",0.1590625
"23",0.2046875
"24",0.204375
"25",0.22875
"26",0.180625
"27",0.1975
"28",0.3515625
"29",0.1609375
"30",0.1609375
"31",0.1459375
"32",0.1853125
"33",0.125625
"34",0.1640625
"35",0.128125
"36",0.134375
"37",0.196875
"38",0.155625
"39",0.205
"40",0.1625
"41",0.25375
"42",0.1728125
"43",0.19375
"44",0.1946875
"45",0.1425
"46",0.3584375
"47",0.1646875
"48",0.23125
"49",0.1425
"50",0.1621875
"51",0.1375
"52",0.13125
"53",0.155625
"54",0.0959375
"55",0.0959375
"56",0.0959375
"57",0.0959375
"58",0.0959375
"59",0.0959375
"60",0.0959375
"61",0.0959375
"62",0.0959375
"63",0.0959375
"64",0.0959375
"65",0.0959375
"66",0.0959375
"67",0.0959375
"68",0.0959375
"69",0.0959375
"70",0.0959375
"71",0.0959375
"72",0.0959375
"73",0.0959375
"74",0.0959375
"75",0.0959375
"76",0.0959375
"77",0.0959375
"78",0.0959375
"79",0.0959375
"80",0.0959375
"81",0.0959375
"82",0.0959375
"83",0.0959375
"84",0.0959375
"85",0.0959375
"86",0.0959375
"87",0.0959375
"88",0.0959375
"89",0.0959375
"90",0.0959375
"91",0.0959375
"92",0.0959375
"93",0.0959375
"94",0.0959375
"95",0.0959375
"96",0.0959375
"97",0.0959375
"98",0.0959375
"99",0.0959375
"100",0.0959375
"101",0.0959375
"102",0.0959375
"103",0.0959375
"104",0.0959375
"105",0.0959375
"106",0.0959375
"107",0.0959375
"108",0.0959375
"109",0.0959375
"110",0.0959375
"111",0.0959375
"112",0.0959375
"113",0.0959375
"114",0.0959375
"115",0.0959375
"116",0.0959375
"117",0.0959375
"118",0.0959375
"119",0.0959375
"120",0.0959375
"121",0.0959375
"122",0.0959375
"123",0.0959375
"124",0.0959375
"125",0.0959375
"126",0.0959375
"127",0.0959375
"128",0.0959375
"129",0.0959375
"130",0.0959375
"131",0.0959375
"132",0.0959375
"133",0.0959375
"134",0.0959375
"135",0.0959375
"136",0.0959375
"137",0.0959375
"138",0.0959375
"139",0.0959375
"140",0.0959375
"141",0.0959375
"142",0.0959375
"143",0.0959375
"144",0.0959375
"145",0.0959375
"146",0.0959375
"147",0.0959375
"148",0.0959375
"149",0.0959375
"150",0.0959375
"151",0.0959375
"152",0.0959375
"153",0.0959375
"154",0.0959375
"155",0.0959375
"156",0.0959375
"157",0.0959375
"158",0.0959375
"159",0.0959375
"160",0.0959375
"161",0.0959375
"162",0.0959375
"163",0.0959375
"164",0.0959375
"165",0.0959375
"166",0.0959375
"167",0.0959375
"168",0.0959375
"169",0.0959375
"170",0.0959375
"171",0.0959375
"172",0.0959375
"173",0.0959375
"174",0.0959375
"175",0.0959375
"176",0.0959375
"177",0.0959375
"178",0.0959375
"179",0.0959375
"180",0.0959375
"181",0.0959375
"182",0.0959375
"183",0.0959375
"184",0.0959375
"185",0.0959375
"186",0.0959375
"187",0.0959375
"188",0.0959375
"189",0.0959375
"190",0.0959375
"191",0.0959375
"192",0.0959375
"193",0.0959375
"194",0.0959375
"195",0.0959375
"196",0.0959375
"197",0.0959375
"198",0.0959375
"199",0.0959375
"200",0.0959375
"201",0.0959375
"202",0.0959375
"203",0.0959375
"204",0.0959375
"205",0.0959375
"206",0.0959375
"207",0.0959375
"208",0.0959375
"209",0.0959375
"210",0.0959375
"211",0.0959375
"212",0.0959375
"213",0.0959375
"214",0.0959375
"215",0.0959375
"216",0.0959375
"217",0.0959375
"218",0.0959375
"219",0.0959375
"220",0.0959375
"221",0.0959375
"222",0.0959375
"223",0.0959375
"224",0.0959375
"225",0.0959375
"226",0.0959375
"227",0.0959375
"228",0.0959375
"229",0.0959375
"230",0.0959375
"231",0.0959375
"232",0.0959375
"233",0.0959375
"234",0.0959375
"235",0.0959375
"236",0.0959375
"237",0.0959375
"238",0.0959375
"239",0.0959375
"240",0.0959375
"241",0.0959375
"242",0.0959375
"243",0.0959375
"244",0.0959375
"245",0.0959375
"246",0.0959375
"247",0.0959375
"248",0.0959375
"249",0.0959375
"250",0.0959375
"251",0.0959375
"252",0.0959375
"253",0.0959375
"254",0.0959375
"255",0.0959375
"256",0.0959375
"257",0.0959375
"258",0.0959375
"259",0.0959375
"260",0.0959375
"261",0.0959375
"262",0.0959375
"263",0.0959375
"264",0.0959375
"265",0.0959375
"266",0.0959375
"267",0.0959375
"268",0.0959375
"269",0.0959375
"270",0.0959375
"271",0.0959375
"272",0.0959375
"273",0.0959375
"274",0.0959375
"275",0.0959375
"276",0.0959375
"277",0.0959375
"278",0.0959375
"279",0.0959375
"280",0.0959375
"281",0.0959375
"282",0.0959375
"283",0.0959375
"284",0.0959375
"285",0.0959375
"286",0.0959375
"287",0.0959375
"288",0.0959375
"289",0.0959375
"290",0.0959375
"291",0.0959375
"292",0.0959375
"293",0.0959375
"294",0.0959375
"295",0.0959375
"296",0.0959375
"297",0.0959375
"298",0.0959375
"299",0.0959375
"300",0.0959375
"301",0.0959375
"302",0.0959375
"303",0.0959375
"304",0.0959375
"305",0.0959375
"306",0.0959375
"307",0.0959375
"308",0.0959375
"309",0.0959375
"310",0.0959375
"311",0.0959375
"312",0.0959375
"313",0.0959375
"314",0.0959375
"315",0.0959375
"316",0.0959375
"317",0.0959375
"318",0.0959375
"319",0.0959375
"320",0.0959375
"321",0.0959375
"322",0.0959375
"323",0.0959375
"324",0.0959375
"325",0.0959375
"326",0.0959375
"327",0.0959375
"328",0.0959375
"329",0.0959375
"330",0.0959375
"331",0.0959375
"332",0.0959375
"333",0.0959375
"334",0.0959375
"335",0.0959375
"336",0.0959375
"337",0.0959375
"338",0.0959375
"339",0.0959375
"340",0.0959375
"341",0.0959375
"342",0.0959375
"343",0.0959375
"344",0.0959375
"345",0.0959375
"346",0.0959375
"347",0.0959375
"348",0.0959375
"349",0.0959375
"350",0.0959375
"351",0.0959375
"352",0.0959375
"353",0.0959375
"354",0.0959375
"355",0.0959375
"356",0.0959375
"357",0.0959375
"358",0.0959375
"359",0.0959375
"360",0.0959375
"361",0.0959375
"362",0.0959375
"363",0.0959375
"364",0.0959375
"365",0.0959375
