"","time","S","E","I","H","C","R","D","hosp","crits","TA","ID","POP"
"1",0,98819,0,1,0,0,0,0,0,0,"Karonga","167",98820
"2",1,98818.2625374844,0.607733887338552,0.794513750945061,0.00966533411336421,0.000117192103065642,0.32543085395413,0.00000149716150023238,0.0103066681355761,0.000119726588962374,"Karonga","167",98820
"3",2,98817.597779044,0.965699859023764,0.799136963049891,0.0172638128377925,0.000417211771789337,0.619692232895218,0.0000108764426166081,0.0195973006799758,0.000435624074279164,"Karonga","167",98820
"4",3,98816.8831776175,1.25291492244136,0.901695425161567,0.0246355333899187,0.000866142164008478,0.936676234345546,0.0000341250171160138,0.0295846061453853,0.000923911065087507,"Karonga","167",98820
"5",4,98816.0556913835,1.54343273618911,1.06252030047771,0.0326308909817449,0.00146061705926767,1.30418745430891,0.0000766175158734729,0.0411496855952759,0.00159031984243019,"Karonga","167",98820
"6",5,98815.0719273079,1.87198098382537,1.27055056461584,0.041745498934614,0.00221194628810052,1.741439795409,0.000143903063928009,0.0548990550686631,0.00245555413265528,"Karonga","167",98820
"7",6,98813.8921463282,2.25942762141896,1.52659087913714,0.0523701122661844,0.00314048239733384,2.26608245224228,0.00024212436724649,0.0713881936454584,0.00355036522824152,"Karonga","167",98820
"8",7,98812.4733122893,2.72283839832862,1.83704508364465,0.0648935675601629,0.00427403882867985,2.89725830762047,0.000378314773585163,0.0912187038136704,0.00491447304905482,"Karonga","167",98820
"9",8,98810.7654559296,3.27966092127811,2.21171473330657,0.0797505425945651,0.00564799999275665,3.65720920066079,0.0005606725644053,0.115089148024696,0.00659714055437869,"Karonga","167",98820
"10",9,98808.7091247264,3.94970740879912,2.6632063654286,0.097449642227972,0.00730623891414288,4.57240676304225,0.000798855241558271,0.143830718699947,0.00865858957433896,"Karonga","167",98820
"11",10,98806.2330082127,4.75637277471652,3.20700728790732,0.118595953885894,0.00930253708801188,5.67460891570822,0.00110431806924833,0.178440469321705,0.011171993770929,"Karonga","167",98820
"12",11,98803.2513555154,5.72764361936071,3.86188316478895,0.143913747491446,0.0117024220278646,7.00201081867113,0.00149071231397992,0.220117468740909,0.0142259903505069,"Karonga","167",98820
"13",12,98799.660966184,6.89714262264265,4.65047202737953,0.174272148483205,0.014585439223794,8.60058721856536,0.00197435977873026,0.27030494740087,0.0179277553423216,"Karonga","167",98820
"14",13,98795.337622221,8.30531237932053,5.60004232016129,0.210715245150932,0.0180479078590418,10.525685108226,0.00257481826845889,0.330740293776876,0.0224067165694198,"Karonga","167",98820
"15",14,98790.1317882533,10.0008213408815,6.74342608820837,0.254498240874137,0.0222062725810396,12.8439442413174,0.0033155628868467,0.403515338942627,0.0278190587601758,"Karonga","167",98820
"16",15,98783.8634261601,12.0422385707678,8.12015725707103,0.307131097661611,0.0272011793825116,15.6356209258506,0.0042248091760235,0.491149297487589,0.0343531928903069,"Karonga","167",98820
"17",16,98777.4898593154,13.5166547052596,9.60962663886344,0.369762369056985,0.0331982209550449,18.9755623212251,0.00533642927211563,0.595984900787719,0.0422320524601848,"Karonga","167",98820
"18",17,98770.0283887839,15.4248399998293,11.1709527219448,0.441872046308714,0.0403576237798736,22.8868983635531,0.00669046071428693,0.718723481297427,0.0516836419284594,"Karonga","167",98820
"19",18,98761.3869582887,17.7066520381587,12.9069451004686,0.523785627143413,0.048824908210449,27.4185015299537,0.008332507416956,0.860883578581934,0.0629306827240248,"Karonga","167",98820
"20",19,98751.4162555306,20.3679435006924,14.8809960610226,0.616672546613706,0.0587548483812353,32.6490638542974,0.0103136584946583,1.02492697902664,0.0762144357366131,"Karonga","167",98820
"21",20,98739.9270200036,23.4456264281867,17.1439476943387,0.72218303332034,0.0703251777963473,38.6782065508725,0.0126911119151484,1.21397464349852,0.0918094626632714,"Karonga","167",98820
"22",21,98726.6944894415,26.9942799342317,19.7453921361644,0.84232489307131,0.0837443841322864,45.6242400359528,0.0155291750256667,1.43173431791664,0.110033114562716,"Karonga","167",98820
"23",22,98711.457300174,31.0815095272879,22.7387919367855,0.979439941141893,0.0992575560199921,53.6248003530661,0.0189005117703839,1.68251959456206,0.131253490002805,"Karonga","167",98820
