"","time","Susceptible","Exposed","Infected","Recovered","Hospitalized","Critical","Deaths","Incidence","New_Hospitalized","New_Crit","Population"
"1",2,1532090.207438,0,1.998,0,0,0,0,0,0,0,4596288.622314
"2",3,1532078.0536512,10.7993450247841,2.74100196376475,0.582374422127886,0.0283623418936872,0.000687692774923323,1.53527443367888e-05,12.1537867980897,0.0314944907415969,0.000715176175527481,4596288.622314
"3",4,1569553.16139623,49.8166155866558,9.6432769535553,1.888884670912,0.127749948779925,0.00434233654103786,0.000163272976188443,58.4840327694202,0.147425933514376,0.00462861433642217,4708861.936287
"4",5,1569364.6272227,206.898142264985,35.5090449598576,7.00619262323005,0.579660038305251,0.0212196952654148,0.000946719523602771,247.018206301167,0.674763452794508,0.0228476381613129,4708861.936287
"5",6,1568577.68726584,862.430433334926,144.765211522421,27.1825547537195,2.47762401758572,0.0947475945934308,0.00459193492189761,1033.95816315817,2.89993073476012,0.102547480601962,4708861.936287
"6",7,1565487.50834298,3418.37755067344,588.299994582064,109.67749505937,10.3532565117452,0.405300700234558,0.0204884966189867,4124.13708602347,12.1559710767633,0.439879881163654,4708861.936287
"7",8,1555237.97435334,11711.2657327667,2192.65437075031,430.129580879185,40.8683402717053,1.66301468116017,0.0870363091657461,14373.6710756582,48.267626791769,1.80947728148262,4708861.936287
"8",9,1530975.12300573,30208.589180962,6773.6029894939,1508.80584955097,141.906957823442,6.2667360727732,0.347709365734037,38636.5224232688,169.885715098843,6.85114333001941,4708861.936287
"9",10,1505928.74203117,44137.9726691949,14844.3650499795,4290.23951751873,391.867600646186,20.2071269791579,1.24843351602573,63682.9033978346,482.862988001675,22.3044285770703,4708861.936287
"10",11,1537247.48537269,38228.3458798055,21590.4548895708,9151.94564108031,790.247170262513,51.6816983230444,3.79548126307394,69812.4747603053,1026.94392709314,58.0567643114484,4821215.880399
"11",12,1536882.58243079,29024.9013797004,24492.9956828736,15326.7910667145,1223.16188986546,104.057239838775,9.46644322231272,70177.3777022151,1712.03666086881,119.956382764205,4821215.880399
"12",13,1536854.34043317,21835.7120569189,24641.4837176134,21943.4069185174,1595.49945925608,173.794705935766,19.7188415863192,70205.619699828,2438.57086798335,206.911986935276,4821215.880399
"13",14,1536808.16855205,16450.2124228726,23210.4025353106,28439.7913569013,1865.8604657506,253.925032275188,35.5957678432869,70251.7915809536,3143.89438753551,313.706283762468,4821215.880399
"14",15,1536664.56156116,12490.2527113816,20988.1477185419,34499.2402798592,2027.14746376826,337.015444545227,57.5909537462345,70395.3985718426,3794.01135814135,433.735697612649,4821215.880399
"15",16,1536233.51728958,9770.077378803,18497.0980711908,39970.4078287067,2090.48081454965,416.69639959495,85.6783505706428,70826.4428434157,4373.9024905086,560.586986994502,4821215.880399
"16",17,1557683.94710163,8177.24001408916,16102.3367798991,44816.7091165647,2075.9142413755,488.297197531284,119.418875908683,71774.9212253684,4881.51914741588,688.852122756141,4888421.604981
"17",18,1556693.65379711,6995.93242409992,13982.5748392697,49078.1620050354,2006.44908252952,548.996191864843,158.094987089196,72765.2145298886,5323.26743286628,814.504491271352,4888421.604981
"18",19,1556370.77185824,5530.5579680762,12054.3903861722,52809.0260011728,1900.71740524878,597.558605551487,200.841102540154,73088.0964687617,5706.54791219936,934.855730004391,4888421.604981
"19",20,1556268.80898745,4243.1290463306,10259.504947682,56041.6014854215,1770.35588572943,633.723278058856,246.739696329117,73190.0593395515,6035.48550299166,1048.10385596619,4888421.604981
"20",21,1556171.6951699,3274.22973889457,8631.31883978043,58809.5829387715,1624.36960003574,657.790640355117,294.876399264058,73287.1731571014,6314.07775596708,1153.01379717547,4888421.604981
"21",22,1555977.07454088,2632.66641904147,7209.79723790421,61158.5635059913,1470.8977704456,670.4885317871,344.37532095006,73481.7937861198,6547.59076432185,1248.84254948134,4888421.604981
"22",23,1705239.75970633,2279.62397834134,6025.54583627568,63144.2660875558,1317.22698657656,672.892825864897,394.428240559869,73824.9929551743,6742.37069210385,1335.30883706806,5337275.2579845
"23",24,1704863.30797686,2038.41941008191,5063.91249639691,64828.0074116826,1169.43848141995,666.340572954793,444.31731210015,74201.4446846363,6905.2434158862,1412.54439513449,5337275.2579845
"24",25,1837557.32772442,1725.2242764631,4277.39058765394,66261.5597310938,1031.33643099189,652.305978246199,493.430211132189,74427.2612155812,7042.01428923733,1480.99539500661,5736079.76682
"25",26,1893673.37889744,1453.95616642465,3606.43645688835,67484.1052547062,904.425549253503,632.246395819349,541.26455546777,74607.4493785598,7156.83587961816,1541.27585719497,5904977.484828
"26",27,1893362.38305979,1367.79722261779,3055.09570582247,68526.4228655262,789.186338919586,607.505651190232,587.422432139132,74918.4452162154,7253.04887249678,1594.06179886324,5904977.484828
"27",28,1892702.22999188,1612.15577453432,2658.9432027992,69425.0672359039,686.502634340048,579.313003874738,631.601432665265,75578.5982841174,7334.54924922607,1640.07513915616,5904977.484828
"28",29,1891398.28005585,2362.47791163422,2484.12966289447,70230.1173130364,598.38034820845,548.840007803665,673.587976571464,76882.5482201487,7406.70293636843,1680.1293592163,5904977.484828
"29",30,2429572.09128638,3794.01578701065,2628.70626659523,71012.9597942399,528.468519524894,517.286160365193,713.256069183142,79175.711596919,7477.2174193439,1715.21308908725,7526414.4086499
"30",31,2426146.6656469,5849.74384768046,3179.07004462985,71872.5346871658,482.219857518277,485.976802474651,750.572996927903,82601.1372363968,7556.74914574362,1746.59760702196,7526414.4086499
"31",32,2422378.53184144,7667.89613544901,4095.95552710685,72917.5690677666,464.811401974366,456.408755762803,785.61115380185,86369.2710418616,7657.09021142146,1775.90238544356,7526414.4086499
