"","time","Susceptible","Exposed","Infected","Recovered","Hospitalized","Critical","Deaths"
"1",2,1353613.38745,0,3,0,0,0,0
"2",3,1353594.23127484,16.4027619315993,4.48827252472474,1.19983346232166,0.0645450055471239,0.000754071493429527,0.00000816648638797134
"3",4,1379742.49901222,82.0889386190137,19.7074399587004,4.37048128999949,0.334877287397173,0.00539289272970092,0.0000957303273883037
"4",5,1379343.95179904,402.841289745414,81.171505196386,19.2372402680876,1.77319755999655,0.0305772852376922,0.000628907832162481
"5",6,1377422.29131979,1946.94370951354,384.004262011399,86.8097948087006,8.79545714120485,0.158191078457747,0.00350365867858633
"6",7,1368826.77077429,8777.16496215922,1795.33768805312,406.341856897649,42.5882742150439,0.78463992891138,0.0180424594957762
"7",8,1341939.30199758,28876.1562269385,7066.13113454175,1776.31061309868,187.346775214558,3.67140478047148,0.0880858406031838
"8",9,1311500.62201731,44366.1418322139,17381.8067753351,5964.58104301305,620.963461896687,14.503783352621,0.387324874247713
"9",10,1304563.45346977,35550.4600354821,24812.6746212496,13516.5017743317,1362.13730055581,42.398387159985,1.38064945178948
"10",11,1340357.19168768,24543.2337864335,26288.8656307905,22631.5451169005,2175.25204906569,92.0862725724497,3.81448155231296
"11",12,1340212.10810677,16828.3112389474,24341.7315006423,31666.238662031,2873.84932140736,161.276267629114,8.47392757626034
"12",13,1339969.36070096,11661.0505952926,21008.3278427281,39808.1967112479,3384.96085142077,244.111334442706,15.9809889111283
"13",14,1339438.44244142,8390.83974219815,17422.8854567578,46777.1514152845,3701.91289837067,334.036711951861,26.7203590184403
"14",15,1338150.2325266,6809.28727304905,14226.3000644598,52589.4002816026,3850.67735127406,425.247775388784,40.8437526278496
"15",16,1336053.08666054,6380.51307096792,11776.940394261,57436.9769309791,3872.81537529245,513.345027528281,58.3115654301386
"16",17,1446332.68862075,5712.12971134657,9950.66195769977,61562.0081594165,3808.80688423329,595.494274731099,78.9497188208934
"17",18,1444601.24403023,5341.02118210255,8515.15364993878,65128.1692190698,3682.68478941629,669.965690947763,102.50076529572
"18",19,1442270.84651521,5596.02860861211,7521.90119602073,68276.403914013,3511.2839152634,735.621350797476,128.653827082388
"19",20,1438718.67059294,6798.84392659593,7082.85099674016,71179.6891247006,3311.79572558834,791.825310973887,157.063649464858
"20",21,1433098.35261323,9366.25419817589,7381.90797659562,74066.0164907475,3102.38048168963,838.458561187374,187.369005376046
"21",22,1423953.09123191,14078.7911773061,8753.11853819047,77255.7395148552,2904.83362481428,875.953624445639,219.211615478986
"22",23,1411329.42606213,20122.455746384,11482.9067901565,81201.3422858599,2746.9318282521,905.418937554938,252.257676658719
"23",24,1396614.48683136,25989.9935867204,15220.5803981094,86355.7909087045,2645.10465378381,928.561195765098,286.221752551654
"24",25,1377373.01137538,33824.5750659868,19910.2079261167,93072.289752907,2592.76431885929,947.015277171386,320.875610579543
"25",26,1412019.53271724,45084.4080826169,26168.3408626753,101829.178179155,2584.70211152811,961.972450663104,356.033404120457
"26",27,1376692.40825723,60278.0440694469,34682.2758039893,113357.618634011,2627.8551508053,974.430646502967,391.535246015926
"27",28,1330978.35522491,79266.7214501148,45988.973205275,128619.69352732,2737.70001630623,985.483239443152,427.241144633228
"28",29,1274805.15661208,100852.006568873,60239.2775702942,148714.909225055,2933.31609470911,996.46935456748,463.032382423754
"29",30,1430848.00428549,122512.838457925,76930.6241936619,174684.319477642,3232.04349398308,1009.00691634128,498.816392957489
"30",31,1362004.83866994,140573.758979971,94709.2727742125,207223.664273014,3644.63452265459,1024.9507112569,534.533286949119
"31",32,1296168.8044503,150156.091336698,111266.188416192,246340.673532071,4167.4491379358,1046.28205010271,570.164294704516
"32",33,1238268.35078946,149979.884459789,123949.370598134,291070.831438874,4766.81003733068,1074.66815514337,605.737739268155
"33",34,1191719.7961914,140441.966479024,130835.191516356,339581.838550594,5384.77868899669,1110.76315948827,641.318632140885
"34",35,1154727.10528147,126106.790727757,131523.423441359,389561.729041329,5965.55549591712,1154.06391027805,676.98531988911
"35",36,1190339.27862277,110923.167763417,127240.481303092,438856.83951852,6480.16329665447,1203.46942531803,712.815877230383
"36",37,1168725.55025551,93183.112815304,119101.700891695,485817.608826973,6921.29560999715,1258.04901130368,748.898396216285
"37",38,1154578.0202066,75053.7690563759,107682.984692064,529082.166112895,7257.20239362076,1316.7269747482,785.34637069896
"38",39,1198503.80502964,60368.5408399643,94666.772729608,567724.283558909,7450.57035492403,1377.3703550993,822.275994851003
"39",40,1187919.87229241,49881.4118325039,81826.1231062018,601493.629769426,7495.65263633221,1437.16428114818,859.76494498049
"40",41,1371343.50073425,43395.6692825666,70430.9592437955,630696.993889462,7416.43015478256,1493.52085787447,897.834420271021
"41",42,1360033.45035402,38881.8884904858,61033.854012907,655988.508795786,7255.94488763735,1544.80196117202,936.460080991816
"42",43,1374151.36335796,34043.1919039134,53134.770098048,678029.755319957,7047.6529541565,1590.45385284482,975.601051118302
"43",44,1365824.69508618,30070.0583206989,46339.8374496627,697290.51047614,6802.20503995619,1630.26485928334,1015.2173060744
"44",45,1358204.07390575,26786.2886347203,40562.5372477059,714171.384736988,6529.23169829679,1664.0076297067,1055.26468483112
"45",46,1349109.29816591,25879.5572231736,35904.6511164389,729049.510359797,6242.45965473934,1691.62095774562,1095.69106019523
"46",47,1334888.5460931,29524.0592543118,33259.5225704862,742470.987026544,5979.49709868384,1713.73077556066,1136.4457193097
"47",48,1322299.41255001,30373.3402416561,32394.3322784285,755196.131083392,5799.33052567914,1732.71980537614,1177.52205345548
"48",49,1335607.85481406,26851.6040661266,31179.7316399802,767496.634064667,5692.89306147792,1751.82928147996,1219.01469760567
"49",50,1328682.44763774,24041.0090458986,29278.1104998844,779168.864348919,5595.72167800279,1772.31407496074,1261.09433999409
"50",51,1320913.25675103,22844.8499027856,27360.4356986789,790116.401035607,5467.50114938638,1793.19892815681,1303.91815975508
"51",52,2058869.24143519,23263.7739398012,25972.8418970173,800450.090694217,5299.29454247795,1812.61713079077,1347.57053390309
"52",53,2047403.47730191,25416.8906953213,25433.0668774409,810440.256270377,5100.91115591719,1828.77874244455,1392.04912998997
"53",54,3266680.71978013,28823.9991676263,25996.1747798208,820445.196125595,4890.61839728895,1840.44893713404,1437.27752880887
"54",55,3388268.0001504,33961.7357904562,27707.8441476753,830878.232800882,4689.81328360843,1847.1154648653,1483.12920951013
"55",56,3363474.80598127,44008.2362788658,31204.8873227859,842235.418550694,4533.86827470281,1849.19757212904,1529.4568669492
"56",57,3465135.43035658,63419.5483588941,38374.1536658201,855430.837981561,4516.86051091468,1849.24437642578,1576.14497930348
"57",58,3419041.3666848,81282.7392972211,49741.8360021814,871952.467335285,4806.03366173704,1854.53960284792,1623.23764542673
"58",59,3378762.00036315,88791.9398090107,61136.1064959043,892588.696434665,5475.40255168715,1876.93995983964,1671.13461524577
"59",60,3330753.52553514,100545.265161926,71835.8756247047,917054.002041665,6465.49825633022,1927.38569766558,1720.66791206311
"60",61,3490389.93511636,107183.21708427,82674.7092367643,945385.61168739,7755.28680605058,2014.34854746283,1773.02226619901
"61",62,3563159.96548136,95271.3208233651,88740.0257395807,976913.270222838,9232.66611451739,2143.72869478529,1829.6581690496
"62",63,3544314.35034287,80353.1860213388,88282.7633124159,1009499.50809809,10634.4327085345,2314.258343134,1892.13641911483
"63",64,3528469.67778182,67852.2787955083,83498.1893449364,1041238.90949338,11752.9134937422,2516.84757499901,1961.81876111748
"64",65,3560406.01358599,61489.5212976932,77241.5590857573,1071104.67324495,12499.2613413363,2738.11962579061,2039.63769577977
"65",66,3536808.99560781,61572.7316523539,72101.5730550067,1099038.86292657,12905.9705678841,2964.63771237223,2126.01435530692
"66",67,4074996.68489492,62549.83211921,68981.704776887,1125628.94693026,13076.9508002741,3186.32646903022,2220.92479872101
"67",68,4051443.15190785,62083.726422418,66891.0058964023,1151409.99437186,13092.3708953796,3397.0748382166,2324.04645717151
"68",69,4026764.42265488,62871.2837817789,65374.1601929902,1176627.38299604,12976.4653643051,3592.78406704981,2434.87173224939
"69",70,4213804.72342339,69462.9039989873,65529.1992060425,1201652.72499736,12748.3184635371,3769.99999659226,2552.74952739198
"70",71,4169759.20725085,84296.8766804155,69007.0082327809,1227389.38530837,12464.6993596621,3926.53032354242,2676.91245768059
"71",72,4103465.44168857,113072.703210188,78416.4358132532,1255457.6989162,12238.9007884689,4062.8954335653,2806.54376305257
"72",73,4025501.70711015,141566.437755049,94739.9243983228,1288328.56152405,12258.2865703432,4184.78750645225,2940.91474892768
"73",74,4148641.475728,156373.555685141,112355.037209368,1327614.54600525,12580.3522771152,4302.38331637496,3079.5818650534
"74",75,4068321.10148036,173317.154185976,129267.82380103,1373316.16621908,13079.2987796238,4422.9712478092,3222.4163724215
"75",76,4086495.7597605,185517.129949019,145663.173890735,1425372.42097979,13672.6000728394,4549.0481120648,3369.43104135228
"76",77,4008462.29518523,191058.219993048,159389.04361102,1483242.22988742,14286.5955770342,4680.52928819565,3520.65026435089
"77",78,3927680.17103682,197257.371720291,170475.922659527,1545895.13106127,14840.214070722,4814.72934173074,3676.02391593899
"78",79,3839578.95348566,207652.765542708,180658.99241803,1612649.65764756,15316.0865694385,4947.74844048865,3835.35970241587
"79",80,4123361.44070363,219264.559526355,191384.951963381,1683440.66539859,15764.0670661943,5077.02626682821,3998.33621051537
"80",81,4033022.33979361,224116.288917335,201294.167066221,1758262.30065036,16228.8540399232,5202.50577712556,4164.5908909342
"81",82,4127183.20823278,219172.394325961,207994.043350554,1836363.88398298,16687.5181987024,5324.77037053155,4333.79134399745
"82",83,4057436.54344131,206848.300866652,209587.704305944,1916160.12112958,17078.1321560139,5443.18041156282,4505.62749444189
"83",84,3993817.70664105,193553.59634668,206381.65048871,1995727.05377415,17344.3955789328,5555.44262218464,4679.76435379453
"84",85,3928268.48491386,186314.002151846,200838.944038039,2073626.98244469,17496.3014603832,5659.0808056351,4855.81399104729
"85",86,4313723.13266912,182361.280253045,195646.22700728,2149451.59255583,17624.5972418795,5754.11728070259,5033.38750654301
"86",87,4254181.05372059,173393.691160781,189958.639055944,2223213.63979074,17791.1715528105,5843.91887990534,5212.22035362882
"87",88,4199623.30331455,163191.466486546,182963.36986968,2294548.31311651,17944.0854827604,5931.56174254001,5392.23450182132
"88",89,4452266.38254942,153164.203991556,174869.724306649,2363061.54618243,18001.4537885128,6017.01007235465,5573.45453347819
"89",90,4399277.68164962,148400.718715803,166929.772543195,2428573.36751402,17918.8426615372,6097.51222223382,5755.88011799557
"90",91,4725820.34138244,151909.115490647,161463.80078811,2491521.39951607,17749.8092327135,6170.3559741517,5939.42011916112
"91",92,4668852.72519623,150269.876639138,158546.195833615,2552916.59854897,17628.2561608164,6236.62985786434,6123.96026667415
"92",93,4667873.90503851,138754.873958608,153961.430478395,2612910.94148917,17569.9661117675,6300.59714790653,6309.51389723935
"93",94,4620165.50881059,134315.992023842,148048.861075628,2670813.55325548,17477.1285639277,6363.95474108414,6496.22965104219
"94",95,4565387.51043643,136963.14026413,144083.668716936,2726784.7406209,17351.8542104097,6426.04285670634,6684.27101609025
"95",96,4505511.27167157,143099.754884914,142754.394116862,2781694.86841507,17259.4933532691,6487.6450080384,6873.80067187838
