"","time","Susceptible","Exposed","Infected","Recovered","Hospitalized","Critical","Deaths"
"1",2,1353613.38745,0,3,0,0,0,0
"2",3,1353594.23127484,16.4027619315993,4.48827252472474,1.19983346232166,0.0645450055471239,0.000754071493429527,0.00000816648638797134
"3",4,1379742.49901222,82.0889386190137,19.7074399587004,4.37048128999949,0.334877287397173,0.00539289272970092,0.0000957303273883037
"4",5,1379343.95179904,402.841289745414,81.171505196386,19.2372402680876,1.77319755999655,0.0305772852376922,0.000628907832162481
"5",6,1377422.29131979,1946.94370951354,384.004262011399,86.8097948087006,8.79545714120485,0.158191078457747,0.00350365867858633
"6",7,2051293.90191629,8777.16496215922,1819.33768805312,406.341856897649,42.5882742150439,0.78463992891138,0.0180424594957762
"7",8,2024269.26616406,28993.3090416234,7100.23173659225,1785.67333111133,187.889880026957,3.67905634403154,0.0881702440869395
"8",9,3226382.01569378,44906.3524959969,17515.6369802284,5996.59524184735,623.597158726231,14.5560725867445,0.388279836276606
"9",10,3216900.31274144,38128.1175082116,25345.0046901283,13646.4736064558,1375.1722058226,42.6746123506783,1.38655859214049
"10",11,3242565.42754997,35036.4022087407,28568.5827385014,23178.4713855631,2235.95778485625,93.4375082838656,3.84553408662494
"11",12,4991604.43325486,44117.7642554771,31955.8863377094,33777.2064967343,3115.02725945627,167.240256684432,8.62178717457243
"12",13,4964057.02338195,52718.3340563341,37569.8320617112,46029.32171367,4089.72487867715,265.357703773969,16.5858519833964
"13",14,6054049.38494271,56423.0415413577,42959.3479144201,60291.1680361795,5192.1856981022,391.724028073697,28.7127574553857
"14",15,6018776.34941821,68002.7674096268,49032.0085908024,76533.9033948596,6395.01763425875,549.402379102995,46.1160914432045
"15",16,6182864.70646053,81888.1719474268,57511.2049057107,95388.3448248203,7746.10022095367,740.941389604639,70.0056842586051
"16",17,8285311.11744734,105118.220633908,68635.0287683538,117659.793259433,9313.09114875787,970.279243282909,101.707996223908
"17",18,8196757.1924788,145303.732686441,87295.8055015306,145077.111421389,11287.1852495434,1245.45711026138,142.754049330692
"18",19,9350822.35244129,157699.300045912,108458.035931966,179837.285061809,13887.3064278424,1583.72765800515,195.142023673282
"19",20,9288210.6886161,159093.486058314,124663.983623985,221306.944952077,16943.8365331094,2002.64483650714,261.564970409202
"20",21,9657547.62223097,152792.708976603,134546.108946852,267569.235651783,20142.9346555425,2509.11297838266,345.182946362936
"21",22,10567805.1694481,168158.005421298,142090.356032818,316890.122884398,23218.5439895707,3098.16945995013,449.180854694341
"22",23,10459403.9289095,204704.499280774,156757.748800051,370247.225651744,26258.8400196249,3760.87091029588,576.434518825495
"23",24,11041142.9498367,217433.777443593,174943.64042781,429988.899594848,29488.2280165921,4495.95690969134,729.604009622599
"24",25,10946555.9281558,226955.96539474,189800.223042584,495928.285820059,32767.6729346821,5303.62150861916,911.359382337201
"25",26,11252199.2402918,243904.753478226,204512.610182292,567499.659517285,35907.893344789,6176.40964495613,1124.21824856797
"26",27,11568225.4795653,265406.420592698,220563.248479281,645089.605692501,38816.9699202438,7102.04500687301,1370.29112195394
"27",28,11435474.1092496,291082.967004739,239291.795884168,729572.37242947,41436.3964731933,8065.28490335815,1651.13443438154
"28",29,12222698.806806,316882.956516175,260073.900748547,821960.29272856,43714.7234742512,9049.15059994362,1967.65347152229
"29",30,12279897.0368533,351984.10473239,283998.887554601,923215.96445218,45607.8321790293,10035.1135393622,2320.03044408464
"30",31,12668729.4638604,387770.8509644,311848.022513906,1034779.14552136,47171.446326073,11005.859863585,2707.69939923926
"31",32,12895339.551351,423779.565827525,342281.683611937,1157825.41662644,48479.3928964974,11947.5754342363,3129.44237129354
"32",33,12693174.2767301,456344.158691373,374118.138154303,1293098.17532505,49614.2554214415,12850.0979764882,3583.52582024519
"33",34,13140719.7250985,488866.453332912,405610.437333402,1440690.89281534,50614.56346424,13706.5396763132,4067.84575726877
"34",35,13124155.6589852,536311.179573247,439945.117868579,1600856.94304133,51568.785476902,14512.8360962953,4580.04316862701
"35",36,13445676.5221686,584988.681601877,479164.896374496,1775070.98605793,52688.0105823522,15271.5789830813,5117.68675712753
"36",37,13181497.224248,629045.650941348,520612.414563214,1964614.5298336,54092.5178241775,15991.9162015177,5678.55565993586
"37",38,12901340.6700246,660668.630856177,561027.837746525,2169787.14077171,55763.6565415745,16684.0837685678,6260.78956258579
"38",39,12852650.7106788,683324.941659357,596719.289214514,2389518.30687096,57563.7226736673,17355.1309023889,6862.85079206792
"39",40,12788624.0523996,706935.491114113,628648.55151967,2622171.18872408,59381.377916503,18007.3823345382,7483.36896526376
"40",41,12818298.261891,717500.273347817,655807.801312941,2866281.08678483,61213.1250082905,18642.3230076803,8121.04438216467
"41",42,12549299.4177118,711048.597743169,675015.292257305,3119443.38744033,63020.658984632,19261.8823285275,8774.67926898041
"42",43,12330921.0781006,683982.810860285,682306.736745067,3377975.26159376,64666.8007350468,19865.9285794345,9443.17907555522
"43",44,12106693.9368171,651445.748697174,677273.880784916,3637238.70991201,65935.3487854509,20448.7367906776,10125.4339024341
"44",45,11958080.4285479,619278.819373419,663653.1519668,3893305.33837386,66716.1365253147,20999.7312489854,10820.1257738711
"45",46,11835483.2225986,583165.830995954,643470.513011777,4143353.7953129,67017.9092480993,21508.3482240801,11525.6559097705
"46",47,11649044.3395238,551250.076561702,618958.425938161,4385196.02774453,66870.1527400456,21966.0473246719,12240.2054682841
"47",48,11482396.357981,513042.326297511,591001.591579323,4617446.22183501,66310.6372706405,22366.3264523249,12961.8138853123
"48",49,11351963.601999,474216.361511669,559394.883784136,4838674.25735628,65338.0624292869,22703.78964341,13688.4351394174
"49",50,11208561.0370888,441696.967762867,526496.978042446,5047876.26345712,63957.2948347972,22972.9113365124,14417.9393406253
"50",51,11070421.874153,415223.672443726,494775.763001953,5245014.9391827,62225.880130977,23169.1544671762,15148.1084836541
"51",52,10999791.6480682,394990.568658561,465755.295304507,5430783.85155796,60216.116956308,23289.9718194335,15876.6769041753
"52",53,10864014.698923,381614.549023179,440728.792545803,5606407.77014497,58002.2562062527,23334.681965885,16601.380460074
"53",54,10728217.2700892,372471.423035729,420239.010418494,5773483.78057248,55668.1095285955,23304.5352583692,17320.0003663262
"54",55,10733414.8432234,364294.586602633,403612.287151031,5933578.78541714,53291.8634537243,23202.7858665815,18030.4136856218
"55",56,10604334.0094998,354992.2110631,389527.444372698,6087872.82350552,50934.1063932064,23034.3275726594,18730.6429931734
"56",57,10481595.3479347,343337.263592962,376603.98915761,6237024.50313814,48640.2822928558,22805.2817894077,19418.8974944428
"57",58,10368633.9913737,327178.453973627,363382.401964964,6381172.80594236,46441.5677879676,22522.7346668309,20093.6096907545
"58",59,10266484.9186321,307269.22243522,348481.217734707,6519904.32272022,44338.3257416451,22194.0942163483,20753.4639199143
"59",60,10172369.8601127,287082.636981794,331897.252406609,6652533.22860548,42318.9516425011,21826.2390572849,21397.3965937633
"60",61,10086805.3687629,266033.813875046,314216.098209956,6778529.53058688,40390.3079363455,21425.8592312297,22024.5867978242
"61",62,10116123.443448,239526.861221767,294395.694881568,6897328.20683056,38532.0058851259,20999.3974473616,22634.4601868141
"62",63,10056217.5183032,212524.362708683,272269.796013239,7008064.10605774,36686.2262145724,20551.4071377306,23226.6534660104
"63",64,10005197.9895142,186805.071123618,248779.422556229,7110058.5636731,34813.7428828206,20084.344501889,23800.9356493431
"64",65,10011830.9920579,163169.797841778,224918.178879623,7202990.24035988,32902.2794348769,19599.5827999575,24357.1491589999
"65",66,9973802.00367667,142526.36791394,201600.590442753,7286886.92161814,30958.9277740193,19098.2247718721,24895.1843355711
"66",67,10010608.0900892,125987.141008571,179822.88496878,7362118.58917867,29008.9097061961,18581.6907430282,25414.9769544701
"67",68,9978301.78522671,112428.748148166,160343.920196923,7429405.11748414,27093.8758476225,18052.30969194,25916.5260534758
"68",69,9950233.86303763,99784.6604328233,142815.46517782,7489558.46150252,25236.6634599618,17513.2449573431,26399.92408088
"69",70,10141312.3415799,91006.1457008158,127494.990194043,7543338.70188523,23436.5912653544,16967.4002458957,26865.3606017658
"70",71,10112776.3892907,85686.1924786431,114838.29254984,7591688.5266195,21701.773183578,16417.2591762505,27313.0981744713
"71",72,10080870.555583,84922.2116828559,105285.737670904,7635688.68164433,20045.7166166552,15865.1729257139,27743.4553495098
"72",73,10046502.7167648,86372.4414808619,99010.4628880947,7676572.12777681,18493.2844386607,15313.6978361418,28156.8002876376
"73",74,10203978.3055223,90465.6067795435,95546.9099287263,7715481.57746639,17056.2565102352,14765.6314031969,28553.5563355524
"74",75,10156970.3562712,100796.095258702,95594.7756148914,7753576.85796879,15751.8907595226,14223.6698220169,28934.1982508887
"75",76,10108286.6538,108928.902888182,98818.6784040114,7792201.18384429,14621.8775747934,13691.2871747685,29299.2602599241
"76",77,10061470.6272051,113056.679930666,102745.511606198,7832104.19948378,13649.1145595107,13172.3436355058,29649.367525205
"77",78,10010377.7470848,119544.861663329,107034.789259702,7873467.44792366,12768.9914508507,12668.7978604921,29985.2087031
"78",79,9951054.55619724,130884.995884178,112809.172588828,7916652.70380387,11958.0111298629,12180.9408117065,30307.4635302832
"79",80,9884605.3974946,144312.988002444,120944.80330469,7962413.17737645,11245.2919711033,11709.4034519217,30616.7823447575
"80",81,9817424.79708138,154072.130734354,130094.815020896,8011444.42795817,10641.8766905794,11255.9689880186,30913.8274725749
"81",82,9921104.92533093,164079.366117571,139366.940328128,8063952.82395348,10091.658325571,10821.4068371069,31199.2857231913
"82",83,9842460.59042436,177182.334111511,149411.908470905,8120133.91381589,9549.45748881811,10404.3985573054,31473.8037471848
"83",84,9755986.85059735,192607.649687041,160844.895840805,8180433.70237589,9002.68237909892,10002.6936214738,31737.9321143065
"84",85,9661161.39017068,210066.237512496,173893.278660877,8245432.21071557,8457.06781929683,9614.10834564148,31992.1133914154
"85",86,9556241.61487727,230399.222232063,188798.378143108,8315773.4851557,7929.96034535996,9237.04808192967,32236.6977805414
"86",87,9439278.04100864,254236.038257537,206070.906631837,8392232.28231285,7456.18421458009,8870.97806380561,32471.9761267251
"87",88,9314485.58697745,276774.270138879,225391.122108657,8475671.94665642,7078.31768393998,8516.93019780713,32698.2328528232
"88",89,9185851.00278348,295374.59135746,244960.441069282,8566547.75742466,6790.10100190591,8176.71430158964,32915.7986775846
"89",90,9049399.55444419,314556.172024824,264294.917508643,8664843.69433288,6545.98947951823,7851.0334833218,33125.0453426027
"90",91,8905084.40084772,334125.265869008,283666.389132809,8770559.862269,6314.89600345902,7539.25609527027,33326.3363987066
"91",92,8753519.25119553,353450.327404365,303071.333505388,8883731.6466405,6083.68313567032,7240.17067457829,33519.9940599379
"92",93,8595087.2558889,372299.885684865,322370.84401514,9004351.54181679,5848.09889463982,6952.48918911249,33706.2911265259
"93",94,8429912.00102191,390726.827342042,341452.70061669,9132356.46467439,5607.89195189869,6675.06491549229,33885.4560935475
"94",95,8258176.10520237,408707.392936973,360254.064365765,9267649.28293315,5364.91043564858,6406.96759789298,34057.6831441777
"95",96,8074464.92301216,430879.493006428,379556.733953636,9410222.43504101,5122.18438094841,6147.49437414094,34223.1428476405
"96",97,7884917.57151278,450805.693492144,399382.832444637,9560349.26899213,4882.89896076492,5896.14949910003,34381.9917144132
