"","runNum","Population","Incidence","Recovered","Deaths","Peak_Hospital","Peak_Crit","Cumulative_Hospital","Cumulative_Critical"
"1",1,18841350.6633035,17742658.2334159,17682830.6824245,59827.5509914277,219470.841769106,33662.2861795106,540485.226266696,102037.029105316
"2",2,18841350.6633035,15865080.6415441,15826637.6983782,38442.9431659143,109678.565900143,24939.2789208924,428037.506644104,65287.7692471249
"3",3,18841350.6633035,13925597.7528972,13871077.8647932,54519.8881040427,71211.9163906062,26557.6021880881,381187.582053004,92548.6669903153
"4",4,18841350.6633035,15984319.7307552,15938191.6797379,46128.051017347,128055.009919643,28064.1309174658,413713.405309494,78907.7385976217
"5",5,18841350.6633035,13865618.4820248,13829791.1968867,35827.2851380837,102416.846071938,19111.744455871,383866.562656599,61535.4086040543
"6",6,18841350.6633035,12558318.6149679,12513600.1219274,44718.4930405357,71229.5155603532,27510.8821398461,355135.873985828,76519.4710784017
"7",7,18841350.6633035,16796364.292066,16759762.8516312,36601.4404348075,127232.750534065,24527.3770957061,448699.685170465,62403.3357956564
"8",8,18841350.6633035,11968661.5695606,11936301.1948509,32360.3747097304,62299.5823642255,15940.9487206983,322428.707298688,54776.9484595758
"9",9,18841350.6633035,9950230.63996295,9905518.240956,44712.3990069512,48710.2739425848,14110.8300603518,308635.227286718,76080.0785806571
"10",10,18841350.6633035,16870892.4248858,16801767.1177746,69125.307111164,211192.625118454,39626.8894015084,552565.137967743,117184.729140861
"11",11,18841350.6633035,15036797.5699068,14985376.7665418,51420.8033649503,124370.184603779,33038.6293585948,518262.577767336,88177.4733279174
"12",12,18841350.6633035,17217692.9946117,17177865.6999147,39827.2946970285,157739.995282464,27498.7757881927,499327.463298172,67745.6519911359
"13",13,18841350.6633035,15678150.2833726,15640578.81525,37571.4681226409,116231.58870968,20632.6167656775,453853.270889368,63857.4651147827
"14",14,18841350.6633035,17402823.8447852,17358398.4932,44425.3515852219,172573.074070771,26468.8988781557,527009.30339121,75043.5037776022
"15",15,18841350.6633035,17069060.2004537,17021698.6329177,47361.5675359625,138882.132258011,27517.0379400134,504844.090417239,80911.1981027166
"16",16,18841350.6633035,13536715.5075819,13497463.2609832,39252.2465987223,89079.4559274578,22176.2187714087,396469.304992429,66978.6313221897
"17",17,18841350.6633035,17999617.1691343,17949296.5527045,50320.616429767,173393.36046669,37857.9548852631,474828.792416697,85116.713991597
"18",18,18841350.6633035,15616959.2067478,15551998.2571558,64960.9495919645,115279.706419982,46878.4496587777,487975.592696959,110312.255941171
"19",19,18841350.6633035,13620523.4436078,13574453.1398903,46070.3037174677,98498.408864346,28725.222421255,434339.489868386,78886.9687871976
"20",20,18841350.6633035,8515240.91984796,8490613.40812674,24627.5117212154,23722.2127610149,8595.92413914085,210010.267415621,42099.0939111675
"21",21,18841350.6633035,17696273.9708148,17636279.9433814,59994.0274334437,187311.758711965,38940.3533677768,542726.296424211,100821.344702256
"22",22,18841350.6633035,16224747.9353215,16162580.4964285,62167.4388930167,134536.331056917,37068.674795302,481124.076894998,106240.223518864
"23",23,18841350.6633035,17274874.3996279,17229771.2099363,45103.1896916002,134192.278405592,27411.315216938,471493.443041641,77063.9998041421
"24",24,18841350.6633035,15624171.2028006,15561056.2561435,63114.9466571173,129798.945033746,41144.107195907,483403.156440566,107282.880604628
"25",25,18841350.6633035,17730052.9413139,17693009.7524839,37043.1888300139,193601.38923213,23272.0424659363,507150.323574197,62354.687845865
"26",26,18841350.6633035,15286996.6708507,15261353.8436043,25642.8272464376,175625.144744633,15095.8191073496,448435.188249053,43596.6976804536
"27",27,18841350.6633035,15011726.0035236,14965871.0367623,45854.9667613468,121277.276496649,28283.0565443421,484394.949077741,77548.0871572799
"28",28,18841350.6633035,15262984.7309743,15197943.1385101,65041.5924641819,66375.9080066209,41365.9429285951,467133.636965081,110142.298846274
"29",29,18841350.6633035,12100458.0366683,12058088.6447594,42369.3919088989,68495.3054457872,16260.6798904375,370266.043820327,71898.475287846
"30",30,18841350.6633035,15283560.0317512,15233240.0639858,50319.9677653805,127596.27161362,32257.6606279778,491050.570125997,86131.1506788963
"31",31,18841350.6633035,14330522.8035705,14285912.5439336,44610.259636877,110809.898404333,20482.3794126412,407005.086151032,75870.316394451
"32",32,18841350.6633035,16389748.5188961,16317731.766169,72016.7527270968,167538.884200735,49095.2962919002,508512.345201757,121414.998887259
"33",33,18841350.6633035,13941148.3468619,13900312.952819,40835.3940428843,118861.378576389,21966.3625282774,386811.953340025,69530.0545069112
"34",34,18841350.6633035,14490321.0551368,14471378.9412458,18942.113890956,99876.2126839916,11611.7760861785,388148.44662587,32237.6014344586
"35",35,18841350.6633035,16657769.0399043,16606516.704011,51252.3358932823,127870.103344485,33560.8348135419,445385.179752058,86666.5894475615
"36",36,18841350.6633035,17145787.3849979,17088695.4049208,57091.9800770814,155369.747824628,36519.8732641498,515565.113394938,96324.6681378248
"37",37,18841350.6633035,16190023.9976803,16145940.6083949,44083.3892853553,115831.416583588,27103.0856629126,534575.843261388,74771.137062876
"38",38,18841350.6633035,16620981.2431194,16575962.8541416,45018.3889777779,107333.376813439,28839.9471193849,417416.703183771,76826.6241020984
"39",39,18841350.6633035,13648678.6552991,13596373.1642733,52305.4910257811,97131.5434043554,31071.1294669764,391340.509992115,88475.7146844199
"40",40,18841350.6633035,17036050.0438532,16980315.4114082,55734.6324450287,128063.576896134,36686.6386836408,542129.135894912,94495.097586981
"41",41,18841350.6633035,17691891.9777609,17639759.1220326,52132.8557282856,156737.327675735,40443.9366633495,485393.973752259,89074.5085215676
"42",42,18841350.6633035,12290622.5904093,12263830.8013714,26791.7890378924,78418.2758632258,15450.8533865365,367030.181787582,45708.0207718935
"43",43,18841350.6633035,16077308.7832341,16024934.7862139,52373.9970201701,88571.2964106673,29268.2257585218,486793.264541871,89327.9709478758
"44",44,18841350.6633035,17051253.5868298,17006023.553806,45230.0330238011,177986.643616273,29818.5986324376,474573.233432499,76034.2485591173
"45",45,18841350.6633035,17360034.7230087,17309920.2207262,50114.5022824578,183464.459396978,33025.7935489045,492794.233568204,85424.4218033966
"46",46,18841350.6633035,13259074.6339347,13220286.3404507,38788.2934840078,83836.7835017809,17389.1884951109,369090.519846158,65892.0635418486
"47",47,18841350.6633035,12983949.1782972,12947535.8144197,36413.3638775348,97117.7006565128,19353.8230946484,416223.169514947,61409.243041858
"48",48,18841350.6633035,17163845.4260478,17110788.3237933,53057.1022544912,188975.39206064,33820.6462279189,528100.512407131,90828.2934647312
"49",49,18841350.6633035,17774108.4368437,17717441.4139893,56667.0228544072,162017.508196043,36281.0575774627,520492.777270138,95673.6107035632
"50",50,18841350.6633035,14063168.1546185,14031670.9686458,31497.1859727491,78146.8982068577,14811.2842086652,333237.712496579,53698.0721863811
"51",51,18841350.6633035,18595341.7147607,18541569.9984374,53771.7163233035,195908.959780679,42542.9588205334,474991.803239815,90229.6403701209
"52",52,18841350.6633035,17026931.1213631,16967446.4895524,59484.6318106588,233021.673418847,40214.1882905618,580324.578124769,101168.07495165
"53",53,18841350.6633035,17854074.6481977,17781037.0502421,73037.5979556125,143948.997436769,54695.3280669931,523170.073807144,124594.593955142
"54",54,18841350.6633035,17985030.0427334,17932793.7193963,52236.3233371273,206186.247241212,36649.7231641779,534844.273722238,89151.6890336467
"55",55,18841350.6633035,14325349.2514791,14274169.5388008,51179.7126782661,63133.1298167969,22593.5890765824,401097.530776026,86475.8147660151
"56",56,18841350.6633035,15576551.616001,15517663.3823516,58888.2336494478,109771.495398247,28960.7104977681,466004.895672323,102354.586295619
"57",57,18841350.6633035,17882690.5930661,17821721.132411,60969.4606550916,199892.107901328,43972.1456666779,545971.4275576,103578.783292348
"58",58,18841350.6633035,15215221.8626076,15169764.8566709,45457.0059366929,122954.333578969,28694.4596533234,414180.086860933,77154.3290576257
"59",59,18841350.6633035,8772895.47877807,8750880.91989956,22014.5588785138,23054.950763718,7446.81844695677,227942.925274991,37900.4760158645
"60",60,18841350.6633035,18230159.4806354,18173069.0527903,57090.4278451409,208915.069804445,47963.3968873082,509384.302424777,96906.710030591
"61",61,18841350.6633035,17834152.8765022,17775683.1784799,58469.6980222561,201334.077721528,42497.2972538992,553232.033964868,98309.7038970987
