"","runNum","Population","Incidence","Recovered","Deaths","Peak_Hospital","Peak_Crit","Cumulative_Hospital","Cumulative_Critical"
"1",1,18841350.6633035,16504934.7829976,16449280.7871719,55653.9958256522,153944.914962672,26271.0328885576,502781.110550215,94918.9511897795
"2",2,18841350.6633035,14219002.2629615,14184547.9661052,34454.296856295,80957.583587436,19980.6162650663,383626.55807542,58513.8493985327
"3",3,18841350.6633035,11510968.3373923,11465906.1187532,45062.2186391403,43998.6659414425,17740.4004367092,315091.761763763,76501.0629852446
"4",4,18841350.6633035,14388693.8906088,14347170.5527658,41523.337842966,96871.1915593156,22822.1365687974,372414.694653782,71030.8174655721
"5",5,18841350.6633035,11427872.7521811,11398344.9352014,29527.8169797075,64907.2169884792,13190.1900484319,316378.143563409,50716.728679919
"6",6,18841350.6633035,9634508.43359773,9600201.61972333,34306.8138744022,38310.9823386378,16756.2108597468,272453.654984961,58704.3184571375
"7",7,18841350.6633035,15529605.934752,15495764.9242794,33841.0104726307,99508.30886875,20652.5975063837,414859.38104723,57696.9632898967
"8",8,18841350.6633035,8832825.25165679,8808949.22549275,23876.0261640368,30991.2855229608,8786.02873445293,237951.444095213,40424.7889686166
"9",9,18841350.6633035,478932.915700869,477823.484691076,1109.43100979318,3839.21861210838,866.665272438857,15001.2194515982,2752.05358670493
"10",10,18841350.6633035,15648932.5982044,15584814.0429565,64118.5552479482,171184.384093423,34061.2332926568,512542.80945776,108697.03166346
"11",11,18841350.6633035,13055058.112562,13010414.5735793,44643.538982655,86127.7489960693,25050.8840139657,449959.399853143,76556.3339441208
"12",12,18841350.6633035,16138403.2895612,16101072.567792,37330.7217692331,127104.716946951,23793.7291861452,468027.161398273,63499.0212416036
"13",13,18841350.6633035,13958872.0068852,13925420.7924861,33451.2143990642,84872.4804525789,16143.1805442728,404083.371456482,56854.8061607678
"14",14,18841350.6633035,16452495.5921433,16410496.2121005,41999.3800427972,143834.323346729,23290.5621476836,498230.535627505,70945.5503758747
"15",15,18841350.6633035,15962319.2782658,15918028.6089692,44290.6692966211,112125.083393965,23520.4492943647,472110.501734092,75664.9964945344
"16",16,18841350.6633035,10974897.2042141,10943077.0221164,31820.182097684,53813.5488505939,14772.68091426,321437.822729451,54302.9557781201
"17",17,18841350.6633035,16812803.848163,16765801.1507901,47002.6973729053,114143.71896237,29904.9590431333,443520.730335717,79504.5030045274
"18",18,18841350.6633035,13870976.4356144,13813279.192019,57697.2435954378,83256.2346432524,37262.5519647315,433419.766867811,97979.3107853911
"19",19,18841350.6633035,11089585.332817,11052076.1840011,37509.148815879,60031.9921726362,19502.9742921236,353631.430082257,64228.3563629465
"20",20,18841350.6633035,31638.4603744319,31584.0627112192,54.39766321266,130.639567729735,38.2795289911406,784.450448901774,131.085473800572
"21",21,18841350.6633035,16867322.556053,16810138.8496271,57183.7064259211,157446.846671864,34744.5140728379,517303.219904153,96098.5428440899
"22",22,18841350.6633035,14736272.0051685,14679807.9113051,56464.0938634267,102724.975715775,30309.8777450536,436985.235406071,96493.6308800861
"23",23,18841350.6633035,16260993.264266,16218537.2308961,42456.0333698683,109881.981290336,23742.1982237627,443820.980981398,72541.0299892614
