time,Adult_Susceptible,Adult_Exposed,Adult_Infected,Adult_Hospitalizations,Adult_Critical,Adult_Recovered,Adult_Dead,Adult_New_Incidence,Adult_New_Hospitalization,Adult_New_Critical,Elderly_Susceptible,Elderly_Exposed,Elderly_Infected,Elderly_Hospitalizations,Elderly_Critical,Elderly_Recovered,Elderly_Dead,Elderly_New_Incidence,Elderly_New_Hospitalization,Elderly_New_Critical,Pediatric_Susceptible,Pediatric_Exposed,Pediatric_Infected,Pediatric_Hospitalizations,Pediatric_Critical,Pediatric_Recovered,Pediatric_Dead,Pediatric_New_Incidence,Pediatric_New_Hospitalization,Pediatric_New_Critical,Total_Susceptible,Total_Exposed,Total_Infected,Total_Hospitalizations,Total_Critical,Total_Recovered,Total_Dead,Total_New_Incidence,Total_New_Hospitalization,Total_New_Critical,Population
13,14738.62045,1,0,0,0,0,0,0,0,0,1639.22489,0,0,0,0,0,0,0,0,0,16854.00354,0,0,0,0,0,0,0,0,0,33231.848880000005,1,0,0,0,0,0,0,0,0,33232.84888
14,44081.055231292296,3.8420627050782894,0.22658738349681257,7.437417830434577e-4,8.903628213141878e-6,0.034225913558574114,6.016253644189621e-8,0.10362870770746917,8.095689466605157e-4,9.193928539918142e-6,4847.5508349465,0.019323636633035816,0.0025682640385589414,2.4642752010231917e-5,3.8574581535965663e-7,2.2811841330687166e-4,5.917622381809828e-9,0.022145053500349596,2.6235189624613858e-5,3.9568348413373707e-7,50254.64519518049,0.05661297249390565,0.007312429103826096,1.3002628740244913e-7,4.0572659505577093e-10,7.09287477626118e-4,1.038676031583507e-11,0.06463481951775861,1.383485545098813e-7,4.161133553716061e-10,99183.2512614193,3.9179993142052307,0.2364680766391976,7.685145613410921e-4,9.28977975509659e-6,0.035163319449507104,6.609054558402187e-8,0.19040858072557737,8.359424848396395e-4,9.590028137407251e-6,99187.44167
15,44080.62010195581,3.2674611106572824,1.0451856574685148,0.004590798674125188,8.465561384645104e-5,0.22143482449877294,9.97280718101521e-7,0.5387580441932596,0.005231522807745586,8.946739032559208e-5,4847.460621114725,0.09322622487406822,0.01655433912699826,2.3992267833524369e-4,6.407497069844042e-6,0.0023318080240824785,1.8307505605556354e-7,0.1123588852756101,2.669765801286216e-4,6.714941866764574e-6,50254.36890637937,0.28441707668834926,0.049015536154551675,1.3149530880872744e-6,6.980247424931239e-9,0.00748968552997139,3.3125619222791677e-10,0.34092362063746406,1.4611831604304577e-6,7.311503617159157e-9,99182.44962944991,3.6451044122197,1.1107555327500647,0.004832036305548519,9.107009116372001e-5,0.2312563180528268,1.1806870303493125e-6,0.9920405501063337,0.005499960571034638,9.618964369597383e-5,99187.44167
16,121765.25567756385,3.9064768097179705,1.5467249507830456,0.01133445542435003,3.3387295158322067e-4,0.5905563713948515,5.975884771442944e-6,1.055432436156572,0.013932372700934831,3.627031736296991e-4,24650.14821456923,0.15804019521550336,0.044217119173144186,9.737077820470912e-4,3.834167858549403e-5,0.009994475033167277,1.5918842462421853e-6,0.21326543076669363,0.001139187457330829,4.10149990186718e-5,172153.52413646868,0.5198297691147057,0.1380447438885984,5.557024316782204e-6,4.321449658731982e-8,0.03321341511192978,2.965068262919968e-9,0.6910935313191156,6.480615613787e-6,4.6179564850239795e-8,318568.9280286018,4.584346774048179,1.7289868138447881,0.012313720230713903,3.72257844665302e-4,0.6337642615399486,7.570734085948049e-6,1.9597913982423811,0.015078040773879448,4.0376435221322113e-4,318575.88782
17,141557.419274765,6.5450878542149376,2.0819587476159316,0.019678340492413095,8.025887376303657e-4,1.1061975139573756,2.0189985703894456e-5,1.7537452350039915,0.026120793780855685,8.999996102435697e-4,26830.445012304946,0.25985462712837193,0.086008529696631,0.0024515091214152396,1.3026144104173355e-4,0.02661539986781953,7.3678000064616205e-6,0.3750676950552859,0.003026706385940727,1.4263452534613082e-4,194729.51391037749,0.8374263569794811,0.27411771799118256,1.440623950877498e-5,1.512721010807287e-7,0.0908509759424493,1.4109697921813304e-8,1.202409622534421,1.771387548882582e-5,1.6538179900254203e-7,363117.37819744746,7.64236883832279,2.442084995303745,0.02214425585333711,9.330014507731799e-4,1.2236638897676444,2.757189540827789e-5,3.3312225525936983,0.029165214042285236,0.0010427995173887031,363128.70941999997
18,151400.7119900079,7.783932086004391,3.0850244905767648,0.030923221059929167,0.0015349854436132351,1.8442954243751366,4.978464090520026e-5,2.7457599921007403,0.043610942389088254,0.0017752928660948384,28017.862943842272,0.38651274797053853,0.14605813687370836,0.004963710629408773,3.2851809394523134e-4,0.056589434730954076,2.360942763587113e-5,0.5944761577261909,0.006441040022977831,3.681662591275534e-4,206264.70669001382,1.2557423338569544,0.4685660650923216,2.9391365760775878e-5,3.857813412949027e-7,0.1954117640790388,4.6031898921809207e-8,1.9197499862073164,3.8027630565110117e-5,4.3181324021671195e-7,385683.28162386396,9.426187167831884,3.699648692542795,0.03591632305509872,0.0018638893188997613,2.0962966231851294,7.34401004399932e-5,5.2599861360342475,0.050090010042631194,0.0021438909384626087,385698.54161
19,206443.75453132665,12.980556538949852,4.140412015683871,0.04576731111379383,0.0026159864688149537,2.873124196546315,1.0262460106685075e-4,4.042578673363715,0.06797336177339623,0.0031116654563835017,38950.98627695386,0.5338564100687301,0.2254058905606075,0.00879016428803477,6.929532544907996e-4,0.10496723747871856,6.0390490646591636e-5,0.8737730461412283,0.011956661391642727,7.943679775431439e-4,283464.8995283369,1.7737938154223805,0.7317016724535567,5.226405717223257e-5,8.143458380303629e-7,0.3651229782003624,1.1862162058127367e-7,2.8706716631009304,7.092340634446529e-5,9.329674586116366e-7,528859.6403366174,15.288206764440963,5.097519578698035,0.05460973945900083,0.0033097540691437834,3.343214412225396,1.6313371333402364e-4,7.787023382605874,0.08000094657138343,0.003906966401385257,528883.42736
20,213961.54777300014,12.498242076117041,6.130634084733233,0.0666544650103023,0.00415015780248485,4.341467334598531,1.8888157020558615e-4,6.041336999831797,0.10274691304862968,0.005063008234921096,39772.78983732474,0.7887979715985751,0.3359671964180043,0.014273708022402787,0.0012936766966378894,0.17802751025591573,1.326122679839408e-4,1.3184926752595199,0.02028196361282183,0.001516371589917561,292023.5073560852,2.606765444667932,1.0991639416461527,8.53218051791348e-5,1.5192478095954037e-6,0.6234774264155818,2.61090934083513e-7,4.32949391487359,1.2092858005271313e-4,1.7803387436789168e-6,545757.8449664101,15.893805492383548,7.565765222797389,0.08101349483788421,0.0054453537469323346,5.142972271270028,3.2175492912361046e-4,11.689323589964905,0.12314980524150422,0.006581160163582337,545786.53429
21,232793.48572070862,12.42205541410238,7.5616219415890384,0.0928124755148666,0.0062981797628017455,6.2860588594137266,3.2242099798326246e-4,8.369169291380796,0.14877720997071936,0.007857221870551542,44632.61793817208,1.0289989029848385,0.4804176206595773,0.02199994910366179,0.0022228305616632323,0.28522140211578456,2.611224931029267e-4,1.8191218279186285,0.03249159150307869,0.002661326199803053,321272.7878890583,3.483100498017065,1.5881114837758201,1.321570191862955e-4,2.609231548253164e-6,1.0046936792228083,5.144438131242292e-7,6.07604094171024,1.9463052641384337e-4,3.123675361377393e-6,598698.891547939,16.934154815104282,9.630151046024437,0.11494458163771469,0.008523619556013232,7.57597394075232,5.840579348993134e-4,16.264332061009664,0.1814634320002119,0.010521671745715971,598733.15588
22,251521.9031308221,12.655605868174497,8.659999845672923,0.1205466469376088,0.009093214847394183,8.585353817645407,5.197845952457961e-4,11.031119177873077,0.2031724955981568,0.011607665396303557,49467.2324996106,1.2818869190000537,0.6502907538213333,0.03224137524632762,0.003589014632696314,0.43436794052150673,4.743861714096711e-4,2.4028503893933273,0.049459299067155946,0.004385628927768225,350363.72446785966,4.415975597751969,2.1807502830762413,1.951464312389311e-4,4.216749684350823e-6,1.5407259613800186,9.349566597648536e-7,8.137652140345812,2.9818055812124464e-4,5.151706344115677e-6,651352.8600982924,18.35346838492652,11.491040882570498,0.15298316861517536,0.012686446229774847,10.560447719546932,9.951057233152322e-4,21.571621707612216,0.25292997522343397,0.0159984460304159,651393.43172
