Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,_UNcount,_UNsum,_UNmean,sqkm,PopDensity
0.04957896793,0.00012042370,Area 1,MW21031,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,171,10924.1437826157,63.8838817696822,1.439,7591.483
0.08651982748,0.00033258662,Area 10,MW21040,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,477,1815.4232968688,3.80591886136017,3.976,456.595
0.02750721301,0.00004089716,Area 11,MW21041,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,57,392.293816849589,6.88234766402788,0.489,802.237
0.05763715905,0.00019001779,Area 12,MW21042,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,274,2493.48666365445,9.10031629070966,2.272,1097.485
0.04138362451,0.00007830649,Area 13,MW21043,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,111,51337.6468680874,462.501323135922,0.936,54847.913
0.06773173091,0.00016678532,Area 14,MW21044,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,241,2020.28473562002,8.38292421419096,1.994,1013.182
0.03933601378,0.00008400975,Area 15,MW21045,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,121,1138.43855392933,9.40858309032503,1.004,1133.903
0.01967929314,0.00002278832,Area 16,MW21046,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,32,11.6783318594098,0.364947870606557,0.272,42.935
0.04355324845,0.00010666379,Area 17,MW21047,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,153,7.48965343274176,0.048951983220534,1.275,5.874
0.06671028100,0.00023208813,Area 18,MW21048,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,331,25937.9998457432,78.3625372983178,2.775,9347.027
0.02075390693,0.00002650873,Area 19,MW21049,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,37,17.0368900001049,0.460456486489322,0.317,53.744
0.05366640134,0.00014660700,Area 2,MW21032,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,210,2578.90034022182,12.2804778105801,1.752,1471.975
0.04276530800,0.00009389238,Area 20,MW21050,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,135,1817.07795202732,13.4598366816839,1.123,1618.057
0.07502317056,0.00034727586,Area 21,MW21051,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,500,51469.0710787447,102.938142157489,4.151,12399.198
0.06746168755,0.00027248015,Area 22,MW21052,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,397,52299.1196358204,131.73581772247,3.257,16057.452
0.08458066028,0.00044076586,Area 23,MW21053,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,632,72249.2898378372,114.318496578856,5.268,13714.748
0.07237922169,0.00026902175,Area 24,MW21054,,,,Lilongwe City,MW210,Central,MW2,Malawi,MW,2018-09-03,2018-10-16,,389,46599.1208209991,119.792084372748,3.215,14494.283
