region,calculated_score,CI_region,CI_count,final_score
MW210,4.6,MW210,23,23
MW31220,0,MW312,0,0
MW315,2.2,MW315,9,9
MW314,0.2,MW314,1,1
MW107,0.2,MW107,1,1
MW31020,1.8,MW310,1,1
MW30420,1.8,MW304,0,1.8
MW10120,0,MW101,0,0
MW20820,0,MW208,0,0
MW20420,4.6,MW204,0,4.6
MW10220,0,MW102,0,0
MW20120,0,MW201,0,0
MW30111,0,MW301,0,0
MW31008,2.6,MW310,1,1
MW10620,0,MW106,0,0
MW30213,0,MW302,0,0
MW30222,0,MW302,0,0
MW30721,0,MW307,0,0
MW30220,0,MW302,0,0
MW30120,0,MW301,0,0
MW20720,0,MW207,0,0
MW30121,0,MW301,0,0
MW30820,0,MW308,0,0
MW30620,0.2,MW306,0,0.2
MW10520,0.4,MW105,0,0.4
MW31320,0,MW313,0,0
MW10320,0,MW103,0,0
MW20220,2,MW202,1,1
MW31120,0,MW311,0,0
MW20920,0,MW209,0,0
MW20320,0,MW203,0,0
MW30920,0,MW309,0,0
MW10420,0.2,MW104,0,0.2
MW20520,0,MW205,0,0
MW20402,0.2,MW204,0,0.2
MW30204,0.2,MW302,0,0.2
MW20905,0,MW209,0,0
MW10406,0,MW104,0,0
MW20805,0,MW208,0,0
MW30207,0,MW302,0,0
MW20802,0,MW208,0,0
MW20305,1.4,MW203,0,1.4
MW20109,0.2,MW201,0,0.2
MW20104,0,MW201,0,0
MW20605,4.6,MW206,0,4.6
MW30209,0,MW302,0,0
MW30106,0,MW301,0,0
MW20706,0,MW207,0,0
MW10307,0.2,MW103,0,0.2
MW20908,0,MW209,0,0
MW10504,0.2,MW105,0,0.2
MW30806,0,MW308,0,0
MW10405,0,MW104,0,0
MW20202,1,MW202,1,1
MW20506,0,MW205,0,0
MW20504,0,MW205,0,0
MW20808,0,MW208,0,0
MW10503,0.8,MW105,0,0.8
MW20107,0,MW201,0,0
MW20403,4.6,MW204,0,4.6
MW10508,1.4,MW105,0,1.4
MW30706,1.2,MW307,0,1.2
MW30802,0,MW308,0,0
MW20106,0,MW201,0,0
MW20103,0,MW201,0,0
MW31109,0,MW311,0,0
MW20904,0,MW209,0,0
MW10304,0.2,MW103,0,0.2
MW20702,0,MW207,0,0
MW30703,0.2,MW307,0,0.2
MW31106,1.2,MW311,0,1.2
MW30305,2,MW303,0,2
MW30105,0,MW301,0,0
