Code,Name,District,Population,SquareKM,Dry_Season_PopDensity,Rainy_Season_PopDensity,Rainy_Season_Movement,Dry_Season_Movement,DrySeasonRank,RainySeasonRank
MW30120,Mangochi Town,Mangochi,"55,157.40",11.74,4698.2,"4,557.30",-0.03,0.03,1,1
MW315,Blantyre City,Blantyre,"884,444.91",236.28,3743.2,"3,743.21",0,0,2,2
MW20720,Mchinji Boma,Mchinji,"28,231.06",7.96,3546.6,"3,404.75",-0.04,0.04,3,3
MW31220,Balaka Town,Balaka,"34,847.13",10.31,3379.9,"3,278.54",-0.03,0.03,4,4
MW210,Lilongwe City,Lilongwe,"1,353,616.39",401.24,3373.6,"3,272.38",-0.03,0.03,5,5
MW314,Zomba City,Zomba,"111,948.75",40.09,2792.4,"2,848.28",0.02,-0.02,6,6
MW30920,Phalombe Boma,Phalombe,"7,470.06",2.68,2787.3,"2,397.11",-0.14,0.14,7,8
MW10520,Mzimba Boma,Mzimba,"28,193.59",10.81,2608.1,"2,634.18",0.01,-0.01,8,7
MW10120,Chitipa Boma,Chitipa,"20,844.86",8.51,2449.5,"2,351.48",-0.04,0.04,9,9
MW20920,Ntcheu Boma,Ntcheu,"20,454.12",9.15,2235.4,"2,257.78",0.01,-0.01,10,10
MW20520,Salima Town,Salima,"37,262.92",16.74,2226,"2,070.16",-0.07,0.07,11,12
MW20220,Nkhotakota Boma,Nkhotakota,"29,045.48",13.06,2224,"2,246.24",0.01,-0.01,12,11
MW20320,Ntchisi Boma,Ntchisi,"8,498.63",4.59,1851.6,"1,555.30",-0.16,0.16,13,16
MW30720,Thyolo Boma,Thyolo,"6,994.64",3.84,1821.5,"1,694.01",-0.07,0.07,14,13
MW30620,Mwanza Boma,Mwanza,"22,163.66",13.54,1636.9,"1,604.16",-0.02,0.02,15,14
MW107,Mzuzu City,Mzuzu,"220,711.49",140.34,1572.7,"1,541.24",-0.02,0.02,16,17
MW31120,Nsanje Boma,Nsanje,"24,146.58",15.7,1538,"1,568.76",0.02,-0.02,17,15
MW20120,Kasungu Boma,Kasungu,"56,791.39",37.06,1532.4,"1,363.85",-0.11,0.11,18,20
MW31320,Neno Boma,Neno,"2,117.49",1.4,1512.5,"1,451.99",-0.04,0.04,19,18
MW10420,Rumphi Boma,Rumphi,"17,673.54",12.48,1416.1,"1,401.99",-0.01,0.01,20,19
MW20820,Dedza Boma,Dedza,"25,081.89",18.98,1321.5,"1,281.85",-0.03,0.03,21,21
MW10220,Karonga Town,Karonga,"60,963.43",46.43,1313,"1,273.63",-0.03,0.03,22,22
MW30721,Luchenza Town,Thyolo,"11,443.08",9.86,1160.6,"1,183.77",0.02,-0.02,23,23
MW20611,SC Tsabango,Lilongwe,"73,435.91",72.82,1008.5,958.04,-0.05,0.05,24,25
MW30820,Mulanje Boma,Mulanje,"12,203.56",12.52,974.7,994.22,0.02,-0.02,25,24
MW10320,Nkhata Bay Boma,Nkhata Bay,"11,540.23",12.08,955.3,898,-0.06,0.06,26,27
MW30222,Liwonde Town,Machinga,"33,892.17",36.16,937.3,909.16,-0.03,0.03,27,26
MW30121,Monkey Bay Urban,Mangochi,"11,960.52",13.35,895.9,878,-0.02,0.02,28,28
MW10620,Likoma Boma,Likoma,992.19,1.3,763.2,763.22,0,0,29,29
MW20420,Dowa Boma,Dowa,"4,154.73",5.58,744.6,662.67,-0.11,0.11,30,32
MW20612,TA Kalumba,Lilongwe,"36,369.02",50.47,720.6,720.61,0,0,31,30
MW30802,SC Laston Njema,Mulanje,"95,297.14",132.28,720.4,691.6,-0.04,0.04,32,31
MW30402,TA Likoswe,Chiradzulu,"74,443.66",112.35,662.6,655.98,-0.01,0.01,33,33
MW30803,TA Chikumbu,Mulanje,"92,019.94",149.29,616.4,579.4,-0.06,0.06,34,37
MW10601,TA Mkumpha,Likoma,"11,557.41",18.96,609.6,609.57,0,0,35,35
MW30709,TA Chimaliro,Thyolo,"168,982.19",278.75,606.2,594.09,-0.02,0.02,36,36
MW30710,TA Bvumbwe,Thyolo,"126,405.48",208.67,605.8,617.88,0.02,-0.02,37,34
MW31020,Chikwawa Boma,Chikwawa,"4,472.56",8.41,531.8,547.77,0.03,-0.03,38,38
MW30707,TA Kapichi,Thyolo,"70,462.17",132.96,530,524.65,-0.01,0.01,39,39
MW30420,Chiradzulu Boma,Chiradzulu,"1,934.80",3.68,525.8,488.96,-0.07,0.07,40,42
MW30705,SC Mphuka,Thyolo,"82,409.20",158.63,519.5,514.31,-0.01,0.01,41,40
MW30220,Machinga Boma,Machinga,"1,113.56",2.16,515.5,469.14,-0.09,0.09,42,46
MW30209,SC Chiwalo,Machinga,"35,797.10",70.17,510.1,464.23,-0.09,0.09,43,47
MW30403,TA Kadewere,Chiradzulu,"104,595.77",208.13,502.6,472.4,-0.06,0.06,44,45
MW30804,TA Nthiramanja,Mulanje,"55,634.71",111.87,497.3,477.42,-0.04,0.04,45,44
MW30501,TA Kapeni,Blantyre,"105,171.56",213.07,493.6,503.47,0.02,-0.02,46,41
MW30406,TA Nchema,Chiradzulu,"45,771.23",94.76,483,454.04,-0.06,0.06,47,49
MW30401,TA Mpama,Chiradzulu,"71,774.06",148.61,483,463.65,-0.04,0.04,48,48
MW20613,SC Njewa,Lilongwe,"50,564.01",106.77,473.6,435.69,-0.08,0.08,49,53
MW20601,TA Chadza,Lilongwe,"175,833.45",372.73,471.7,429.29,-0.09,0.09,50,54
MW30801,TA Mabuka,Mulanje,"194,761.29",414.17,470.2,479.65,0.02,-0.02,51,43
MW30703,SC Mbawela,Thyolo,"61,214.18",130.95,467.5,453.44,-0.03,0.03,52,50
MW20506,SC Kambalame,Salima,"26,131.62",57.3,456,419.57,-0.08,0.08,53,56
MW30704,TA Changata,Thyolo,"55,182.60",121.1,455.7,428.34,-0.06,0.06,54,55
MW30706,SC Kwethemule,Thyolo,"68,503.93",150.84,454.1,435.98,-0.04,0.04,55,52
MW20407,SC Mponela,Dowa,"78,561.85",174.78,449.5,359.59,-0.2,0.2,56,68
MW30304,TA Chikowi,Zomba,"79,783.49",178.69,446.5,442.03,-0.01,0.01,57,51
MW20614,TA Malili,Lilongwe,"147,418.19",334.41,440.8,405.56,-0.08,0.08,58,60
MW20609,SC Mtema,Lilongwe,"77,593.51",182.32,425.6,404.31,-0.05,0.05,59,61
MW30404,TA Nkalo,Chiradzulu,"55,927.28",131.85,424.2,415.69,-0.02,0.02,60,57
MW20610,TA Kalumbu,Lilongwe,"83,525.79",200.47,416.6,362.49,-0.13,0.13,61,67
MW30711,TA Thomas,Thyolo,"45,978.32",110.98,414.3,410.15,-0.01,0.01,62,58
MW30305,SC Mbiza,Zomba,"188,240.23",456.01,412.8,408.67,-0.01,0.01,63,59
MW20805,SC Chauma,Dedza,"28,367.42",69.47,408.3,351.17,-0.14,0.14,64,71
MW20604,TA Mazengera,Lilongwe,"139,324.58",345.68,403,366.77,-0.09,0.09,65,65
MW30701,TA Nsabwe,Thyolo,"48,111.78",120.58,399,395.01,-0.01,0.01,66,62
MW30702,SC Thukuta,Thyolo,"23,217.68",60.54,383.5,372,-0.03,0.03,67,64
MW30405,TA Chitera,Chiradzulu,"23,022.41",60.95,377.7,362.62,-0.04,0.04,68,66
MW30901,TA Mkhumba,Phalombe,"314,498.27",843.6,372.8,328.07,-0.12,0.12,69,74
MW31102,TA Chimombo,Nsanje,"13,151.09",35.6,369.4,354.64,-0.04,0.04,70,69
MW30507,TA Machinjili,Blantyre,"26,232.62",71.21,368.4,375.75,0.02,-0.02,71,63
MW30708,TA Nchilamwela,Thyolo,"66,040.56",179.99,366.9,348.57,-0.05,0.05,72,72
MW20802,SC Chilikumwendo,Dedza,"87,244.83",241.87,360.7,292.17,-0.19,0.19,73,80
MW30302,TA Mwambo,Zomba,"155,523.53",438.28,354.8,351.3,-0.01,0.01,74,70
MW30805,TA Nkanda,Mulanje,"126,885.65",367.8,345,317.39,-0.08,0.08,75,76
MW20607,TA Chimutu,Lilongwe,"138,622.98",402.76,344.2,309.76,-0.1,0.1,76,78
MW20501,TA Maganga,Salima,"60,692.08",177.78,341.4,317.49,-0.07,0.07,77,75
MW20602,TA Kalolo,Lilongwe,"206,410.25",609.6,338.6,270.88,-0.2,0.2,78,88
MW20608,TA Chitukula,Lilongwe,"40,030.48",118.69,337.3,249.58,-0.26,0.26,79,98
MW20615,TA Kabudula,Lilongwe,"173,614.56",525.78,330.2,274.07,-0.17,0.17,80,86
MW30505,TA Makata,Blantyre,"19,610.98",59.42,330,310.24,-0.06,0.06,81,77
MW30508,TA Somba,Blantyre,"82,992.85",253.23,327.7,334.29,0.02,-0.02,82,73
MW30806,SC Juma,Mulanje,"110,963.94",338.77,327.5,294.79,-0.1,0.1,83,79
MW20401,TA Dzoole,Dowa,"116,322.29",361.03,322.2,260.98,-0.19,0.19,84,91
