"","lvl3","ID","Population","Incidence","Recovered","Deaths","Peak_Hospital","Peak_Crit","Cumulative_Hospital","Cumulative_Critical"
"1","Balaka",2,18421.567,14213.7730334185,14180.2697719954,33.5032614231441,141.626302749925,26.2957146964551,345.101740891958,56.2694778630134
"2","Balaka",138,106003.7062,79908.1754345103,79523.4563613837,384.719073126621,1047.87198488144,301.772275091503,2133.06892996844,645.644165805595
"3","Balaka",220,123650.1551,93883.5357471668,93394.8666311856,488.669115981143,1321.30636414992,383.233532791827,2702.391521194,820.20954442139
"4","Blantyre",114,30727.19773,23222.0190073798,23106.5659505775,115.453056802328,317.188830787916,90.6009341747999,647.096801014808,193.807702386607
"5","Blantyre",149,54299.06619,41120.9146891558,40939.8439870818,181.070702074025,519.652584796816,142.105499907251,1061.03705228146,303.973305020365
"6","Blantyre",163,45325.89409,34324.1913742543,34155.5328863462,168.658487908129,475.65909011689,132.288072955448,971.961209094448,283.14113339268
"7","Blantyre",164,27192.98808,20590.6503270803,20499.2343985098,91.4159285705461,251.983160869198,71.7087242530657,514.941219882158,153.432683005096
"8","Blantyre",169,20067.90063,15125.6977413623,15051.6326398486,74.065101513672,206.619169770605,58.1252471214888,420.936407816826,124.339952998374
"9","Blantyre",173,13807.74633,10283.3653937879,10230.8896020562,52.4757917317333,146.233045223902,41.1762070654228,298.159410120189,88.0790268528885
"10","Blantyre",176,11034.11391,8252.55611459048,8206.90238544182,45.6537291486617,126.018677741965,35.8185735363761,257.216145479835,76.6308840176581
"11","Blantyre",230,44336.54164,33573.2341565471,33406.441040804,166.793115743142,464.044372460317,130.80108135524,948.481534565134,279.941023262677
"12","Blantyre City",3,432258.0512,393264.483323824,392414.840098487,849.643225337011,3872.50083091308,667.280043492713,9547.34657354963,1427.88186633916
"13","Chikwawa",6,2223.110487,1871.04053966141,1864.43261670238,6.60792295903078,19.621242279972,5.17879503215742,46.2232683714679,11.0875653910197
"14","Chikwawa",16,1199.632089,876.370626428635,871.750834579881,4.61979184875359,12.5738626851373,3.62463685429304,25.5869908754765,7.7505349364979
"15","Chikwawa",22,21164.97471,16010.039117882,15935.4052619895,74.6338558925099,208.999178144481,58.528752794051,426.536422358439,125.213957503669
"16","Chikwawa",113,76785.00197,58263.7032829347,58016.3078113929,247.395471541803,681.991099335274,193.942411970774,1390.16963966761,414.93678307974
