"","lvl3","Population","Susceptible","Exposed","Infected","Peak Hospitalizations","Peak Critical Care","Recovered","Deaths","Incidence","Cumulative Hospitalizations","Cumulative Critical Care"
"1","Lilongwe City","1055723","164968.462740435","101856.810969666","97569.5552707477","21760.6496655375","858.067835680429","181792.350760933","1352.87795058512","890753.537259565","21760.6496655375","2340.02512943452"
"2","Balaka","34766","5432.34352605776","3359.33051182092","3209.21553944579","739.432692283653","34.3949952868477","5995.13855080944","54.6499856392119","29332.6564739422","739.432692283653","93.81610550645"
"3","Blantyre City","979024","152983.495060461","94596.1685656897","90388.3268594908","20991.565994541","893.622794965974","169086.020253312","1414.63432258875","826039.504939539","20991.565994541","2437.68676557698"
"4","Zomba City","134297","20985.2152068064","12964.7293751417","12408.2327195938","2909.47893674756","124.577887206232","23215.4951688723","197.269135511999","113310.784793194","2909.47893674756","339.733681529707"
"5","Mzuzu City","203815","31848.2139240734","19666.5446845786","18840.6279331358","4377.86578040938","191.94558091322","35197.2178174173","304.304579188697","171965.786075927","4377.86578040938","523.483869815003"
"6","Chikwawa","10806","1688.32241418332","1043.93315843584","998.924467934946","257.097564614615","13.8463502180074","1880.5041432176","22.1297107774836","9116.67758581668","257.097564614615","37.7662917351851"
"7","Chikwawa","69743","10897.890565798","6737.16950114213","6445.30650920835","1530.56441517439","76.3931203710129","12052.7742042124","121.919997402038","58844.109434202","1530.56441517439","208.399726850676"
"8","Chiradzulu","3806","594.493151621451","367.923091764259","351.533078629803","91.0978248550785","4.82558545622714","662.886718706083","7.7156390225813","3210.50684837855","91.0978248550785","13.1568180214445"
"9","Chitipa","21215","3314.84857745429","2047.42431575379","1960.76746231152","463.770762970698","22.4864372269529","3666.10710498936","35.8486370637277","17899.1514225457","463.770762970698","61.3183729386769"
"10","Dedza","30623","4784.96032959863","2955.71485116902","2829.98400397207","660.268417978277","30.2934640602996","5288.06156705151","48.0786541042978","25837.0396704014","660.268417978277","82.6091318525537"
"11","Dowa","7260","1134.21955621472","700.978115006629","671.328064498887","168.656028560972","7.75786896721178","1262.64394565261","12.3351884599733","6124.78044378528","168.656028560972","21.1546970169278"
"12","Karonga","61246","9570.15506592673","5917.42867423416","5652.0943444479","1361.03463153694","68.7102116271191","10595.5977564778","109.615928829219","51674.8449340733","1361.03463153694","187.406483572454"
"13","Kasungu","59620","9316.06632915753","5760.87195162998","5506.39064851244","1224.28843510044","49.2856343811206","10261.18570719","77.8939842582461","50302.9336708425","1224.28843510044","134.454895360596"
"14","Kasungu","68484","10701.1779694544","6613.13441013408","6330.31144449499","1593.41759796095","94.0267473177189","11877.6742016331","150.918501801896","57781.8220305456","1593.41759796095","256.465906714439"
"15","Mangochi","3883","606.525006986125","375.230438549159","358.858489614156","103.080658795686","7.33353429698984","680.611006053895","11.8143147091466","3275.47499301387","103.080658795686","19.9930425748506"
"16","Chikwawa","1","0","0","1","0","0","0.185714285714285","0","0","0","0"
"17","Likoma","1","0","0","1","0","0","0.185714285714285","0","0","0","0"
"18","Machinga","118229","18474.3899371946","11413.0427794923","10929.0668207447","2971.49601056361","206.896654518596","20612.1516569225","333.351239980187","99753.6100628054","2971.49601056361","564.291802227208"
"19","Machinga","34828","5442.03182069064","3365.28516975118","3214.73684953993","737.288916618313","35.0266359654644","6002.01828194472","55.7396395827984","29384.9681793094","737.288916618313","95.5377333999725"
"20","Thyolo","16779","2621.6710465266","1621.2164491748","1548.93478788155","410.091298799184","24.0912538868012","2924.55285144918","38.5968683841689","14156.3289534734","410.091298799184","65.7024510044372"
"21","Machinga","1","0","0","1","0","0","0.185714285714285","0","0","0","0"
