"ta_name"
"Dedza Boma"
"TA Chauma"
"TA Chilikumwendo"
"TA Kachere"
"TA Kachindamoto"
"TA Kamenya Gwaza"
"TA Kaphuka"
"TA Kasumbu"
"TA Tambala"
"Dowa Boma"
"Mponela Urban"
"TA Chakhaza"
"TA Chiwere"
"TA Dzoole"
"TA Kayembe"
"TA Mkukula"
"TA Msakambewa"
"Kasungu Boma"
"Kasungu National Park"
"STA Chaima"
"STA Chambwe"
"STA Chisikwa"
"STA Chisinga"
"STA Kapichira"
"STA M'nyanja"
"STA Mangwazu"
"STA Mdunga"
"STA Mphomwa"
"STA Nthunduwala"
"TA Chidzuma"
"TA Chilowamatambe"
"TA Chulu"
"TA Kaluluma"
"TA Kaomba"
"TA Kapelula"
"TA Kaphaizi"
"TA Kawamba"
"TA Lukwa"
"TA Mwase"
"TA Njombwa"
"TA Santhe"
"TA Simlemba"
"TA Wimbe"
"STA Chitekwele"
"STA Mbang'ombe"
"TA Chadza"
"TA Chimutu"
"TA Chiseka"
"TA Chitukula"
"TA Kabudula"
"TA Kalolo"
"TA Kalumba"
"TA Kalumbu"
"TA Khongoni"
"TA Malili"
"TA Masula"
"TA Masumbankhunda"
"TA Mazengera"
"TA Mtema"
"TA Njewa"
"TA Tsabango"
"Area 1"
"Area 10"
"Area 11"
"Area 12"
"Area 13"
"Area 14"
"Area 15"
"Area 16"
"Area 17"
"Area 18"
"Area 19"
"Area 2"
"Area 20"
"Area 21"
"Area 22"
"Area 23"
"Area 24"
"Area 25"
"Area 26"
"Area 27"
"Area 28"
"Area 29"
"Area 3"
"Area 30"
"Area 31"
"Area 32"
"Area 33"
"Area 34"
"Area 35"
"Area 36"
"Area 37"
"Area 38"
"Area 39"
"Area 4"
"Area 42"
"Area 43"
"Area 44"
"Area 45"
"Area 46"
"Area 47"
"Area 48"
"Area 49"
"Area 5"
"Area 50"
"Area 51"
"Area 52"
"Area 53"
"Area 54"
"Area 55"
"Area 56"
"Area 57"
"Area 58"
"Area 6"
"Area 7"
"Area 8"
"Area 9"
"Mchinji Boma"
"STA Gumba"
"STA Kapunula"
"STA Nyoka"
"STA Pitala"
"TA Dambe"
"TA Kapondo"
"TA Kazyozyo"
"TA Mavwere"
"TA Mduwa"
"TA Mkanda"
"TA Mlonyeni"
"TA Simphasi"
"TA Zulu"
"Nkhotakota Boma"
"Nkhotakota Game Reserve"
"STA Kalimanjira"
"TA Kafuzila"
"TA Kanyenda"
"TA Malenga Chanzi"
"TA Mphonde"
"TA Mwadzama"
"TA Mwansambo"
"Ntcheu Boma"
"STA Mkutumula"
"STA Tsikulamowa"
"TA Chakhumbira"
"TA Champiti"
"TA Goodson Ganya"
"TA Kwataine"
"TA Makwangwala"
"TA Masasa"
"TA Mpando"
"TA Njolomole"
"TA Phambala"
"Ntchisi Boma"
"TA Chikho"
"TA Chilooko"
"TA Kalumo"
"TA Kasakula"
"TA Malenga"
"TA Nthondo"
"TA Vuso Jere"
"Chipoka Urban"
"Salima Town"
"TA Kambalame"
"TA Kambwiri"
"TA Karonga"
"TA Khombedza"
"TA Kuluunda"
"TA Maganga"
"TA Msosa"
"TA Mwanza"
"TA Ndindi"
"TA Pemba"
"Chitipa Boma"
"STA Bulambya Songwe"
"STA Lwangwa"
"STA Nthengatenga"
"STA Wavikaza"
"TA Kameme"
"TA Mwabulambya"
"TA Mwenemisuku"
"TA Mwenewenya"
"Karonga Town"
"Nyika National Park-Karonga"
"TA Kilupula"
"TA Kyungu"
"TA Mwakaboko"
"TA Mwirang'ombe"
"TA Wasambo"
"Likoma Boma"
"TA Mkumpha"
"Mzimba Boma"
"STA Levi Jere"
"TA Chindi"
"TA Jaravikuba Munthali"
"TA Kampingo Sibande"
"TA Khosolo Gwaza Jere"
"TA M'Mbelwa"
"TA Mabulabo"
"TA Mpherembe"
"TA Mtwalo"
"TA Mzikubola"
"TA Mzukuzuku"
"Vwaza Marsh Reserve"
"Chibanja Ward"
"Chibavi East Ward"
"Chibavi West Ward"
"Chiputula Ward"
"Jombo - Kaning'ina Ward"
"Katawa Ward"
"Luwinga Ward"
"Masasa Ward"
"Mchengautuwa East Ward"
"Mchengautuwa West Ward"
"Msongwe Ward"
"Mzilawaingwe Ward"
"Nkhorongo - Lupaso Ward"
"Zolozolo East Ward"
"Zolozolo West Ward"
"Nkhatabay Boma"
"STA Kondowe"
"STA Nyaluwanga"
"TA Fukamalaza"
"TA Fukamapiri"
"TA Kabunduli"
"TA M'bwana"
"TA Malanda"
"TA Malenga Mzoma"
"TA Mankhambira"
"TA Mkumbira"
"TA Timbiri"
"TA Zilakoma"
"Nyika National Park"
"Rumphi Boma"
"STA Chapinduka"
"STA Chisovya"
"STA Kachulu"
"STA Njikula"
"STA Zolokere"
"TA Chikulamayembe"
"TA Katumbi"
"TA Mwahenga"
"TA Mwalweni"
"TA Mwamlowe"
"TA Mwankhunikira"
"Balaka Town"
"Liwonde Town"
"STA Kachenga"
"STA Matola"
"STA Phalula"
"STA Toleza"
"TA Amidu"
"TA Chanthunya"
"TA Kalembo"
"TA Msamala"
"TA Nkaya"
"TA Sawali"
"TA Chigaru"
"TA Kapeni"
"TA Kuntaja"
"TA Kunthembwe"
"TA Lundu"
"TA Machinjiri"
"TA Makata"
"TA Somba"
"Bangwe Mthandizi Ward"
"Bangwe Ward"
"Blantyre City Centre Ward"
"Blantyre South Ward"
"Chigumula Ward"
"Chilomoni Ward"
"Green Corner Ward"
"Limbe Central Ward"
"Mapanga Ward"
"Mbayani Ward"
"Michiru Ward"
"Misesa Ward"
"Mzedi Ward"
"Namalimwe Ward"
"Namiyango Ward"
"Ndirande Gamulani Ward"
"Ndirande Makata Ward"
"Ndirande Matope Ward"
"Nkolokoti Ward"
"Nyambadwe Ward"
"Soche East Ward"
"Soche West Ward"
"South Lunzu Ward"
"Chikwawa Boma"
"Lengwe National Park"
