time,Adult_Susceptible,Adult_Exposed,Adult_Infected,Adult_Hospitalizations,Adult_Critical,Adult_Recovered,Adult_Dead,Adult_New_Incidence,Adult_New_Hospitalization,Adult_New_Critical,Elderly_Susceptible,Elderly_Exposed,Elderly_Infected,Elderly_Hospitalizations,Elderly_Critical,Elderly_Recovered,Elderly_Dead,Elderly_New_Incidence,Elderly_New_Hospitalization,Elderly_New_Critical,Pediatric_Susceptible,Pediatric_Exposed,Pediatric_Infected,Pediatric_Hospitalizations,Pediatric_Critical,Pediatric_Recovered,Pediatric_Dead,Pediatric_New_Incidence,Pediatric_New_Hospitalization,Pediatric_New_Critical,Population
19,16756.31578,2,0,0,0,0,0,0,0,0,1859.92888,0,0,0,0,0,0,0,0,0,19151.65604,0,0,0,0,0,0,0,0,0,37769.9007
20,44081.03305544844,3.612697631147678,0.44403226597680273,0.0014677520427749868,1.762738251252171e-5,0.06758915562900865,1.1937675714959715e-7,0.1258045515555343,0.0015981346929551364,1.8203284970525464e-5,4847.545942915403,0.02355694820835167,0.0031662040551491016,3.0508934469179357e-5,4.776830475209898e-7,2.8293837231813346e-4,7.34351186191758e-9,0.02703708459684747,3.248717308009895e-5,4.900153662501703e-7,50254.632800293475,0.0672873507704409,0.008871871651846393,1.595422249296386e-7,5.011335619352146e-10,8.703240373402263e-4,1.288493775322837e-11,0.07702970651587096,1.6982259492340748e-7,5.140184996884429e-10,99187.44167
21,121765.92112626434,3.9451753391349427,1.1401694387184458,0.006048947868125052,1.3109723713698601e-4,0.2984571860849457,1.7266256423788801e-6,0.38998373566923855,0.007047654439912478,1.3942677603532297e-4,24650.27923836709,0.06577820621440708,0.013921728454846669,2.3362345875739416e-4,6.91630657072335e-6,0.0023009478470853322,2.1062973862608973e-7,0.08224163291140583,2.62979491247819e-4,7.270027500815851e-6,172153.97208144632,0.19556664896398823,0.04033887341009692,1.2569331359992573e-6,7.431541925450879e-9,0.007241766541336301,3.7706594419439133e-10,0.24314855365716534,1.4131052933921626e-6,7.80860786964527e-9,318575.88782
22,128551.07283836356,4.2679509696666,1.7446238105272447,0.013447869184563371,4.325647686313118e-4,0.711557878474317,8.54384217671595e-6,0.7380216364635337,0.016837465755978453,4.737911449053393e-4,25392.15897026068,0.1263654557708888,0.03498399914713725,8.114585847715434e-4,3.457237393203578e-5,0.008412700585343342,1.5528537847356268e-6,0.1706097393158577,9.61207382107984e-4,3.718015299110317e-5,179878.0360867935,0.35705778166444113,0.10030047749665918,4.382106382080751e-6,3.757202985611311e-8,0.026640524811860675,2.823074680715074e-9,0.4840032064744476,5.1900084728173145e-6,4.039510453682818e-8,333828.66053
23,148718.05629625518,6.582791004214828,2.2780077783524684,0.022587775747749353,9.757152283397073e-4,1.284785261163339,2.6210133261131735e-5,1.169173744839985,0.03045532539405461,0.001102292939147691,27724.606316127087,0.18548091920065868,0.06569258834369318,0.0019653674850071633,1.1016575456459254e-4,0.02136829141627423,6.540707878008398e-6,0.2746238729080759,0.002448784047904085,1.2114970535994466e-4,203209.54170081142,0.5339042743739595,0.1875731530849602,1.0448000682928122e-5,1.1779934245845622e-7,0.06715118343940825,1.1848444660776929e-8,0.788639188546798,1.3040956425312784e-5,1.2964778711923317e-7,379663.43675
24,160379.19810658254,8.503825785755595,3.2002401248758874,0.034160504548627256,0.00179409203630981,2.0685415754203555,6.133482157816556e-5,1.8086234174583529,0.04905498087725148,0.0020905693745989235,29001.827779131374,0.2679980374169581,0.10661832695257095,0.0038216158206210707,2.676688596322463e-4,0.04367523796452166,1.9981605041518142e-5,0.42240086861934556,0.00501215195490876,3.0122370368095144e-4,216491.88786301267,0.791353843801973,0.30777860065477325,2.0197566575020634e-5,2.810899729131888e-7,0.13697402843628798,3.572346692004646e-8,1.2361269872730491,2.6533835371685334e-5,3.1681343983323523e-7,405888.3809
25,213964.9208026453,12.139204024282485,4.3316341245399155,0.049297040892036216,0.0029583599958503447,3.14509195021266,1.2185478704720938e-4,2.6683073547099947,0.07454760868142662,0.003547800649795023,39773.49571796712,0.3669248398730066,0.16010666869115575,0.006534702132480092,5.453904142662479e-4,0.07845106291953957,4.936883838862204e-5,0.6126120328688369,0.009000155006361027,6.282932820995262e-4,292025.99945978686,1.118802804372059,0.4713944739698606,3.471430331974187e-5,5.671538028035376e-7,0.24715756602368708,8.722250614796972e-8,1.8373902130452355,4.780182949877201e-5,6.543763089515073e-7,545786.53429
26,213963.7072172918,10.179386167704362,6.003893242656329,0.06956701243980534,0.004566098399317144,4.624262328777018,2.1785821193106734e-4,3.881892708188761,0.10955038528360905,0.005620437376441664,39773.21813539345,0.5173282275857161,0.23182819444145722,0.010306891648781964,9.869752001991528e-4,0.12963908390007478,1.0523376050741276e-4,0.8901946065367367,0.014851947661718708,0.0011636869239160855,292025.1433801204,1.5870297007238703,0.6943738968532296,5.54116005216878e-5,1.025541343499083e-6,0.412009660112638,1.8467044891222419e-7,2.693469879502052,7.961583636991393e-5,1.2102117924113072e-6,545786.53429
27,251527.78187348144,10.755622742413182,6.846938095282232,0.09248686438682248,0.006716687760954197,6.450249832561348,3.6229616194569656e-4,5.152376518566485,0.15273015758651898,0.00847058068730826,49468.463202363644,0.6340555788853434,0.3186201372204426,0.015399072966791789,0.0016463135455711915,0.20222482097666328,2.0171274634275008e-4,1.172147636341155,0.023129234826134545,0.0019850321281152266,350368.2428119838,1.9991995743947741,0.9710439404819925,8.389175759236345e-5,1.7189762550424236e-6,0.6489785371583365,3.5339565193150487e-7,3.6193080161646027,1.25339195731842e-4,2.0723719069739284e-6,651393.43172
28,251526.34859598652,9.330232177547177,7.6234663720364475,0.11517207020101741,0.009370156297365463,8.506844384315402,5.688530958381965e-4,6.585654013493249,0.2013808354290064,0.012124574174884316,49468.11725633183,0.7774740602465076,0.4164463890884983,0.021831292603383182,0.002579399560058736,0.29940539283274137,3.5713381690929985e-4,1.5180936681480985,0.03418675863266438,0.003179098649428169,350367.15839900594,2.4469615028815133,1.2861397408319206,1.2052902760122164e-4,2.7144553073341623e-6,0.9704958798074168,6.270085659531591e-7,4.7037209940123255,1.8735830506696807e-4,3.3414638732873214e-6,651393.43172
29,259444.39695701018,9.28982191146433,7.9055002194666875,0.13587500405688677,0.012440747471565696,10.710175639887401,8.494675066611447e-4,8.05466298985353,0.2535322325699988,0.01655468763598636,51512.245371271514,0.8868678213195708,0.521050417382175,0.02960058103040344,0.003838127399285638,0.4240379520250375,5.938293129804627e-4,1.8659887284694527,0.048358772546017635,0.004835279877454729,362667.45315834123,2.8331892038598925,1.6261526609336066,1.6511706219312646e-4,4.071787826692296e-6,1.3861795579543106,1.047107572667881e-6,5.845691658705403,2.6749497018033e-4,5.118895399360177e-6,673659.86183
30,328727.51521511126,12.333256895440627,8.118876406596947,0.15351881228871148,0.015788988745109693,12.985950711717258,0.0012130740162797995,9.608604888804933,0.307410612026504,0.021665094352828766,67796.38554137097,0.9958665066303661,0.6267858420620659,0.03850712799443502,0.005464119501563614,0.5771173388278779,9.37694001023781e-4,2.2446786290173324,0.06575733450478145,0.007038678365341333,468968.9441483361,3.2069590340900898,1.9760175451371325,2.166278456294657e-4,5.836271691843692e-6,1.9005609585557153,1.6619487837247906e-6,7.083761663849043,3.6659225514083533e-4,7.498220475568482e-6,865535.78195
31,620506.6973363496,19.85599069620061,8.964324071564713,0.1707803945229762,0.01931776045219348,15.42091547516226,0.0016652524934044617,11.432993650396158,0.3651784441653508,0.027386172477045428,115347.36843138524,1.165681418844894,0.7415026510269679,0.048429198081022695,0.007483816557892684,0.7597944015065414,0.0014171287274860665,2.7243086147448046,0.086523876678052,0.009863421589846096,845844.7660514879,3.69214889528861,2.346513285300193,2.7410272242922687e-4,8.034902347457337e-6,2.517231669532435,2.5243008687268427e-6,8.556178512046884,4.852867867529104e-4,1.0559203216184179e-5,1581754.5452999999
