UID,Lvl1,Lvl2,Lvl3,Lvl4,Start Date,Date_from_0
1,Sub-Saharan Africa,Malawi,Lilongwe City,Lilongwe City,2020-04-02,0.0
2,Sub-Saharan Africa,Malawi,Balaka,Balaka Town,2020-07-13,102.0
3,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre City,2020-05-03,31.0
4,Sub-Saharan Africa,Malawi,Zomba City,Zomba City,2020-04-17,15.0
5,Sub-Saharan Africa,Malawi,Mzuzu City,Mzuzu City,2020-04-30,28.0
6,Sub-Saharan Africa,Malawi,Chikwawa,Chikwawa Boma,2020-07-29,118.0
7,Sub-Saharan Africa,Malawi,Chikwawa,TA Lundu,2020-05-06,34.0
8,Sub-Saharan Africa,Malawi,Chiradzulu,Chiradzulu Boma,2020-06-01,60.0
9,Sub-Saharan Africa,Malawi,Chitipa,Chitipa Boma,2020-07-08,97.0
10,Sub-Saharan Africa,Malawi,Dedza,Dedza Boma,2020-06-30,89.0
11,Sub-Saharan Africa,Malawi,Dowa,Dowa Boma,2020-06-04,63.0
12,Sub-Saharan Africa,Malawi,Karonga,Karonga Town,2020-04-26,24.0
13,Sub-Saharan Africa,Malawi,Kasungu,Kasungu Boma,2020-09-03,154.0
14,Sub-Saharan Africa,Malawi,Kasungu,TA Kawamba and Kasungu National Park,2020-07-20,109.0
15,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba and Lake Malawi National Park,2020-08-04,124.0
16,Sub-Saharan Africa,Malawi,Chikwawa,STA Ndakwela and Lengwe National Park,2020-05-06,34.0
17,Sub-Saharan Africa,Malawi,Likoma,Likoma Boma,,
18,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde and Liwonde National Park,2020-07-06,95.0
19,Sub-Saharan Africa,Malawi,Machinga,Liwonde Town,2020-06-09,68.0
20,Sub-Saharan Africa,Malawi,Thyolo,Luchenza Town,2020-06-30,89.0
21,Sub-Saharan Africa,Malawi,Machinga,Machinga Boma,2020-07-13,102.0
22,Sub-Saharan Africa,Malawi,Chikwawa,TA Kasisi and Majete Game Reserve Chikwawa,2020-06-30,89.0
23,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,2020-05-09,37.0
24,Sub-Saharan Africa,Malawi,Mchinji,Mchinji Boma,2020-08-18,138.0
25,Sub-Saharan Africa,Malawi,Mangochi,Monkey Bay Urban,2020-08-04,124.0
26,Sub-Saharan Africa,Malawi,Mulanje,Mulanje Boma,2020-06-09,68.0
27,Sub-Saharan Africa,Malawi,Mulanje,TA Nkanda and Mulanje Mountain Reserve,2020-06-09,68.0
29,Sub-Saharan Africa,Malawi,Mwanza,Mwanza Boma,2020-06-23,82.0
30,Sub-Saharan Africa,Malawi,Mzimba,Mzimba Boma,2020-06-27,86.0
31,Sub-Saharan Africa,Malawi,Neno,Neno Boma,2020-07-22,111.0
32,Sub-Saharan Africa,Malawi,Nkhata Bay,Nkhatabay Boma,2020-08-24,144.0
33,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Boma,2020-05-10,38.0
35,Sub-Saharan Africa,Malawi,Nsanje,Nsanje Boma,2020-08-01,121.0
36,Sub-Saharan Africa,Malawi,Ntcheu,Ntcheu Boma,2020-05-19,47.0
37,Sub-Saharan Africa,Malawi,Ntchisi,Ntchisi Boma,2020-07-27,116.0
38,Sub-Saharan Africa,Malawi,Phalombe,Phalombe Boma,2020-07-13,102.0
39,Sub-Saharan Africa,Malawi,Rumphi,Rumphi Boma,2020-06-27,86.0
40,Sub-Saharan Africa,Malawi,Salima,Salima Town,2020-07-03,92.0
41,Sub-Saharan Africa,Malawi,Dowa,TA Chakhaza,2020-06-28,87.0
42,Sub-Saharan Africa,Malawi,Machinga,TA Chamba,2020-06-14,73.0
43,Sub-Saharan Africa,Malawi,Ntcheu,TA Champiti,2020-07-16,105.0
44,Sub-Saharan Africa,Malawi,Rumphi,STA Chapinduka,2020-07-26,115.0
45,Sub-Saharan Africa,Malawi,Dedza,TA Chauma,2020-06-28,87.0
46,Sub-Saharan Africa,Malawi,Machinga,TA Chikweo,2020-09-02,153.0
47,Sub-Saharan Africa,Malawi,Dedza,TA Chilikumwendo,2020-06-28,87.0
