Code,Population,pop_density,pct_elderly,Rainy_Season_Movement,pct_not_covered,interpolated_CI,final_rank
MW210,1353616.387,3.090379044816064,0.1463724927081277,0.15982951518380392,0.09218413042762597,6.957047791893527,10.193799329417718
MW31220,34847.12886,3.0957285012422107,0.1884800322124745,0.15982951518380392,0.0020734897372440306,0,3.2842085334546853
MW315,884444.9143,3.428988695164766,0.18621677535524858,-0,0.08378628097542892,2.722323049001815,6.337528519521829
MW314,111948.7503,2.557870966821742,0.18313454794233658,-0.10655301012253597,0.0023718065433633757,0.3024803387779794,3.0434858535420584
MW107,220711.4854,1.4406466509230866,0.18251819969771935,0.10655301012253597,0.036127645056148024,0.3024803387779794,1.9256451893987854
MW31020,4472.555945,0.4872481488509898,0.3233843549328086,-0.15982951518380392,-0.003586490122760797,0.3024803387779794,1.1131128425617778
MW31002,50429.88897,0.23160915639080254,0.23562982479454903,-0.15982951518380392,0.11828654167898127,0.3024803387779794,0.769719319963331
MW30420,1934.802158,0.4823008067776088,0.29555612418636956,0.3729355354288759,0.5497378252797535,0.5444646098003629,1.3223215407643414
MW10120,20844.85995,2.243660590704353,0.21251604714088343,0.21310602024507194,-0.014927231224431476,0,2.4561766378452368
MW20820,25081.89177,1.2102872458305338,0.20785404852823366,0.15982951518380392,0.037803246846221036,0,1.4181412943587675
MW20420,4154.731128,0.6816105170464616,0.19836756666306174,0.5860415556739478,0.005887046490430654,1.3914095583787052,2.2713876420882286
MW10220,60963.42849,1.2028962636358485,0.2463913880975702,0.15982951518380392,0.03594551870637944,0,1.4492876517334186
MW20120,56791.39059,1.4036449487374474,0.13870691058798715,0.5860415556739478,0.019368069182156417,0,1.5423518593254346
MW20107,42143.01886,0.059304560597459116,0.31217315247442023,1.1720831113478956,0.776501592761128,0,0.3714777130718794
MW30111,1593.923692,0.02733958060699299,0.3992712399137395,-0,NA,0,0.42661082052073246
MW31008,2116.493098,0.0020886892163175445,0.510674086408882,-0,0.8619091486427958,0.3024803387779794,0.815243114403179
MW10620,1,0.6981046072572616,0,-0,NA,0,0.6981046072572616
MW30213,12313.59091,0.026092829473057886,0.45904965116468804,-0,NA,0,0.48514248063774595
MW30222,33892.16862,0.8586609561897638,0.21401356582626857,0.15982951518380392,0.09574935570124432,0,1.0726745220160323
MW30721,11443.08038,1.0628517304169098,0.36871538700508655,-0.10655301012253597,0.0025642594111330986,0,1.4315671174219964
MW30220,1113.560372,0.47293601836832017,0.4198774125078152,0.47948854555141185,NA,0,0.8928134308761353
MW31006,38585.86983,0.08678553039510611,0.4466682005991693,-0.053276505061267986,0.4021333735557794,0.3024803387779794,0.8359340697722548
MW30120,55157.40306,4.305488942287116,0.18539520098293838,0.15982951518380392,0.008334989029564158,0,4.490884143270055
