time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,lvl2,lvl3,lvl4,TA_Code,ID
1,2864.523029,0,0,0,0,0,0,0,0,0,10488.21193,1,0,0,0,0,0,0,0,0,17178.33591,0,0,0,0,0,0,0,0,0,Malawi,Balaka,TA Chanthunya,31207,262
2,2864.5097627511395,0.012034131279346204,0.0011454485663579968,9.340595420055439e-6,1.4531548285508675e-7,7.718121458809778e-5,1.887817559492578e-9,0.01326624885901277,9.83142952817735e-6,1.484831586327652e-7,10488.187502210061,0.7514798239199197,0.2147070020383371,7.592799868854631e-4,9.501933033418169e-6,0.033046657808263595,6.338724359197218e-8,0.024427789937446893,8.271278825133839e-4,9.813370358252102e-6,17178.356826164298,1.1049910791994355e-6,1.0469485969565568e-7,1.3391353525505915e-12,3.4388712548762226e-15,7.901644157992254e-9,7.48993273017696e-17,0.020916164300798845,1.409410764194151e-12,3.5137705821779927e-15,Malawi,Balaka,TA Chanthunya,31207,262
3,2864.4786959280277,0.0363204300911113,0.006903442455027089,1.1335500717418754e-4,3.6098641091167877e-6,9.921379694976795e-4,9.658415939375876e-8,0.044333071971078754,1.2582370056724913e-4,3.771928128852507e-6,10488.128962608927,0.5647247834958982,0.3226971882494655,0.002309848300774397,6.008240742098316e-5,0.11021516597455976,8.421404106214801e-7,0.08296739107513672,0.0027538543153334104,6.422005313258369e-5,17178.407995697125,3.4497382636008832e-6,6.440779607896551e-7,1.6475493498423355e-11,8.625768209714029e-14,1.0247273512603601e-7,3.859613186965657e-15,0.07208569713514115,1.8277839404105463e-11,9.011729528410596e-14,Malawi,Balaka,TA Chanthunya,31207,262
4,2864.4450184453844,0.05667734395819564,0.016895058741676086,4.283858612283939e-4,2.121863120934926e-5,0.003987660221234578,8.872017684596027e-7,0.07801055461531087,5.034484197558979e-4,2.270731719901671e-5,10488.062694912998,0.4243833829127525,0.3637510930330281,0.003953044291497571,1.604094241267688e-4,0.2077627520650457,3.5472145464881948e-6,0.1492350869985559,0.005182582995858111,1.7783777321355826e-4,17178.468069958137,5.650236746779194e-6,1.624849960418485e-6,6.358549283662093e-11,5.147615347909265e-13,4.18228216657922e-7,3.585581839354368e-14,0.13215995814990245,7.459783990031042e-11,5.506173531844727e-13,Malawi,Balaka,TA Chanthunya,31207,262
5,2864.408972922482,0.07395818005995765,0.029120467367750126,9.972782240261343e-4,6.831473774294689e-5,0.00990784594744644,3.99118083428054e-6,0.11405607751775584,0.0012452412484099341,7.501176563608985e-5,10487.987642671369,0.31892073840731355,0.3644698211252238,0.005345714442317323,3.01068925373986e-4,0.31097469404541006,9.34798901995903e-6,0.22428732862805523,0.007744796321952454,3.4699792509028946e-4,17178.539130881,7.854936269068318e-6,2.9145194105865497e-6,1.5207609972365235e-10,1.68938188528762e-12,1.0603883628878366e-6,1.6361571904677252e-13,0.2032208810170239,1.8913605181034028e-10,1.852997604334395e-12,Malawi,Balaka,TA Chanthunya,31207,262
6,2864.3734379823945,0.08645629860511146,0.04199516753226622,0.0018043299138866698,1.5919362702753262e-4,0.019163871682572487,1.215624439370124e-5,0.1495910176052563,0.0023979967300862145,1.7959127653547496e-4,10487.90850428456,0.23966833715330488,0.3423660984376523,0.006354104790386705,4.6604615930048374e-4,0.4111552712884541,1.907275569573608e-5,0.3034257154379345,0.01022415370743921,5.597553612548561e-4,17178.61762725693,9.884702638440981e-6,4.411266840893232e-6,2.8440964887697327e-10,4.029164449897094e-12,2.1031733032994938e-6,5.06820806882852e-13,0.28171725694863825,3.751293540125723e-10,4.535985256779949e-12,Malawi,Balaka,TA Chanthunya,31207,262
7,2864.340013114308,0.09398962745720214,0.05412403346576644,0.0027937858651639075,3.0380491096159735e-4,0.031775585227007984,2.9048765035438093e-5,0.18301588569113575,0.003959186219914395,3.52547475576244e-4,10487.828239060012,0.18011205452298637,0.30873957812527936,0.006961081529264747,6.388920463778725e-4,0.5035518497826518,3.312772772940842e-5,0.38369093998629417,0.012503594127263222,8.01656828646783e-4,17178.701014367543,1.1654929520357048e-5,6.007882447521783e-6,4.576790121875e-10,7.89959205974625e-12,3.5902634486684235e-6,1.234819541441803e-12,0.36510436756080744,6.403672442112611e-10,9.134411601188056e-12,Malawi,Balaka,TA Chanthunya,31207,262
8,2864.3094932840163,0.09711349347303486,0.06452112072071234,0.003888151094734166,5.060610956657504e-4,0.047448032597831764,5.8857001015588874e-5,0.21353571598299273,0.005887479333115949,6.04820584116526e-4,10487.748807478341,0.13535676523223544,0.2706829173410728,0.007208782717706838,8.056588056954237e-4,0.5859385046104072,5.152874793178761e-5,0.4631225216569548,0.014529361335696942,0.0010588323860331284,17178.7872247632,1.3125850053884662e-5,7.609206989607663e-6,6.650404310181602e-10,1.3563779821840973e-11,5.5362381473088045e-6,2.5566312520670558e-12,0.4513147632184656,9.874486524963206e-10,1.6120411073908032e-11,Malawi,Balaka,TA Chanthunya,31207,262
9,2864.2821784287175,0.09667070081027368,0.07262784265619963,0.005005255045162425,7.636510591768379e-4,0.06567729577159924,1.0582593943970375e-4,0.24085057128184978,0.008116611603279152,9.412223839733513e-4,10487.671568331898,0.1017240072847088,0.2324748404365832,0.007164235703401687,9.559746310727299e-4,0.6576584828168867,7.398131168922305e-5,0.5403616681003781,0.016286769734419757,0.0013194632526715845,17178.874463473945,1.428123540267656e-5,9.137205772721525e-6,8.972656823411e-10,2.1157848003275037e-11,7.930880266736409e-6,4.706362177240222e-12,0.5385534739597254,1.414549885951405e-9,2.5864210180515262e-11,Malawi,Balaka,TA Chanthunya,31207,262
10,2864.258073982794,0.09354749983579214,0.07824292570316041,0.006070630348065366,0.0010689190249471025,0.08585121833732133,1.7382395632562365e-4,0.26495501720561027,0.010568265202595014,0.0013605880653499878,10487.597488467974,0.07645011355210199,0.19654151586156535,0.0068997013132724066,0.001083094084173808,0.7189841868737734,9.997404307607164e-5,0.6144415320232405,0.017784072292786852,0.0015742914728608137,17178.96115331603,1.5119877016720216e-5,1.0531254321505998e-5,1.1440623422956222e-9,3.0686137979441233e-11,1.0744222938664978e-5,7.926989496736431e-12,0.6252433160457952,1.916324891819175e-9,3.861312747617767e-11,Malawi,Balaka,TA Chanthunya,31207,262
