time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,lvl2,lvl3,lvl4,TA_Code,ID
1,3062.855104,0,0,0,0,0,0,0,0,0,12790.15082,1,0,0,0,0,0,0,0,0,21866.92264,0,0,0,0,0,0,0,0,0,Malawi,Chitipa,STA Bulambya Songwe,10102,181
2,3062.8431002288494,0.010888925890577661,0.0010364260095094828,8.495287934805922e-6,1.2991514506166707e-7,6.979236034704207e-5,1.6872771659489876e-9,0.012003771150791221,8.941700168056728e-6,1.3274710589328584e-7,12790.125606463762,0.7514794993436174,0.21470697119008203,7.697021746048617e-4,9.760039382014312e-6,0.03303597393665894,6.464198636787134e-8,0.02521353624145745,8.384813800889255e-4,1.0079936459716981e-5,21866.94517912398,9.35435771938342e-7,8.861558219185876e-8,1.193311630784652e-12,3.064255403104212e-15,6.687473212451119e-9,6.673811433877528e-17,0.022539123979140763,1.2559315011335116e-12,3.1309935174429876e-15,Malawi,Chitipa,STA Bulambya Songwe,10102,181
3,3062.8149847999557,0.03286866548730302,0.0062468636866063135,1.0310216225200987e-4,3.227433905377626e-6,8.972549511833035e-4,8.632426157223238e-8,0.040119200045511616,1.1444286856483796e-4,3.3723223282903383e-6,12790.065129524177,0.5647237932888685,0.32269698240638595,0.0023415544944700166,6.171438372398017e-5,0.11018179636019997,8.588124355177566e-7,0.08569047582334167,0.0027916546780018354,6.596443239750592e-5,21867.000402958634,2.9238512656657884e-6,5.455514973102513e-7,1.4688531069118163e-11,7.688782027146231e-14,8.676738076522522e-8,3.439838017109001e-15,0.0777629586443343,1.6295084234889584e-11,8.032765828857132e-14,Malawi,Chitipa,STA Bulambya Songwe,10102,181
4,3062.7817390336836,0.0537070159512555,0.015610228817744367,3.9304677506761857e-4,1.9034378058839583e-5,0.003634846401238316,7.939947576268981e-7,0.07336496631812227,4.6153861623359757e-4,2.0367035253216636e-5,12789.99030056949,0.4243820999140976,0.3637512144428677,0.004007284818810387,1.6476806893895392e-4,0.2077035656741532,3.617397391518126e-6,0.1605194305104572,0.005253708802622384,1.826696669475673e-4,21867.07137915561,5.035779445113372e-6,1.4087658954599107e-6,5.726281143238859e-11,4.60741239401181e-13,3.5738967703264263e-7,3.201340993251296e-14,0.14873915562814624,6.711790441906248e-11,4.927546493336939e-13,Malawi,Chitipa,STA Bulambya Songwe,10102,181
5,3062.7461099949137,0.07136477301801508,0.027467022544347245,9.301236005324986e-4,6.194848932153702e-5,0.009166542663150276,3.59477257457597e-6,0.1089940050879412,0.001158738827607465,6.798202983001116e-5,12789.905035599175,0.31891918703589855,0.36447021111225497,0.005419056147099885,3.0924872949523893e-4,0.31089198083080105,9.533022023391923e-6,0.24578440082783207,0.007851080160356377,3.564252792628056e-4,21867.156122635235,7.166169556113066e-6,2.5891031811651057e-6,1.3957677597646945e-10,1.5311601141560503e-12,9.21963552081648e-7,1.4718206941587642e-13,0.23348263525137222,1.73143619647908e-10,1.6783421835719264e-12,Malawi,Chitipa,STA Bulambya Songwe,10102,181
6,3062.710913541881,0.08421503458549957,0.04015402074096283,0.0017065011762289369,1.4608413845912876e-4,0.017957769676655595,1.1047802805022834e-5,0.1441904581206111,0.002260121578620848,1.6462699878502912e-4,12789.814370647457,0.23966686001461787,0.34236570360706065,0.006441304584898414,4.7870581654764824e-4,0.411054281372702,1.9450296933411465e-5,0.3364493525464971,0.010364476689833856,5.749604878388141e-4,21867.250849863718,9.161248517813791e-6,3.990107583714594e-6,2.6556855933866676e-10,3.704165809007676e-12,1.857683250141078e-6,4.607978111888036e-13,0.32820986373490785,3.488678317425963e-10,4.164963620196481e-12,Malawi,Chitipa,STA Bulambya Songwe,10102,181
7,3062.677719816197,0.0921066614018044,0.05222980540045671,0.0026706547307193598,2.8167686857536416e-4,0.03006874920336386,2.6636200257803613e-5,0.1773841838051775,0.0037682427978556394,3.2638361703113937e-4,12789.721544464746,0.18011054333914697,0.3087391528120007,0.00705660706922417,6.562464298359094e-4,0.503437230392797,3.3783497045125e-5,0.4292755352577933,0.012675197603485719,8.234325357487013e-4,21867.352714348945,1.0941928045180998e-5,5.512036599915575e-6,4.3356265830345945e-10,7.35812778305686e-12,3.213203908631881e-6,1.1350544392193608e-12,0.4300743489599879,6.034263027489838e-10,8.493182222276222e-12,Malawi,Chitipa,STA Bulambya Songwe,10102,181
8,3062.647314884098,0.0956009659108539,0.06267765958145437,0.003747074099363016,4.731932742683886e-4,0.04523582608206557,5.4396956172606837e-5,0.20778911590417787,0.00564539901187014,5.644942486127335e-4,12789.628786503992,0.13535536369604978,0.270682169994844,0.00730771340722375,8.275420472285801e-4,0.5858154781991605,5.254876134710228e-5,0.5220334960130756,0.014728768770006386,0.0010875927686926099,21867.459250659063,1.246365718300073e-5,7.065255683929888e-6,6.377404881048962e-10,1.2780984717489629e-11,5.009967479324868e-6,2.3742002679339064e-12,0.5366106590787212,9.408441878133667e-10,1.5155184985423535e-11,Malawi,Chitipa,STA Bulambya Songwe,10102,181
9,3062.6200035418847,0.09553318530656534,0.07091550868305219,0.004854290137331803,7.189916117258061e-4,0.06298001199667083,9.847038228074956e-5,0.2351004581176267,0.007827969348461358,8.842663344100131e-4,12789.537725464483,0.10172273880958771,0.23247397958214497,0.007262552267587826,9.819406966505822e-4,0.6575312789721518,7.544571570517849e-5,0.6130945355202879,0.016510293647121296,0.001355302737877528,21867.56819510006,1.3700911923423953e-5,8.57399435395728e-6,8.696536804562689e-10,2.0141274905574264e-11,7.245755057337271e-6,4.411207681985001e-12,0.6455551000740312,1.360703332207454e-9,2.455248258755927e-11,Malawi,Chitipa,STA Bulambya Songwe,10102,181
10,3062.5958036545726,0.09277759586034409,0.07672151346643778,0.005917710903145871,0.0010121219529353803,0.08270873178923868,1.6267145798845142e-4,0.2593003454300903,0.010239523085814462,0.0012851530866119362,12789.449590697124,0.0764490089469405,0.1965407006985143,0.006994384443178255,0.0011125121227679347,0.7188562680466727,1.0195297079875874e-4,0.701229302881991,0.01802813943062139,0.0016170519621847269,21867.6774746743,1.4642109518580592e-5,9.976815876712025e-6,1.1194823846540835e-9,2.947935684403489e-11,9.898796674865218e-6,7.492233873380822e-12,0.754834674316081,1.8589141990023969e-9,3.697159071741573e-11,Malawi,Chitipa,STA Bulambya Songwe,10102,181
11,3062.5757512492883,0.08710632856676877,0.07999598645516663,0.006875537488734257,0.0013416795538907951,0.10378308481236681,2.5013383739135725e-4,0.2793527507143187,0.012799277354519006,0.0017615093509451621,12789.370022596187,0.05745542713017418,0.1641105793999722,0.006571326426940826,0.0012156033348162867,0.7705766966781551,1.314156640342995e-4,0.7807974038184297,0.01930338401014978,0.0018659466991071863,21867.77921549617,1.5047912456692747e-5,1.1193688888975294e-5,1.3764352227411898e-9,4.0709795632963496e-11,1.2928403769270321e-5,1.1860178233059801e-11,0.8565754961864359,2.427834700061655e-9,5.25699738660233e-11,Malawi,Chitipa,STA Bulambya Songwe,10102,181
12,3062.558294675802,0.08059154937014958,0.08092762919469418,0.007679649677923587,0.0016941889149725687,0.12555322274238984,3.630843008179842e-4,0.2968093242009478,0.015426364153054805,0.0023035971018687093,12789.294883347842,0.043181271394267084,0.1356626603739827,0.006051471338660393,0.0012901555736088666,0.8137182432349623,1.631218687522314e-4,0.855936652161102,0.020362856428740184,0.0020974050418766416,21867.877834682306,1.5227261936720583e-5,1.2179596591205972e-5,1.6285939706828824e-9,5.362224295574794e-11,1.6272659769241772e-5,1.7739884791464436e-11,0.9551946823215492,3.0558365256271293e-9,7.136212774721236e-11,Malawi,Chitipa,STA Bulambya Songwe,10102,181
13,3062.5431871681376,0.07365782855070938,0.0799463903097742,0.008303014233991032,0.00205512021718456,0.14745178698556302,5.026915683450788e-4,0.31191683186556735,0.018051484879075562,0.0028988481242931733,12789.224678212362,0.032454445946582054,0.11121947110581899,0.005481431885382586,0.0013370445902538353,0.8493836613149152,1.9635832351999472e-4,0.926141787640565,0.021235060137990425,0.0023087729885609394,21867.972043802947,1.5185579333059692e-5,1.2935997501851085e-5,1.8660938005278836e-9,6.790082892168081e-11,1.9865778131517158e-5,2.5322734090741472e-11,1.049403802962396,3.730565060776329e-9,9.322356301242229e-11,Malawi,Chitipa,STA Bulambya Songwe,10102,181
14,3062.5301707486474,0.06663376560460116,0.07746820668633536,0.008736760176323495,0.0024104487430255048,0.16901501620057735,6.690539451411591e-4,0.32493325135600415,0.020619160013498974,0.003533402698141783,12789.159685573553,0.024392998590781773,0.09054799292046842,0.004896747467886879,0.0013584457314597868,0.8786508586021102,2.30451694580921e-4,0.9911344264481997,0.021947641159291962,0.0024988937249438696,21868.06092339995,1.4941537319008443e-5,1.3467231835519225e-5,2.08137054452444e-9,8.316550108615933e-11,2.3642710660971722e-5,3.4756208783482095e-11,1.1382833999587656,4.439804741917268e-9,1.179217098696414e-10,Malawi,Chitipa,STA Bulambya Songwe,10102,181
15,3062.518993755863,0.05976042449306499,0.07387575856259129,0.008985531072255056,0.002747678262752809,0.18987957444771542,8.612773022227312e-4,0.3361102441406024,0.023086963083368203,0.004193263869125456,12789.100004749615,0.018334692455057505,0.0732827432106316,0.004323153381002126,0.0013573287879523265,0.9025194493016814,2.647943982936199e-4,1.0508152503873658,0.022526082395759036,0.0026677302617576972,21868.14387128144,1.45217622166444e-5,1.3782302879446624e-5,2.2688560450728866e-9,9.900394413081728e-11,2.7540299202363556e-5,4.613801649720519e-11,1.2212312814518465,5.171695257633336e-9,1.4514196062802243e-10,Malawi,Chitipa,STA Bulambya Songwe,10102,181
