"","TA","ID","Population","Incidences","Recovered","Deaths","Peak_Hospital","Peak_Crit"
"1","Balaka",2,34766,18719.5118636409,18684.636537927,34.8753257139104,66.4128770178365,14.2271697265122
"2","Balaka",138,189063,101128.231861544,100757.293568586,370.938292957564,433.610498757361,145.852269746713
"3","Balaka",220,260230,139136.611902383,138621.285005536,515.326896847273,606.74055761362,202.396831831335
"4","Blantyre",114,59692,32033.4072630769,31921.4087182202,111.998544856682,139.633930968026,44.5714178906488
"5","Blantyre",149,106665,57121.3269606049,56963.3583426137,157.968617991161,229.93163865627,62.7443858033606
"6","Blantyre",163,108459,58079.4700905843,57893.5779186465,185.892171937823,246.864909225752,73.6077224619919
"7","Blantyre",164,51202,27498.7594501786,27409.8367593813,88.9226907973117,114.256615715899,35.4900806272492
"8","Blantyre",169,40760,21921.3067663865,21847.783237839,73.5235285474856,95.0352539870123,29.4989571049023
"9","Blantyre",173,34131,18380.3047876834,18321.3179888927,58.9867987906854,80.211519828043,23.8076664341296
"10","Blantyre",176,24477,13222.8401632675,13172.8672330884,49.9729301790878,61.7438639951021,20.3022525455873
"11","Blantyre",230,90288,48374.6179406088,48218.5876774928,156.030263115983,204.652007800898,61.8717403488418
"12","Blantyre City",3,979024,523023.53253724,522127.833112506,895.699424734422,1813.38697360747,357.237068444872
"13","Chikwawa",6,10806,5915.06398628364,5900.70740856599,14.3565777176549,25.0291509764268,6.12283585771055
"14","Chikwawa",7,69743,37401.6842015565,37324.1924387861,77.491762770353,134.77269169473,31.0570983171033
"15","Chikwawa",16,1,1,1,0,0,0
"16","Chikwawa",22,47558,25552.4001496393,25470.6932152394,81.7069343999008,108.394001222512,32.6878457099563
"17","Chikwawa",113,129546,69341.6224155997,69126.5554908662,215.066924733458,279.204055839981,84.9314978601229
"18","Chikwawa",157,37372,20111.574665253,20051.941419934,59.6332453190286,81.9199499376997,24.0223075844806
"19","Chikwawa",177,95673,51250.6734989449,51068.0492468314,182.624252113509,220.269429995482,72.2134625492888
"20","Chikwawa",185,40611,21841.7210179078,21776.5057532538,65.2152646539962,90.1715369667155,26.2168594357568
"21","Chikwawa",214,228307,122087.415426068,121674.401067709,413.014358358892,506.827332424264,162.406835293306
"22","Chiradzulu",8,3806,2159.09384080436,2153.90662209334,5.18721871102369,10.4465784947698,2.41955760517025
"23","Chiradzulu",125,27860,15030.2616116415,14972.479370581,57.7822410605365,70.7155968276215,23.3831279307067
"24","Chiradzulu",137,117760,63046.9605148737,62789.2356050468,257.724909826931,294.406565479919,101.634149575149
"25","Chiradzulu",168,86460,46330.1241188218,46172.5677138203,157.556405001491,201.207382604522,62.4923817337208
"26","Chiradzulu",194,88254,47288.2869312929,47120.2474897055,168.039441587398,210.004204691811,66.5759778260234
"27","Chiradzulu",210,50615,27185.2288366091,27078.8428589659,106.385977643177,127.133055077876,42.4409201181546
"28","Chiradzulu",218,63598,34119.6277897368,33979.2822385462,140.345551190576,162.356458096318,55.7456305434339
"29","Chitipa",9,21215,11479.8756263443,11456.8848801197,22.9907462245678,42.6891531535731,9.49423507500882
"30","Chitipa",144,28948,15611.510075441,15561.0917065283,50.4183689127104,66.3350515279561,20.3826388531819
"31","Chitipa",200,107405,57516.5485939488,57331.287049898,185.261544050772,239.040984086165,73.1902142062969
"32","Chitipa",205,42023,22595.9397838946,22513.3669432398,82.5728406548436,102.36964657968,33.0315497687508
"33","Chitipa",206,29517,15915.4853942078,15861.3219591214,54.163435086423,68.3025709552224,21.8576722059562
"34","Chitipa",222,36875,19846.090617796,19782.4997086906,63.5909091053551,82.786267785593,25.5407029963728
"35","Dedza",10,30623,16506.3322467083,16475.6177617488,30.7144849594995,59.6264716708196,12.5838713012696
"36","Dedza",45,31902,17189.5849462962,17119.4489922094,70.1359540868296,81.8993467535706,28.2224455482375
"37","Dedza",47,92925,49783.0041215193,49602.5876545518,180.416466967497,217.315131429778,71.3380079565842
