"","TA","ID","Population","Incidents","Recovered","Deaths","Peak_Hospital","Peak_Crit","Cumulative_Hospital","Cumulative_Critical"
"1","Balaka",2,34766,11080.4605387633,11059.8171394332,20.6433993301243,40.9049898267045,8.4067677461649,279.312427977186,35.4379812917993
"2","Balaka",138,189063,41548.2059664373,41395.9074027863,152.298563651003,90.7967663021961,34.1743562632941,1299.3202109716,257.761412251944
"3","Balaka",220,260230,54533.235400572,54331.5446220856,201.690778486444,107.60089289745,40.6491681637752,1737.22279108926,341.717120741133
"4","Blantyre",114,59692,16578.8392941035,16520.8753430011,57.9639511024426,60.5767988239047,19.6708663456766,520.210319869119,98.165029083208
"5","Blantyre",149,106665,26018.9010326759,25946.9545397608,71.9464929151004,68.0314299094376,19.9942745407931,760.240593724826,122.475933470628
"6","Blantyre",163,108459,26367.0004442,26282.619503773,84.3809404269843,72.2622241640302,23.2396697970036,813.685801775092,143.217286914636
"7","Blantyre",164,51202,14767.3374919062,14719.5846719584,47.7528199478377,54.8518078684965,17.0495795933263,440.313680497847,80.8880744633583
"8","Blantyre",169,40760,12459.5007170115,12417.7119374003,41.7887796112232,52.9110708898941,16.0327509683332,385.506079744016,70.8271728730932
"9","Blantyre",173,34131,10931.4055473108,10896.3240748935,35.0814724172763,49.9716228791273,14.2031987789821,338.716194964028,59.5586594757912
"10","Blantyre",176,24477,8574.47933446075,8542.07390277435,32.4054316864009,46.981896833541,14.2907225537994,280.797169706842,54.8192742520683
"11","Blantyre",230,90288,22807.8494338949,22734.2885518364,73.5608820585437,67.4943276464968,21.644978646428,699.10883353865,124.790413127845
"12","Blantyre City",3,979024,179291.060808722,178988.189636965,302.871171757052,205.443342732735,46.5557292989949,4556.73812008884,527.29606137429
"13","Chikwawa",6,10806,4721.57182297493,4710.11199488053,11.4598280943964,28.6097881449088,6.03998750341281,133.137479967274,19.5572016281934
"14","Chikwawa",7,69743,18668.3561744991,18629.6785354865,38.6776390125643,52.723926391645,12.5645365249764,485.565018505199,66.1136660914752
"15","Chikwawa",16,1,1,1,0,0,0,0,0
"16","Chikwawa",22,47558,13973.420761883,13928.7392272802,44.6815346028381,54.6120739215735,16.3500068735452,424.66626103472,75.75977641056
"17","Chikwawa",113,129546,30415.5337424382,30321.2194578888,94.3142845493519,73.0619340495116,24.3051432693181,890.79940848714,159.877726151413
