UID,Lvl1,Lvl2,Lvl3,Lvl4,Start Date,Date_from_0
218,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nkalo,7/30/20,144
219,Sub-Saharan Africa,Malawi,Thyolo,TA Nsabwe,4/30/20,53
220,Sub-Saharan Africa,Malawi,Balaka,TA Msamala,7/30/20,144
221,Sub-Saharan Africa,Malawi,Mwanza,TA Nthache,4/30/20,53
222,Sub-Saharan Africa,Malawi,Chitipa,TA Nthalire,8/30/20,175
223,Sub-Saharan Africa,Malawi,Mulanje,TA Nthiramanja,7/30/20,144
224,Sub-Saharan Africa,Malawi,Nsanje,TA Nyachikadza,4/30/20,53
225,Sub-Saharan Africa,Malawi,Machinga,TA Nyambi,7/30/20,144
226,Sub-Saharan Africa,Malawi,Salima,TA Pemba,6/8/20,92
227,Sub-Saharan Africa,Malawi,Dedza,TA Pemba,5/8/20,61
228,Sub-Saharan Africa,Malawi,Ntcheu,TA Phambala,7/30/20,144
229,Sub-Saharan Africa,Malawi,Kasungu,TA Santhe,6/8/20,92
230,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,4/15/20,38
231,Sub-Saharan Africa,Malawi,Neno,TA Symon Likongwe,7/30/20,144
232,Sub-Saharan Africa,Malawi,Dedza,TA Tambala,5/8/20,61
233,Sub-Saharan Africa,Malawi,Nsanje,TA Tengani,4/30/20,53
234,Sub-Saharan Africa,Malawi,Thyolo,TA Thomas,4/30/20,53
235,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Timbiri,6/15/20,99
236,Sub-Saharan Africa,Malawi,Karonga,TA Wasambo,8/30/20,175
237,Sub-Saharan Africa,Malawi,Kasungu,TA Wimbe,6/8/20,92
238,Sub-Saharan Africa,Malawi,Rumphi,STA Zolokere and Vwaza Marsh Reserve,6/8/20,92
239,Sub-Saharan Africa,Malawi,Mchinji,TA Zulu,5/1/20,54
240,Sub-Saharan Africa,Malawi,Thyolo,Thyolo Boma,4/15/20,38
241,Sub-Saharan Africa,Malawi,Zomba,TA Mkumbira,4/30/20,53
242,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde,7/30/20,144
243,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Musisya,6/15/20,99
244,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba,6/8/20,92
