UID,Lvl1,Lvl2,Lvl3,Lvl4,Hospitalization,Critical Care,Crit of Hosp,CFR,CFR of Crit,CFR of Hosp,Population,Code
198,Sub-Saharan Africa,Malawi,Dowa,TA Msakambewa,0.031114849,0.005668243,0.182171646,0.003344473,0.590037039,0.107488019,98252.5124,MW20406
199,Sub-Saharan Africa,Malawi,Mzimba,TA Mtwalo,0.031335885,0.005856085,0.186881097,0.003458457,0.590574928,0.110367291,216647.0976,MW10502
200,Sub-Saharan Africa,Malawi,Chitipa,TA Mwabulambya,0.030121853,0.005496917,0.182489333,0.00324647,0.590598315,0.107777893,113635.5806,MW10101
201,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwadzama,0.028500234,0.005125839,0.179852506,0.003024303,0.590011287,0.106115009,109237.0454,MW20205
202,Sub-Saharan Africa,Malawi,Zomba,TA Mwambo,0.029469418,0.005440125,0.184602398,0.00320768,0.589633583,0.108847773,155523.5271,MW30302
203,Sub-Saharan Africa,Malawi,Rumphi,TA Mwamlowe,0.032772984,0.006541185,0.19959076,0.003869545,0.591566426,0.118071192,8290.838594,MW10402
204,Sub-Saharan Africa,Malawi,Kasungu,TA Mwase,0.028798341,0.004725841,0.164101155,0.002780745,0.588412744,0.096559211,27002.80999,MW20114
205,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenemisuku,0.032402528,0.006302884,0.194518268,0.003727804,0.591444142,0.11504669,34627.53652,MW10102
206,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenewenya,0.030301631,0.005770974,0.190450947,0.003413343,0.591467444,0.112645535,29903.8643,MW10103
207,Sub-Saharan Africa,Malawi,Mzimba,TA Mzikubola,0.030384809,0.005553231,0.182763403,0.003277863,0.590262224,0.107878333,102128.2131,MW10506
208,Sub-Saharan Africa,Malawi,Mzimba,TA Mzukuzuku,0.031965068,0.006122091,0.191524428,0.003617675,0.590921442,0.113175891,46866.04704,MW10510
209,Sub-Saharan Africa,Malawi,Phalombe,TA Nazombe,0.03007558,0.005747545,0.191103364,0.003393005,0.590339858,0.112815933,64724.73741,MW30902
210,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nchema,0.033519064,0.006716178,0.200368886,0.003968318,0.590859653,0.11838989,45771.22505,MW30406
211,Sub-Saharan Africa,Malawi,Thyolo,TA Nchilamwela,0.031560821,0.005608277,0.177697429,0.00330622,0.58952514,0.104757102,66040.56258,MW30708
212,Sub-Saharan Africa,Malawi,Nsanje,TA Ndamera,0.03086936,0.006322094,0.204801593,0.003741094,0.591749193,0.121191177,33881.16269,MW31101
213,Sub-Saharan Africa,Malawi,Salima,TA Ndindi,0.029609327,0.005776179,0.195079725,0.003415679,0.591338721,0.115358195,51030.27139,MW20505
214,Sub-Saharan Africa,Malawi,Chikwawa,TA Ngabu,0.030224424,0.005728379,0.189528128,0.003382904,0.59055175,0.111926168,205691.6028,MW31001
215,Sub-Saharan Africa,Malawi,Nsanje,TA Ngabu,0.032678591,0.006948135,0.212620397,0.004113498,0.592029033,0.125877448,15944.21714,MW31108
216,Sub-Saharan Africa,Malawi,Neno,TA Chekucheku,0.029786516,0.005355165,0.179784868,0.003157737,0.589661869,0.106012282,26545.57247,MW31304
217,Sub-Saharan Africa,Malawi,Ntcheu,TA Njolomole,0.032640708,0.006353785,0.194658323,0.003752542,0.590599441,0.114965097,66200.2576,MW20906
218,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nkalo,0.034201926,0.006964133,0.203618147,0.004116377,0.591082425,0.120355108,55927.28261,MW30404
219,Sub-Saharan Africa,Malawi,Thyolo,TA Nsabwe,0.03239606,0.006810046,0.210212161,0.004031416,0.591980747,0.124441552,48111.77897,MW30701
220,Sub-Saharan Africa,Malawi,Balaka,TA Msamala,0.031921404,0.006370298,0.19956197,0.003764754,0.590985503,0.117938231,217589.8511,MW31201
221,Sub-Saharan Africa,Malawi,Mwanza,TA Nthache,0.028984999,0.005098854,0.175913559,0.003005676,0.58948074,0.103697655,65016.69693,MW30602
222,Sub-Saharan Africa,Malawi,Chitipa,TA Nthalire,0.02981864,0.00555946,0.186442446,0.003285216,0.590923513,0.110173225,47631.87715,MW10104
223,Sub-Saharan Africa,Malawi,Mulanje,TA Nthiramanja,0.034096182,0.007285775,0.213683027,0.004311464,0.591764581,0.126450047,55634.71022,MW30804
224,Sub-Saharan Africa,Malawi,Nsanje,TA Nyachikadza,0.029440003,0.005508841,0.187120934,0.003255273,0.590917999,0.110573128,3109.740136,MW31103
225,Sub-Saharan Africa,Malawi,Machinga,TA Nyambi,0.029317961,0.005760322,0.196477565,0.003404302,0.590991622,0.116116595,66745.29216,MW30210
226,Sub-Saharan Africa,Malawi,Salima,TA Pemba,0.029538219,0.005932121,0.200828665,0.003509977,0.591690107,0.118828335,27766.83731,MW20503
227,Sub-Saharan Africa,Malawi,Dedza,TA Pemba,0.027371611,0.005497004,0.200828665,0.003253697,0.591903603,0.118871211,189549.6335,MW20801
228,Sub-Saharan Africa,Malawi,Ntcheu,TA Phambala,0.031019449,0.005861454,0.188960597,0.003458972,0.590121927,0.111509792,67971.9724,MW20901
229,Sub-Saharan Africa,Malawi,Kasungu,TA Santhe,0.027800153,0.004437935,0.159637084,0.002610028,0.588117723,0.093885399,114907.7256,MW20111
230,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,0.030781116,0.005604807,0.182085894,0.003305181,0.589704638,0.107376896,82992.84979,MW30508
231,Sub-Saharan Africa,Malawi,Neno,TA Symon Likongwe,0.029302618,0.004920299,0.167913298,0.002895989,0.588579851,0.098830384,64344.93609,MW31303
232,Sub-Saharan Africa,Malawi,Dedza,TA Tambala,0.032560804,0.006764324,0.207744388,0.004002346,0.591684544,0.122919143,81038.06228,MW20804
233,Sub-Saharan Africa,Malawi,Nsanje,TA Tengani,0.031386727,0.006483049,0.206553832,0.00383589,0.59167995,0.122213761,50418.68741,MW31105
234,Sub-Saharan Africa,Malawi,Thyolo,TA Thomas,0.031972426,0.006073601,0.18996371,0.003586457,0.59049929,0.112173436,45978.32427,MW30711
235,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Timbiri,0.030472128,0.005670446,0.186086324,0.003350031,0.590787874,0.109937544,52352.32087,MW10312
236,Sub-Saharan Africa,Malawi,Karonga,TA Wasambo,0.029628212,0.005336341,0.180110136,0.003149345,0.590169407,0.106295492,73728.89482,MW10204
237,Sub-Saharan Africa,Malawi,Kasungu,TA Wimbe,0.027842254,0.004473294,0.160665674,0.002631685,0.588310367,0.094521282,102594.1025,MW20112
238,Sub-Saharan Africa,Malawi,Rumphi,STA Zolokere/Vwaza Marsh Reserve,0.031603332,0.00620563,0.196359998,0.003667547,0.591003065,0.11604936,1,MW10409
239,Sub-Saharan Africa,Malawi,Mchinji,TA Zulu,0.028473113,0.004677596,0.164281147,0.002752116,0.58836122,0.096656656,147574.5615,MW20703
240,Sub-Saharan Africa,Malawi,Thyolo,Thyolo Boma,0.026177988,0.003244192,0.123928253,0.001889129,0.582311018,0.072164787,6994.63892,MW30720
241,Sub-Saharan Africa,Malawi,Zomba,TA Mkumbira,0.027118944,0.004443266,0.163843622,0.002610966,0.587623121,0.0962783,2847.917475,MW30303
242,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde,0.029995092,0.005848019,0.194965854,0.00345633,0.591025834,0.115229857,89424,MW30201
243,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Musisya,0.030779668,0.005938148,0.192924355,0.00351054,0.591184398,0.114053869,16810.2188,MW10309
244,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba,0.028473481,0.005176661,0.181806386,0.003053435,0.589846471,0.107237855,149737.9982,MW30103
